ID,Vervoermiddel,TypeAccommodatie,Perioden,Gasten_1,Overnachtingen_2,Gasten_3,Overnachtingen_4
0,6,3,2005SJ00 ,10012.0,25210.0,100.0,100.0
1,6,1,2005SJ00 ,8081.0,15143.0,100.0,100.0
2,6,2,2005SJ00 ,1931.0,10067.0,100.0,100.0
3,1,3,2005SJ00 ,4189.0,13564.0,42.0,54.0
4,1,1,2005SJ00 ,2388.0,,30.0,27.0
5,1,2,2005SJ00 ,1802.0,,93.0,94.0
6,2,3,2005SJ00 ,4429.0,8726.0,44.0,35.0
7,2,1,2005SJ00 ,4396.0,,54.0,57.0
8,2,2,2005SJ00 ,,,,
9,3,3,2005SJ00 ,416.0,1005.0,4.0,4.0
10,3,1,2005SJ00 ,401.0,,5.0,6.0
11,3,2,2005SJ00 ,,,,
12,4,3,2005SJ00 ,652.0,1208.0,7.0,5.0
13,4,1,2005SJ00 ,621.0,,8.0,7.0
14,4,2,2005SJ00 ,,,,
15,5,3,2005SJ00 ,325.0,707.0,,
16,5,1,2005SJ00 ,,,,
17,5,2,2005SJ00 ,,,,
