ID,WijzeVanReserveren,TypeAccommodatie,Perioden,Gasten_1,Overnachtingen_2
0,6,3,2005SJ00 ,10012,25210
1,6,1,2005SJ00 ,8081,15143
2,6,2,2005SJ00 ,1931,10067
3,1,3,2005SJ00 ,3421,9861
4,1,1,2005SJ00 ,2499,4691
5,1,2,2005SJ00 ,922,5169
6,2,3,2005SJ00 ,2800,7220
7,2,1,2005SJ00 ,2303,4355
8,2,2,2005SJ00 ,497,2865
9,3,3,2005SJ00 ,1869,4637
10,3,1,2005SJ00 ,1445,2973
11,3,2,2005SJ00 ,424,1663
12,4,3,2005SJ00 ,392,810
13,4,1,2005SJ00 ,373,686
14,4,2,2005SJ00 ,19,124
15,5,3,2005SJ00 ,1530,2683
16,5,1,2005SJ00 ,1461,2438
17,5,2,2005SJ00 ,69,246
