ID,LandVanHerkomst,BelangrijksteActiviteit,Perioden,Gasten_1
0,20,5,2005SJ00 ,100
1,20,1,2005SJ00 ,30
2,20,2,2005SJ00 ,24
3,20,3,2005SJ00 ,20
4,20,4,2005SJ00 ,26
5,12,5,2005SJ00 ,100
6,12,1,2005SJ00 ,21
7,12,2,2005SJ00 ,14
8,12,3,2005SJ00 ,34
9,12,4,2005SJ00 ,30
10,11,5,2005SJ00 ,100
11,11,1,2005SJ00 ,20
12,11,2,2005SJ00 ,16
13,11,3,2005SJ00 ,39
14,11,4,2005SJ00 ,25
15,14,5,2005SJ00 ,100
16,14,1,2005SJ00 ,24
17,14,2,2005SJ00 ,33
18,14,3,2005SJ00 ,12
19,14,4,2005SJ00 ,30
20,13,5,2005SJ00 ,100
21,13,1,2005SJ00 ,31
22,13,2,2005SJ00 ,24
23,13,3,2005SJ00 ,8
24,13,4,2005SJ00 ,36
25,15,5,2005SJ00 ,100
26,15,1,2005SJ00 ,39
27,15,2,2005SJ00 ,33
28,15,3,2005SJ00 ,14
29,15,4,2005SJ00 ,14
30,17,5,2005SJ00 ,100
31,17,1,2005SJ00 ,30
32,17,2,2005SJ00 ,21
33,17,3,2005SJ00 ,14
34,17,4,2005SJ00 ,34
35,18,5,2005SJ00 ,100
36,18,1,2005SJ00 ,45
37,18,2,2005SJ00 ,28
38,18,3,2005SJ00 ,11
39,18,4,2005SJ00 ,15
40,19,5,2005SJ00 ,100
41,19,1,2005SJ00 ,45
42,19,2,2005SJ00 ,34
43,19,3,2005SJ00 ,5
44,19,4,2005SJ00 ,17
