ID,Energiedragers,Perioden,TotaalAanbod_1,Productie_2,TotaalPuurEnBijgemengd_3,Puur_4,Bijgemengd_5,TotaalPuurEnBijgemengd_6,Puur_7,Bijgemengd_8,Gewicht_9,Volume_10,Energie_11,AandeelInTotaalBenzineEnOfDiesel_12,Puur_13,Bijgemengd_14,Bijmenging_15,Productiecapaciteit_16
0,E006677     ,2003JJ00,4,,,,0,,,0,4,4,134,0.03,4.0,0,0,
1,E006677     ,2004JJ00,4,,,,0,,,0,4,4,134,0.03,4.0,0,0,
2,E006677     ,2005JJ00,3,,,,0,,,0,3,3,101,0.02,3.0,0,0,
3,E006677     ,2006JJ00,54,29.0,24.0,24.0,0,0.0,0.0,0,54,67,1766,0.38,3.0,51,51,81.0
4,E006677     ,2007JJ00,384,95.0,373.0,395.0,-22,-84.0,-84.0,0,384,463,13031,2.78,3.0,381,403,200.0
5,E006677     ,2008JJ00,367,90.0,388.0,499.0,-111,-111.0,-111.0,0,367,449,12048,2.56,0.0,367,478,531.0
6,E006677     ,2009JJ00,478,274.0,220.0,271.0,-50,-16.0,-16.0,0,478,586,15606,3.42,0.0,478,529,1323.0
7,E006677     ,2010JJ00,315,,,,36,72.0,72.0,0,315,399,9577,2.09,,315,280,
8,E006677     ,2011JJ00,426,,,,135,-48.0,-48.0,0,426,529,13438,,,426,291,
9,E006677     ,2012JJ00,431,,,,19,-65.0,-65.0,0,431,528,14017,,,431,412,
10,E006677     ,2013JJ00,414,1789.0,-1268.0,-1204.0,-64,-107.0,-107.0,0,414,509,13378,,,414,478,2517.0
11,E006677     ,2014JJ00,478,,,,-39,83.0,83.0,0,478,582,15686,,,478,516,
12,E006677     ,2015JJ00,423,,,,-58,14.0,14.0,0,423,524,13439,,,423,481,
13,E006677     ,2016JJ00,341,,,,-45,-22.0,-22.0,0,341,425,10747,,,341,383,
14,E006677     ,2017JJ00,429,,,,-82,-110.0,-110.0,0,429,528,13891,,,429,511,
15,E006677     ,2018JJ00,693,,,,-58,-178.0,-178.0,0,693,839,22993,,,693,770,
16,E006678     ,2003JJ00,0,,,,0,,,0,0,0,0,0.0,0.0,0,0,
17,E006678     ,2004JJ00,0,10.0,-10.0,-10.0,0,,,0,0,0,0,0.0,0.0,0,0,11.0
18,E006678     ,2005JJ00,0,6.0,-6.0,-6.0,0,,,0,0,0,0,0.0,0.0,0,0,11.0
19,E006678     ,2006JJ00,28,11.0,17.0,17.0,0,0.0,0.0,0,28,38,798,0.43,0.0,28,28,11.0
20,E006678     ,2007JJ00,132,10.0,146.0,146.0,0,-25.0,-25.0,0,132,176,3687,2.0,0.0,132,132,11.0
21,E006678     ,2008JJ00,163,7.0,153.0,180.0,-27,4.0,4.0,0,163,218,4524,2.47,0.0,163,190,11.0
22,E006678     ,2009JJ00,213,0.0,225.0,214.0,12,-13.0,-13.0,0,213,284,5771,3.14,0.0,213,201,0.0
23,E006678     ,2010JJ00,208,,,,37,7.0,7.0,0,208,278,5614,3.05,0.0,208,171,
24,E006678     ,2011JJ00,231,,,,160,0.0,0.0,0,231,309,6231,,0.0,231,71,
25,E006678     ,2012JJ00,193,,,,54,-10.0,-10.0,0,193,258,5211,,0.0,193,139,
26,E006678     ,2013JJ00,194,414.0,-224.0,-215.0,-9,4.0,4.0,0,194,259,5238,,0.0,194,203,503.0
27,E006678     ,2014JJ00,199,,,,5,13.0,13.0,0,199,266,5379,,0.0,199,194,
