ID,ZakelijkeDienstverleningSBI93,Perioden,TotaalEnergieverbruik_1,Aardgas_2,Elektriciteit_3,Huisbrandolie_4,Stadsverwarming_5,OverigeEnergie_6,TotaalEnergiekosten_7,Aardgas_8,Elektriciteit_9,Huisbrandolie_10,Stadsverwarming_11,OverigeEnergie_12
0,10029,1994JJ00,15.64,273.0,1656.8,10.4,0.54,0.13,157.7,43.2,107.4,2.2,4.5,0.0
1,10029,1999JJ00,14.81,247.5,1715.5,4.1,0.62,0.03,195.7,53.2,135.0,1.2,6.2,0.2
2,10004,1994JJ00,1.07,22.0,88.0,0.2,0.05,0.0,11.3,4.0,6.6,0.0,0.6,0.0
3,10004,1999JJ00,1.16,22.8,101.0,0.0,0.08,0.0,15.8,5.6,9.5,0.0,0.8,0.0
4,10001,1994JJ00,0.05,1.2,4.3,0.0,0.0,0.0,0.6,0.2,0.3,0.0,0.0,0.0
5,10001,1999JJ00,0.08,1.7,7.3,0.0,0.0,0.0,1.1,0.4,0.7,0.0,0.0,0.0
6,10002,1994JJ00,0.73,15.6,56.9,0.2,0.03,0.0,7.5,2.9,4.2,0.0,0.4,0.0
7,10002,1999JJ00,0.76,16.5,65.2,0.0,0.0,0.0,10.2,4.0,6.1,0.0,0.0,0.0
8,10003,1994JJ00,0.28,5.2,26.9,0.0,0.02,0.0,3.2,1.0,2.0,0.0,0.2,0.0
9,10003,1999JJ00,0.32,4.6,28.5,0.0,0.08,0.0,4.5,1.1,2.7,0.0,0.7,0.0
10,10009,1994JJ00,0.39,6.9,40.3,0.4,0.01,0.0,4.6,1.4,3.0,0.1,0.1,0.0
11,10009,1999JJ00,0.5,8.6,59.7,0.2,0.0,0.01,7.4,2.1,5.2,0.0,0.0,0.1
12,10005,1994JJ00,0.1,1.5,11.9,0.0,0.0,0.0,1.2,0.3,0.9,0.0,0.0,0.0
13,10005,1999JJ00,0.13,2.2,17.4,0.0,0.0,0.0,1.9,0.5,1.4,0.0,0.0,0.0
14,10006,1994JJ00,0.04,0.7,3.9,0.0,0.0,0.0,0.5,0.1,0.3,0.0,0.0,0.0
15,10006,1999JJ00,0.06,0.9,8.3,0.0,0.0,0.0,0.9,0.2,0.6,0.0,0.0,0.0
16,10007,1994JJ00,0.08,1.3,9.7,0.1,0.0,0.0,1.0,0.3,0.7,0.0,0.0,0.0
17,10007,1999JJ00,0.18,3.2,19.2,0.2,0.0,0.01,2.7,0.8,1.8,0.0,0.0,0.1
18,10008,1994JJ00,0.17,3.4,14.9,0.2,0.0,0.0,1.9,0.7,1.1,0.0,0.0,0.0
19,10008,1999JJ00,0.13,2.4,14.7,0.0,0.0,0.0,2.0,0.6,1.4,0.0,0.0,0.0
20,10016,1994JJ00,1.28,19.7,168.5,0.2,0.04,0.0,13.4,3.1,10.0,0.0,0.2,0.0
21,10016,1999JJ00,1.62,23.8,217.7,0.0,0.08,0.0,22.9,5.8,16.3,0.0,0.7,0.0
22,10010,1994JJ00,0.21,2.9,29.2,0.1,0.01,0.0,2.5,0.5,2.0,0.0,0.0,0.0
23,10010,1999JJ00,0.33,5.3,42.1,0.0,0.01,0.0,5.3,1.3,3.8,0.0,0.1,0.0
24,10011,1994JJ00,0.64,11.4,70.5,0.0,0.02,0.0,5.7,1.7,3.9,0.0,0.1,0.0
25,10011,1999JJ00,0.98,15.6,120.2,0.0,0.05,0.0,12.9,3.8,8.7,0.0,0.5,0.0
26,10012,1994JJ00,0.32,4.3,49.5,0.1,0.01,0.0,3.7,0.7,3.0,0.0,0.0,0.0
27,10012,1999JJ00,0.17,1.4,34.4,0.0,0.0,0.0,2.5,0.3,2.1,0.0,0.0,0.0
28,10013,1994JJ00,,,,,,,,,,,,
29,10013,1999JJ00,0.03,0.3,5.1,0.0,0.01,0.0,0.5,0.1,0.4,0.0,0.0,0.0
30,10014,1994JJ00,0.09,1.0,16.7,0.0,0.0,0.0,1.1,0.1,1.0,0.0,0.0,0.0
31,10014,1999JJ00,0.89,1.0,13.5,0.0,0.01,0.0,1.5,0.2,1.2,0.0,0.1,0.0
32,10015,1994JJ00,,,,,,,,,,,,
33,10015,1999JJ00,0.15,0.2,2.3,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0
34,10019,1994JJ00,1.93,33.8,175.4,4.7,0.01,0.05,14.8,4.3,9.4,0.9,0.0,0.0
35,10019,1999JJ00,1.82,30.5,228.4,0.5,0.01,0.0,21.7,5.2,16.2,0.1,0.1,0.0
36,10017,1994JJ00,1.9,33.1,173.2,4.7,0.01,0.05,14.5,4.2,9.3,0.9,0.0,0.0
37,10017,1999JJ00,1.77,29.7,223.8,0.5,0.01,0.0,21.1,5.0,15.8,0.1,0.1,0.0
38,10018,1994JJ00,0.03,0.7,2.2,0.0,0.0,0.0,0.4,0.1,0.2,0.0,0.0,0.0
39,10018,1999JJ00,0.04,0.7,4.6,0.0,0.0,0.0,0.6,0.2,0.4,0.0,0.0,0.0
40,10028,1994JJ00,10.98,190.5,1184.5,4.9,0.43,0.08,113.6,30.4,78.3,1.1,3.5,0.0
41,10028,1999JJ00,9.71,161.7,1108.7,3.4,0.45,0.02,127.8,34.4,87.7,1.0,4.6,0.1
42,10020,1994JJ00,4.73,82.1,483.7,1.9,0.25,0.08,48.4,12.1,33.4,0.4,2.2,0.0
43,10020,1999JJ00,3.52,60.3,376.6,0.6,0.23,0.0,49.4,14.3,32.4,0.2,2.5,0.0
44,10021,1994JJ00,1.29,23.9,127.5,0.6,0.05,0.0,15.8,4.5,10.8,0.1,0.4,0.0
45,10021,1999JJ00,1.25,22.0,133.5,0.2,0.07,0.0,17.8,5.2,11.8,0.1,0.8,0.0
46,10022,1994JJ00,0.46,6.8,43.9,0.2,0.08,0.0,4.7,1.0,3.0,0.0,0.6,0.0
47,10022,1999JJ00,0.29,3.5,36.7,0.2,0.03,0.0,4.0,0.8,2.8,0.0,0.3,0.0
