ID,SBI93,Bedrijfsgrootte,Perioden,TotaalEnergiekosten_1,Hoeveelheid_2,Waarde_3,Hoeveelheid_4,Waarde_5,Hoeveelheid_6,Waarde_7,Hoeveelheid_8,Waarde_9,Hoeveelheid_10,Waarde_11,Hoeveelheid_12,Waarde_13,Inkoopwaarde_14,Verkoopwaarde_15,Verbruiksaldo_16,Hoeveelheid_17,Waarde_18
0,9999,00,1993JJ00,,,,,,,,,,,,,,,,,,
1,9999,00,1994JJ00,,,,,,,,,,,,,,,,,,
2,9999,00,1995JJ00,,,,,,,,,,,,,,,,,,
3,9999,00,1996JJ00,,,,,,,,,,,,,,,,,,
4,9999,00,1997JJ00,,,,,,,,,,,,,,,,,,
5,9999,00,1998JJ00,,,,,,,,,,,,,,,,,,
6,9999,00,1999JJ00,,,,,,,,,,,,,,,,,,
7,9999,00,2000JJ00,4589.4,685211.0,4310.5,36483.3,1852.9,2537.3,118.5,33946.0,1737.4,9456.4,1380.3,263711.0,1192.8,360.3,81.4,278.9,3569.8,335.3
8,9999,00,2001JJ00,4815.4,694174.0,4569.0,36340.5,1857.0,2340.0,106.2,34000.5,1750.8,9094.9,1519.7,283919.0,1298.4,385.5,139.1,246.4,3067.2,328.7
9,9999,00,2002JJ00,4783.3,707570.0,4502.3,36208.8,1824.8,2213.5,97.5,33995.3,1727.3,9437.5,1447.8,286489.0,1327.1,387.6,106.5,281.1,3435.0,335.8
10,9999,00,2003JJ00,4919.4,724590.0,4629.5,36697.4,1853.6,2396.1,97.1,34301.3,1756.6,9407.3,1546.7,303364.0,1326.3,451.0,161.2,289.8,3550.1,403.0
11,9999,00,2004JJ00,5201.9,743926.0,4854.6,38303.2,1953.2,2304.2,95.3,35999.0,1857.9,9397.4,1478.4,316900.0,1518.3,478.2,131.0,347.2,3715.9,404.2
12,9999,00,2005JJ00,5848.4,728683.0,5466.8,37763.0,2111.3,2558.5,120.8,35204.5,1990.5,9320.3,1780.2,306959.0,1696.1,534.3,152.8,381.6,3712.8,516.4
13,9999,00,2006JJ00,6952.6,707123.0,6466.8,37180.3,2487.2,2438.5,141.6,34741.7,2345.6,9375.6,2272.4,285314.0,1848.7,680.4,194.6,485.9,3234.8,477.5
14,9999,04,1993JJ00,,,,,,,,,,,,,,,,,,
15,9999,04,1994JJ00,,,,,,,,,,,,,,,,,,
16,9999,04,1995JJ00,,,,,,,,,,,,,,,,,,
17,9999,04,1996JJ00,,,,,,,,,,,,,,,,,,
18,9999,04,1997JJ00,,,,,,,,,,,,,,,,,,
19,9999,04,1998JJ00,,,,,,,,,,,,,,,,,,
20,9999,04,1999JJ00,,,,,,,,,,,,,,,,,,
21,9999,04,2000JJ00,292.2,21550.0,292.2,1727.4,183.8,0.0,0.0,1727.4,183.8,440.2,104.6,1399.0,3.7,0.0,0.0,0.0,0.0,0.0
22,9999,04,2001JJ00,296.4,20683.0,305.3,1959.5,191.6,9.5,0.8,1950.1,190.8,392.6,111.0,1237.0,3.5,0.0,8.9,-8.9,0.0,0.0
23,9999,04,2002JJ00,293.1,18687.0,293.1,1758.5,185.7,8.8,0.7,1749.7,185.0,340.2,103.7,1622.0,4.5,0.0,0.0,0.0,0.0,0.0
24,9999,04,2003JJ00,277.3,15771.0,277.3,1466.4,172.9,8.7,0.7,1457.8,172.1,295.0,98.7,1185.0,6.5,0.0,0.0,0.0,0.0,0.0
25,9999,04,2004JJ00,320.9,17881.0,320.9,1650.7,193.5,8.8,0.7,1642.0,192.8,353.7,122.1,774.0,6.0,0.0,0.0,0.0,0.0,0.0
26,9999,04,2005JJ00,293.8,14351.0,293.8,1494.5,184.3,0.0,0.0,1494.5,184.3,260.4,103.0,730.0,6.4,0.0,0.0,0.0,0.0,0.0
