ID,MotorschepenDuwvaart,Perioden,TotaalGasolieverbruikBinnenschepen_1,GasolieverbruikNederlandseVlag_2,GasolieverbruikBuitenlandseVlag_3,GasolieverbruikInternationaleVaart_4,GasolieverbruikBinnenlandseVaart_5,GasolieverbruikVaartInNederland_6,GasolieverbruikVaartInBuitenland_7
0,0,1990JJ00,926,553,373,854,72,419,507
1,0,1991JJ00,935,564,372,867,69,420,515
2,0,1992JJ00,917,560,357,851,66,408,509
3,0,1993JJ00,811,521,290,738,73,376,435
4,0,1994JJ00,928,612,316,856,72,411,517
5,0,1995JJ00,1046,707,339,920,127,481,565
6,0,1996JJ00,1124,760,364,973,151,518,606
7,0,1997JJ00,1332,888,444,1153,179,618,714
8,0,1998JJ00,1193,805,390,1001,194,582,611
9,0,1999JJ00,1262,864,398,1045,218,627,635
10,0,2000JJ00,1235,840,395,1013,223,625,610
11,1,1990JJ00,793,483,310,728,65,352,441
12,1,1991JJ00,797,490,307,735,62,351,446
13,1,1992JJ00,784,489,295,725,59,341,443
14,1,1993JJ00,694,453,241,628,65,315,379
15,1,1994JJ00,810,542,268,744,66,349,461
16,1,1995JJ00,914,625,289,802,112,407,507
17,1,1996JJ00,997,683,314,859,138,448,549
18,1,1997JJ00,1218,821,397,1053,165,554,664
19,1,1998JJ00,1077,734,344,903,174,513,564
20,1,1999JJ00,1142,791,350,940,202,562,580
21,1,2000JJ00,1132,776,356,927,205,563,569
22,2,1990JJ00,133,70,62,126,7,67,66
23,2,1991JJ00,138,73,65,132,6,69,69
24,2,1992JJ00,133,71,62,126,7,67,66
25,2,1993JJ00,118,68,50,110,8,61,57
26,2,1994JJ00,118,70,48,112,6,62,56
27,2,1995JJ00,132,82,50,118,14,73,59
28,2,1996JJ00,127,77,50,114,13,68,59
29,2,1997JJ00,114,67,47,100,14,62,52
30,2,1998JJ00,117,71,46,98,19,67,50
31,2,1999JJ00,121,73,48,105,16,65,56
32,2,2000JJ00,104,64,39,85,19,62,42
