ID,VervoerEnOpslagSBI93,TotaalEnergieverbruik_1,LPG_2,Motorbenzine_3,Jetfuel_4,DieselOverigeGasolie_5,Stookolie_6,Elektriciteit_7,TotaalEnergiekosten_8,LPG_9,Motorbenzine_10,Jetfuel_11,DieselOverigeGasolie_12,Stookolie_13,Elektriciteit_14
0,10001,286.2,9.0,17.0,3434.4,3646.1,758.7,1460.7,1846.8,1.8,12.3,448.8,1213.2,76.6,94.0
1,10002,91.6,9.0,9.4,0.0,2393.8,0.0,1460.7,1149.8,1.8,6.9,0.0,1047.1,0.0,94.0
2,10003,6.1,0.0,0.0,0.0,44.6,0.0,1248.8,89.7,0.0,0.0,0.0,8.9,0.0,80.8
3,10004,85.6,9.0,9.4,0.0,2349.2,0.0,211.9,1060.1,1.8,6.9,0.0,1038.2,0.0,13.3
4,10005,73.1,0.0,0.0,0.0,1205.0,758.7,0.0,221.5,0.0,0.0,0.0,144.9,76.6,0.0
5,10006,48.5,0.0,0.0,0.0,518.7,758.7,0.0,132.8,0.0,0.0,0.0,56.1,76.6,0.0
6,10007,24.6,0.0,0.0,0.0,686.3,0.0,0.0,88.8,0.0,0.0,0.0,88.8,0.0,0.0
7,10008,119.7,0.0,0.9,3434.4,3.1,0.0,0.0,450.9,0.0,0.6,448.8,1.4,0.0,0.0
8,10009,1.8,0.0,6.6,0.0,44.2,0.0,0.0,24.6,0.0,4.9,0.0,19.8,0.0,0.0
9,10010,0.8,0.0,0.0,0.0,22.1,0.0,0.0,9.9,0.0,0.0,0.0,9.9,0.0,0.0
10,10011,0.2,0.0,0.6,0.0,4.6,0.0,0.0,2.6,0.0,0.5,0.0,2.1,0.0,0.0
11,10012,0.1,0.0,1.5,0.0,0.0,0.0,0.0,1.1,0.0,1.1,0.0,0.0,0.0,0.0
12,10013,0.8,0.0,4.5,0.0,17.3,0.0,0.0,11.0,0.0,3.3,0.0,7.8,0.0,0.0
