ID,VervoerEnOpslagSBI93,TotaalEnergieverbruik_1,Aardgas_2,Elektriciteit_3,OverigeEnergiedragers_4,TotaalEnergiekosten_5,Aardgas_6,Elektriciteit_7,OverigeEnergiedragers_8
0,10015,13585,239.5,1515.0,567,131.9,33.6,94.9,3.4
1,10004,3726,65.3,447.3,64,43.0,12.5,30.1,0.4
2,10001,1024,17.0,135.4,0,11.8,3.0,8.8,0.0
3,10002,2418,48.3,232.9,64,26.9,9.4,17.1,0.4
4,10003,284,0.0,79.0,0,4.3,0.0,4.3,0.0
5,10007,13,0.0,3.5,0,0.3,0.0,0.3,0.0
6,10009,1220,20.2,161.2,0,12.9,2.7,10.3,0.0
7,10014,8626,154.0,903.0,503,75.6,18.4,54.2,3.0
8,10010,6062,114.7,634.7,146,50.4,12.4,37.1,0.9
9,10011,1276,18.1,173.3,82,12.1,1.8,9.8,0.5
10,10012,375,5.1,29.2,109,3.9,1.0,2.3,0.6
11,10013,913,16.1,65.8,166,9.3,3.2,5.1,1.0
