ID,CentraleDecentraleProductie,Energiedragers,Perioden,TotaalElektriciteitEnWarmteTJ_1,ElektriciteitMWh_2,ElektriciteitTJ_3,Elektriciteit_4,WarmteTJ_5,InzetTJ_6
0,E007022,T001027,1998JJ00,543666.0,92006273.0,331223.0,100.0,212443.0,917304.0
1,E007022,T001027,1999JJ00,523993.0,87617304.0,315422.0,100.0,208570.0,873424.0
2,E007022,T001027,2000JJ00,544265.0,90180577.0,324650.0,100.0,219615.0,898064.0
3,E007022,T001027,2001JJ00,552063.0,94072426.0,338661.0,100.0,213402.0,941190.0
4,E007022,T001027,2002JJ00,555856.0,95082892.0,342298.0,100.0,213558.0,946736.0
5,E007022,T001027,2003JJ00,566507.0,98140305.0,353305.0,100.0,213202.0,969785.0
6,E007022,T001027,2004JJ00,583869.0,102144798.0,367721.0,100.0,216147.0,988034.0
7,E007022,T001027,2005JJ00,583571.0,100768710.0,362767.0,100.0,220804.0,983898.0
8,E007022,T001027,2006JJ00,576359.0,98834621.0,355805.0,100.0,220554.0,951468.0
9,E007022,T001027,2007JJ00,602092.0,105164161.0,378591.0,100.0,223501.0,991362.0
10,E007022,T001027,2008JJ00,632654.0,108202778.0,389530.0,100.0,243124.0,1027510.0
11,E007022,T001027,2009JJ00,625170.0,113502778.0,408610.0,100.0,216560.0,1031680.0
12,E007022,T001027,2010JJ00,656960.0,118138889.0,425300.0,100.0,231660.0,1076100.0
13,E007022,T001027,2011JJ00,631248.0,112965935.0,406677.0,100.0,224571.0,1006840.0
14,E007022,T001027,2012JJ00,594340.0,102505526.0,369020.0,100.0,225320.0,952860.0
15,E007022,T001027,2013JJ00,582832.0,100875336.0,363151.0,100.0,219681.0,927909.0
16,E007022,T001027,2014JJ00,570396.0,103417851.0,372304.0,100.0,198092.0,931573.0
17,E007022,T001027,2015JJ00,583961.0,110213427.0,396768.0,100.0,187193.0,965161.0
18,E007022,T001027,2016JJ00,593377.0,115158408.0,414570.0,100.0,178807.0,964518.0
19,E007022,T001027,2017JJ00,602765.0,117167739.0,421804.0,100.0,180961.0,944761.0
20,E007022,T001027,2018JJ00,582633.0,114379713.0,411767.0,100.0,170866.0,890064.0
21,E007022,T001027,2019JJ00,611909.0,121408002.0,437069.0,100.0,174840.0,905719.0
22,E007022,T001027,2020JJ00,615363.0,123278130.0,443801.0,100.0,171561.0,860412.0
23,E007022,T001027,2021JJ00,613255.0,122170454.0,439814.0,100.0,173441.0,837171.0
24,E007022,T001027,2022JJ00,592636.0,121574890.0,437670.0,100.0,154966.0,764547.0
25,E007022,T001027,2023JJ00,582801.0,121640674.0,437906.0,100.0,144895.0,669029.0
26,E007022,T001027,2024JJ00,590252.0,123843943.0,445838.0,100.0,144414.0,627807.0
27,E007022,E006620,1998JJ00,496956.0,83223769.0,299606.0,90.5,197350.0,808181.0
28,E007022,E006620,1999JJ00,477460.0,78689095.0,283281.0,89.8,194179.0,765969.0
29,E007022,E006620,2000JJ00,494081.0,80780211.0,290809.0,89.6,203272.0,786908.0
30,E007022,E006620,2001JJ00,501374.0,84366666.0,303720.0,89.7,197654.0,828052.0
31,E007022,E006620,2002JJ00,503614.0,84806891.0,305305.0,89.2,198310.0,830163.0
32,E007022,E006620,2003JJ00,512150.0,87285111.0,314226.0,88.9,197924.0,851862.0
33,E007022,E006620,2004JJ00,524141.0,90042583.0,324153.0,88.2,199988.0,865394.0
