ID,EnergyCommodities,Periods,Amount_1,ChangeYearOnYear_2,PriceIndex_3,ChangeYearOnYear_4
0,a,1995MM01,304.0,6.4,33.4,3.8
1,a,1995MM02,264.0,-9.9,33.4,4.2
2,a,1995MM03,299.0,12.8,33.0,2.7
3,a,1995KW01,867.0,2.8,33.3,3.6
4,a,1995MM04,236.0,-0.9,34.1,5.8
5,a,1995MM05,218.0,2.9,34.3,5.5
6,a,1995MM06,208.0,-0.1,33.9,3.5
7,a,1995KW02,663.0,0.6,34.1,4.9
8,a,1995MM07,193.0,5.8,32.9,-0.3
9,a,1995MM08,200.0,5.4,33.1,0.6
10,a,1995MM09,212.0,-5.2,33.3,2.1
11,a,1995KW03,605.0,1.6,33.1,0.8
12,a,1995MM10,235.0,-5.3,31.9,-2.7
13,a,1995MM11,257.0,3.5,32.1,-2.5
14,a,1995MM12,339.0,18.9,32.7,-0.2
15,a,1995KW04,831.0,6.3,32.3,-1.8
16,a,1995JJ00,2965.0,2.9,33.2,1.8
17,a,1996MM01,341.0,12.0,33.2,-0.6
18,a,1996MM02,327.0,24.1,33.1,-0.9
19,a,1996MM03,300.0,0.3,34.0,3.2
20,a,1996KW01,968.0,11.6,33.4,0.6
21,a,1996MM04,234.0,-1.1,35.7,4.6
22,a,1996MM05,235.0,7.8,35.2,2.4
23,a,1996MM06,201.0,-3.5,34.8,2.9
24,a,1996KW02,670.0,1.0,35.2,3.3
25,a,1996MM07,201.0,3.9,36.1,9.5
26,a,1996MM08,199.0,-0.4,36.3,9.6
27,a,1996MM09,215.0,1.8,37.1,11.4
28,a,1996KW03,616.0,1.7,36.5,10.2
29,a,1996MM10,242.0,3.0,37.9,18.8
30,a,1996MM11,279.0,8.5,37.4,16.3
31,a,1996MM12,329.0,-2.7,38.0,16.2
32,a,1996KW04,850.0,2.4,37.8,17.1
33,a,1996JJ00,3104.0,4.7,35.7,7.7
34,a,1997MM01,357.0,4.6,39.2,18.3
35,a,1997MM02,267.0,-18.3,38.6,16.5
36,a,1997MM03,262.0,-12.8,37.9,11.3
37,a,1997KW01,886.0,-8.5,38.6,15.3
38,a,1997MM04,256.0,9.6,37.7,5.8
39,a,1997MM05,224.0,-4.9,38.4,9.1
40,a,1997MM06,209.0,4.2,38.1,9.3
41,a,1997KW02,689.0,2.9,38.1,8.0
42,a,1997MM07,203.0,1.0,37.8,4.8
