ID,SectorenEnBedrijfstypen,Perioden,Aardgas_1,OverigeFossieleBrandstofVoorWarmte_2,AanvoerWarmteVanBuitenDeLandbouw_3,Elektriciteit_4,BrandstoffenVoorTractoren_5,Aardgas_6,OverigeFossieleBrandstofVoorWarmte_7,AanvoerWarmteVanBuitenDeLandbouw_8,Elektriciteit_9,BrandstoffenVoorTractoren_10
0,totaal      ,1990JJ00,129.1,3.4,1.9,8.6,14.9,4077.0,106.0,60.0,2379.0,348.0
1,totaal      ,1991JJ00,146.6,3.7,2.6,9.7,14.4,4632.0,117.0,83.0,2708.0,337.0
2,totaal      ,1992JJ00,143.1,3.4,3.7,10.0,14.2,4522.0,107.0,118.0,2767.0,333.0
3,totaal      ,1993JJ00,150.0,3.4,5.3,10.0,14.2,4739.0,109.0,167.0,2768.0,332.0
4,totaal      ,1994JJ00,139.7,3.5,6.7,10.7,14.3,4415.0,110.0,213.0,2981.0,334.0
5,totaal      ,1995JJ00,139.6,3.3,8.4,10.5,15.1,4411.0,104.0,265.0,2914.0,353.0
6,totaal      ,1996JJ00,154.9,3.3,12.1,11.1,14.0,4895.0,104.0,381.0,3089.0,328.0
7,totaal      ,1997JJ00,131.5,2.0,14.7,11.5,13.9,4154.0,62.0,464.0,3186.0,327.0
8,totaal      ,1998JJ00,130.2,2.1,16.2,11.7,13.9,4114.0,65.0,511.0,3258.0,325.0
9,totaal      ,1999JJ00,125.3,1.7,15.5,12.6,15.0,3960.0,52.0,490.0,3508.0,352.0
10,totaal      ,2000JJ00,127.8,1.9,14.9,12.0,15.2,4039.0,60.0,469.0,3344.0,356.0
11,totaal      ,2001JJ00,124.4,2.0,14.1,12.3,15.0,3931.0,64.0,444.0,3424.0,352.0
12,totaal      ,2002JJ00,116.1,1.9,12.4,12.2,14.4,3669.0,59.0,393.0,3376.0,338.0
13,totaal      ,2003JJ00,117.7,1.7,10.9,12.4,14.5,3718.0,52.0,344.0,3458.0,339.0
14,totaal      ,2004JJ00,121.4,1.8,9.3,13.1,13.9,3837.0,56.0,294.0,3635.0,325.0
15,totaal      ,2005JJ00,121.1,1.7,9.3,11.8,14.6,3827.0,52.0,293.0,3269.0,342.0
16,totaal      ,2006JJ00,110.4,1.7,8.5,5.7,14.3,3487.0,53.0,268.0,1595.0,335.0
17,totaal      ,2007JJ00,118.3,1.7,7.3,0.3,14.3,3739.0,52.0,231.0,70.0,335.0
18,totaal      ,2008JJ00,131.4,1.6,6.2,-10.0,14.2,4151.0,51.0,197.0,-2789.0,333.0
19,totaal      ,2009JJ00,131.0,1.5,5.5,-6.7,14.2,4140.0,48.0,175.0,-1855.0,332.0
20,totaal      ,2010JJ00,149.3,1.7,5.5,-14.6,14.6,4716.0,54.0,173.0,-4061.0,342.0
21,totaal      ,2011JJ00,136.0,1.3,4.8,-13.8,15.0,4297.0,42.0,153.0,-3820.0,351.0
22,totaal      ,2012JJ00,127.3,1.3,4.5,-9.3,14.6,4021.0,41.0,142.0,-2587.0,343.0
23,totaal      ,2013JJ00,125.6,1.4,4.2,-7.8,14.7,3970.0,43.0,132.0,-2177.0,345.0
24,totglas     ,1990JJ00,119.6,0.3,1.9,2.3,0.1,3778.0,9.0,60.0,625.0,3.0
25,totglas     ,1991JJ00,136.2,0.3,2.6,3.1,0.2,4304.0,10.0,83.0,872.0,5.0
