ID,Prijscomponenten,Belastingen,Perioden,MinderDan20GJ_1,k_20Tot200GJ_2,k_1Tot10TJ_3,k_10Tot100TJ_4,k_100Tot1000TJ_5,k_1000TJEnMeer_6,MinderDan1MWh_7,k_1Tot25MWh_8,k_25Tot5MWh_9,k_5Tot15MWh_10,k_20Tot500MWh_11,k_500Tot2000MWh_12,k_2000Tot20000MWh_13,k_20000Tot70000MWh_14,k_70000Tot150000MWh_15,k_150000MWhEnMeer_16
0,A047656,A047659,2007KW01,28.278,19.661,17.076,13.073,9.765,8.045,-0.009,0.14,0.177,0.194,0.162,0.126,0.107,0.099,0.09,0.075
1,A047656,A047659,2007KW02,37.89,21.619,18.567,12.301,9.306,7.679,-0.022,0.135,0.175,0.193,0.151,0.12,0.105,0.097,0.084,0.074
2,A047656,A047659,2007KW03,39.019,22.065,18.699,12.179,9.466,7.836,-0.028,0.134,0.174,0.193,0.148,0.12,0.104,0.094,0.084,0.073
3,A047656,A047659,2007KW04,27.108,18.981,16.095,11.456,9.358,8.369,-0.01,0.138,0.174,0.191,0.144,0.122,0.104,0.093,0.084,0.076
4,A047656,A047659,2007JJ00,30.351,19.873,17.067,12.178,9.45,8.046,-0.017,0.137,0.175,0.193,0.152,0.122,0.105,0.096,0.086,0.075
5,A047656,A047659,2008KW01,25.589,18.739,14.159,12.603,10.021,8.344,-0.032,0.135,0.176,0.19,0.153,0.127,0.107,0.1,0.096,0.085
6,A047656,A047659,2008KW02,37.274,21.22,16.444,12.1,10.019,8.847,-0.048,0.133,0.178,0.194,0.144,0.123,0.108,0.101,0.093,0.081
7,A047656,A047659,2008KW03,46.688,24.622,18.785,12.711,10.734,10.174,-0.063,0.13,0.176,0.195,0.144,0.125,0.11,0.101,0.093,0.085
8,A047656,A047659,2008KW04,27.453,20.292,16.566,12.173,10.952,10.848,0.004,0.147,0.183,0.198,0.142,0.122,0.108,0.1,0.093,0.085
9,A047656,A047659,2008JJ00,29.835,20.195,15.766,12.353,10.382,9.541,-0.033,0.137,0.178,0.194,0.146,0.124,0.108,0.1,0.094,0.084
10,A047656,A047659,2009KW01,26.133,21.44,18.56,13.794,11.486,9.005,-0.069,0.154,0.202,0.218,0.211,0.136,0.119,0.114,0.111,0.081
11,A047656,A047659,2009KW02,47.46,27.182,19.595,11.935,9.611,6.799,-0.147,0.133,0.193,0.213,0.164,0.128,0.117,0.103,0.097,0.079
12,A047656,A047659,2009KW03,64.847,28.658,20.628,12.78,10.096,6.963,-0.163,0.124,0.186,0.207,0.149,0.128,0.117,0.099,0.096,0.073
13,A047656,A047659,2009KW04,23.267,17.046,16.329,11.133,9.086,7.05,-0.081,0.146,0.194,0.211,0.145,0.125,0.115,0.1,0.092,0.072
14,A047656,A047659,2009JJ00,29.72,20.897,18.308,12.359,9.982,7.274,-0.11,0.141,0.194,0.213,0.167,0.129,0.117,0.104,0.099,0.076
15,A047656,A047659,2010KW01,23.151,17.856,15.037,11.563,8.562,6.259,-0.108,0.13,0.181,0.199,0.195,0.125,0.106,0.095,0.091,0.075
16,A047656,A047659,2010KW02,39.398,22.494,16.61,10.292,8.341,6.74,-0.186,0.108,0.171,0.193,0.154,0.116,0.106,0.085,0.084,0.075
17,A047656,A047659,2010KW03,63.407,28.81,18.765,11.172,8.866,7.655,-0.174,0.113,0.173,0.194,0.135,0.117,0.107,0.085,0.087,0.077
18,A047656,A047659,2010KW04,24.439,18.474,16.034,9.887,8.477,7.146,-0.096,0.135,0.183,0.199,0.133,0.114,0.105,0.085,0.086,0.076
19,A047656,A047659,2010JJ00,28.253,19.368,16.055,10.717,8.494,6.836,-0.137,0.123,0.178,0.197,0.154,0.118,0.106,0.088,0.087,0.075
