ID,Energieverbruikers,Perioden,Energie_1,SteenkoolEnBruinkool_2,Steenkoolcokes_3,Cokesovengas_4,Hoogovengas_5,OverigeSteenkoolderivaten_6,RuweAardolie_7,Aardgascondensaat_8,OverigeAardoliegrondstoffen_9,Lpg_10,Nafta_11,Benzine_12,Kerosine_13,GasolieEnLichteStookolie_14,Autodiesel_15,Stookolie_16,Restgas_17,Smeermiddelen_18,Bitumen_19,OverigeOlieproducten_20,Aardgas_21,HernieuwbareEnergie_22,Elektriciteit_23,StoomEnOfWarmWater_24,AnderePrimaireEnergiebronnen_25,OmzettingVerliezen_26
0,999931,1990JJ00,2940.0,33.0,44.0,10.0,8.0,,,,,130.0,93.0,157.0,85.0,101.0,190.0,61.0,149.0,5.0,20.0,71.0,916.0,11.0,287.0,172.0,4.0,395.0
1,999931,1991JJ00,3054.0,29.0,39.0,10.0,6.0,,,,,127.0,81.0,165.0,90.0,101.0,198.0,63.0,136.0,7.0,17.0,73.0,1022.0,13.0,289.0,174.0,4.0,410.0
2,999931,1992JJ00,3056.0,26.0,35.0,10.0,8.0,,,,,118.0,115.0,170.0,100.0,103.0,212.0,64.0,125.0,8.0,17.0,61.0,959.0,13.0,298.0,186.0,4.0,426.0
3,999931,1993JJ00,3118.0,28.0,38.0,11.0,10.0,,,,,105.0,88.0,181.0,110.0,105.0,214.0,66.0,136.0,7.0,17.0,73.0,1002.0,13.0,301.0,187.0,4.0,422.0
4,999931,1994JJ00,3123.0,21.0,46.0,11.0,9.0,,,,,89.0,97.0,188.0,115.0,107.0,217.0,68.0,132.0,7.0,18.0,93.0,953.0,12.0,311.0,200.0,4.0,425.0
5,999931,1995JJ00,3229.0,18.0,46.0,11.0,10.0,6.0,,,0.0,91.0,120.0,201.0,124.0,102.0,228.0,67.0,130.0,8.0,17.0,70.0,1006.0,15.0,318.0,205.0,4.0,434.0
6,999931,1996JJ00,3382.0,21.0,43.0,10.0,10.0,7.0,,,1.0,83.0,108.0,209.0,138.0,104.0,244.0,68.0,131.0,7.0,15.0,66.0,1113.0,15.0,330.0,221.0,4.0,433.0
7,999931,1997JJ00,3299.0,26.0,43.0,11.0,9.0,6.0,,,,97.0,98.0,201.0,149.0,104.0,255.0,58.0,120.0,7.0,14.0,83.0,993.0,15.0,343.0,220.0,4.0,442.0
8,999931,1998JJ00,3327.0,25.0,39.0,9.0,9.0,6.0,,,0.0,99.0,100.0,199.0,157.0,106.0,252.0,62.0,114.0,7.0,12.0,80.0,980.0,15.0,356.0,230.0,5.0,464.0
9,999931,1999JJ00,3318.0,25.0,38.0,7.0,8.0,5.0,,,0.0,94.0,115.0,203.0,164.0,104.0,270.0,71.0,119.0,8.0,15.0,86.0,933.0,14.0,364.0,238.0,4.0,433.0
10,999931,2000JJ00,3391.0,22.0,35.0,6.0,9.0,5.0,,,0.0,97.0,131.0,199.0,167.0,102.0,278.0,71.0,122.0,7.0,12.0,96.0,938.0,15.0,375.0,239.0,4.0,459.0
11,999931,2001JJ00,3476.0,25.0,36.0,6.0,9.0,6.0,,,0.0,89.0,147.0,202.0,165.0,102.0,282.0,70.0,129.0,7.0,16.0,91.0,952.0,15.0,383.0,239.0,4.0,500.0
12,999931,2002JJ00,3470.0,25.0,37.0,6.0,10.0,6.0,,,1.0,94.0,144.0,203.0,165.0,98.0,292.0,63.0,142.0,7.0,15.0,85.0,934.0,15.0,388.0,231.0,5.0,506.0
13,999931,2003JJ00,3553.0,26.0,39.0,6.0,10.0,6.0,,,1.0,92.0,179.0,203.0,163.0,102.0,302.0,63.0,154.0,7.0,12.0,94.0,943.0,12.0,394.0,230.0,5.0,511.0
14,999931,2004JJ00,3630.0,27.0,38.0,8.0,11.0,6.0,,,3.0,99.0,173.0,201.0,166.0,97.0,310.0,62.0,158.0,7.0,16.0,105.0,931.0,15.0,411.0,253.0,8.0,526.0
15,999931,2005JJ00,3633.0,29.0,36.0,8.0,11.0,6.0,,,1.0,88.0,212.0,200.0,170.0,102.0,315.0,64.0,151.0,9.0,16.0,139.0,891.0,16.0,410.0,249.0,11.0,499.0
16,999931,2006JJ00,3543.0,25.0,33.0,8.0,11.0,4.0,,,2.0,74.0,150.0,205.0,178.0,99.0,328.0,51.0,167.0,9.0,16.0,164.0,869.0,16.0,416.0,224.0,12.0,482.0
17,999931,2007JJ00,3609.0,30.0,37.0,8.0,11.0,7.0,,103.0,,78.0,219.0,206.0,181.0,100.0,337.0,59.0,183.0,6.0,14.0,46.0,804.0,17.0,424.0,234.0,14.0,487.0
18,999931,2008JJ00,3594.0,25.0,36.0,8.0,12.0,8.0,,109.0,0.0,83.0,168.0,204.0,180.0,106.0,335.0,62.0,165.0,8.0,14.0,50.0,824.0,17.0,429.0,248.0,17.0,487.0
