ID,Perioden,Totaal_1,Binnenland_2,Buitenland_3,Totaal_4,Binnenland_5,Buitenland_6,Bezettingsgraad_7,Totaal_8,Binnenland_9,Buitenland_10,Totaal_11,Binnenland_12,Buitenland_13,ZakelijkeOvernachtingen_14,Bezettingsgraad_15,Totaal_16,Binnenland_17,Buitenland_18,Totaal_19,Binnenland_20,Buitenland_21,Bezettingsgraad_22,Totaal_23,Binnenland_24,Buitenland_25,Totaal_26,Binnenland_27,Buitenland_28,Bezettingsgraad_29,Totaal_30,Binnenland_31,Buitenland_32,Totaal_33,Binnenland_34,Buitenland_35,Bezettingsgraad_36,Totaal_37,Binnenland_38,Buitenland_39,Totaal_40,Binnenland_41,Buitenland_42,Bezettingsgraad_43
0,2012MM01,1764,1117,647,3865,2555,1311,18.3,1299,735,563,2099,1127,972,1040,29.8,465,381,84,1766,1428,338,12.6,11,7,5,48,31,17,0.9,405,328,77,1619,1303,316,22.8,48,46,2,99,94,5,7.3
1,2012MM02,1791,1133,657,3929,2622,1306,20.5,1332,749,583,2174,1167,1007,1040,33.7,458,384,74,1755,1455,299,13.8,11,7,4,45,31,13,0.9,400,331,69,1599,1316,283,24.9,47,46,1,111,108,3,9.1
2,2012MM03,2197,1364,833,4794,3093,1701,18.8,1624,889,735,2691,1391,1300,1320,37.4,573,475,98,2102,1701,401,11.5,42,31,11,143,105,38,1.5,447,364,84,1772,1417,355,24.2,83,80,3,187,179,8,12.9
3,2012MM04,3148,1826,1322,8142,4722,3420,20.1,1943,969,974,3474,1617,1857,1530,49.3,1205,857,348,4668,3105,1563,13.9,312,223,89,1228,857,371,5.1,747,496,251,3082,1918,1164,38.9,147,139,8,358,330,28,23.0
4,2012MM05,3629,2421,1208,10249,7481,2767,24.2,2013,1060,953,3556,1803,1752,1550,48.8,1616,1361,255,6693,5678,1015,19.1,730,616,114,3153,2749,404,12.5,694,564,130,3049,2471,578,37.2,192,181,11,491,458,33,29.1
5,2012MM06,3289,2143,1146,9537,6680,2857,23.3,1934,1032,902,3389,1723,1666,1470,48.1,1356,1111,244,6148,4957,1192,18.1,526,431,95,2853,2398,455,11.7,592,450,142,2743,2034,709,34.7,237,230,8,552,525,27,33.8
6,2012MM07,3522,2225,1297,12667,8874,3793,30.0,1958,1009,949,3690,1821,1869,1180,50.7,1564,1216,348,8977,7052,1924,25.7,790,641,149,4716,3995,721,18.8,658,473,185,3766,2668,1099,46.2,116,102,14,494,389,105,29.3
7,2012MM08,3933,2555,1378,15000,10865,4134,35.6,2090,1106,983,4001,2040,1961,1300,55.1,1843,1448,395,10998,8825,2173,31.5,978,793,185,6065,5213,852,24.2,733,539,193,4415,3210,1205,54.1,132,116,17,519,403,116,30.9
8,2012MM09,3082,1984,1098,8268,5728,2540,20.4,1955,1045,910,3379,1737,1642,1540,48.1,1127,940,187,4889,3992,898,14.6,380,315,66,1815,1540,275,7.5,543,428,115,2590,1991,599,32.8,204,197,7,484,461,23,29.9
9,2012MM10,2910,1827,1083,7394,4792,2602,20.3,1866,1025,842,3150,1656,1493,1450,43.5,1044,803,241,4244,3136,1108,14.6,187,146,41,753,567,185,3.9,730,537,193,3176,2286,890,39.5,127,120,7,315,283,33,20.1
