ID,WoonlandVanGasten,Sterklassen,Perioden,Gasten_1,Overnachtingen_2
0,00018,101,2012MM01,1299.0,2099.0
1,00018,101,2012MM02,1332.0,2174.0
2,00018,101,2012MM03,1624.0,2691.0
3,00018,101,2012KW01,4255.0,6964.0
4,00018,101,2012MM04,1943.0,3474.0
5,00018,101,2012MM05,2013.0,3556.0
6,00018,101,2012MM06,1934.0,3389.0
7,00018,101,2012KW02,5890.0,10419.0
8,00018,101,2012MM07,1958.0,3690.0
9,00018,101,2012MM08,2090.0,4001.0
10,00018,101,2012MM09,1955.0,3379.0
11,00018,101,2012KW03,6003.0,11070.0
12,00018,101,2012MM10,1866.0,3150.0
13,00018,101,2012MM11,1602.0,2591.0
14,00018,101,2012MM12,1397.0,2342.0
15,00018,101,2012KW04,4866.0,8082.0
16,00018,101,2012JJ00,21014.0,36536.0
17,00018,101,2013MM01,1274.0,2091.0
18,00018,101,2013MM02,1311.0,2151.0
19,00018,101,2013MM03,1666.0,2814.0
20,00018,101,2013KW01,4251.0,7055.0
21,00018,101,2013MM04,1878.0,3273.0
22,00018,101,2013MM05,2091.0,3685.0
23,00018,101,2013MM06,2010.0,3472.0
24,00018,101,2013KW02,5980.0,10431.0
25,00018,101,2013MM07,2056.0,3845.0
26,00018,101,2013MM08,2179.0,4166.0
27,00018,101,2013MM09,1970.0,3387.0
28,00018,101,2013KW03,6205.0,11398.0
29,00018,101,2013MM10,1936.0,3309.0
30,00018,101,2013MM11,1672.0,2720.0
31,00018,101,2013MM12,1478.0,2477.0
32,00018,101,2013KW04,5086.0,8506.0
33,00018,101,2013JJ00,21521.0,37390.0
34,00018,101,2014MM01,1376.0,2214.0
35,00018,101,2014MM02,1433.0,2313.0
36,00018,101,2014MM03,1810.0,3005.0
37,00018,101,2014KW01,4618.0,7532.0
38,00018,101,2014MM04,2029.0,3556.0
39,00018,101,2014MM05,2202.0,3831.0
40,00018,101,2014MM06,2136.0,3742.0
41,00018,101,2014KW02,6367.0,11129.0
42,00018,101,2014MM07,2177.0,3985.0
43,00018,101,2014MM08,2337.0,4389.0
44,00018,101,2014MM09,2130.0,3683.0
45,00018,101,2014KW03,6644.0,12057.0
46,00018,101,2014MM10,2100.0,3551.0
47,00018,101,2014MM11,1784.0,2910.0
48,00018,101,2014MM12,1609.0,2685.0
49,00018,101,2014KW04,5493.0,9146.0
50,00018,101,2014JJ00,23122.0,39864.0
51,00018,101,2015MM01,1436.0,2383.0
52,00018,101,2015MM02,1549.0,2553.0
53,00018,101,2015MM03,1777.0,2946.0
54,00018,101,2015KW01,4763.0,7882.0
55,00018,101,2015MM04,2152.0,3773.0
56,00018,101,2015MM05,2299.0,4027.0
57,00018,101,2015MM06,2199.0,3771.0
58,00018,101,2015KW02,6650.0,11571.0
59,00018,101,2015MM07,2335.0,4261.0
60,00018,101,2015MM08,2445.0,4563.0
61,00018,101,2015MM09,2182.0,3736.0
62,00018,101,2015KW03,6961.0,12560.0
63,00018,101,2015MM10,2200.0,3704.0
64,00018,101,2015MM11,1884.0,3035.0
65,00018,101,2015MM12,1718.0,2865.0
66,00018,101,2015KW04,5802.0,9605.0
67,00018,101,2015JJ00,24176.0,41617.0
68,00018,102,2012MM01,122.0,242.0
69,00018,102,2012MM02,120.0,232.0
70,00018,102,2012MM03,154.0,306.0
71,00018,102,2012KW01,396.0,779.0
72,00018,102,2012MM04,202.0,425.0
73,00018,102,2012MM05,207.0,425.0
74,00018,102,2012MM06,213.0,443.0
75,00018,102,2012KW02,622.0,1293.0
76,00018,102,2012MM07,211.0,458.0
77,00018,102,2012MM08,236.0,504.0
78,00018,102,2012MM09,208.0,419.0
79,00018,102,2012KW03,655.0,1382.0
80,00018,102,2012MM10,177.0,356.0
81,00018,102,2012MM11,144.0,267.0
82,00018,102,2012MM12,123.0,243.0
83,00018,102,2012KW04,445.0,866.0
84,00018,102,2012JJ00,2118.0,4320.0
85,00018,102,2013MM01,118.0,240.0
86,00018,102,2013MM02,121.0,229.0
87,00018,102,2013MM03,161.0,318.0
88,00018,102,2013KW01,400.0,786.0
89,00018,102,2013MM04,193.0,396.0
90,00018,102,2013MM05,226.0,451.0
91,00018,102,2013MM06,210.0,432.0
92,00018,102,2013KW02,629.0,1279.0
93,00018,102,2013MM07,226.0,490.0
94,00018,102,2013MM08,238.0,515.0
95,00018,102,2013MM09,199.0,409.0
96,00018,102,2013KW03,664.0,1414.0
97,00018,102,2013MM10,187.0,380.0
98,00018,102,2013MM11,153.0,289.0
99,00018,102,2013MM12,127.0,259.0
100,00018,102,2013KW04,467.0,928.0
101,00018,102,2013JJ00,2160.0,4407.0
102,00018,102,2014MM01,146.0,270.0
103,00018,102,2014MM02,153.0,298.0
104,00018,102,2014MM03,198.0,386.0
105,00018,102,2014KW01,497.0,953.0
106,00018,102,2014MM04,236.0,472.0
107,00018,102,2014MM05,261.0,513.0
108,00018,102,2014MM06,255.0,510.0
109,00018,102,2014KW02,752.0,1495.0
110,00018,102,2014MM07,270.0,552.0
111,00018,102,2014MM08,289.0,592.0
112,00018,102,2014MM09,255.0,511.0
113,00018,102,2014KW03,814.0,1655.0
114,00018,102,2014MM10,247.0,479.0
115,00018,102,2014MM11,197.0,357.0
116,00018,102,2014MM12,190.0,354.0
117,00018,102,2014KW04,635.0,1190.0
118,00018,102,2014JJ00,2697.0,5294.0
119,00018,102,2015MM01,188.0,341.0
120,00018,102,2015MM02,192.0,351.0
121,00018,102,2015MM03,222.0,421.0
122,00018,102,2015KW01,602.0,1112.0
123,00018,102,2015MM04,274.0,544.0
124,00018,102,2015MM05,306.0,608.0
125,00018,102,2015MM06,288.0,566.0
126,00018,102,2015KW02,868.0,1719.0
127,00018,102,2015MM07,314.0,647.0
128,00018,102,2015MM08,319.0,651.0
129,00018,102,2015MM09,280.0,582.0
130,00018,102,2015KW03,913.0,1880.0
131,00018,102,2015MM10,282.0,530.0
132,00018,102,2015MM11,233.0,414.0
133,00018,102,2015MM12,215.0,396.0
134,00018,102,2015KW04,730.0,1340.0
135,00018,102,2015JJ00,3113.0,6052.0
136,00018,103,2012MM01,16.0,34.0
137,00018,103,2012MM02,17.0,35.0
138,00018,103,2012MM03,25.0,53.0
139,00018,103,2012KW01,58.0,122.0
140,00018,103,2012MM04,34.0,67.0
141,00018,103,2012MM05,29.0,61.0
142,00018,103,2012MM06,31.0,61.0
143,00018,103,2012KW02,94.0,189.0
144,00018,103,2012MM07,30.0,63.0
145,00018,103,2012MM08,39.0,78.0
146,00018,103,2012MM09,28.0,56.0
147,00018,103,2012KW03,96.0,197.0
148,00018,103,2012MM10,30.0,54.0
149,00018,103,2012MM11,23.0,42.0
150,00018,103,2012MM12,21.0,38.0
151,00018,103,2012KW04,74.0,134.0
152,00018,103,2012JJ00,322.0,642.0
153,00018,103,2013MM01,15.0,30.0
154,00018,103,2013MM02,21.0,42.0
155,00018,103,2013MM03,24.0,47.0
156,00018,103,2013KW01,59.0,119.0
157,00018,103,2013MM04,26.0,55.0
158,00018,103,2013MM05,31.0,65.0
159,00018,103,2013MM06,29.0,62.0
160,00018,103,2013KW02,86.0,182.0
161,00018,103,2013MM07,32.0,74.0
162,00018,103,2013MM08,46.0,83.0
