ID,Energiedragers,Perioden,EnergieverbruikInDeSectorHuishoudens_1
0,1 ,1975JJ00,467.09
1,1 ,1976JJ00,470.04
2,1 ,1977JJ00,520.13
3,1 ,1978JJ00,550.86
4,1 ,1979JJ00,593.59
5,1 ,1980JJ00,538.43
6,1 ,1981JJ00,530.32
7,1 ,1982JJ00,486.1
8,1 ,1983JJ00,475.42
9,1 ,1984JJ00,466.77
10,1 ,1985JJ00,501.26
11,1 ,1986JJ00,481.6
12,1 ,1987JJ00,477.02
13,1 ,1988JJ00,415.56
14,1 ,1989JJ00,413.97
15,1 ,1990JJ00,435.25
16,1 ,1991JJ00,491.64
17,1 ,1992JJ00,460.81
18,1 ,1993JJ00,482.53
19,1 ,1994JJ00,458.84
20,1 ,1995JJ00,479.62
21,1 ,1996JJ00,550.43
22,1 ,1997JJ00,473.66
23,1 ,1998JJ00,455.41
24,1 ,1999JJ00,437.59
25,1 ,2000JJ00,438.63
26,1 ,2001JJ00,462.87
27,1 ,2002JJ00,451.49
28,1 ,2003JJ00,462.5
29,1 ,2004JJ00,446.37
30,1 ,2005JJ00,433.04
31,1 ,2006JJ00,436.71
32,1 ,2007JJ00,400.05
33,1 ,2008JJ00,443.35
34,1 ,2009JJ00,443.38
35,1 ,2010JJ00,503.61
36,1 ,2011JJ00,411.04
37,1 ,2012JJ00,436.08
38,1 ,2013JJ00,458.84
39,1 ,2014JJ00,372.81
40,1 ,2015JJ00,390.78
41,1 ,2016JJ00,402.99
42,2 ,1975JJ00,3.3
43,2 ,1976JJ00,2.2
44,2 ,1977JJ00,2.0
45,2 ,1978JJ00,2.11
46,2 ,1979JJ00,2.0
47,2 ,1980JJ00,1.92
48,2 ,1981JJ00,2.0
49,2 ,1982JJ00,2.0
50,2 ,1983JJ00,2.0
51,2 ,1984JJ00,1.4
52,2 ,1985JJ00,1.4
53,2 ,1986JJ00,1.4
54,2 ,1987JJ00,1.26
55,2 ,1988JJ00,1.0
56,2 ,1989JJ00,0.8
57,2 ,1990JJ00,0.65
58,2 ,1991JJ00,0.51
59,2 ,1992JJ00,0.47
60,2 ,1993JJ00,0.42
61,2 ,1994JJ00,0.31
62,2 ,1995JJ00,0.23
63,2 ,1996JJ00,0.24
64,2 ,1997JJ00,0.2
65,2 ,1998JJ00,0.15
66,2 ,1999JJ00,0.11
67,2 ,2000JJ00,0.08
68,2 ,2001JJ00,0.06
69,2 ,2002JJ00,0.05
70,2 ,2003JJ00,0.04
71,2 ,2004JJ00,0.03
72,2 ,2005JJ00,0.02
73,2 ,2006JJ00,0.01
74,2 ,2007JJ00,0.01
75,2 ,2008JJ00,0.01
76,2 ,2009JJ00,0.01
77,2 ,2010JJ00,0.01
78,2 ,2011JJ00,0.01
79,2 ,2012JJ00,0.01
80,2 ,2013JJ00,0.01
81,2 ,2014JJ00,0.03
82,2 ,2015JJ00,0.02
83,2 ,2016JJ00,0.05
84,3 ,1975JJ00,63.6
85,3 ,1976JJ00,69.81
86,3 ,1977JJ00,72.59
87,3 ,1978JJ00,64.95
88,3 ,1979JJ00,58.88
89,3 ,1980JJ00,43.86
90,3 ,1981JJ00,45.28
91,3 ,1982JJ00,38.55
92,3 ,1983JJ00,35.24
93,3 ,1984JJ00,21.0
94,3 ,1985JJ00,15.5
95,3 ,1986JJ00,14.9
96,3 ,1987JJ00,13.39
97,3 ,1988JJ00,10.91
98,3 ,1989JJ00,10.57
99,3 ,1990JJ00,10.17
