ID,EnergyCommoditiesTechniques,Periods,ExtractionOfGeothermalHeat_1,ExtractionOfGeothermalCold_2
0,E006594,1990JJ00,,8.0
1,E006594,1991JJ00,,8.0
2,E006594,1992JJ00,,13.0
3,E006594,1993JJ00,,19.0
4,E006594,1994JJ00,33.0,23.0
5,E006594,1995JJ00,38.0,47.0
6,E006594,1996JJ00,47.0,81.0
7,E006594,1997JJ00,73.0,123.0
8,E006594,1998JJ00,115.0,179.0
9,E006594,1999JJ00,151.0,238.0
10,E006594,2000JJ00,200.0,292.0
11,E006594,2001JJ00,244.0,371.0
12,E006594,2002JJ00,310.0,485.0
13,E006594,2003JJ00,389.0,579.0
14,E006594,2004JJ00,539.0,645.0
15,E006594,2005JJ00,736.0,780.0
16,E006594,2006JJ00,973.0,944.0
17,E006594,2007JJ00,1280.0,1011.0
18,E006594,2008JJ00,1748.0,1200.0
19,E006594,2009JJ00,2162.0,1389.0
20,E006594,2010JJ00,2703.0,1660.0
21,E006594,2011JJ00,3026.0,1646.0
22,E006594,2012JJ00,3527.0,1830.0
23,E006594,2013JJ00,4325.0,1909.0
24,E006594,2014JJ00,5075.0,1850.0
25,E006594,2015JJ00,6244.0,1793.0
26,E006594,2016JJ00,6879.0,1998.0
27,E006594,2017JJ00,7303.0,2163.0
28,E006594,2018JJ00,8299.0,2275.0
29,E006594,2019JJ00,10450.0,2026.0
30,E006594,2020JJ00,11477.0,2374.0
31,E006594,2021JJ00,12041.0,2403.0
32,E006594,2022JJ00,12980.0,2491.0
33,E006594,2023JJ00,13653.0,2507.0
34,E006595,1990JJ00,,
35,E006595,1991JJ00,,
36,E006595,1992JJ00,,
37,E006595,1993JJ00,,
38,E006595,1994JJ00,,
39,E006595,1995JJ00,,
40,E006595,1996JJ00,,
41,E006595,1997JJ00,,
42,E006595,1998JJ00,,
43,E006595,1999JJ00,,
44,E006595,2000JJ00,,
45,E006595,2001JJ00,,
46,E006595,2002JJ00,,
47,E006595,2003JJ00,,
48,E006595,2004JJ00,,
49,E006595,2005JJ00,,
50,E006595,2006JJ00,,
51,E006595,2007JJ00,,
52,E006595,2008JJ00,96.0,
53,E006595,2009JJ00,142.0,
54,E006595,2010JJ00,318.0,
55,E006595,2011JJ00,316.0,
56,E006595,2012JJ00,495.0,
57,E006595,2013JJ00,993.0,
58,E006595,2014JJ00,1502.0,
59,E006595,2015JJ00,2448.0,
60,E006595,2016JJ00,2844.0,
61,E006595,2017JJ00,3047.0,
62,E006595,2018JJ00,3731.0,
63,E006595,2019JJ00,5564.0,
64,E006595,2020JJ00,6185.0,
65,E006595,2021JJ00,6327.0,
66,E006595,2022JJ00,6798.0,
67,E006595,2023JJ00,6798.0,
68,E006596,1990JJ00,,8.0
69,E006596,1991JJ00,,8.0
70,E006596,1992JJ00,,13.0
71,E006596,1993JJ00,,19.0
72,E006596,1994JJ00,33.0,23.0
73,E006596,1995JJ00,38.0,47.0
74,E006596,1996JJ00,47.0,81.0
75,E006596,1997JJ00,73.0,123.0
76,E006596,1998JJ00,115.0,179.0
77,E006596,1999JJ00,151.0,238.0
78,E006596,2000JJ00,200.0,292.0
79,E006596,2001JJ00,244.0,371.0
80,E006596,2002JJ00,310.0,485.0
81,E006596,2003JJ00,389.0,579.0
82,E006596,2004JJ00,539.0,645.0
83,E006596,2005JJ00,736.0,780.0
84,E006596,2006JJ00,973.0,944.0
85,E006596,2007JJ00,1280.0,1011.0
86,E006596,2008JJ00,1652.0,1200.0
87,E006596,2009JJ00,2020.0,1389.0
88,E006596,2010JJ00,2385.0,1660.0
89,E006596,2011JJ00,2710.0,1646.0
90,E006596,2012JJ00,3032.0,1830.0
91,E006596,2013JJ00,3332.0,1909.0
92,E006596,2014JJ00,3573.0,1850.0
93,E006596,2015JJ00,3796.0,1793.0
94,E006596,2016JJ00,4036.0,1998.0
95,E006596,2017JJ00,4257.0,2163.0
96,E006596,2018JJ00,4568.0,2275.0
97,E006596,2019JJ00,4886.0,2026.0
98,E006596,2020JJ00,5292.0,2374.0
99,E006596,2021JJ00,5714.0,2403.0
100,E006596,2022JJ00,6182.0,2491.0
101,E006596,2023JJ00,6855.0,2507.0
102,E006651,1990JJ00,,
103,E006651,1991JJ00,,
104,E006651,1992JJ00,,
105,E006651,1993JJ00,,
106,E006651,1994JJ00,33.0,
107,E006651,1995JJ00,38.0,
108,E006651,1996JJ00,47.0,
109,E006651,1997JJ00,73.0,
110,E006651,1998JJ00,115.0,
111,E006651,1999JJ00,151.0,
112,E006651,2000JJ00,200.0,
113,E006651,2001JJ00,244.0,
114,E006651,2002JJ00,310.0,
115,E006651,2003JJ00,389.0,
116,E006651,2004JJ00,539.0,
117,E006651,2005JJ00,736.0,
118,E006651,2006JJ00,973.0,
119,E006651,2007JJ00,1280.0,
120,E006651,2008JJ00,1652.0,
121,E006651,2009JJ00,2020.0,
122,E006651,2010JJ00,2385.0,
123,E006651,2011JJ00,2710.0,
124,E006651,2012JJ00,3032.0,
125,E006651,2013JJ00,3332.0,
126,E006651,2014JJ00,3573.0,
127,E006651,2015JJ00,3796.0,
128,E006651,2016JJ00,4036.0,
129,E006651,2017JJ00,4257.0,
130,E006651,2018JJ00,4568.0,
131,E006651,2019JJ00,4886.0,
132,E006651,2020JJ00,5292.0,
133,E006651,2021JJ00,5714.0,
134,E006651,2022JJ00,6182.0,
135,E006651,2023JJ00,6855.0,
136,E006597,1990JJ00,,
137,E006597,1991JJ00,,
138,E006597,1992JJ00,,
139,E006597,1993JJ00,,
140,E006597,1994JJ00,28.0,
141,E006597,1995JJ00,31.0,
142,E006597,1996JJ00,36.0,
143,E006597,1997JJ00,56.0,
144,E006597,1998JJ00,90.0,
145,E006597,1999JJ00,117.0,
146,E006597,2000JJ00,156.0,
147,E006597,2001JJ00,187.0,
148,E006597,2002JJ00,244.0,
149,E006597,2003JJ00,311.0,
150,E006597,2004JJ00,452.0,
151,E006597,2005JJ00,628.0,
152,E006597,2006JJ00,840.0,
153,E006597,2007JJ00,1141.0,
154,E006597,2008JJ00,1488.0,
155,E006597,2009JJ00,1841.0,
156,E006597,2010JJ00,2183.0,
157,E006597,2011JJ00,2538.0,
158,E006597,2012JJ00,2852.0,
159,E006597,2013JJ00,3147.0,
160,E006597,2014JJ00,3404.0,
161,E006597,2015JJ00,3634.0,
162,E006597,2016JJ00,3855.0,
163,E006597,2017JJ00,4081.0,
164,E006597,2018JJ00,4383.0,
165,E006597,2019JJ00,4715.0,
166,E006597,2020JJ00,5098.0,
167,E006597,2021JJ00,5520.0,
168,E006597,2022JJ00,5984.0,
169,E006597,2023JJ00,6657.0,
170,E006654,1990JJ00,1.0,
171,E006654,1991JJ00,1.0,
172,E006654,1992JJ00,2.0,
173,E006654,1993JJ00,4.0,
174,E006654,1994JJ00,5.0,
175,E006654,1995JJ00,7.0,
176,E006654,1996JJ00,11.0,
177,E006654,1997JJ00,17.0,
178,E006654,1998JJ00,25.0,
179,E006654,1999JJ00,35.0,
180,E006654,2000JJ00,44.0,
181,E006654,2001JJ00,56.0,
182,E006654,2002JJ00,66.0,
183,E006654,2003JJ00,78.0,
184,E006654,2004JJ00,87.0,
185,E006654,2005JJ00,108.0,
186,E006654,2006JJ00,133.0,
187,E006654,2007JJ00,139.0,
188,E006654,2008JJ00,164.0,
189,E006654,2009JJ00,179.0,
190,E006654,2010JJ00,202.0,
191,E006654,2011JJ00,172.0,
192,E006654,2012JJ00,180.0,
193,E006654,2013JJ00,185.0,
194,E006654,2014JJ00,169.0,
195,E006654,2015JJ00,162.0,
196,E006654,2016JJ00,180.0,
197,E006654,2017JJ00,176.0,
198,E006654,2018JJ00,185.0,
199,E006654,2019JJ00,171.0,
200,E006654,2020JJ00,193.0,
201,E006654,2021JJ00,194.0,
202,E006654,2022JJ00,198.0,
203,E006654,2023JJ00,198.0,
204,E006598,1990JJ00,,8.0
205,E006598,1991JJ00,,8.0
206,E006598,1992JJ00,,13.0
207,E006598,1993JJ00,,19.0
208,E006598,1994JJ00,,23.0
209,E006598,1995JJ00,,47.0
210,E006598,1996JJ00,,81.0
211,E006598,1997JJ00,,123.0
212,E006598,1998JJ00,,179.0
213,E006598,1999JJ00,,238.0
214,E006598,2000JJ00,,292.0
215,E006598,2001JJ00,,371.0
216,E006598,2002JJ00,,485.0
217,E006598,2003JJ00,,579.0
218,E006598,2004JJ00,,645.0
219,E006598,2005JJ00,,780.0
220,E006598,2006JJ00,,944.0
221,E006598,2007JJ00,,1011.0
222,E006598,2008JJ00,,1200.0
223,E006598,2009JJ00,,1389.0
224,E006598,2010JJ00,,1660.0
225,E006598,2011JJ00,,1646.0
226,E006598,2012JJ00,,1830.0
227,E006598,2013JJ00,,1909.0
228,E006598,2014JJ00,,1850.0
229,E006598,2015JJ00,,1793.0
230,E006598,2016JJ00,,1998.0
231,E006598,2017JJ00,,2163.0
232,E006598,2018JJ00,,2275.0
233,E006598,2019JJ00,,2026.0
234,E006598,2020JJ00,,2374.0
235,E006598,2021JJ00,,2403.0
236,E006598,2022JJ00,,2491.0
237,E006598,2023JJ00,,2507.0
