ID,Perioden,Beginstand_1,NieuweVondsten_2,Herevaluatie_3,Onttrekking_4,SaldoOpslag_5,OverigeMutaties_6,Eindstand_7,Beginstand_8,NieuweVondsten_9,Herevaluatie_10,Onttrekking_11,OverigeMutaties_12,Eindstand_13
0,1987JJ00,1955.0,30.0,0.0,-75.4,,0.36,1910.0,75.0,,,-4.9,3.86,74.0
1,1988JJ00,1910.0,39.0,-5.0,-66.7,,-0.32,1877.0,74.0,,,-4.4,1.41,71.0
2,1989JJ00,1877.0,41.0,19.0,-71.9,,-0.13,1865.0,71.0,,,-3.8,0.83,68.0
3,1990JJ00,1865.0,33.0,287.0,-72.4,,0.44,2113.0,68.0,,,-4.0,-0.01,64.0
4,1991JJ00,2113.0,22.0,33.0,-82.4,,0.41,2086.0,64.0,,,-3.7,3.67,64.0
5,1992JJ00,2086.0,47.0,11.0,-83.0,,-0.02,2061.0,64.0,,,-3.2,0.21,61.0
6,1993JJ00,2061.0,19.0,14.0,-84.0,,0.01,2010.0,61.0,,,-3.0,0.01,58.0
7,1994JJ00,2010.0,46.0,19.0,-78.4,,0.4,1997.0,58.0,,,-4.0,2.02,56.0
8,1995JJ00,1997.0,15.0,18.0,-78.3,0.0,0.35,1952.0,56.0,,,-3.2,-2.79,50.0
9,1996JJ00,1952.0,40.0,28.0,-89.6,0.0,-0.35,1930.0,50.0,,,-2.6,7.65,55.0
10,1997JJ00,1930.0,41.0,54.0,-81.8,3.8,0.04,1947.0,55.0,,,-2.5,-15.53,37.0
11,1998JJ00,1947.0,32.0,-12.0,-79.9,6.06,-0.15,1893.0,37.0,,,-2.0,-0.97,34.0
12,1999JJ00,1893.0,22.0,-9.0,-72.0,2.07,-0.04,1836.0,34.0,,,-1.9,-0.11,32.0
13,2000JJ00,1836.0,25.0,-17.0,-67.8,0.74,0.05,1777.0,32.0,,,-1.7,-0.29,30.0
14,2001JJ00,1777.0,39.0,-5.0,-72.3,-0.59,-0.14,1738.0,30.0,,,-1.6,-0.37,28.0
15,2002JJ00,1738.0,23.4,-0.1,-71.2,0.53,-1.59,1689.0,28.0,,,-2.7,0.68,26.0
16,2003JJ00,1689.0,13.0,-19.0,-68.8,-0.39,1.16,1615.0,26.0,,19.6,-2.7,-4.86,38.0
17,2004JJ00,1615.0,10.0,25.0,-77.5,-2.3,1.84,1572.0,38.0,,-1.7,-2.5,0.16,34.0
18,2005JJ00,1572.0,15.0,-46.0,-73.1,0.11,42.01,1510.0,34.0,,-5.3,-1.8,9.03,35.9
19,2006JJ00,1510.0,9.0,-9.0,-70.7,0.1,-0.36,1439.0,35.9,,3.7,-1.6,0.06,38.1
20,2007JJ00,1439.0,4.7,14.0,-68.3,-1.24,1.85,1390.0,38.1,,1.0,-2.5,0.0,36.6
21,2008JJ00,1390.0,2.8,52.1,-80.0,1.06,-2.0,1364.0,36.6,,-0.2,-2.1,0.0,34.3
22,2009JJ00,1364.0,3.1,95.2,-73.7,-0.05,1.48,1390.0,34.3,,17.2,-1.6,0.06,50.0
23,2010JJ00,1390.0,5.2,-5.2,-85.9,1.72,-1.82,1304.0,50.0,,-3.1,-1.3,0.06,45.7
24,2011JJ00,1304.0,6.0,-1.9,-78.6,2.41,-1.91,1230.0,45.7,,-4.0,-1.3,-0.03,40.4
25,2012JJ00,1230.0,3.5,-25.0,-78.2,0.86,-1.16,1130.0,40.4,,9.2,-1.3,-0.18,48.1
26,2013JJ00,1130.0,0.2,-2.4,-84.5,0.36,0.32,1044.0,48.1,,0.3,-1.3,0.01,47.1
27,2014JJ00,1044.0,1.7,-46.4,-70.2,1.21,1.58,932.0,47.1,,-10.6,-1.8,0.11,34.8
28,2015JJ00,932.0,0.8,60.5,-52.4,-1.39,0.96,940.0,34.8,,-1.5,-1.7,-0.14,31.5
29,2016JJ00,940.0,1.1,-48.5,-50.6,-2.33,5.82,846.0,31.5,,0.9,-1.1,0.04,31.3
30,2017JJ00,846.0,5.2,-6.5,-44.0,0.13,-1.4,799.0,31.3,,-1.5,-1.1,-0.09,28.6
31,2018JJ00,799.0,,-502.6,-36.9,0.34,-0.45,260.0,28.6,,1.1,-1.1,0.0,28.6
32,2019JJ00,260.0,,-47.5,-31.0,-0.2,0.31,181.0,28.6,,2.5,-0.9,0.1,30.3
33,2020JJ00,181.0,,-12.8,-22.5,0.46,-0.46,146.0,30.3,,0.2,-0.9,0.0,29.6
34,2021JJ00,146.0,,17.7,-20.2,-5.13,5.02,143.0,29.6,,6.2,-0.9,0.0,34.9
35,2022JJ00,143.0,,-23.5,-16.1,5.44,-5.33,104.0,34.9,,-18.1,-0.5,0.0,16.3
36,2023JJ00,104.0,,-14.8,-10.8,1.09,-1.09,78.0,16.3,,-1.6,-0.4,0.0,14.3
37,2024JJ00,78.0,,5.6,-9.0,-1.21,1.1,75.0,14.3,,1.1,-0.4,0.0,15.0
