ID,BronTechniek,Perioden,GenormaliseerdeBrutoProductie_1,BrutoElektriciteitsproductie_2,NettoElektriciteitsproductie_3,GenormaliseerdeBrutoProductie_4,BrutoElektriciteitsproductie_5,NettoElektriciteitsproductie_6,OpgesteldeInstallatiesEindeVanJaar_7,OpgesteldElektrischVermogenEindeJaar_8
0,T001028 ,1990JJ00,809.0,807.0,725.0,1.0,0.99,0.92,,
1,T001028 ,1991JJ00,930.0,935.0,851.0,1.11,1.12,1.05,,
2,T001028 ,1992JJ00,982.0,994.0,898.0,1.14,1.16,1.08,,
3,T001028 ,1993JJ00,1128.0,1107.0,957.0,1.29,1.27,1.14,,
4,T001028 ,1994JJ00,1252.0,1257.0,1093.0,1.39,1.39,1.26,,
5,T001028 ,1995JJ00,1423.0,1404.0,1220.0,1.54,1.52,1.37,,
6,T001028 ,1996JJ00,1841.0,1816.0,1582.0,1.92,1.89,1.71,,
7,T001028 ,1997JJ00,2045.0,2015.0,1732.0,2.06,2.03,1.81,,
8,T001028 ,1998JJ00,2259.0,2328.0,2024.0,2.19,2.26,2.04,,
9,T001028 ,1999JJ00,2530.0,2509.0,2194.0,2.41,2.39,2.16,,
10,T001028 ,2000JJ00,2871.0,2979.0,2657.0,2.64,2.74,2.53,,
11,T001028 ,2001JJ00,3307.0,3309.0,2985.0,2.98,2.98,2.79,,
12,T001028 ,2002JJ00,4062.0,3981.0,3627.0,3.62,3.54,3.34,,
13,T001028 ,2003JJ00,4048.0,3969.0,3642.0,3.56,3.49,3.31,,
14,T001028 ,2004JJ00,5228.0,5314.0,4954.0,4.45,4.52,4.37,,
15,T001028 ,2005JJ00,7448.0,7452.0,7005.0,6.3,6.3,6.15,,
16,T001028 ,2006JJ00,7868.0,8049.0,7579.0,6.54,6.69,6.53,,
17,T001028 ,2007JJ00,7322.0,7584.0,7139.0,5.96,6.18,6.02,,
18,T001028 ,2008JJ00,9214.0,9533.0,8963.0,7.47,7.72,7.53,,
19,T001028 ,2009JJ00,10755.0,10835.0,10187.0,9.07,9.14,8.94,,
20,T001028 ,2010JJ00,11718.0,11196.0,10485.0,9.6,9.17,8.89,,
21,T001028 ,2011JJ00,11985.0,12320.0,11584.0,9.74,10.01,9.75,,
22,T001028 ,2012JJ00,12456.0,12481.0,11742.0,10.34,10.36,10.09,,
23,T001028 ,2013JJ00,11881.0,12106.0,11429.0,9.9,10.09,9.87,,
24,T001028 ,2014JJ00,11733.0,11648.0,10979.0,9.93,9.86,9.67,,
25,T001028 ,2015JJ00,13152.0,13685.0,13009.0,11.04,11.49,11.4,,
26,T001028 ,2016JJ00,15073.0,14777.0,14103.0,12.55,12.31,12.16,,
27,T001028 ,2017JJ00,16673.0,17437.0,16764.0,13.81,14.44,14.33,,
28,T001028 ,2018JJ00,18533.0,18892.0,18242.0,15.18,15.47,15.37,,
29,T001028 ,2019JJ00,22277.0,22796.0,22041.0,18.23,18.65,18.57,,
30,T001028 ,2020JJ00,31924.0,32740.0,31792.0,26.41,27.14,27.12,,
31,T001028 ,2021JJ00,40706.0,40433.0,38888.0,33.25,33.03,32.91,,
32,T001028 ,2022JJ00,46512.0,48093.0,46510.0,39.65,41.0,41.16,,
33,T001028 ,2023JJ00,53840.0,56952.0,55483.0,46.42,49.1,49.46,,
34,T001028 ,2024JJ00,60464.0,62099.0,60675.0,50.54,51.91,52.3,,
35,E006587 ,1990JJ00,85.0,85.0,85.0,0.1,0.1,0.11,5.0,37.0
36,E006587 ,1991JJ00,95.0,104.0,104.0,0.11,0.12,0.13,5.0,37.0
37,E006587 ,1992JJ00,103.0,120.0,120.0,0.12,0.14,0.14,5.0,37.0
38,E006587 ,1993JJ00,100.0,92.0,92.0,0.11,0.11,0.11,5.0,37.0
39,E006587 ,1994JJ00,100.0,100.0,100.0,0.11,0.11,0.11,5.0,37.0
40,E006587 ,1995JJ00,98.0,88.0,88.0,0.11,0.1,0.1,5.0,37.0
41,E006587 ,1996JJ00,96.0,80.0,80.0,0.1,0.08,0.09,5.0,37.0
42,E006587 ,1997JJ00,95.0,92.0,92.0,0.1,0.09,0.1,5.0,37.0
43,E006587 ,1998JJ00,97.0,112.0,112.0,0.09,0.11,0.11,5.0,37.0
44,E006587 ,1999JJ00,96.0,90.0,90.0,0.09,0.09,0.09,5.0,37.0
45,E006587 ,2000JJ00,100.0,142.0,142.0,0.09,0.13,0.14,6.0,37.0
46,E006587 ,2001JJ00,102.0,117.0,117.0,0.09,0.11,0.11,6.0,37.0
47,E006587 ,2002JJ00,103.0,110.0,110.0,0.09,0.1,0.1,6.0,37.0
48,E006587 ,2003JJ00,100.0,72.0,72.0,0.09,0.06,0.07,6.0,37.0
49,E006587 ,2004JJ00,100.0,95.0,95.0,0.09,0.08,0.08,6.0,37.0
50,E006587 ,2005JJ00,100.0,88.0,88.0,0.08,0.07,0.08,6.0,37.0
51,E006587 ,2006JJ00,100.0,106.0,106.0,0.08,0.09,0.09,6.0,37.0
52,E006587 ,2007JJ00,99.0,107.0,107.0,0.08,0.09,0.09,6.0,37.0
53,E006587 ,2008JJ00,100.0,102.0,102.0,0.08,0.08,0.09,6.0,37.0
54,E006587 ,2009JJ00,100.0,98.0,98.0,0.08,0.08,0.09,6.0,37.0
55,E006587 ,2010JJ00,101.0,105.0,105.0,0.08,0.09,0.09,7.0,37.0
56,E006587 ,2011JJ00,100.0,57.0,57.0,0.08,0.05,0.05,7.0,37.0
57,E006587 ,2012JJ00,100.0,104.0,104.0,0.08,0.09,0.09,7.0,37.0
58,E006587 ,2013JJ00,101.0,114.0,114.0,0.08,0.1,0.1,7.0,37.0
59,E006587 ,2014JJ00,102.0,112.0,112.0,0.09,0.09,0.1,7.0,37.0
60,E006587 ,2015JJ00,99.0,93.0,93.0,0.08,0.08,0.08,7.0,37.0
61,E006587 ,2016JJ00,98.0,100.0,100.0,0.08,0.08,0.09,7.0,37.0
62,E006587 ,2017JJ00,94.0,61.0,61.0,0.08,0.05,0.05,7.0,37.0
63,E006587 ,2018JJ00,94.0,72.0,72.0,0.08,0.06,0.06,7.0,37.0
64,E006587 ,2019JJ00,93.0,74.0,74.0,0.08,0.06,0.06,7.0,37.0
65,E006587 ,2020JJ00,90.0,46.0,46.0,0.07,0.04,0.04,7.0,37.0
66,E006587 ,2021JJ00,91.0,88.0,88.0,0.07,0.07,0.08,8.0,38.0
67,E006587 ,2022JJ00,87.0,50.0,50.0,0.07,0.04,0.04,8.0,38.0
68,E006587 ,2023JJ00,84.0,69.0,69.0,0.07,0.06,0.06,8.0,38.0
69,E006587 ,2024JJ00,83.0,85.0,85.0,0.07,0.07,0.07,8.0,38.0
70,E006588 ,1990JJ00,56.0,56.0,56.0,0.07,0.07,0.07,323.0,50.0
71,E006588 ,1991JJ00,88.0,88.0,88.0,0.11,0.11,0.11,429.0,83.0
72,E006588 ,1992JJ00,137.0,147.0,147.0,0.16,0.17,0.18,497.0,101.0
73,E006588 ,1993JJ00,173.0,174.0,174.0,0.2,0.2,0.21,633.0,131.0
74,E006588 ,1994JJ00,221.0,238.0,238.0,0.24,0.26,0.27,724.0,152.0
75,E006588 ,1995JJ00,314.0,317.0,317.0,0.34,0.34,0.36,1008.0,250.0
76,E006588 ,1996JJ00,435.0,437.0,437.0,0.45,0.46,0.47,1115.0,296.0
77,E006588 ,1997JJ00,489.0,475.0,475.0,0.49,0.48,0.5,1148.0,324.0
78,E006588 ,1998JJ00,571.0,640.0,640.0,0.55,0.62,0.64,1193.0,363.0
79,E006588 ,1999JJ00,642.0,645.0,645.0,0.61,0.61,0.63,1253.0,410.0
80,E006588 ,2000JJ00,744.0,829.0,829.0,0.69,0.76,0.79,1291.0,447.0
81,E006588 ,2001JJ00,822.0,825.0,825.0,0.74,0.74,0.77,1342.0,485.0
82,E006588 ,2002JJ00,1020.0,947.0,947.0,0.91,0.84,0.87,1454.0,672.0
83,E006588 ,2003JJ00,1359.0,1320.0,1320.0,1.19,1.16,1.2,1598.0,905.0
84,E006588 ,2004JJ00,1763.0,1871.0,1871.0,1.5,1.59,1.65,1654.0,1075.0
85,E006588 ,2005JJ00,2034.0,2067.0,2067.0,1.72,1.75,1.81,1710.0,1224.0
86,E006588 ,2006JJ00,2540.0,2734.0,2734.0,2.11,2.27,2.35,1830.0,1561.0
87,E006588 ,2007JJ00,3166.0,3438.0,3438.0,2.58,2.8,2.9,1891.0,1749.0
88,E006588 ,2008JJ00,3925.0,4260.0,4260.0,3.18,3.45,3.58,2038.0,2149.0
89,E006588 ,2009JJ00,4481.0,4581.0,4581.0,3.78,3.86,4.02,1972.0,2222.0
90,E006588 ,2010JJ00,4503.0,3993.0,3993.0,3.69,3.27,3.39,1973.0,2237.0
91,E006588 ,2011JJ00,4725.0,5100.0,5100.0,3.84,4.14,4.29,1978.0,2316.0
92,E006588 ,2012JJ00,4939.0,4982.0,4982.0,4.1,4.14,4.28,1978.0,2433.0
93,E006588 ,2013JJ00,5368.0,5627.0,5627.0,4.47,4.69,4.86,2073.0,2713.0
94,E006588 ,2014JJ00,5810.0,5797.0,5797.0,4.92,4.91,5.11,2124.0,2865.0
95,E006588 ,2015JJ00,6917.0,7550.0,7550.0,5.81,6.34,6.61,2171.0,3391.0
96,E006588 ,2016JJ00,8364.0,8170.0,8170.0,6.97,6.8,7.05,2331.0,4257.0
97,E006588 ,2017JJ00,9642.0,10569.0,10569.0,7.98,8.75,9.04,2270.0,4202.0
98,E006588 ,2018JJ00,10030.0,10549.0,10548.0,8.22,8.64,8.89,2318.0,4393.0
99,E006588 ,2019JJ00,10774.0,11508.0,11508.0,8.82,9.42,9.69,2321.0,4484.0
100,E006588 ,2020JJ00,13949.0,15278.0,15278.0,11.54,12.66,13.03,2612.0,6648.0
101,E006588 ,2021JJ00,18998.0,18123.0,17679.0,15.52,14.8,14.96,2770.0,7646.0
102,E006588 ,2022JJ00,21404.0,21566.0,21071.0,18.25,18.38,18.64,2918.0,8700.0
103,E006588 ,2023JJ00,26983.0,29634.0,29035.0,23.26,25.55,25.88,3103.0,10802.0
104,E006588 ,2024JJ00,32201.0,33509.0,32839.0,26.92,28.01,28.31,3187.0,11702.0
105,E006637 ,1990JJ00,56.0,56.0,56.0,0.07,0.07,0.07,323.0,50.0
106,E006637 ,1991JJ00,88.0,88.0,88.0,0.11,0.11,0.11,429.0,83.0
107,E006637 ,1992JJ00,137.0,147.0,147.0,0.16,0.17,0.18,497.0,101.0
108,E006637 ,1993JJ00,173.0,174.0,174.0,0.2,0.2,0.21,633.0,131.0
109,E006637 ,1994JJ00,221.0,238.0,238.0,0.24,0.26,0.27,724.0,152.0
110,E006637 ,1995JJ00,314.0,317.0,317.0,0.34,0.34,0.36,1008.0,250.0
111,E006637 ,1996JJ00,435.0,437.0,437.0,0.45,0.46,0.47,1115.0,296.0
112,E006637 ,1997JJ00,489.0,475.0,475.0,0.49,0.48,0.5,1148.0,324.0
113,E006637 ,1998JJ00,571.0,640.0,640.0,0.55,0.62,0.64,1193.0,363.0
114,E006637 ,1999JJ00,642.0,645.0,645.0,0.61,0.61,0.63,1253.0,410.0
115,E006637 ,2000JJ00,744.0,829.0,829.0,0.69,0.76,0.79,1291.0,447.0
116,E006637 ,2001JJ00,822.0,825.0,825.0,0.74,0.74,0.77,1342.0,485.0
117,E006637 ,2002JJ00,1020.0,947.0,947.0,0.91,0.84,0.87,1454.0,672.0
118,E006637 ,2003JJ00,1359.0,1320.0,1320.0,1.19,1.16,1.2,1598.0,905.0
119,E006637 ,2004JJ00,1763.0,1871.0,1871.0,1.5,1.59,1.65,1654.0,1075.0
120,E006637 ,2005JJ00,2034.0,2067.0,2067.0,1.72,1.75,1.81,1710.0,1224.0
121,E006637 ,2006JJ00,2477.0,2666.0,2666.0,2.06,2.22,2.3,1794.0,1453.0
122,E006637 ,2007JJ00,2862.0,3108.0,3108.0,2.33,2.53,2.62,1855.0,1641.0
123,E006637 ,2008JJ00,3376.0,3664.0,3664.0,2.74,2.97,3.08,1942.0,1921.0
124,E006637 ,2009JJ00,3762.0,3846.0,3846.0,3.17,3.24,3.37,1876.0,1994.0
125,E006637 ,2010JJ00,3737.0,3315.0,3315.0,3.06,2.72,2.81,1877.0,2009.0
126,E006637 ,2011JJ00,3982.0,4298.0,4298.0,3.24,3.49,3.62,1882.0,2088.0
127,E006637 ,2012JJ00,4156.0,4193.0,4193.0,3.45,3.48,3.6,1882.0,2205.0
128,E006637 ,2013JJ00,4632.0,4856.0,4856.0,3.86,4.05,4.19,1977.0,2485.0
129,E006637 ,2014JJ00,5060.0,5049.0,5049.0,4.28,4.27,4.45,2028.0,2637.0
130,E006637 ,2015JJ00,5882.0,6420.0,6420.0,4.94,5.39,5.62,2032.0,3034.0
131,E006637 ,2016JJ00,6041.0,5901.0,5901.0,5.03,4.91,5.09,2042.0,3300.0
132,E006637 ,2017JJ00,6267.0,6869.0,6869.0,5.19,5.69,5.87,1981.0,3245.0
133,E006637 ,2018JJ00,6578.0,6918.0,6918.0,5.39,5.67,5.83,2029.0,3436.0
134,E006637 ,2019JJ00,7429.0,7935.0,7935.0,6.08,6.49,6.68,2032.0,3527.0
135,E006637 ,2020JJ00,8962.0,9794.0,9794.0,7.41,8.12,8.36,2150.0,4188.0
136,E006637 ,2021JJ00,10454.0,10058.0,9813.0,8.54,8.22,8.3,2308.0,5186.0
137,E006637 ,2022JJ00,12957.0,13440.0,13134.0,11.04,11.46,11.62,2446.0,6131.0
138,E006637 ,2023JJ00,15717.0,17842.0,17482.0,13.55,15.38,15.58,2491.0,6692.0
139,E006637 ,2024JJ00,17198.0,18021.0,17657.0,14.38,15.06,15.22,2517.0,6955.0
140,E006638 ,1990JJ00,,,,,,,,
141,E006638 ,1991JJ00,,,,,,,,
142,E006638 ,1992JJ00,,,,,,,,
143,E006638 ,1993JJ00,,,,,,,,
144,E006638 ,1994JJ00,,,,,,,,
145,E006638 ,1995JJ00,,,,,,,,
146,E006638 ,1996JJ00,,,,,,,,
147,E006638 ,1997JJ00,,,,,,,,
148,E006638 ,1998JJ00,,,,,,,,
149,E006638 ,1999JJ00,,,,,,,,
150,E006638 ,2000JJ00,,,,,,,,
151,E006638 ,2001JJ00,,,,,,,,
152,E006638 ,2002JJ00,,,,,,,,
153,E006638 ,2003JJ00,,,,,,,,
154,E006638 ,2004JJ00,,,,,,,,
155,E006638 ,2005JJ00,,,,,,,,
156,E006638 ,2006JJ00,63.0,68.0,68.0,0.05,0.06,0.06,36.0,108.0
157,E006638 ,2007JJ00,303.0,330.0,330.0,0.25,0.27,0.28,36.0,108.0
158,E006638 ,2008JJ00,549.0,596.0,596.0,0.44,0.48,0.5,96.0,228.0
159,E006638 ,2009JJ00,719.0,735.0,735.0,0.61,0.62,0.64,96.0,228.0
160,E006638 ,2010JJ00,765.0,679.0,679.0,0.63,0.56,0.58,96.0,228.0
161,E006638 ,2011JJ00,743.0,802.0,802.0,0.6,0.65,0.67,96.0,228.0
162,E006638 ,2012JJ00,782.0,789.0,789.0,0.65,0.66,0.68,96.0,228.0
163,E006638 ,2013JJ00,736.0,771.0,771.0,0.61,0.64,0.67,96.0,228.0
164,E006638 ,2014JJ00,750.0,748.0,748.0,0.63,0.63,0.66,96.0,228.0
165,E006638 ,2015JJ00,1035.0,1130.0,1130.0,0.87,0.95,0.99,139.0,357.0
166,E006638 ,2016JJ00,2323.0,2269.0,2269.0,1.93,1.89,1.96,289.0,957.0
167,E006638 ,2017JJ00,3375.0,3700.0,3700.0,2.8,3.06,3.16,289.0,957.0
168,E006638 ,2018JJ00,3452.0,3630.0,3630.0,2.83,2.97,3.06,289.0,957.0
169,E006638 ,2019JJ00,3345.0,3573.0,3573.0,2.74,2.92,3.01,289.0,957.0
170,E006638 ,2020JJ00,4987.0,5484.0,5484.0,4.13,4.55,4.68,462.0,2460.0
171,E006638 ,2021JJ00,8544.0,8066.0,7865.0,6.98,6.59,6.66,462.0,2460.0
172,E006638 ,2022JJ00,8447.0,8126.0,7936.0,7.2,6.93,7.02,472.0,2570.0
173,E006638 ,2023JJ00,11267.0,11792.0,11553.0,9.71,10.17,10.3,612.0,4110.0
174,E006638 ,2024JJ00,15003.0,15488.0,15182.0,12.54,12.95,13.09,670.0,4748.0
175,E006590 ,1990JJ00,0.0,0.0,0.0,0.0,0.0,0.0,,1.0
176,E006590 ,1991JJ00,1.0,1.0,1.0,0.0,0.0,0.0,,1.0
177,E006590 ,1992JJ00,1.0,1.0,1.0,0.0,0.0,0.0,,1.0
178,E006590 ,1993JJ00,1.0,1.0,1.0,0.0,0.0,0.0,,2.0
179,E006590 ,1994JJ00,1.0,1.0,1.0,0.0,0.0,0.0,,2.0
180,E006590 ,1995JJ00,2.0,2.0,2.0,0.0,0.0,0.0,,2.0
181,E006590 ,1996JJ00,2.0,2.0,2.0,0.0,0.0,0.0,,3.0
182,E006590 ,1997JJ00,3.0,3.0,3.0,0.0,0.0,0.0,,4.0
183,E006590 ,1998JJ00,4.0,4.0,4.0,0.0,0.0,0.0,,6.0
184,E006590 ,1999JJ00,5.0,5.0,5.0,0.01,0.01,0.01,,9.0
185,E006590 ,2000JJ00,8.0,8.0,8.0,0.01,0.01,0.01,,13.0
186,E006590 ,2001JJ00,12.0,12.0,12.0,0.01,0.01,0.01,,21.0
187,E006590 ,2002JJ00,16.0,16.0,16.0,0.01,0.01,0.02,,26.0
188,E006590 ,2003JJ00,25.0,25.0,25.0,0.02,0.02,0.02,,46.0
189,E006590 ,2004JJ00,34.0,34.0,34.0,0.03,0.03,0.03,,50.0
190,E006590 ,2005JJ00,35.0,35.0,35.0,0.03,0.03,0.03,,51.0
191,E006590 ,2006JJ00,37.0,37.0,37.0,0.03,0.03,0.03,,53.0
192,E006590 ,2007JJ00,38.0,38.0,38.0,0.03,0.03,0.03,,54.0
193,E006590 ,2008JJ00,40.0,40.0,40.0,0.03,0.03,0.03,,59.0
194,E006590 ,2009JJ00,45.0,45.0,45.0,0.04,0.04,0.04,,69.0
195,E006590 ,2010JJ00,56.0,56.0,56.0,0.05,0.05,0.05,,90.0
196,E006590 ,2011JJ00,104.0,104.0,104.0,0.08,0.08,0.09,,149.0
197,E006590 ,2012JJ00,191.0,191.0,191.0,0.16,0.16,0.16,,287.0
198,E006590 ,2013JJ00,410.0,410.0,410.0,0.34,0.34,0.35,,650.0
199,E006590 ,2014JJ00,725.0,725.0,725.0,0.61,0.61,0.64,,1007.0
200,E006590 ,2015JJ00,1109.0,1109.0,1109.0,0.93,0.93,0.97,,1526.0
201,E006590 ,2016JJ00,1602.0,1602.0,1602.0,1.33,1.33,1.38,,2135.0
202,E006590 ,2017JJ00,2208.0,2208.0,2208.0,1.83,1.83,1.89,,2911.0
203,E006590 ,2018JJ00,3709.0,3709.0,3709.0,3.04,3.04,3.13,,4608.0
204,E006590 ,2019JJ00,5399.0,5399.0,5399.0,4.42,4.42,4.55,,7226.0
