ID,Sectors,TypeOfNonFinancialAsset,Periods,OpeningBalanceSheet_1,Revaluation_2,CapitalFormation_3,OtherChangesInVolume_4,StatisticalDiscrepancy_5,ClosingBalanceSheet_6,VolumeIndices2010100_7
0,totaal  ,NFA   ,1995JJ00,,,,,,1317586.0,81.3
1,totaal  ,NFA   ,1996JJ00,1317586.0,99714.0,22854.0,1045.0,1179.0,1442378.0,82.7
2,totaal  ,NFA   ,1997JJ00,1442378.0,107235.0,27520.0,1583.0,-139.0,1578577.0,84.2
3,totaal  ,NFA   ,1998JJ00,1578577.0,97173.0,30248.0,5642.0,2126.0,1713766.0,86.2
4,totaal  ,NFA   ,1999JJ00,1713766.0,155727.0,34390.0,6875.0,-63.0,1910694.0,88.1
5,totaal  ,NFA   ,2000JJ00,1910694.0,258109.0,33063.0,4854.0,-517.0,2206202.0,89.6
6,totaal  ,NFA   ,2001JJ00,2206202.0,206678.0,33176.0,4764.0,-63.0,2450757.0,91.0
7,totaal  ,NFA   ,2002JJ00,2450757.0,87152.0,24593.0,5874.0,-1467.0,2566909.0,92.0
8,totaal  ,NFA   ,2003JJ00,2566909.0,72142.0,21877.0,6078.0,-2484.0,2664522.0,92.9
9,totaal  ,NFA   ,2004JJ00,2664522.0,77106.0,22380.0,5312.0,-843.0,2768477.0,93.8
10,totaal  ,NFA   ,2005JJ00,2768477.0,107145.0,25073.0,2196.0,-2254.0,2900637.0,94.6
11,totaal  ,NFA   ,2006JJ00,2900637.0,150879.0,32050.0,2524.0,3291.0,3089381.0,95.8
12,totaal  ,NFA   ,2007JJ00,3089381.0,107843.0,39812.0,7259.0,-2210.0,3242085.0,97.1
13,totaal  ,NFA   ,2008JJ00,3242085.0,152614.0,41426.0,3685.0,2006.0,3441817.0,98.5
14,totaal  ,NFA   ,2009JJ00,3441817.0,-111074.0,24585.0,16687.0,-9154.0,3362860.0,99.4
15,totaal  ,NFA   ,2010JJ00,3362860.0,-33568.0,21571.0,-3005.0,-1.0,3347858.0,100.0
16,totaal  ,NFA   ,2011JJ00,3347858.0,-13346.0,24509.0,458.0,1008.0,3360487.0,100.8
17,totaal  ,NFA   ,2012JJ00,3360487.0,-91842.0,15317.0,-4656.0,2342.0,3281650.0,101.2
18,totaal  ,NFA   ,2013JJ00,3281650.0,-121217.0,9232.0,-1796.0,-2413.0,3165456.0,101.3
19,totaal  ,NFA   ,2014JJ00,3165455.0,-8393.0,11968.0,-5460.0,-1661.0,3161910.0,101.5
20,totaal  ,NFA   ,2015JJ00,3161910.0,20436.0,24058.0,5034.0,-594.0,3210844.0,102.4
21,totaal  ,NFA   ,2016JJ00,3210844.0,23193.0,26245.0,-62.0,-161.0,3260059.0,103.2
22,totaal  ,AMT   ,1995JJ00,,,,,,1000326.0,75.6
23,totaal  ,AMT   ,1996JJ00,1000326.0,24281.0,20678.0,-242.0,751.0,1045795.0,77.2
24,totaal  ,AMT   ,1997JJ00,1045795.0,17931.0,24539.0,-611.0,974.0,1088629.0,79.0
25,totaal  ,AMT   ,1998JJ00,1088629.0,23563.0,27365.0,-218.0,1287.0,1140625.0,81.0
26,totaal  ,AMT   ,1999JJ00,1140625.0,32043.0,32943.0,471.0,-262.0,1205820.0,83.3
27,totaal  ,AMT   ,2000JJ00,1205820.0,55188.0,32677.0,-215.0,174.0,1293645.0,85.5
28,totaal  ,AMT   ,2001JJ00,1293645.0,62528.0,31519.0,-240.0,-316.0,1387136.0,87.4
29,totaal  ,AMT   ,2002JJ00,1387136.0,63223.0,25318.0,-134.0,-953.0,1474590.0,88.9
30,totaal  ,AMT   ,2003JJ00,1474590.0,49576.0,22328.0,-131.0,-1017.0,1545346.0,90.1
31,totaal  ,AMT   ,2004JJ00,1545346.0,31668.0,21740.0,-174.0,-2119.0,1596461.0,91.2
32,totaal  ,AMT   ,2005JJ00,1596461.0,31955.0,23577.0,-173.0,-2246.0,1649574.0,92.4
33,totaal  ,AMT   ,2006JJ00,1649574.0,48998.0,30855.0,-155.0,-1601.0,1727671.0,94.0
34,totaal  ,AMT   ,2007JJ00,1727671.0,38036.0,37297.0,-182.0,-1825.0,1800997.0,95.9
35,totaal  ,AMT   ,2008JJ00,1800997.0,54435.0,41330.0,-150.0,-3159.0,1893453.0,97.8
36,totaal  ,AMT   ,2009JJ00,1893453.0,47066.0,27115.0,2441.0,-3736.0,1966339.0,99.1
37,totaal  ,AMT   ,2010JJ00,1966339.0,28848.0,17704.0,-194.0,0.0,2012697.0,100.0
38,totaal  ,AMT   ,2011JJ00,2012697.0,-20006.0,23335.0,-160.0,0.0,2015866.0,101.2
39,totaal  ,AMT   ,2012JJ00,2015866.0,-10393.0,14030.0,-159.0,0.0,2019344.0,101.9
40,totaal  ,AMT   ,2013JJ00,2019344.0,-3603.0,7744.0,-189.0,0.0,2023296.0,102.2
41,totaal  ,AMT   ,2014JJ00,2023296.0,-20913.0,9335.0,-186.0,506.0,2012039.0,102.7
42,totaal  ,AMT   ,2015JJ00,2012039.0,-32383.0,20709.0,-205.0,832.0,2000991.0,103.8
43,totaal  ,AMT   ,2016JJ00,2000991.0,2395.0,25660.0,-184.0,-121.0,2028742.0,105.2
44,totaal  ,A01   ,1995JJ00,,,,,,407678.0,72.8
45,totaal  ,A01   ,1996JJ00,407678.0,13947.0,10098.0,48.0,-136.0,431635.0,74.5
46,totaal  ,A01   ,1997JJ00,431635.0,9930.0,11236.0,74.0,-207.0,452667.0,76.4
47,totaal  ,A01   ,1998JJ00,452667.0,12746.0,11584.0,100.0,71.0,477170.0,78.3
48,totaal  ,A01   ,1999JJ00,477170.0,19872.0,12438.0,52.0,191.0,509722.0,80.3
49,totaal  ,A01   ,2000JJ00,509722.0,29722.0,13237.0,133.0,273.0,553087.0,82.4
50,totaal  ,A01   ,2001JJ00,553087.0,34532.0,14596.0,115.0,175.0,602504.0,84.4
51,totaal  ,A01   ,2002JJ00,602504.0,36080.0,13491.0,89.0,-127.0,652037.0,86.2
52,totaal  ,A01   ,2003JJ00,652037.0,30243.0,12505.0,123.0,-62.0,694846.0,87.8
53,totaal  ,A01   ,2004JJ00,694846.0,21258.0,13802.0,50.0,-118.0,729838.0,89.5
54,totaal  ,A01   ,2005JJ00,729838.0,17884.0,15424.0,65.0,-137.0,763074.0,91.3
55,totaal  ,A01   ,2006JJ00,763074.0,27166.0,17561.0,78.0,23.0,807902.0,93.4
56,totaal  ,A01   ,2007JJ00,807902.0,14518.0,19254.0,90.0,-60.0,841704.0,95.6
57,totaal  ,A01   ,2008JJ00,841704.0,23500.0,19462.0,55.0,-224.0,884497.0,97.7
58,totaal  ,A01   ,2009JJ00,884497.0,29421.0,13688.0,77.0,-94.0,927589.0,99.1
59,totaal  ,A01   ,2010JJ00,927589.0,8921.0,8031.0,25.0,0.0,944566.0,100.0
60,totaal  ,A01   ,2011JJ00,944566.0,-27303.0,6347.0,71.0,0.0,923681.0,100.7
61,totaal  ,A01   ,2012JJ00,923681.0,-18762.0,2872.0,58.0,0.0,907849.0,101.0
62,totaal  ,A01   ,2013JJ00,907849.0,-14236.0,-6.0,49.0,0.0,893656.0,101.0
63,totaal  ,A01   ,2014JJ00,893656.0,-25418.0,991.0,73.0,0.0,869302.0,101.2
64,totaal  ,A01   ,2015JJ00,869302.0,-27402.0,4827.0,58.0,0.0,846785.0,101.7
65,totaal  ,A01   ,2016JJ00,846785.0,223.0,9037.0,298.0,85.0,856427.0,102.9
66,totaal  ,A02   ,1995JJ00,,,,,,192992.0,85.6
67,totaal  ,A02   ,1996JJ00,192992.0,7976.0,1185.0,-48.0,-290.0,201815.0,85.9
68,totaal  ,A02   ,1997JJ00,201815.0,4737.0,1569.0,-74.0,-282.0,207766.0,86.4
69,totaal  ,A02   ,1998JJ00,207766.0,4682.0,2324.0,-100.0,-256.0,214415.0,87.2
70,totaal  ,A02   ,1999JJ00,214415.0,6342.0,3529.0,-52.0,-265.0,223969.0,88.5
71,totaal  ,A02   ,2000JJ00,223969.0,11064.0,4586.0,-133.0,-387.0,239098.0,90.0
72,totaal  ,A02   ,2001JJ00,239098.0,13319.0,4929.0,-115.0,-698.0,256533.0,91.5
73,totaal  ,A02   ,2002JJ00,256533.0,12078.0,4900.0,-89.0,-1100.0,272322.0,92.8
74,totaal  ,A02   ,2003JJ00,272322.0,6644.0,4294.0,-123.0,-1179.0,281958.0,93.8
75,totaal  ,A02   ,2004JJ00,281958.0,5126.0,3166.0,-50.0,-1260.0,288940.0,94.4
76,totaal  ,A02   ,2005JJ00,288940.0,7296.0,2925.0,-65.0,-1367.0,297729.0,94.9
77,totaal  ,A02   ,2006JJ00,297729.0,9565.0,3501.0,-78.0,-1461.0,309256.0,95.5
78,totaal  ,A02   ,2007JJ00,309256.0,7974.0,5813.0,-90.0,-1664.0,321289.0,96.7
79,totaal  ,A02   ,2008JJ00,321289.0,11310.0,7336.0,-55.0,-1967.0,337913.0,98.2
80,totaal  ,A02   ,2009JJ00,337913.0,13188.0,6047.0,73.0,-2525.0,354696.0,99.2
81,totaal  ,A02   ,2010JJ00,354696.0,9299.0,2822.0,-25.0,0.0,366792.0,100.0
82,totaal  ,A02   ,2011JJ00,366792.0,-550.0,3149.0,-71.0,0.0,369321.0,100.8
83,totaal  ,A02   ,2012JJ00,369321.0,-1938.0,1215.0,-58.0,0.0,368540.0,101.2
84,totaal  ,A02   ,2013JJ00,368540.0,4937.0,159.0,-49.0,0.0,373587.0,101.2
85,totaal  ,A02   ,2014JJ00,373587.0,910.0,-110.0,-73.0,0.0,374313.0,101.1
86,totaal  ,A02   ,2015JJ00,374313.0,-7580.0,579.0,-58.0,0.0,367254.0,101.3
87,totaal  ,A02   ,2016JJ00,367254.0,-1236.0,919.0,-298.0,-36.0,366604.0,101.4
88,totaal  ,A03   ,1995JJ00,,,,,,169363.0,78.9
89,totaal  ,A03   ,1996JJ00,169363.0,3035.0,2505.0,0.0,-107.0,174796.0,80.0
