ID,Betalingsplichtigen,Perioden,TotaalMilieubelastingenEnHeffingen_1,TotaleOpbrengstMilieubelastingen_2,TotaalBelastingenOpMilieugrondslag_3,Afvalstoffenbelasting_4,Brandstoffenbelasting_5,Energiebelasting_6,Emissierechten_7,LeidingwaterEnGrondwaterbelasting_8,Verpakkingenbelasting_9,Vliegbelasting_10,TotaalBelastingenMBTMobiliteit_11,AccijnsOpBenzineEnOvMineraleOlien_12,BelastPersonenautoSEnMotorrijwielen_13,Motorrijtuigenbelasting_14,Mineralenheffingen_15,TotaleOpbrengstMilieuheffingen_16,AfvalstoffenheffingEnReinigingsrechten_17,GeluidsheffingBurgerluchtvaart_18,GrondwaterheffingEnNazorgheffing_19,RioolheffingEnRioolrechten_20,Waterverontreinigingsheffing_21
0,B000582,1995JJ00,11575.0,9228.0,858.0,110.0,607.0,0.0,0.0,141.0,,,8353.0,4316.0,1813.0,2224.0,17.0,2347.0,990.0,24.0,6.0,457.0,870.0
1,B000582,1996JJ00,12788.0,10344.0,1318.0,91.0,657.0,424.0,0.0,146.0,,,9016.0,4386.0,1892.0,2738.0,10.0,2444.0,1063.0,9.0,6.0,467.0,899.0
2,B000582,1997JJ00,13344.0,10786.0,1694.0,80.0,650.0,815.0,0.0,149.0,,,9076.0,4750.0,2061.0,2265.0,16.0,2558.0,1094.0,6.0,9.0,522.0,927.0
3,B000582,1998JJ00,14330.0,11708.0,1714.0,80.0,659.0,823.0,0.0,152.0,,,9981.0,5056.0,2425.0,2500.0,13.0,2622.0,1111.0,6.0,9.0,565.0,931.0
4,B000582,1999JJ00,15715.0,12991.0,2294.0,99.0,633.0,1408.0,0.0,154.0,,,10682.0,5168.0,2840.0,2674.0,15.0,2724.0,1137.0,7.0,24.0,594.0,962.0
5,B000582,2000JJ00,16823.0,13874.0,2849.0,220.0,612.0,1775.0,0.0,242.0,,,11007.0,5290.0,2875.0,2842.0,18.0,2949.0,1226.0,36.0,34.0,650.0,1003.0
6,B000582,2001JJ00,17409.0,14307.0,3352.0,191.0,607.0,2320.0,0.0,234.0,,,10944.0,5224.0,2939.0,2781.0,11.0,3102.0,1283.0,43.0,40.0,701.0,1035.0
7,B000582,2002JJ00,17544.0,14240.0,2953.0,182.0,516.0,2003.0,0.0,252.0,,,11279.0,5737.0,2741.0,2801.0,8.0,3304.0,1382.0,38.0,59.0,746.0,1079.0
8,B000582,2003JJ00,18352.0,14876.0,3081.0,121.0,538.0,2132.0,0.0,290.0,,,11793.0,5952.0,2874.0,2967.0,2.0,3476.0,1472.0,37.0,33.0,805.0,1129.0
9,B000582,2004JJ00,19536.0,15958.0,3278.0,88.0,54.0,2846.0,0.0,290.0,,,12684.0,6458.0,3003.0,3223.0,-4.0,3578.0,1507.0,33.0,34.0,831.0,1173.0
10,B000582,2005JJ00,20924.0,17164.0,4128.0,124.0,13.0,3709.0,0.0,282.0,,,13035.0,6420.0,3148.0,3467.0,1.0,3760.0,1593.0,48.0,36.0,886.0,1197.0
