ID,Energiedragers,Perioden,TotaalAanbodTPES_1,Winning_2,Invoer_3,Uitvoer_4,NettoInvoer_5,Bunkering_6,Voorraadmutatie_7,StatistischeVerschillen_8,TotaalEnergieverbruik_9,TotaalInzet_10,InzetElektriciteitWKKOmzetting_11,InzetAndereOmzetting_12,TotaalProductie_13,ProductieElektriciteitWKKOmzetting_14,ProductieAndereOmzetting_15,TotaalSaldoEnergieomzetting_16,SaldoElektriciteitWKKOmzetting_17,SaldoAndereOmzetting_18,Totaal_19,ElektriciteitsEnWarmteproductie_20,WinningVanOlieEnGas_21,Cokesfabrieken_22,Hoogovens_23,OlieraffinageInstallaties_24,WaterstofproductieInstallaties_25,OverigeInstallaties_26,VerliezenBijDistributie_27,TotaalFinaalVerbruik_28,Totaal_29,Totaal_30,IJzerEnStaalindustrie_31,ChemieEnFarmaceutischeIndustrie_32,NonFerrometalen_33,Bouwmaterialenindustrie_34,Transportmiddelenindustrie_35,MetaalproductenEnMachineIndustrie_36,DelfstoffenwinningGeenOlieEnGas_37,VoedingsEnGenotmiddelenindustrie_38,PapierEnGrafischeIndustrie_39,Houtindustrie_40,Bouwnijverheid_41,TextielKledingEnLederindustrie_42,OverigeIndustrieEnOnbekend_43,Totaal_44,BinnenlandseLuchtvaart_45,Wegverkeer_46,Railverkeer_47,Pijpleidingen_48,BinnenlandseScheepvaart_49,Onbekend_50,Totaal_51,DienstenAfvalWaterEnReparatie_52,Woningen_53,Landbouw_54,Visserij_55,Onbekend_56,Totaal_57,NijverheidExclusiefDeEnergiesector_58,WaarvanChemieEnPetrochemie_59,Vervoer_60,OverigeAfnemers_61
0,T001027   ,1946JJ00,,,,,151.0,17.0,-16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,T001027   ,1947JJ00,,,,,203.0,34.0,-23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,T001027   ,1948JJ00,,,,,185.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,T001027   ,1949JJ00,,,,,209.0,48.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,T001027   ,1950JJ00,,,,,271.0,61.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,T001027   ,1951JJ00,,,,,326.0,81.0,-9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,T001027   ,1952JJ00,,,,,317.0,78.0,-11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,T001027   ,1953JJ00,,,,,316.0,75.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,T001027   ,1954JJ00,,,,,384.0,108.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,T001027   ,1955JJ00,,,,,472.0,118.0,-12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,T001027   ,1956JJ00,,,,,549.0,129.0,-5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,T001027   ,1957JJ00,,,,,540.0,120.0,-41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
