ID,EnergyIntensitiesServicesFloorArea,FloorArea,AverageConsumptionOfNaturalGas_1,AverageConsumptionOfElectricity_2
0,A047456,A025415,18.7,231.8
1,A047456,A025412,17.2,174.8
2,A047456,A025413,13.7,243.6
3,A047456,A025416,11.1,279.7
4,A047456,A025417,7.3,201.8
5,A047456,A025418,,
6,A047456,A025419,,
7,A047457,A025415,17.0,105.2
8,A047457,A025412,11.9,84.8
9,A047457,A025413,8.8,70.6
10,A047457,A025416,6.9,76.1
11,A047457,A025417,6.2,70.0
12,A047457,A025418,5.8,64.7
13,A047457,A025419,6.4,74.1
14,A047458,A025415,18.1,95.6
15,A047458,A025412,12.3,83.8
16,A047458,A025413,9.0,126.2
17,A047458,A025416,8.2,178.9
18,A047458,A025417,7.0,139.5
19,A047458,A025418,,173.8
20,A047458,A025419,,
21,A047459,A025415,16.6,64.9
22,A047459,A025412,11.9,50.9
23,A047459,A025413,8.9,46.1
24,A047459,A025416,7.3,47.3
25,A047459,A025417,6.7,50.0
26,A047459,A025418,6.0,53.7
27,A047459,A025419,6.6,69.8
28,A047460,A025415,17.7,60.3
29,A047460,A025412,11.0,44.2
30,A047460,A025413,8.8,42.8
31,A047460,A025416,8.5,46.9
32,A047460,A025417,8.0,51.9
33,A047460,A025418,7.6,52.7
34,A047460,A025419,,
35,A047461,A025415,16.3,61.7
36,A047461,A025412,12.1,52.3
37,A047461,A025413,12.1,53.0
38,A047461,A025416,12.4,55.6
39,A047461,A025417,9.2,52.9
40,A047461,A025418,,
41,A047461,A025419,,
42,A047462,A025415,22.4,146.0
43,A047462,A025412,17.4,117.5
44,A047462,A025413,14.4,90.8
45,A047462,A025416,10.9,73.2
46,A047462,A025417,,
47,A047462,A025418,,
48,A047462,A025419,,
49,A047463,A025415,37.4,227.8
50,A047463,A025412,33.1,184.2
51,A047463,A025413,26.5,149.5
52,A047463,A025416,21.3,127.3
53,A047463,A025417,,
54,A047463,A025418,,
55,A047463,A025419,,
56,A047464,A025415,38.1,265.3
57,A047464,A025412,28.7,172.5
58,A047464,A025413,24.3,201.5
59,A047464,A025416,,179.4
60,A047464,A025417,,
61,A047464,A025418,,
62,A047464,A025419,,
63,A047465,A025415,22.8,64.9
64,A047465,A025412,22.6,71.5
65,A047465,A025413,21.9,85.1
66,A047465,A025416,21.3,97.6
67,A047465,A025417,21.1,107.7
68,A047465,A025418,22.0,112.1
69,A047465,A025419,21.2,114.0
70,A047466,A025415,20.9,60.0
71,A047466,A025412,18.3,49.5
72,A047466,A025413,16.2,51.0
73,A047466,A025416,13.3,57.0
74,A047466,A025417,11.0,85.2
75,A047466,A025418,10.5,90.8
76,A047466,A025419,11.6,84.1
77,A047467,A025415,17.3,57.2
78,A047467,A025412,15.0,50.8
79,A047467,A025413,12.8,54.9
