ID,Bronnen,Perioden,CO2_1,NMVOS_2,CH4_3,SO2_4,N2O_5,CO_6,NOx_7,NH3_8,PM10_9,PM25_10
0,A025447  ,1990JJ00,136700,394.4,1267.6,170.7,60.22,369.5,280.6,343.6,52.55,31.64
1,A025447  ,1995JJ00,144600,288.3,1180.5,109.7,60.24,323.8,237.9,216.0,39.52,24.48
2,A025447  ,2000JJ00,142300,244.4,964.0,63.1,53.07,267.4,184.5,169.1,30.48,17.77
3,A025447  ,2001JJ00,147500,223.2,938.0,67.1,49.98,268.0,181.3,162.5,29.46,17.22
4,A025447  ,2002JJ00,146900,215.0,892.5,60.6,46.95,252.9,175.8,154.9,29.2,16.58
5,A025447  ,2003JJ00,149600,213.6,861.7,56.5,46.58,252.2,175.9,151.7,28.1,16.77
6,A025447  ,2004JJ00,151900,200.2,845.7,59.1,47.85,273.8,167.8,151.3,27.71,16.33
7,A025447  ,2005JJ00,148900,208.2,787.0,57.9,47.71,260.6,163.7,149.0,27.15,15.76
8,A025447  ,2006JJ00,143400,205.4,769.1,58.3,48.0,267.3,157.1,152.0,27.07,16.05
9,A025447  ,2007JJ00,143600,210.7,771.0,55.3,42.66,252.9,145.7,148.4,26.51,15.0
10,A025447  ,2008JJ00,147900,208.4,780.2,47.8,30.03,264.0,143.8,136.1,26.35,14.86
11,A025447  ,2009JJ00,145500,212.6,773.7,35.4,29.48,213.1,131.6,132.2,25.34,14.28
12,A025447  ,2010JJ00,157800,226.7,770.9,32.9,28.48,251.9,134.1,130.0,26.08,14.97
13,A025447  ,2011JJ00,144300,222.2,748.3,33.3,27.72,217.5,123.1,128.3,24.93,13.69
14,A025447  ,2012JJ00,143000,218.5,731.8,33.6,27.15,216.7,119.8,122.9,24.64,13.28
15,A025447  ,2013JJ00,142900,219.9,731.2,29.3,27.9,206.1,119.2,120.4,25.0,13.61
16,A025447  ,2014JJ00,136800,206.0,713.8,28.8,28.43,183.7,110.1,124.1,24.02,12.5
17,A025447  ,2015JJ00,143400,215.5,721.9,30.0,29.17,196.5,113.4,125.5,24.28,12.89
18,A025447  ,2016JJ00,144400,212.1,726.8,27.9,28.17,191.8,108.1,126.7,24.14,12.81
