ID,Perioden,BrutoProductie_1,EigenVerbruikBijElektrProductie_2,NettoProductieTotaal_3,Kernenergie_4,BrandstoffenTotaal_5,Kolen_6,Olieproducten_7,Aardgas_8,Biomassa_9,OverigeBrandstoffenNietHernieuwbaar_10,Waterkracht_11,WindenergieTotaal_12,WindenergieOpLand_13,WindenergieOpZee_14,Zonnestroom_15,OverigeBronnen_16,InvoerTotaal_17,Belgie_18,Denemarken_19,Duitsland_20,VerenigdKoninkrijk_21,Noorwegen_22,UitvoerTotaal_23,Belgie_24,Denemarken_25,Duitsland_26,VerenigdKoninkrijk_27,Noorwegen_28,Distributieverliezen_29,NettoVerbruikBerekend_30
0,1929JJ00,,,,,,,,,,,,,,,,,22,,,,,,0,0.0,,0.0,,,,
1,1930JJ00,,,,,,,,,,,,,,,,,23,,,,,,0,0.0,,0.0,,,,
2,1931JJ00,,,,,,,,,,,,,,,,,20,,,,,,0,0.0,,0.0,,,,
3,1932JJ00,,,,,,,,,,,,,,,,,18,,,,,,0,0.0,,0.0,,,,
4,1933JJ00,,,,,,,,,,,,,,,,,21,,,,,,0,0.0,,0.0,,,,
5,1934JJ00,,,,,,,,,,,,,,,,,23,,,,,,0,0.0,,0.0,,,,
6,1935JJ00,,,,,,,,,,,,,,,,,20,,,,,,0,0.0,,0.0,,,,
7,1936JJ00,3122.0,,,,,,,,,,,,,,,,22,,,,,,0,0.0,,0.0,,,,
8,1937JJ00,3485.0,,,,,,,,,,,,,,,,25,,,,,,0,0.0,,0.0,,,,
9,1938JJ00,3688.0,,,,,,,,,,,,,,,,18,,,,,,0,0.0,,0.0,,,,
10,1939JJ00,4064.0,,,,,,,,,,,,,,,,0,0.0,,0.0,,,0,0.0,,0.0,,,,
11,1940JJ00,3777.0,,,,,,,,,,,,,,,,0,0.0,,0.0,,,0,0.0,,0.0,,,,
12,1941JJ00,3652.0,,,,,,,,,,,,,,,,0,0.0,,0.0,,,0,0.0,,0.0,,,,
13,1942JJ00,3606.0,,,,,,,,,,,,,,,,0,0.0,,0.0,,,0,0.0,,0.0,,,,
14,1943JJ00,3565.0,,,,,,,,,,,,,,,,0,0.0,,0.0,,,0,0.0,,0.0,,,,
15,1944JJ00,2969.0,,,,,,,,,,,,,,,,4,,,,,,6,,,,,,,
16,1945JJ00,1831.0,,,,,,,,,,,,,,,,34,,,,,,22,,,,,,,
17,1946JJ00,3698.0,,,,,,,,,,,,,,,,42,,,,,,0,0.0,,0.0,,,,
18,1947JJ00,4635.0,,,,,,,,,,,,,,,,13,,,,,,40,,,,,,,
19,1948JJ00,5577.0,,,,,,,,,,,,,,,,1,,,,,,35,,,,,,,
20,1949JJ00,6337.0,,,,,,,,,,,,,,,,2,,,,,,36,,,,,,,
21,1950JJ00,7417.0,,,,,,,,,,,,,,,,51,,,,,,27,,,,,,,
22,1951JJ00,7911.0,,,,,,,,,,,,,,,,307,,,,,,4,,,,,,,
23,1952JJ00,8599.0,,,,,,,,,,,,,,,,208,,,,,,19,,,,,,,
