ID,Bedrijfsafvalstoffen,NuttigeToepassingEnEindverwerking,BedrijfstakkenBranchesSBI2008,Perioden,Bedrijfsafval_1
0,A050391,T001523,300002,1994JJ00,
1,A050391,T001523,300002,1996JJ00,
2,A050391,T001523,300002,1998JJ00,
3,A050391,T001523,300002,2000JJ00,
4,A050391,T001523,300002,2001JJ00,
5,A050391,T001523,300002,2002JJ00,
6,A050391,T001523,300002,2003JJ00,
7,A050391,T001523,300002,2004JJ00,
8,A050391,T001523,300002,2005JJ00,
9,A050391,T001523,300002,2006JJ00,
10,A050391,T001523,300002,2007JJ00,26063.0
11,A050391,T001523,300002,2008JJ00,26353.0
12,A050391,T001523,300002,2009JJ00,24776.0
13,A050391,T001523,300002,2010JJ00,24582.0
14,A050391,T001523,300002,2011JJ00,25192.0
15,A050391,T001523,300002,2012JJ00,24527.0
16,A050391,T001523,300002,2013JJ00,24332.0
17,A050391,T001523,300002,2014JJ00,24724.0
18,A050391,T001523,300002,2015JJ00,25055.0
19,A050391,T001523,300002,2016JJ00,25736.0
20,A050391,T001523,300002,2017JJ00,26353.0
21,A050391,T001523,300002,2018JJ00,25576.0
22,A050391,T001523,300002,2019JJ00,24687.0
23,A050391,T001523,300002,2020JJ00,24397.0
24,A050391,T001523,300002,2021JJ00,24837.0
25,A050391,T001523,305700,1994JJ00,179.0
26,A050391,T001523,305700,1996JJ00,298.0
27,A050391,T001523,305700,1998JJ00,268.0
28,A050391,T001523,305700,2000JJ00,202.0
29,A050391,T001523,305700,2001JJ00,183.0
30,A050391,T001523,305700,2002JJ00,192.0
31,A050391,T001523,305700,2003JJ00,302.0
32,A050391,T001523,305700,2004JJ00,275.0
33,A050391,T001523,305700,2005JJ00,230.0
34,A050391,T001523,305700,2006JJ00,203.0
35,A050391,T001523,305700,2007JJ00,217.0
36,A050391,T001523,305700,2008JJ00,336.0
37,A050391,T001523,305700,2009JJ00,218.0
38,A050391,T001523,305700,2010JJ00,244.0
39,A050391,T001523,305700,2011JJ00,200.0
40,A050391,T001523,305700,2012JJ00,213.0
41,A050391,T001523,305700,2013JJ00,209.0
42,A050391,T001523,305700,2014JJ00,209.0
43,A050391,T001523,305700,2015JJ00,183.0
44,A050391,T001523,305700,2016JJ00,97.0
45,A050391,T001523,305700,2017JJ00,90.0
46,A050391,T001523,305700,2018JJ00,107.0
47,A050391,T001523,305700,2019JJ00,97.0
48,A050391,T001523,305700,2020JJ00,112.0
49,A050391,T001523,305700,2021JJ00,100.0
50,A050391,T001523,307500,1994JJ00,19245.0
51,A050391,T001523,307500,1996JJ00,18761.0
