ID,BelastingschijfAardgas,SBI2008,Perioden,AantalDoorDeSchijfGehaaldeEenheden_1,LeveringVoorEigenGebruik_2,InzetVoorElektriciteitsproductie_3,NietEnergetischGebruik_4,BelastVerbruik_5
0,A050892,T001081,2019JJ00,616180,32675200.0,17297200.0,3495600.0,11882400.0
1,A050892,T001081,2020JJ00,581530,32149200.0,17688800.0,3284100.0,11176300.0
2,A050892,T001081,2022JJ00,530785,23328400.0,12315800.0,2153400.0,8859100.0
3,A050892,301000 ,2019JJ00,57670,4144600.0,2970100.0,,1174500.0
4,A050892,301000 ,2020JJ00,57310,4029600.0,2903400.0,,1126200.0
5,A050892,301000 ,2022JJ00,36990,2867800.0,2241900.0,,625900.0
6,A050892,305700 ,2019JJ00,145,5100.0,,,5100.0
7,A050892,305700 ,2020JJ00,55,4300.0,,,4300.0
8,A050892,305700 ,2022JJ00,60,7600.0,,,7600.0
9,A050892,307500 ,2019JJ00,32745,12439600.0,2391200.0,3495600.0,6552800.0
10,A050892,307500 ,2020JJ00,32445,12774500.0,3244300.0,3284100.0,6246200.0
11,A050892,307500 ,2022JJ00,33615,9722600.0,2677700.0,2153400.0,4891400.0
12,A050892,307610 ,2019JJ00,4500,1905200.0,569800.0,,1335400.0
13,A050892,307610 ,2020JJ00,4400,1901600.0,617800.0,,1283800.0
14,A050892,307610 ,2022JJ00,4605,1836200.0,582700.0,,1253400.0
15,A050892,307700 ,2019JJ00,330,74100.0,,,74100.0
16,A050892,307700 ,2020JJ00,330,71800.0,,,71800.0
17,A050892,307700 ,2022JJ00,330,70500.0,,,70500.0
18,A050892,308300 ,2019JJ00,140,253300.0,34200.0,,219100.0
19,A050892,308300 ,2020JJ00,135,245900.0,30700.0,,215200.0
20,A050892,308300 ,2022JJ00,150,254300.0,34500.0,,219800.0
21,A050892,308700 ,2019JJ00,30,232700.0,130400.0,,102400.0
22,A050892,308700 ,2020JJ00,30,223400.0,149700.0,,73700.0
23,A050892,308700 ,2022JJ00,30,220500.0,137900.0,,82600.0
24,A050892,309000 ,2019JJ00,175,362600.0,31900.0,,330700.0
25,A050892,309000 ,2020JJ00,180,372700.0,66300.0,,306400.0
26,A050892,309000 ,2022JJ00,185,355300.0,60200.0,,295100.0
27,A050892,309300 ,2019JJ00,65,318300.0,212400.0,,105800.0
28,A050892,309300 ,2020JJ00,70,325400.0,222200.0,,103300.0
29,A050892,309300 ,2022JJ00,65,295500.0,201900.0,,93600.0
30,A050892,310000 ,2019JJ00,3295,423200.0,111100.0,,312100.0
31,A050892,310000 ,2020JJ00,3170,428000.0,106500.0,,321400.0
32,A050892,310000 ,2022JJ00,3265,424100.0,108700.0,,315500.0
33,A050892,311000 ,2019JJ00,165,93400.0,,,93400.0
34,A050892,311000 ,2020JJ00,160,109700.0,,,109700.0
35,A050892,311000 ,2022JJ00,160,97500.0,,,97500.0
36,A050892,312200 ,2019JJ00,300,147500.0,49800.0,,97800.0
37,A050892,312200 ,2020JJ00,330,124600.0,42400.0,,82200.0
38,A050892,312200 ,2022JJ00,420,118500.0,39600.0,,78900.0
39,A050892,312500 ,2019JJ00,860,71300.0,,,71300.0
40,A050892,312500 ,2020JJ00,870,95600.0,,,95600.0
41,A050892,312500 ,2022JJ00,915,57000.0,,,57000.0
42,A050892,312505 ,2019JJ00,1650,78600.0,,,78600.0
43,A050892,312505 ,2020JJ00,1630,104500.0,,,104500.0
44,A050892,312505 ,2022JJ00,1710,62700.0,,,62700.0
45,A050892,314000 ,2019JJ00,595,1600.0,,,1600.0
46,A050892,314000 ,2020JJ00,565,1500.0,,,1500.0
47,A050892,314000 ,2022JJ00,585,900.0,,,900.0
48,A050892,315200 ,2019JJ00,200,5700.0,,,5700.0
49,A050892,315200 ,2020JJ00,195,7500.0,,,7500.0
50,A050892,315200 ,2022JJ00,210,4800.0,,,4800.0
51,A050892,315800 ,2019JJ00,1340,11300.0,300.0,,11000.0
52,A050892,315800 ,2020JJ00,1385,8200.0,300.0,,7900.0
53,A050892,315800 ,2022JJ00,1480,11500.0,300.0,,11200.0
54,A050892,317105 ,2019JJ00,1870,519800.0,273000.0,,246700.0
55,A050892,317105 ,2020JJ00,1810,478800.0,246500.0,,232300.0
56,A050892,317105 ,2022JJ00,1700,481900.0,225400.0,,256500.0
57,A050892,317100 ,2019JJ00,295,496600.0,273000.0,,223500.0
58,A050892,317100 ,2020JJ00,300,463300.0,246500.0,,216800.0
59,A050892,317100 ,2022JJ00,290,462000.0,225400.0,,236600.0
60,A050892,318600 ,2019JJ00,1570,23200.0,,,23200.0
61,A050892,318600 ,2020JJ00,1510,15500.0,,,15500.0
62,A050892,318600 ,2022JJ00,1410,19900.0,,,19900.0
63,A050892,320000 ,2019JJ00,10,1629200.0,425600.0,,1203600.0
64,A050892,320000 ,2020JJ00,10,1628100.0,498900.0,,1129200.0
65,A050892,320000 ,2022JJ00,10,651800.0,283400.0,,368300.0
66,A050892,320705 ,2019JJ00,775,6750600.0,1084300.0,3495600.0,2170800.0
67,A050892,320705 ,2020JJ00,795,7203500.0,1839300.0,3284100.0,2080100.0
68,A050892,320705 ,2022JJ00,785,5330600.0,1549600.0,2153400.0,1627600.0
69,A050892,B000645,2019JJ00,240,6023700.0,740100.0,3495600.0,1788000.0
