ID,Energiedragers,Perioden,VerbrandingswaardenMotorbrandstoffen_1
0,E006509,1990JJ00,41.6
1,E006509,1991JJ00,41.5
2,E006509,1992JJ00,41.4
3,E006509,1993JJ00,41.4
4,E006509,1994JJ00,41.3
5,E006509,1995JJ00,41.3
6,E006509,1996JJ00,41.3
7,E006509,1997JJ00,41.2
8,E006509,1998JJ00,41.2
9,E006509,1999JJ00,41.2
10,E006509,2000JJ00,41.2
11,E006509,2001JJ00,41.2
12,E006509,2002JJ00,41.2
13,E006509,2003JJ00,41.2
14,E006509,2004JJ00,41.2
15,E006509,2005JJ00,41.2
16,E006509,2006JJ00,41.3
17,E006509,2007JJ00,41.8
18,E006509,2008JJ00,41.8
19,E006509,2009JJ00,42.0
20,E006509,2010JJ00,42.0
21,E006509,2011JJ00,42.0
22,E006509,2012JJ00,41.9
23,E006509,2013JJ00,42.0
24,E006509,2014JJ00,42.1
25,E006509,2015JJ00,42.1
26,E006509,2016JJ00,42.2
27,E006509,2017JJ00,42.2
28,E006509,2018JJ00,42.2
29,E006509,2019JJ00,42.3
30,E006509,2020JJ00,41.9
31,E006509,2021JJ00,41.9
32,E006509,2022JJ00,41.8
33,E006509,2023JJ00,41.8
34,E006509,2024JJ00,41.8
35,E006510,1990JJ00,41.6
36,E006510,1991JJ00,41.5
37,E006510,1992JJ00,41.4
38,E006510,1993JJ00,41.4
39,E006510,1994JJ00,41.3
40,E006510,1995JJ00,41.3
41,E006510,1996JJ00,41.3
42,E006510,1997JJ00,41.2
43,E006510,1998JJ00,41.2
44,E006510,1999JJ00,41.2
45,E006510,2000JJ00,41.2
46,E006510,2001JJ00,41.2
47,E006510,2002JJ00,41.2
48,E006510,2003JJ00,41.2
49,E006510,2004JJ00,41.2
50,E006510,2005JJ00,41.2
51,E006510,2006JJ00,41.4
52,E006510,2007JJ00,42.2
53,E006510,2008JJ00,42.4
54,E006510,2009JJ00,42.8
55,E006510,2010JJ00,42.8
56,E006510,2011JJ00,42.9
57,E006510,2012JJ00,42.7
58,E006510,2013JJ00,42.8
59,E006510,2014JJ00,42.9
60,E006510,2015JJ00,43.0
61,E006510,2016JJ00,42.9
62,E006510,2017JJ00,42.9
63,E006510,2018JJ00,43.1
64,E006510,2019JJ00,43.3
65,E006510,2020JJ00,43.3
66,E006510,2021JJ00,43.3
67,E006510,2022JJ00,43.3
68,E006510,2023JJ00,43.3
69,E006510,2024JJ00,43.3
70,E007188,1990JJ00,
71,E007188,1991JJ00,
72,E007188,1992JJ00,
73,E007188,1993JJ00,
74,E007188,1994JJ00,
75,E007188,1995JJ00,
76,E007188,1996JJ00,
77,E007188,1997JJ00,
78,E007188,1998JJ00,
79,E007188,1999JJ00,
80,E007188,2000JJ00,
81,E007188,2001JJ00,
