ID,Prijscomponenten,Belastingen,Perioden,MinderDan569M3_1,k_569Tot5687M3_2,k_5687M3EnMeer_3,MinderDan28433M3_4,k_28433Tot284333M3_5,k_284333Tot2843332M3_6,k_2843332Tot28433324M3_7,k_28433324M3EnMeer_8,MinderDan1MWh_9,k_1Tot25MWh_10,k_25Tot5MWh_11,k_5Tot15MWh_12,k_15MWhEnMeer_13,MinderDan20MWh_14,k_20Tot500MWh_15,k_500Tot2000MWh_16,k_2000Tot20000MWh_17,k_20000Tot70000MWh_18,k_70000Tot150000MWh_19,k_150000MWhEnMeer_20
0,A047656,A047659,2009HJ01,1.102,0.851,0.722,0.754,0.712,0.466,0.371,0.271,-0.025,0.184,0.213,0.224,0.223,0.293,0.21,0.141,0.122,0.102,0.1,0.075
1,A047656,A047659,2009HJ02,1.118,0.753,0.575,0.621,0.656,0.413,0.32,0.229,-0.043,0.174,0.204,0.217,0.17,0.292,0.17,0.136,0.12,0.093,0.09,0.067
2,A047656,A047659,2009JJ00,1.105,0.808,0.657,0.706,0.692,0.441,0.345,0.248,-0.034,0.179,0.209,0.221,0.197,0.292,0.19,0.138,0.121,0.098,0.094,0.071
3,A047656,A047659,2010HJ01,0.969,0.716,0.594,0.626,0.594,0.397,0.293,0.221,-0.094,0.147,0.185,0.202,0.198,0.274,0.192,0.126,0.107,0.084,0.082,0.069
4,A047656,A047659,2010HJ02,1.142,0.793,0.614,0.629,0.637,0.369,0.296,0.249,-0.088,0.15,0.186,0.202,0.148,0.261,0.151,0.121,0.107,0.078,0.081,0.071
5,A047656,A047659,2010JJ00,1.039,0.748,0.602,0.629,0.613,0.385,0.294,0.235,-0.091,0.149,0.186,0.202,0.176,0.267,0.171,0.124,0.107,0.081,0.082,0.07
6,A047656,A047659,2011HJ01,0.943,0.708,0.622,0.615,0.605,0.42,0.317,0.281,-0.108,0.141,0.18,0.198,0.196,0.243,0.18,0.121,0.103,0.08,0.08,0.07
7,A047656,A047659,2011HJ02,1.179,0.827,0.683,0.679,0.657,0.381,0.308,0.291,-0.108,0.141,0.18,0.199,0.148,0.241,0.142,0.116,0.103,0.075,0.082,0.072
8,A047656,A047659,2011JJ00,1.04,0.756,0.648,0.642,0.629,0.404,0.312,0.286,-0.108,0.141,0.18,0.198,0.171,0.242,0.161,0.119,0.103,0.078,0.081,0.071
9,A047656,A047659,2012HJ01,1.033,0.776,0.665,0.683,0.647,0.443,0.34,0.309,-0.145,0.13,0.176,0.198,0.198,0.237,0.181,0.117,0.099,0.078,0.075,0.064
10,A047656,A047659,2012HJ02,1.288,0.905,0.721,0.746,0.674,0.415,0.346,0.318,-0.179,0.122,0.173,0.197,0.148,0.234,0.14,0.116,0.102,0.077,0.075,0.07
11,A047656,A047659,2012JJ00,1.136,0.827,0.687,0.706,0.659,0.43,0.343,0.314,-0.161,0.125,0.175,0.198,0.173,0.236,0.161,0.116,0.1,0.078,0.075,0.067
12,A047656,A047659,2013HJ01,1.113,0.841,0.749,0.729,0.721,0.505,0.371,0.337,-0.073,0.164,0.196,0.209,0.205,0.272,0.2,0.122,0.107,0.082,0.078,0.073
13,A047656,A047659,2013HJ02,1.359,0.917,0.746,0.759,0.761,0.428,0.354,0.333,-0.096,0.158,0.194,0.208,0.152,0.279,0.157,0.12,0.105,0.078,0.078,0.071
14,A047656,A047659,2013JJ00,1.207,0.871,0.748,0.741,0.74,0.474,0.365,0.336,-0.084,0.161,0.195,0.208,0.18,0.276,0.178,0.121,0.106,0.079,0.078,0.072
15,A047656,A047659,2014HJ01,1.149,0.828,0.705,0.726,0.737,0.497,0.357,0.31,-0.11,0.154,0.192,0.208,0.212,0.283,0.197,0.123,0.104,0.077,0.073,0.06
16,A047656,A047659,2014HJ02,1.357,0.902,0.719,0.752,0.763,0.414,0.315,0.267,-0.124,0.147,0.187,0.205,0.149,0.275,0.152,0.116,0.1,0.069,0.069,0.06
17,A047656,A047659,2014JJ00,1.234,0.858,0.71,0.736,0.749,0.461,0.336,0.289,-0.117,0.15,0.189,0.207,0.181,0.279,0.174,0.119,0.102,0.073,0.071,0.06
