ID,GrootteklasseInOpslagcapaciteit,Perioden,BatterijenAantalSystemen_1,BatterijenVermogen_2,BatterijenCapaciteit_3,BatterijenBrutoProductie_4,BatterijenEigenVerbruik_5,BatterijenInzetVoorOpladen_6
0,T001683,2022JJ00,23.0,132.0,157.0,73170.0,1419.0,79174.0
1,T001683,2023JJ00,40.0,229.0,343.0,87794.0,2661.0,100812.0
2,T001683,2024JJ00,84.0,350.0,620.0,182263.0,6022.0,208712.0
3,A052697,2022JJ00,19.0,75.0,75.0,29134.0,477.0,32072.0
4,A052697,2023JJ00,31.0,86.0,88.0,41532.0,1682.0,47217.0
5,A052697,2024JJ00,69.0,130.0,189.0,52676.0,2036.0,61316.0
6,A052698,2022JJ00,4.0,57.0,82.0,44036.0,942.0,47102.0
7,A052698,2023JJ00,9.0,143.0,255.0,46262.0,979.0,53595.0
8,A052698,2024JJ00,15.0,220.0,431.0,129587.0,3986.0,147396.0
9,A052699,2022JJ00,,,,,,
10,A052699,2023JJ00,,,,,,
11,A052699,2024JJ00,,,,,,
