ID,SBI1993LeeftijdscatCaoSectoren,Perioden,CaoLonenInclBijzBelPerMaand_1,CaoLonenInclBijzBelPerUur_2
0,1000,1999MM01,122.9,125.4
1,1000,1999MM02,123.0,125.5
2,1000,1999MM03,123.3,125.9
3,1000,1999MM04,123.5,126.1
4,1000,1999MM05,123.6,126.3
5,1000,1999MM06,123.9,126.6
6,1000,1999MM07,124.6,127.3
7,1000,1999MM08,125.2,127.9
8,1000,1999MM09,125.6,128.3
9,1000,1999MM10,126.1,128.9
10,1000,1999MM11,126.3,129.2
11,1000,1999MM12,126.3,129.2
12,1000,1999JJ00,125.0,127.8
13,1000,2000MM01,126.8,129.6
14,1000,2000MM02,126.9,129.9
15,1000,2000MM03,127.1,130.0
16,1000,2000MM04,127.5,130.4
17,1000,2000MM05,127.5,130.5
18,1000,2000MM06,127.8,130.8
19,1000,2000MM07,128.9,131.9
20,1000,2000MM08,129.1,132.1
21,1000,2000MM09,129.7,132.7
22,1000,2000MM10,129.9,133.0
23,1000,2000MM11,130.0,133.1
24,1000,2000MM12,130.1,133.2
25,1000,2000JJ00,128.9,131.9
26,1000,2001MM01,130.9,134.0
27,1000,2001MM02,131.1,134.2
28,1000,2001MM03,131.5,134.6
29,1000,2001MM04,132.7,135.8
30,1000,2001MM05,133.3,136.5
31,1000,2001MM06,134.1,137.3
32,1000,2001MM07,135.6,138.8
33,1000,2001MM08,135.8,139.0
34,1000,2001MM09,135.9,139.2
35,1000,2001MM10,136.7,140.0
36,1000,2001MM11,136.8,140.0
37,1000,2001MM12,136.9,140.2
38,1000,2001JJ00,135.2,138.4
39,1000,2002MM01,137.8,141.1
40,1000,2002MM02,137.8,141.1
41,1000,2002MM03,138.2,141.5
42,1000,2002MM04,138.6,141.9
43,1000,2002MM05,139.0,142.3
44,1000,2002MM06,139.3,142.6
45,1000,2002MM07,140.6,143.9
46,1000,2002MM08,140.7,144.1
47,1000,2002MM09,141.1,144.5
48,1000,2002MM10,141.5,144.9
49,1000,2002MM11,141.5,144.9
50,1000,2002MM12,141.6,145.0
51,1000,2002JJ00,140.2,143.6
52,1000,2003MM01,142.6,146.0
53,1000,2003MM02,142.7,146.2
54,1000,2003MM03,142.9,146.3
55,1000,2003MM04,143.1,146.6
56,1000,2003MM05,143.7,147.1
57,1001,1999MM01,124.0,125.3
58,1001,1999MM02,124.0,125.3
59,1001,1999MM03,124.1,125.4
60,1001,1999MM04,124.1,125.4
61,1001,1999MM05,124.3,125.6
62,1001,1999MM06,124.6,126.0
63,1001,1999MM07,125.6,127.0
64,1001,1999MM08,125.9,127.3
65,1001,1999MM09,126.5,127.9
66,1001,1999MM10,127.1,128.5
67,1001,1999MM11,127.4,128.9
68,1001,1999MM12,127.4,128.9
69,1001,1999JJ00,125.8,127.4
70,1001,2000MM01,128.5,130.0
71,1001,2000MM02,128.9,130.4
72,1001,2000MM03,128.9,130.5
73,1001,2000MM04,129.1,130.6
74,1001,2000MM05,129.1,130.6
75,1001,2000MM06,129.2,130.7
76,1001,2000MM07,130.3,131.8
77,1001,2000MM08,130.6,132.1
78,1001,2000MM09,131.2,132.7
79,1001,2000MM10,131.6,133.0
80,1001,2000MM11,131.7,133.3
81,1001,2000MM12,131.8,133.4
82,1001,2000JJ00,130.4,131.9
83,1001,2001MM01,132.9,134.4
84,1001,2001MM02,133.4,134.9
85,1001,2001MM03,133.4,135.0
86,1001,2001MM04,136.9,138.6
87,1001,2001MM05,137.6,139.3
88,1001,2001MM06,137.9,139.6
89,1001,2001MM07,140.5,142.2
90,1001,2001MM08,140.6,142.3
91,1001,2001MM09,140.8,142.5
92,1001,2001MM10,141.1,142.8
93,1001,2001MM11,141.2,142.9
94,1001,2001MM12,141.3,143.0
95,1001,2001JJ00,139.4,141.1
96,1001,2002MM01,142.8,144.6
97,1001,2002MM02,142.9,144.6
98,1001,2002MM03,143.1,144.9
99,1001,2002MM04,143.2,145.0
100,1001,2002MM05,143.3,145.1
101,1001,2002MM06,143.4,145.2
102,1001,2002MM07,144.7,146.5
103,1001,2002MM08,144.9,146.7
104,1001,2002MM09,145.2,147.0
105,1001,2002MM10,146.2,147.9
106,1001,2002MM11,146.0,147.7
107,1001,2002MM12,146.0,147.8
108,1001,2002JJ00,144.5,146.2
109,1001,2003MM01,147.4,149.2
110,1001,2003MM02,147.5,149.3
111,1001,2003MM03,147.6,149.4
112,1001,2003MM04,147.9,149.7
113,1001,2003MM05,148.0,149.8
114,1002,1999MM01,122.8,125.4
115,1002,1999MM02,122.9,125.6
116,1002,1999MM03,123.2,126.0
117,1002,1999MM04,123.5,126.2
118,1002,1999MM05,123.6,126.3
119,1002,1999MM06,123.9,126.6
120,1002,1999MM07,124.5,127.3
121,1002,1999MM08,125.1,127.9
122,1002,1999MM09,125.5,128.3
123,1002,1999MM10,126.1,128.9
124,1002,1999MM11,126.2,129.2
125,1002,1999MM12,126.3,129.2
126,1002,1999JJ00,125.0,127.9
127,1002,2000MM01,126.6,129.6
128,1002,2000MM02,126.8,129.8
129,1002,2000MM03,127.0,130.0
130,1002,2000MM04,127.4,130.4
131,1002,2000MM05,127.4,130.4
132,1002,2000MM06,127.7,130.8
133,1002,2000MM07,128.8,131.9
134,1002,2000MM08,129.0,132.1
135,1002,2000MM09,129.6,132.7
136,1002,2000MM10,129.8,133.2
137,1002,2000MM11,129.9,133.1
138,1002,2000MM12,130.0,133.2
139,1002,2000JJ00,128.8,131.9
140,1002,2001MM01,130.7,133.9
141,1002,2001MM02,131.0,134.2
142,1002,2001MM03,131.3,134.5
143,1002,2001MM04,132.4,135.6
144,1002,2001MM05,133.0,136.3
145,1002,2001MM06,133.9,137.2
146,1002,2001MM07,135.2,138.6
147,1002,2001MM08,135.4,138.8
148,1002,2001MM09,135.6,138.9
149,1002,2001MM10,136.4,139.8
150,1002,2001MM11,136.5,139.8
151,1002,2001MM12,136.6,140.0
152,1002,2001JJ00,134.9,138.3
153,1002,2002MM01,137.4,140.8
154,1002,2002MM02,137.5,140.9
155,1002,2002MM03,137.9,141.3
156,1002,2002MM04,138.3,141.7
157,1002,2002MM05,138.7,142.2
158,1002,2002MM06,139.0,142.4
159,1002,2002MM07,140.3,143.7
160,1002,2002MM08,140.4,143.9
161,1002,2002MM09,140.9,144.3
162,1002,2002MM10,141.2,144.7
163,1002,2002MM11,141.2,144.7
164,1002,2002MM12,141.3,144.8
165,1002,2002JJ00,139.9,143.4
166,1002,2003MM01,142.3,145.8
167,1002,2003MM02,142.4,145.9
168,1002,2003MM03,142.6,146.1
169,1002,2003MM04,142.8,146.4
170,1002,2003MM05,143.4,146.9
171,1003,1999MM01,124.8,126.3
172,1003,1999MM02,125.0,126.4
173,1003,1999MM03,125.1,126.6
174,1003,1999MM04,125.3,126.8
175,1003,1999MM05,125.5,127.0
176,1003,1999MM06,125.8,127.3
177,1003,1999MM07,126.7,128.3
178,1003,1999MM08,127.1,128.6
179,1003,1999MM09,127.3,128.9
180,1003,1999MM10,128.0,129.6
181,1003,1999MM11,128.2,129.9
182,1003,1999MM12,128.2,129.9
183,1003,1999JJ00,126.9,128.5
184,1003,2000MM01,128.8,130.5
185,1003,2000MM02,129.0,130.7
186,1003,2000MM03,129.3,130.9
187,1003,2000MM04,129.7,131.4
188,1003,2000MM05,129.8,131.5
189,1003,2000MM06,129.9,131.6
190,1003,2000MM07,130.9,132.6
191,1003,2000MM08,131.1,132.9
192,1003,2000MM09,131.7,133.4
193,1003,2000MM10,132.1,133.8
194,1003,2000MM11,132.1,133.9
195,1003,2000MM12,132.2,134.0
196,1003,2000JJ00,130.8,132.6
197,1003,2001MM01,133.0,134.8
198,1003,2001MM02,133.2,135.1
199,1003,2001MM03,133.3,135.2
200,1003,2001MM04,134.9,136.8
201,1003,2001MM05,135.5,137.4
202,1003,2001MM06,136.1,138.0
203,1003,2001MM07,137.7,139.6
204,1003,2001MM08,138.0,139.9
205,1003,2001MM09,138.2,140.1
206,1003,2001MM10,138.8,140.7
207,1003,2001MM11,138.8,140.7
208,1003,2001MM12,139.0,140.9
209,1003,2001JJ00,137.2,139.2
210,1003,2002MM01,139.7,141.7
211,1003,2002MM02,139.8,141.8
212,1003,2002MM03,140.2,142.2
213,1003,2002MM04,140.6,142.6
214,1003,2002MM05,140.8,142.8
215,1003,2002MM06,141.1,143.1
216,1003,2002MM07,142.3,144.3
217,1003,2002MM08,142.5,144.5
218,1003,2002MM09,142.9,144.9
219,1003,2002MM10,143.4,145.4
220,1003,2002MM11,143.3,145.3
221,1003,2002MM12,143.3,145.3
222,1003,2002JJ00,142.0,144.0
223,1003,2003MM01,144.3,146.3
224,1003,2003MM02,144.5,146.6
225,1003,2003MM03,144.6,146.6
226,1003,2003MM04,145.0,147.0
227,1003,2003MM05,145.1,147.1
228,1004,1999MM01,118.5,123.3
229,1004,1999MM02,118.6,123.4
230,1004,1999MM03,119.9,124.8
231,1004,1999MM04,120.0,124.8
232,1004,1999MM05,120.0,124.8
233,1004,1999MM06,120.3,125.2
234,1004,1999MM07,120.3,125.2
235,1004,1999MM08,122.0,127.0
236,1004,1999MM09,122.0,127.0
237,1004,1999MM10,122.3,127.3
238,1004,1999MM11,122.3,127.3
239,1004,1999MM12,122.4,127.3
240,1004,1999JJ00,121.4,126.3
241,1004,2000MM01,122.2,127.2
242,1004,2000MM02,122.3,127.5
243,1004,2000MM03,122.3,127.5
244,1004,2000MM04,122.5,127.7
245,1004,2000MM05,122.3,127.5
246,1004,2000MM06,122.7,127.9
247,1004,2000MM07,124.3,129.6
248,1004,2000MM08,124.7,130.0
249,1004,2000MM09,125.5,130.8
250,1004,2000MM10,125.5,130.8
251,1004,2000MM11,125.9,131.3
252,1004,2000MM12,126.1,131.4
253,1004,2000JJ00,124.8,130.1
254,1004,2001MM01,126.7,132.1
255,1004,2001MM02,126.8,132.2
256,1004,2001MM03,128.2,133.7
257,1004,2001MM04,128.4,133.9
258,1004,2001MM05,129.5,135.0
259,1004,2001MM06,129.8,135.3
260,1004,2001MM07,129.8,135.4
261,1004,2001MM08,129.9,135.4
262,1004,2001MM09,130.0,135.5
263,1004,2001MM10,132.1,137.7
264,1004,2001MM11,132.1,137.8
265,1004,2001MM12,132.1,137.8
266,1004,2001JJ00,130.5,136.1
267,1004,2002MM01,133.5,139.2
268,1004,2002MM02,133.5,139.2
269,1004,2002MM03,133.9,139.6
270,1004,2002MM04,134.0,139.7
271,1004,2002MM05,135.3,141.1
272,1004,2002MM06,135.5,141.3
273,1004,2002MM07,136.7,142.5
274,1004,2002MM08,136.7,142.5
275,1004,2002MM09,136.7,142.6
276,1004,2002MM10,136.9,142.7
277,1004,2002MM11,137.4,143.3
278,1004,2002MM12,137.9,143.8
279,1004,2002JJ00,136.2,142.0
280,1004,2003MM01,138.2,144.1
281,1004,2003MM02,138.2,144.1
282,1004,2003MM03,138.6,144.5
283,1004,2003MM04,138.6,144.5
284,1004,2003MM05,141.2,147.2
285,1005,1999MM01,118.8,123.8
286,1005,1999MM02,118.8,123.8
287,1005,1999MM03,118.6,124.3
288,1005,1999MM04,118.7,124.5
289,1005,1999MM05,118.8,124.5
290,1005,1999MM06,118.8,124.5
291,1005,1999MM07,119.1,124.8
292,1005,1999MM08,119.5,125.3
293,1005,1999MM09,121.2,127.1
294,1005,1999MM10,121.5,127.6
295,1005,1999MM11,122.1,128.2
296,1005,1999MM12,122.1,128.2
297,1005,1999JJ00,120.6,126.5
298,1005,2000MM01,122.3,128.8
299,1005,2000MM02,122.3,128.8
300,1005,2000MM03,122.5,129.0
301,1005,2000MM04,122.6,129.1
302,1005,2000MM05,122.8,129.3
303,1005,2000MM06,124.1,130.6
304,1005,2000MM07,124.7,131.3
305,1005,2000MM08,124.7,131.3
306,1005,2000MM09,124.7,131.3
307,1005,2000MM10,125.0,131.7
308,1005,2000MM11,125.0,131.7
309,1005,2000MM12,125.1,131.7
310,1005,2000JJ00,124.1,130.7
311,1005,2001MM01,125.5,132.1
312,1005,2001MM02,125.9,132.6
313,1005,2001MM03,126.0,132.7
314,1005,2001MM04,126.9,133.6
315,1005,2001MM05,127.0,133.7
316,1005,2001MM06,130.1,136.9
317,1005,2001MM07,132.4,139.4
318,1005,2001MM08,132.5,139.5
319,1005,2001MM09,132.5,139.5
320,1005,2001MM10,132.5,139.5
321,1005,2001MM11,132.5,139.5
322,1005,2001MM12,132.6,139.7
323,1005,2001JJ00,131.2,138.1
324,1005,2002MM01,133.4,140.5
325,1005,2002MM02,133.5,140.5
326,1005,2002MM03,133.7,140.8
327,1005,2002MM04,134.0,141.0
328,1005,2002MM05,134.7,141.8
329,1005,2002MM06,134.9,142.0
330,1005,2002MM07,136.9,144.1
331,1005,2002MM08,136.7,143.9
332,1005,2002MM09,137.9,145.2
333,1005,2002MM10,138.2,145.5
334,1005,2002MM11,138.2,145.5
335,1005,2002MM12,138.2,145.5
336,1005,2002JJ00,136.5,143.7
337,1005,2003MM01,139.7,147.1
338,1005,2003MM02,139.7,147.1
339,1005,2003MM03,139.9,147.2
340,1005,2003MM04,139.9,147.3
341,1005,2003MM05,139.9,147.3
342,1033,1999MM01,122.9,125.4
343,1033,1999MM02,123.0,125.5
344,1033,1999MM03,123.3,125.9
345,1033,1999MM04,123.5,126.1
346,1033,1999MM05,123.6,126.3
347,1033,1999MM06,123.9,126.6
348,1033,1999MM07,124.6,127.3
349,1033,1999MM08,125.2,127.9
350,1033,1999MM09,125.6,128.3
351,1033,1999MM10,126.1,128.9
352,1033,1999MM11,126.3,129.2
353,1033,1999MM12,126.3,129.2
354,1033,1999JJ00,125.0,127.8
355,1033,2000MM01,126.8,129.6
356,1033,2000MM02,126.9,129.9
357,1033,2000MM03,127.1,130.0
358,1033,2000MM04,127.5,130.4
359,1033,2000MM05,127.5,130.5
360,1033,2000MM06,127.8,130.8
361,1033,2000MM07,128.9,131.9
362,1033,2000MM08,129.1,132.1
363,1033,2000MM09,129.7,132.7
364,1033,2000MM10,129.9,133.0
365,1033,2000MM11,130.0,133.1
366,1033,2000MM12,130.1,133.2
367,1033,2000JJ00,128.9,131.9
368,1033,2001MM01,130.9,134.0
369,1033,2001MM02,131.1,134.2
370,1033,2001MM03,131.5,134.6
371,1033,2001MM04,132.7,135.8
372,1033,2001MM05,133.3,136.5
373,1033,2001MM06,134.1,137.3
374,1033,2001MM07,135.6,138.8
375,1033,2001MM08,135.8,139.0
376,1033,2001MM09,135.9,139.2
377,1033,2001MM10,136.7,140.0
378,1033,2001MM11,136.8,140.0
379,1033,2001MM12,136.9,140.2
380,1033,2001JJ00,135.2,138.4
381,1033,2002MM01,137.8,141.1
382,1033,2002MM02,137.8,141.1
383,1033,2002MM03,138.2,141.5
384,1033,2002MM04,138.6,141.9
385,1033,2002MM05,139.0,142.3
386,1033,2002MM06,139.3,142.6
387,1033,2002MM07,140.6,143.9
388,1033,2002MM08,140.7,144.1
389,1033,2002MM09,141.1,144.5
390,1033,2002MM10,141.5,144.9
391,1033,2002MM11,141.5,144.9
392,1033,2002MM12,141.6,145.0
393,1033,2002JJ00,140.2,143.6
394,1033,2003MM01,142.6,146.0
395,1033,2003MM02,142.7,146.2
396,1033,2003MM03,142.9,146.3
397,1033,2003MM04,143.1,146.6
398,1033,2003MM05,143.7,147.1
399,1006,1999MM01,126.3,129.1
400,1006,1999MM02,126.3,129.1
401,1006,1999MM03,126.3,129.1
402,1006,1999MM04,126.3,129.1
403,1006,1999MM05,126.3,128.8
404,1006,1999MM06,126.3,129.1
405,1006,1999MM07,127.9,130.7
406,1006,1999MM08,128.0,130.8
407,1006,1999MM09,128.0,130.8
408,1006,1999MM10,128.0,130.8
409,1006,1999MM11,128.7,131.5
410,1006,1999MM12,128.7,131.5
411,1006,1999JJ00,127.9,130.7
412,1006,2000MM01,130.7,133.6
413,1006,2000MM02,130.7,133.6
414,1006,2000MM03,130.7,133.6
415,1006,2000MM04,130.7,133.6
416,1006,2000MM05,130.7,133.6
417,1006,2000MM06,130.7,133.6
418,1006,2000MM07,134.3,137.3
419,1006,2000MM08,134.6,137.5
420,1006,2000MM09,134.6,137.6
421,1006,2000MM10,134.6,137.6
422,1006,2000MM11,134.6,137.6
423,1006,2000MM12,134.6,137.6
424,1006,2000JJ00,133.5,136.4
425,1006,2001MM01,135.6,138.6
426,1006,2001MM02,135.6,138.6
427,1006,2001MM03,135.6,138.6
428,1006,2001MM04,135.6,138.6
429,1006,2001MM05,136.9,139.9
430,1006,2001MM06,136.9,139.9
431,1006,2001MM07,138.1,141.2
432,1006,2001MM08,138.2,141.2
433,1006,2001MM09,138.2,141.3
434,1006,2001MM10,138.4,141.4
435,1006,2001MM11,138.5,141.5
436,1006,2001MM12,138.5,141.5
437,1006,2001JJ00,137.7,140.8
438,1006,2002MM01,138.8,141.8
439,1006,2002MM02,140.6,143.6
440,1006,2002MM03,140.6,143.7
441,1006,2002MM04,140.6,143.7
442,1006,2002MM05,142.2,145.4
443,1006,2002MM06,142.2,145.4
444,1006,2002MM07,144.9,148.1
445,1006,2002MM08,144.9,148.1
446,1006,2002MM09,144.9,148.1
