ID,RegioS,Perioden,AlleLanden_1,Nederland_2,BuitenlandTotaal_3,EuropaExclusiefNederland_4,Duitsland_5,Belgie_6,GrootBrittannie_7,Frankrijk_8,Zwitserland_9,Italie_10,Spanje_11,Denemarken_12,Zweden_13,OverigeLandenEurozone_14,OverigEuropa_15,Amerika_16,Azie_17,AustralieEnOceanie_18,Afrika_19,AlleLanden_20,Nederland_21,BuitenlandTotaal_22,EuropaExclusiefNederland_23,Duitsland_24,Belgie_25,GrootBrittannie_26,Frankrijk_27,Zwitserland_28,Italie_29,Spanje_30,Denemarken_31,Zweden_32,OverigeLandenEurozone_33,OverigEuropa_34,Amerika_35,Azie_36,AustralieEnOceanie_37,Afrika_38
0,NL01  ,1998MM01,1127.4,682.8,444.7,343.5,99.5,31.2,86.7,24.4,5.9,20.1,8.5,5.1,,,62.2,60.4,30.5,6.1,4.1,2619.3,1647.3,972.0,635.3,277.6,70.1,160.5,45.1,11.2,42.4,18.6,9.8,,,129.8,123.7,60.7,12.2,10.3
1,NL01  ,1998MM02,1228.5,750.2,478.3,382.7,105.9,37.2,104.9,26.5,5.6,14.4,9.4,5.0,,,73.9,56.4,30.5,4.3,4.4,2943.0,1928.3,1014.7,671.7,263.2,82.4,210.3,49.2,10.1,27.6,19.7,9.2,,,146.4,114.3,62.7,8.1,11.5
2,NL01  ,1998MM03,1432.9,819.4,613.4,473.4,130.8,38.0,130.8,31.4,9.0,20.2,11.6,8.4,,,93.2,79.1,48.3,7.5,5.2,3275.0,1977.3,1297.7,842.4,357.9,81.9,253.0,54.5,16.1,39.5,22.7,16.8,,,182.7,154.5,92.9,14.3,11.0
3,NL01  ,1998KW01,3788.8,2252.4,1536.4,1199.6,336.2,106.4,322.4,82.2,20.4,54.7,29.4,18.5,,,229.3,195.9,109.3,17.8,13.7,8837.3,5552.9,3284.4,2149.4,898.7,234.4,623.8,148.8,37.4,109.5,61.0,35.8,,,458.9,392.5,216.4,34.5,32.7
4,NL01  ,1998MM04,2037.5,1064.6,972.9,688.4,329.4,65.5,156.2,51.8,16.5,26.4,18.4,13.8,,,10.2,5.9,123.6,93.7,61.3,5635.1,2991.9,2643.3,2056.3,1269.4,183.8,339.1,104.2,34.7,53.3,37.9,33.9,,,253.1,187.6,110.7,22.1,13.4
5,NL01  ,1998MM05,2645.7,1657.1,988.6,670.3,299.3,57.0,157.4,56.3,16.5,31.5,25.4,13.6,,,13.3,6.4,125.6,122.8,63.4,7456.3,5131.1,2325.3,1687.8,970.5,131.6,316.8,99.5,34.1,58.8,48.9,27.6,,,244.9,237.1,112.1,27.9,15.4
6,NL01  ,1998MM06,2440.2,1538.2,902.0,584.0,299.3,42.5,131.1,35.2,13.4,22.3,17.5,9.2,,,13.5,7.0,117.1,135.7,58.3,8015.1,5449.1,2566.0,1904.2,1331.7,119.9,261.3,64.3,25.7,45.3,35.2,20.7,,,238.5,258.9,115.3,29.2,19.9
7,NL01  ,1998KW02,7123.4,4259.9,2863.5,2272.0,928.0,165.0,444.7,143.3,46.5,80.1,61.3,36.7,,,366.3,352.2,183.0,37.0,19.3,21106.5,13572.0,7534.5,5648.3,3571.6,435.2,917.2,268.1,94.5,157.4,122.0,82.2,,,736.5,683.6,338.1,79.3,48.7
8,NL01  ,1998MM07,2580.9,1554.8,1026.1,816.7,339.4,72.6,142.7,46.1,18.6,31.9,25.9,17.8,,,121.8,127.6,55.1,15.7,11.0,11750.4,8185.4,3565.1,2883.7,2018.6,248.0,306.8,95.8,47.4,65.1,53.6,48.6,,,265.1,247.2,111.5,31.5,26.1
9,NL01  ,1998MM08,3138.0,1992.3,1145.7,941.6,379.8,76.7,156.0,53.5,14.5,91.2,40.7,9.0,,,120.2,117.6,64.6,14.1,7.9,15723.0,11879.5,3843.5,3136.4,2007.8,266.4,394.3,115.8,36.8,204.3,89.2,21.6,,,273.6,250.8,135.1,28.2,19.5
10,NL01  ,1998MM09,2173.8,1324.5,849.3,650.3,220.0,53.7,153.4,38.8,11.6,28.1,21.5,9.3,,,113.8,114.6,59.1,15.7,9.7,6547.5,4354.0,2193.5,1582.7,898.2,153.0,309.5,66.7,24.7,68.2,44.0,18.5,,,229.8,216.9,111.5,29.1,23.5
11,NL01  ,1998KW03,7892.7,4871.6,3021.1,2408.6,939.1,203.1,452.1,138.4,44.6,151.2,88.1,36.1,,,355.7,359.7,178.8,45.4,28.6,34020.9,24418.8,9602.1,7602.8,4924.6,667.4,1010.6,278.3,108.9,337.6,186.7,88.7,,,768.4,715.0,358.0,88.8,69.0
12,NL01  ,1998MM10,2041.3,1245.1,796.2,628.2,232.8,46.9,148.2,34.1,12.0,20.4,15.3,9.2,,,109.4,101.2,46.9,12.9,6.9,5827.2,3719.1,2108.0,1568.2,969.6,117.7,301.5,61.2,26.2,43.3,30.9,18.0,,,206.4,195.7,93.7,25.0,19.0
13,NL01  ,1998MM11,1551.4,935.7,615.7,487.6,128.3,57.0,130.5,30.0,7.5,18.6,11.9,7.9,,,95.9,75.6,38.5,7.6,6.5,3658.4,2267.1,1391.3,933.4,382.5,154.5,250.2,53.5,13.8,37.4,24.7,16.8,,,191.7,152.5,75.6,22.0,16.1
14,NL01  ,1998MM12,1290.4,812.5,477.9,374.6,96.8,36.4,100.1,28.3,6.5,23.9,9.4,5.4,,,67.8,59.0,34.2,5.3,4.8,3346.4,2298.1,1048.3,696.5,259.3,94.9,189.9,54.6,13.6,52.8,20.3,10.9,,,146.9,113.1,70.5,9.8,11.5
15,NL01  ,1998KW04,4883.1,2993.2,1889.8,1490.4,457.9,140.3,378.8,92.4,26.0,62.8,36.5,22.5,,,273.1,235.8,119.5,25.8,18.2,12832.0,8284.4,4547.6,3198.1,1611.4,367.1,741.6,169.3,53.6,133.5,75.9,45.7,,,545.0,461.3,239.8,56.8,46.6
16,NL01  ,1998JJ00,23688.0,14377.2,9310.8,7370.6,2661.2,614.8,1598.1,456.4,137.5,348.8,215.4,113.9,,,1224.5,1143.7,590.7,126.1,79.8,76796.7,51828.1,24968.6,18598.7,11006.4,1704.2,3293.2,864.6,294.3,738.0,445.6,252.4,,,2508.8,2252.3,1152.3,259.4,197.1
17,NL01  ,1999MM01,1233.6,721.9,511.6,401.2,119.9,34.3,100.0,30.0,6.5,19.0,9.5,4.9,,,77.1,68.6,29.0,6.5,6.3,3041.5,1852.5,1189.0,964.2,393.3,81.1,190.5,58.2,12.5,40.1,18.8,9.7,,,160.0,143.7,54.1,13.4,13.6
18,NL01  ,1999MM02,1363.9,844.2,519.8,407.3,105.3,38.9,123.4,27.9,6.2,14.1,10.6,5.0,,,76.0,68.7,31.9,5.7,6.1,3433.0,2266.6,1166.4,936.9,313.2,85.0,244.9,55.7,10.4,29.1,20.7,9.3,,,168.5,142.9,61.0,10.7,14.8
19,NL01  ,1999MM03,1566.4,900.7,665.7,514.0,137.7,41.3,155.8,31.8,10.3,21.0,17.4,7.3,,,91.5,96.3,41.5,6.9,7.0,3751.1,2268.0,1483.1,1171.1,392.4,91.8,321.7,59.6,18.7,41.3,37.2,15.1,,,193.2,195.7,83.4,13.7,19.2
20,NL01  ,1999KW01,4163.9,2466.9,1697.0,1322.5,362.8,114.5,379.3,89.7,23.0,54.1,37.5,17.2,,,244.6,233.5,102.4,19.1,19.5,10225.5,6387.0,3838.5,3072.3,1098.9,258.0,757.1,173.5,41.6,110.5,76.8,34.1,,,521.7,482.2,198.6,37.7,47.7
21,NL01  ,1999MM04,2271.2,1205.0,1066.2,773.0,372.6,71.1,182.6,59.5,17.8,26.3,18.0,13.0,,,12.0,6.1,119.5,114.1,53.4,6239.8,3327.3,2912.4,2547.8,1384.9,212.5,410.4,121.0,48.3,54.3,39.2,29.7,,,247.5,230.1,96.7,23.5,14.3
22,NL01  ,1999MM05,3002.9,1974.2,1028.7,727.9,361.9,64.4,159.9,55.1,15.7,22.9,15.8,11.4,,,20.8,7.7,108.3,125.0,59.9,9635.1,7054.4,2580.6,2158.9,1187.5,171.4,332.4,106.0,33.2,47.9,33.5,24.9,,,222.2,253.0,109.5,42.6,16.5
23,NL01  ,1999MM06,2444.8,1518.6,926.2,630.0,315.8,45.7,149.7,39.0,13.6,23.6,19.1,10.0,,,13.4,10.2,109.8,125.2,51.0,7761.9,5066.5,2695.5,2285.5,1395.8,112.1,325.8,84.0,28.4,48.7,39.5,22.5,,,228.7,260.7,97.1,28.2,24.0
24,NL01  ,1999KW02,7718.9,4697.8,3021.1,2422.1,1050.3,181.1,492.2,153.7,47.1,72.8,52.9,34.4,,,337.6,364.4,164.3,46.3,24.0,23636.8,15448.2,8188.5,6992.2,3968.2,495.9,1068.6,310.9,109.8,150.9,112.3,77.1,,,698.4,743.9,303.3,94.3,54.8
25,NL01  ,1999MM07,2964.1,1765.4,1198.7,983.8,479.0,79.9,150.4,46.0,18.3,42.8,32.3,19.1,,,116.1,124.3,62.2,17.6,10.8,13261.4,8853.5,4407.8,3953.0,2729.9,264.6,347.9,97.2,49.0,82.6,70.3,51.8,,,259.8,264.6,125.0,38.3,26.9
26,NL01  ,1999MM08,3165.6,1994.2,1171.4,966.5,378.5,70.7,166.6,58.5,17.7,102.6,50.3,10.1,,,111.3,110.9,61.8,17.4,14.9,15160.1,11345.6,3814.5,3365.9,1861.8,247.1,445.1,127.0,42.7,238.2,123.2,22.1,,,258.7,248.9,132.4,32.3,35.1
27,NL01  ,1999MM09,2332.0,1486.0,846.0,673.9,263.2,59.8,158.0,33.2,12.9,24.1,19.1,7.5,,,96.2,97.3,52.9,12.6,9.4,6989.7,4680.6,2309.1,1950.0,1043.1,157.6,340.7,62.4,25.5,52.7,45.9,14.6,,,207.6,203.2,104.9,26.1,25.0
28,NL01  ,1999KW03,8461.7,5245.6,3216.1,2624.2,1120.7,210.4,475.0,137.7,48.8,169.5,101.7,36.7,,,323.7,332.4,177.0,47.5,35.0,35411.2,24879.7,10531.5,9268.9,5634.8,669.2,1133.6,286.6,117.2,373.4,239.5,88.4,,,726.1,716.6,362.3,96.7,87.0
29,NL01  ,1999MM10,2141.5,1331.0,810.5,652.0,270.9,43.5,145.4,32.2,13.7,18.3,13.8,8.7,,,105.3,94.8,43.8,10.3,9.5,6305.9,4035.2,2270.7,1948.3,1142.7,95.5,310.4,58.3,30.0,41.9,29.9,17.7,,,222.0,192.5,84.0,20.8,25.1
30,NL01  ,1999MM11,1671.5,1008.0,663.5,517.7,141.3,60.6,138.6,31.6,11.7,17.0,13.3,7.3,,,96.5,80.6,44.5,8.4,12.3,3941.7,2444.3,1497.4,1190.3,404.7,167.5,272.9,59.5,21.1,36.3,26.6,13.6,,,188.1,169.1,99.6,15.5,22.8
31,NL01  ,1999MM12,1349.4,883.8,465.6,366.8,99.6,36.8,95.9,27.5,8.7,18.2,9.9,4.1,,,66.2,55.7,29.6,6.4,7.1,3443.0,2336.4,1106.5,874.4,289.1,85.7,201.3,53.1,15.8,45.1,22.2,8.3,,,153.8,122.9,67.7,16.7,24.8
32,NL01  ,1999KW04,5162.4,3222.7,1939.7,1536.6,511.8,140.9,379.9,91.3,34.1,53.6,37.0,20.1,,,268.0,231.2,117.9,25.1,28.9,13690.6,8815.9,4874.7,4013.0,1836.5,348.7,784.6,170.9,66.8,123.3,78.8,39.6,,,563.8,484.6,251.3,53.1,72.7
33,NL01  ,1999JJ00,25506.9,15633.0,9874.0,7905.4,3045.6,646.9,1726.4,472.3,153.0,350.0,229.1,108.3,,,1173.8,1161.5,561.6,138.1,107.4,82964.0,55530.9,27433.1,23346.4,12538.5,1771.9,3743.9,941.9,335.5,758.2,507.3,239.2,,,2510.1,2427.3,1115.5,281.7,262.2
34,NL01  ,2000MM01,1253.4,753.2,500.2,394.8,120.4,35.5,105.2,26.6,6.9,19.9,11.1,4.9,,,64.4,62.6,30.6,6.9,5.3,3153.8,2001.2,1152.6,938.1,386.8,78.4,204.1,47.7,13.0,44.2,20.6,8.5,,,134.8,129.7,59.8,13.0,12.0
35,NL01  ,2000MM02,1320.0,793.3,526.7,415.5,96.9,37.5,131.3,33.6,7.6,14.3,10.8,5.5,,,78.0,64.9,34.7,5.4,6.3,3079.2,1966.6,1112.6,885.7,251.9,74.2,267.0,63.6,13.3,26.4,20.6,10.1,,,158.6,129.3,71.6,9.9,16.1
36,NL01  ,2000MM03,1669.5,1023.2,646.3,508.1,143.5,43.1,148.0,36.8,8.8,17.7,15.6,8.1,,,86.4,84.9,38.6,5.7,9.0,4174.2,2713.4,1460.8,1179.2,424.3,104.5,298.4,71.7,16.6,36.1,31.2,16.1,,,180.2,168.3,80.1,12.1,21.1
37,NL01  ,2000KW01,4242.8,2569.6,1673.2,1318.3,360.8,116.2,384.5,97.0,23.3,51.8,37.5,18.5,,,228.7,212.4,103.9,18.1,20.5,10407.3,6681.3,3726.0,3003.0,1063.0,257.2,769.5,183.0,42.8,106.8,72.3,34.7,,,473.7,427.2,211.5,35.1,49.3
38,NL01  ,2000MM04,2379.2,1295.5,1083.8,895.7,368.8,74.9,190.4,61.5,17.8,33.1,20.7,16.5,,,112.0,112.9,58.5,7.2,9.4,6789.7,3748.5,3041.2,2669.3,1422.3,233.0,442.9,130.2,38.1,71.9,44.7,46.6,,,239.6,229.3,105.6,16.0,20.9
39,NL01  ,2000MM05,2560.6,1619.9,940.7,740.6,275.1,56.0,174.4,52.7,15.3,24.4,15.8,10.7,,,116.2,124.9,54.3,10.0,11.0,7375.1,5048.3,2326.8,1927.4,936.3,135.2,374.7,104.8,32.0,51.1,33.9,23.1,,,236.4,250.0,103.6,23.1,22.8
40,NL01  ,2000MM06,2910.4,1848.8,1061.6,867.0,393.3,58.7,161.9,44.5,12.7,23.4,21.4,14.4,,,136.7,123.6,47.7,12.3,11.1,9437.7,6486.0,2951.8,2572.7,1511.1,156.7,351.6,85.8,30.2,49.6,46.9,32.8,,,308.1,240.6,88.0,26.0,24.4
41,NL01  ,2000KW02,7850.2,4764.2,3086.1,2503.4,1037.1,189.7,526.7,158.8,45.9,80.9,57.8,41.6,,,364.9,361.3,160.5,29.5,31.5,23602.6,15282.8,8319.8,7169.4,3869.7,524.9,1169.1,320.7,100.2,172.6,125.5,102.5,,,784.1,719.9,297.3,65.2,68.1
42,NL01  ,2000MM07,2794.7,1672.0,1122.7,903.2,371.8,79.4,163.0,49.5,19.2,40.8,34.7,18.5,,,126.2,137.1,58.7,13.1,10.6,12091.3,8230.5,3860.8,3413.5,2094.8,260.6,367.0,106.5,52.9,97.4,82.0,50.3,,,302.0,281.6,112.0,28.4,25.3
43,NL01  ,2000MM08,3203.6,1994.8,1208.8,999.9,353.5,85.0,182.7,70.7,16.2,116.7,59.9,9.1,,,106.1,117.4,58.8,20.7,12.1,14814.2,10928.0,3886.3,3439.3,1791.4,296.1,463.7,160.1,41.6,254.1,151.4,21.6,,,259.4,249.5,124.7,42.9,29.9
44,NL01  ,2000MM09,2487.0,1575.5,911.5,703.8,271.0,60.6,168.0,38.9,11.6,22.7,20.0,8.9,,,102.1,116.6,61.4,19.4,10.2,7529.4,5009.5,2519.9,2105.1,1118.8,177.0,372.7,71.8,25.6,49.6,42.9,16.4,,,230.3,231.9,116.4,40.7,25.8
45,NL01  ,2000KW03,8485.3,5242.3,3243.0,2606.9,996.4,225.0,513.7,159.2,47.0,180.1,114.7,36.5,,,334.4,371.1,178.9,53.3,32.8,34434.9,24167.9,10267.0,8957.9,5004.9,733.7,1203.4,338.4,120.1,401.0,276.3,88.3,,,791.7,763.1,353.2,112.0,80.9
46,NL01  ,2000MM10,2190.6,1346.4,844.2,651.4,267.7,50.1,153.6,36.1,12.2,18.2,16.1,11.0,,,86.3,110.5,58.4,14.4,9.4,6370.4,4040.1,2330.3,1947.6,1131.1,125.6,317.4,70.9,26.4,38.8,35.7,22.9,,,178.8,213.5,119.9,28.6,20.7
47,NL01  ,2000MM11,1663.4,1006.7,656.7,499.8,126.9,56.8,146.7,32.6,8.9,19.3,13.6,7.7,,,87.2,94.6,49.4,6.6,6.3,4006.1,2521.9,1484.1,1153.9,366.9,152.4,290.9,61.7,17.2,39.1,27.3,16.0,,,182.3,200.7,100.7,14.0,14.8
