ID,Toeristengebieden,Perioden,AlleLanden_1,Nederland_2,BuitenlandTotaal_3,EuropaExclusiefNederland_4,Duitsland_5,Belgie_6,GrootBrittannie_7,Frankrijk_8,Zwitserland_9,Italie_10,Spanje_11,Denemarken_12,Zweden_13,OverigeLandenEurozone_14,OverigEuropa_15,Amerika_16,Azie_17,AustralieEnOceanie_18,Afrika_19,AlleLanden_20,Nederland_21,BuitenlandTotaal_22,EuropaExclusiefNederland_23,Duitsland_24,Belgie_25,GrootBrittannie_26,Frankrijk_27,Zwitserland_28,Italie_29,Spanje_30,Denemarken_31,Zweden_32,OverigeLandenEurozone_33,OverigEuropa_34,Amerika_35,Azie_36,AustralieEnOceanie_37,Afrika_38
0,NL01  ,1998JJ00,23688.0,14377.2,9310.8,7370.6,2661.2,614.8,1598.1,456.4,137.5,348.8,215.4,113.9,,,1224.5,1143.7,590.7,126.1,79.8,76796.3,51828.1,24968.2,21107.5,11006.4,1704.2,3293.2,864.6,294.3,738.0,445.6,252.4,,,2508.8,2252.3,1152.3,259.0,197.1
1,NL01  ,1999JJ00,25569.3,15688.3,9881.0,7912.3,3052.1,648.3,1726.2,472.1,153.0,349.8,229.0,108.2,,,1173.6,1161.5,561.6,138.2,107.4,83297.9,55822.2,27475.7,23388.4,12565.7,1778.1,3747.6,941.8,336.1,757.6,506.9,239.0,,,2515.6,2427.2,1115.3,282.1,262.6
2,NL01  ,2000JJ00,25876.4,15873.3,10003.1,7957.1,2884.3,676.8,1837.9,512.4,144.1,374.3,250.5,118.8,,,1157.9,1215.8,594.9,127.6,107.8,82571.4,55310.3,27261.1,23121.8,11715.9,1881.9,3982.4,1029.9,320.3,809.1,561.1,271.2,,,2549.9,2453.3,1166.5,268.2,251.4
3,NL01  ,2001JJ00,25185.6,15685.7,9499.9,7478.9,2656.8,628.8,1939.2,455.4,121.5,342.6,258.6,104.5,,,971.4,1202.9,563.5,114.1,140.5,80474.7,54973.0,25501.7,21472.7,10706.9,1683.6,4168.4,892.6,257.6,767.7,582.1,235.1,,,2178.7,2418.0,1087.9,226.3,296.8
4,NL01  ,2002JJ00,25164.3,15569.0,9595.3,7591.6,2754.5,704.8,1851.2,511.2,127.4,345.7,275.8,102.6,111.6,306.1,500.7,1099.7,624.4,106.8,172.8,82371.4,56003.7,26367.7,22427.0,11481.5,1941.4,4016.2,997.9,287.8,775.4,607.0,226.1,222.6,689.4,1181.7,2167.5,1196.6,208.7,367.9
5,NL01  ,2003JJ00,24942.3,15761.6,9180.6,7431.8,2803.0,779.3,1646.0,465.2,114.7,338.9,274.7,116.0,105.8,290.9,497.3,996.1,530.6,91.5,130.6,81205.9,55864.3,25341.5,21923.8,11350.3,2137.0,3484.4,954.9,264.6,786.2,629.9,265.5,224.6,666.1,1160.2,1937.0,1017.3,189.6,273.8
6,NL01  ,2004JJ00,25667.4,16021.2,9646.2,7643.8,2649.0,811.3,1759.8,510.4,141.1,368.6,297.8,126.4,111.7,305.6,562.3,1131.5,635.6,118.1,117.3,80902.9,55518.4,25384.6,21649.6,10612.1,2186.7,3562.1,1015.7,331.2,851.5,675.0,286.5,210.4,693.1,1225.2,2119.5,1146.7,233.2,235.6
7,NL01  ,2005JJ00,26194.0,16182.1,10011.8,7939.9,2569.6,917.4,1852.6,526.7,141.4,374.1,322.3,147.7,110.6,335.5,642.0,1222.2,643.5,105.2,101.1,80160.7,54950.7,25210.0,21502.5,10043.5,2392.3,3662.9,1016.5,303.7,838.4,710.3,304.5,195.3,702.6,1332.3,2150.0,1124.5,206.1,226.9
8,NL01  ,2006JJ00,28503.3,17764.7,10738.6,8598.4,2812.4,990.6,1912.7,607.6,173.0,397.5,391.6,170.8,113.7,359.0,669.5,1325.0,602.0,120.6,92.7,83943.4,57056.8,26886.6,22992.0,10630.0,2541.8,3744.9,1229.9,390.6,856.2,840.2,373.0,230.9,768.6,1385.9,2378.6,1089.2,243.7,183.1
9,NL01  ,2007JJ00,30260.2,19252.3,11008.0,8904.0,2832.9,1100.7,1902.5,612.7,176.5,398.1,435.5,163.0,116.3,400.6,765.2,1273.6,617.2,121.3,91.9,88267.0,60314.8,27952.2,24107.2,10980.9,2863.7,3802.0,1248.5,381.9,845.5,965.9,340.4,223.0,881.5,1573.8,2299.9,1118.9,244.8,181.4
