ID,Perioden,ConsumentenvertrouwenEurozone_1,ProducentenvertrouwenIndustrieEurozone_2,BrutoBinnenlandsProductMpEurozone_3
0,1999MM01,0,-10,
1,1999MM02,0,-11,
2,1999MM03,-2,-11,
3,1999KW01,-1,-11,2.1
4,1999MM04,-5,-10,
5,1999MM05,-6,-10,
6,1999MM06,-6,-9,
7,1999KW02,-6,-10,2.4
8,1999MM07,-4,-8,
9,1999MM08,-4,-7,
10,1999MM09,-4,-5,
11,1999KW03,-4,-7,3.1
12,1999MM10,-2,-3,
13,1999MM11,-1,-1,
14,1999MM12,0,0,
15,1999KW04,-1,-1,4.1
16,1999JJ00,-3,-7,3.0
17,2000MM01,1,0,
18,2000MM02,1,2,
19,2000MM03,2,4,
20,2000KW01,1,2,4.4
21,2000MM04,2,4,
22,2000MM05,2,6,
23,2000MM06,1,5,
24,2000KW02,2,5,4.7
25,2000MM07,2,5,
26,2000MM08,2,5,
27,2000MM09,-1,5,
28,2000KW03,1,5,3.8
29,2000MM10,0,4,
30,2000MM11,1,4,
31,2000MM12,2,2,
32,2000KW04,1,3,3.3
33,2000JJ00,1,4,3.9
34,2001MM01,2,1,
35,2001MM02,1,0,
36,2001MM03,1,-3,
37,2001KW01,1,-1,2.9
38,2001MM04,0,-5,
39,2001MM05,-2,-7,
40,2001MM06,-3,-8,
41,2001KW02,-2,-7,2.1
42,2001MM07,-6,-10,
43,2001MM08,-9,-11,
44,2001MM09,-9,-15,
45,2001KW03,-8,-12,1.7
46,2001MM10,-10,-17,
47,2001MM11,-13,-19,
48,2001MM12,-11,-16,
49,2001KW04,-11,-17,1.0
50,2001JJ00,-5,-9,1.9
51,2002MM01,-11,-15,
52,2002MM02,-10,-13,
53,2002MM03,-9,-11,
54,2002KW01,-10,-13,0.5
55,2002MM04,-9,-11,
56,2002MM05,-8,-9,
57,2002MM06,-9,-10,
58,2002KW02,-9,-10,0.8
59,2002MM07,-10,-12,
60,2002MM08,-11,-13,
61,2002MM09,-9,-10,
62,2002KW03,-10,-12,1.1
63,2002MM10,-12,-10,
64,2002MM11,-14,-10,
65,2002MM12,-16,-11,
66,2002KW04,-14,-10,1.1
67,2002JJ00,-11,-11,0.9
68,2003MM01,-18,-11,
69,2003MM02,-19,-11,
70,2003MM03,-21,-12,
71,2003KW01,-19,-11,1.0
72,2003MM04,-19,-12,
73,2003MM05,-20,-12,
74,2003MM06,-19,-13,
75,2003KW02,-19,-12,0.5
76,2003MM07,-19,-14,
77,2003MM08,-17,-11,
78,2003MM09,-17,-9,
79,2003KW03,-18,-11,0.6
80,2003MM10,-17,-9,
81,2003MM11,-16,-7,
82,2003MM12,-16,-9,
83,2003KW04,-16,-8,1.0
84,2003JJ00,-18,-11,0.8
85,2004MM01,-15,-7,
86,2004MM02,-14,-7,
87,2004MM03,-14,-7,
88,2004KW01,-14,-7,1.6
89,2004MM04,-14,-5,
90,2004MM05,-15,-5,
91,2004MM06,-14,-5,
92,2004KW02,-14,-5,2.0
93,2004MM07,-15,-4,
94,2004MM08,-14,-4,
95,2004MM09,-13,-3,
96,2004KW03,-14,-4,1.7
97,2004MM10,-13,-3,
98,2004MM11,-13,-4,
99,2004MM12,-13,-4,
100,2004KW04,-13,-4,1.5
101,2004JJ00,-14,-5,1.9
102,2005MM01,-13,-5,
103,2005MM02,-13,-7,
104,2005MM03,-14,-8,
105,2005KW01,-13,-7,1.2
106,2005MM04,-13,-10,
107,2005MM05,-15,-11,
108,2005MM06,-15,-10,
109,2005KW02,-14,-10,1.3
110,2005MM07,-15,-8,
111,2005MM08,-15,-8,
112,2005MM09,-14,-7,
113,2005KW03,-15,-8,1.7
114,2005MM10,-13,-6,
115,2005MM11,-13,-6,
116,2005MM12,-11,-5,
117,2005KW04,-12,-6,1.8
118,2005JJ00,-14,-8,1.4
119,2006MM01,-11,-4,
120,2006MM02,-10,-2,
121,2006MM03,-11,-1,
122,2006KW01,-11,-2,2.2
123,2006MM04,-11,2,
124,2006MM05,-9,2,
125,2006MM06,-9,3,
126,2006KW02,-10,2,2.8
127,2006MM07,-8,4,
128,2006MM08,-9,2,
129,2006MM09,-8,4,
130,2006KW03,-8,3,2.7
131,2006MM10,-8,5,
132,2006MM11,-7,6,
133,2006MM12,-6,6,
134,2006KW04,-7,6,
135,2006JJ00,-9,2,
