ID,Kenmerken,Perioden,TotaalAantalDagtochten_1,TotaalZonnenZwemmenEnDergelijke_2,OpStrandBijDeZee_3,OpStrandBijMeerPlas_4,InOpenluchtzwembad_5,NietAanHetWater_6,InBinnenbad_7,TotaalSportEnSportieveRecreatie_8,Wandelen_9,Fietsen_10,Golfen_11,Watersport_12,Vissen_13,Paardrijden_14,TrimmenHardlopenFitnessED_15,Schaatsen_16,OverigeBinnensport_17,OverigeBuitensport_18,ToeschouwerBegeleiderBijSport_19,Toeren_20,TotaalBezoekAttractiepuntED_21,TotaalBezoekAttractiepunt_22,BezoekSpeeltuinUitspanning_23,BezoekPretparkED_24,BezoekAanDierentuinVogelparkED_25,BezoekKinderboerderijHeemtuinED_26,TotaalBezoekBezienswaardigheid_27,BezoekOudeStadDorp_28,BezoekMuseum_29,BezoekMonumentenED_30,TotaalBezoekEvenement_31,BezoekJaarmarktBraderieCorsoED_32,BezoekBeursTentoonstellingShow_33,BezoekOverigeEvenementen_34,RecreatiefWinkelen_35,TotaalUitgaan_36,TotaalFilmToneelConcertED_37,NaarDeFilm_38,NaarToneelConcertBalletED_39,TotaalOverigUitgaan_40,TerrasjeZittenKoffieDrinkenED_41,UitEtenGaan_42,BarCafebezoek_43,KermisCircus_44,DiscoBowling_45,OverigUitgaan_46,TotaalOverigeDagtochten_47,BezoekDenksportActiviteit_48,VerenigingsactiviteitenHobbyclubsED_49,BezoekKinderactiviteiten_50,BezoekVolkstuin_51,BezoekNatuurEnOverigeActiviteiten_52,TotaalAantalDagtochten_53,TotaalZonnenEnDergelijke_54,OpStrandBijDeZee_55,OpStrandBijMeerPlas_56,InOpenluchtzwembad_57,NietAanHetWater_58,InBinnenbad_59,TotaalSportEnSportieveRecreatie_60,Wandelen_61,Fietsen_62,Golfen_63,Watersport_64,Vissen_65,Paardrijden_66,TrimmenHardlopenFitnessED_67,Schaatsen_68,OverigeBinnensport_69,OverigeBuitensport_70,ToeschouwerBegeleiderBijSport_71,Toeren_72,TotaalBezoekAttractiepuntED_73,TotaalBezoekAttractiepunt_74,BezoekSpeeltuinUitspanning_75,BezoekPretparkED_76,BezoekAanDierentuinVogelparkED_77,BezoekKinderboerderijHeemtuinED_78,TotaalBezoekBezienswaardigheid_79,BezoekOudeStadDorp_80,BezoekMuseum_81,BezoekMonumentenED_82,TotaalBezoekEvenement_83,BezoekJaarmarktBraderieCorsoED_84,BezoekBeursTentoonstellingShow_85,BezoekOverigeEvenementen_86,RecreatiefWinkelen_87,TotaalUitgaan_88,TotaalFilmToneelConcertED_89,NaarDeFilm_90,NaarToneelConcertBalletED_91,TotaalOverigUitgaan_92,TerrasjeZittenKoffieDrinkenED_93,UitEtenGaan_94,BarCafebezoek_95,KermisCircus_96,DiscoBowling_97,OverigUitgaan_98,TotaalOverigeDagtochten_99,BezoekDenksportActiviteit_100,VerenigingsactiviteitenHobbyclubsED_101,BezoekKinderactiviteiten_102,BezoekVolkstuin_103,BezoekNatuurEnOverigeActiviteiten_104
0, 1,1990SJ00,867493.0,59530.0,9074.0,8788.0,9113.0,3928.0,28627.0,264406.0,59785.0,37516.0,1921.0,6865.0,5900.0,9492.0,18301.0,13517.0,57884.0,53223.0,27274.0,20458.0,81105.0,27661.0,5568.0,7125.0,7634.0,7333.0,25374.0,6189.0,10624.0,8562.0,28069.0,12460.0,9824.0,5785.0,128680.0,167495.0,35379.0,13649.0,21730.0,132116.0,6384.0,40585.0,31719.0,8196.0,27690.0,17542.0,118545.0,9583.0,91557.0,6263.0,5309.0,5832.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1, 1,1995SJ00,935768.0,53213.0,8604.0,4877.0,5756.0,4459.0,29517.0,297731.0,59383.0,42971.0,3779.0,5389.0,5952.0,12141.0,31241.0,16982.0,62915.0,56977.0,33141.0,17378.0,89794.0,32787.0,6143.0,8444.0,9435.0,8765.0,25171.0,6447.0,9663.0,9060.0,31836.0,13411.0,11777.0,6649.0,129065.0,186195.0,41307.0,17450.0,23857.0,144889.0,4818.0,43205.0,47665.0,7928.0,22280.0,18991.0,129252.0,10155.0,97154.0,8488.0,4117.0,9338.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2, 1,2001SJ00,981624.0,58049.0,10597.0,6202.0,6868.0,4780.0,29476.0,304503.0,65907.0,47855.0,6225.0,7166.0,3782.0,11544.0,33446.0,5662.0,59568.0,63027.0,36301.0,21473.0,109830.0,46539.0,12037.0,10561.0,10965.0,12977.0,28890.0,6460.0,11236.0,11193.0,34212.0,13000.0,10051.0,10982.0,112786.0,223647.0,58039.0,26255.0,31783.0,165608.0,9502.0,55131.0,54306.0,8286.0,19276.0,19106.0,115037.0,8100.0,83837.0,7526.0,3447.0,12039.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
3, 1,2006SJ00,906642.0,41373.0,6741.0,2782.0,3146.0,4905.0,23435.0,250796.0,48101.0,34828.0,6773.0,7244.0,3361.0,7656.0,28427.0,3756.0,48018.0,60403.0,37991.0,10918.0,119016.0,48822.0,15209.0,9952.0,13656.0,10005.0,32034.0,8302.0,12657.0,11075.0,37569.0,15446.0,9202.0,12007.0,134286.0,216297.0,56681.0,24933.0,31748.0,159616.0,8308.0,63312.0,43075.0,7553.0,15780.0,20692.0,95967.0,8486.0,59725.0,9191.0,1883.0,15100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
4, 2,1990SJ00,200028.0,8433.0,194.0,42.0,0.0,225.0,7972.0,64199.0,14302.0,2930.0,467.0,39.0,258.0,1832.0,4632.0,12710.0,19614.0,7414.0,4056.0,2467.0,10399.0,1861.0,179.0,31.0,775.0,876.0,4347.0,845.0,2126.0,1376.0,4192.0,1825.0,2187.0,179.0,33612.0,44728.0,9792.0,3939.0,5853.0,34936.0,752.0,10402.0,9451.0,174.0,9210.0,4947.0,32134.0,2320.0,26665.0,1727.0,93.0,1329.0,23.0,14.0,2.0,0.0,0.0,6.0,28.0,24.0,24.0,8.0,24.0,1.0,4.0,19.0,25.0,94.0,34.0,14.0,15.0,12.0,13.0,7.0,3.0,0.0,10.0,12.0,17.0,14.0,20.0,16.0,15.0,15.0,22.0,3.0,26.0,27.0,28.0,29.0,27.0,26.0,12.0,26.0,30.0,33.0,2.0,28.0,27.0,24.0,29.0,28.0,2.0,23.0
5, 2,1995SJ00,222965.0,8135.0,133.0,45.0,0.0,153.0,7804.0,74689.0,12503.0,2566.0,546.0,147.0,188.0,3528.0,9991.0,15831.0,21504.0,7885.0,5362.0,1906.0,12854.0,2149.0,174.0,143.0,516.0,1316.0,4840.0,1104.0,2265.0,1471.0,5864.0,2685.0,3011.0,168.0,31811.0,51574.0,12788.0,6292.0,6496.0,38786.0,282.0,11299.0,14854.0,271.0,6536.0,5544.0,36635.0,3384.0,28022.0,2425.0,382.0,2420.0,24.0,15.0,2.0,1.0,0.0,3.0,26.0,25.0,21.0,6.0,14.0,3.0,3.0,29.0,32.0,93.0,34.0,14.0,16.0,11.0,14.0,7.0,3.0,2.0,5.0,15.0,19.0,17.0,23.0,16.0,18.0,20.0,26.0,3.0,25.0,28.0,31.0,36.0,27.0,27.0,6.0,26.0,31.0,29.0,3.0,29.0,28.0,33.0,29.0,29.0,9.0,26.0
6, 2,2001SJ00,226224.0,8344.0,129.0,19.0,80.0,136.0,7979.0,67735.0,18016.0,3578.0,674.0,221.0,367.0,2475.0,9356.0,3630.0,19111.0,10246.0,7633.0,3357.0,16986.0,4691.0,1493.0,580.0,1386.0,1231.0,6069.0,891.0,2701.0,2477.0,6204.0,2615.0,2418.0,1104.0,27692.0,63194.0,18651.0,10218.0,8434.0,44542.0,1503.0,14814.0,17324.0,504.0,5464.0,4933.0,31284.0,2034.0,23948.0,2210.0,232.0,2813.0,23.0,14.0,1.0,0.0,1.0,3.0,27.0,22.0,27.0,7.0,11.0,3.0,10.0,21.0,28.0,64.0,32.0,16.0,21.0,16.0,15.0,10.0,12.0,5.0,13.0,9.0,21.0,14.0,24.0,22.0,18.0,20.0,24.0,10.0,25.0,28.0,32.0,39.0,27.0,27.0,16.0,27.0,32.0,28.0,6.0,26.0,27.0,25.0,29.0,29.0,7.0,23.0
7, 2,2006SJ00,222834.0,7242.0,326.0,62.0,0.0,457.0,6307.0,57707.0,11935.0,2831.0,747.0,371.0,369.0,2063.0,9100.0,2197.0,17066.0,10654.0,8495.0,1109.0,22426.0,6686.0,2657.0,1067.0,1716.0,1247.0,6423.0,1051.0,3896.0,1477.0,9260.0,5500.0,2359.0,1299.0,38703.0,60046.0,15649.0,8136.0,7512.0,44398.0,614.0,17922.0,14861.0,450.0,4964.0,5408.0,27106.0,1771.0,18795.0,2529.0,214.0,3454.0,25.0,18.0,5.0,2.0,0.0,9.0,27.0,23.0,25.0,8.0,11.0,5.0,11.0,27.0,32.0,59.0,36.0,18.0,22.0,10.0,19.0,14.0,17.0,11.0,13.0,12.0,20.0,13.0,31.0,13.0,25.0,36.0,26.0,11.0,29.0,28.0,28.0,33.0,24.0,28.0,7.0,28.0,35.0,31.0,6.0,26.0,28.0,21.0,31.0,28.0,11.0,23.0
8, 3,1990SJ00,236148.0,9698.0,667.0,291.0,353.0,1267.0,7118.0,74583.0,19659.0,9552.0,483.0,1610.0,1004.0,2335.0,5000.0,156.0,15627.0,19156.0,9860.0,7229.0,23603.0,8193.0,1497.0,1729.0,2404.0,2563.0,6933.0,1569.0,3114.0,2251.0,8477.0,2853.0,2990.0,2635.0,34006.0,43511.0,10307.0,4139.0,6168.0,33205.0,1540.0,10597.0,8519.0,2043.0,6469.0,4037.0,33658.0,3081.0,25524.0,1648.0,1842.0,1563.0,27.0,16.0,7.0,3.0,4.0,32.0,25.0,28.0,33.0,25.0,25.0,23.0,17.0,25.0,27.0,1.0,27.0,36.0,36.0,35.0,29.0,30.0,27.0,24.0,31.0,35.0,27.0,25.0,29.0,26.0,30.0,23.0,30.0,46.0,26.0,26.0,29.0,30.0,28.0,25.0,24.0,26.0,27.0,23.0,25.0,23.0,28.0,32.0,28.0,26.0,35.0,27.0
9, 3,1995SJ00,249697.0,11570.0,1035.0,240.0,280.0,1407.0,8608.0,81391.0,16940.0,11784.0,1122.0,1286.0,1488.0,3461.0,8737.0,153.0,17174.0,19247.0,9785.0,5202.0,25367.0,8857.0,1590.0,1755.0,2752.0,2759.0,6891.0,1568.0,2936.0,2386.0,9619.0,2798.0,3672.0,3150.0,34238.0,46117.0,10221.0,3256.0,6965.0,35896.0,1451.0,10762.0,12537.0,1694.0,5844.0,3608.0,36027.0,2954.0,27083.0,2058.0,1129.0,2802.0,27.0,22.0,12.0,5.0,5.0,32.0,29.0,27.0,29.0,27.0,30.0,24.0,25.0,29.0,28.0,1.0,27.0,34.0,30.0,30.0,28.0,27.0,26.0,21.0,29.0,31.0,27.0,24.0,30.0,26.0,30.0,21.0,31.0,47.0,27.0,25.0,25.0,19.0,29.0,25.0,30.0,25.0,26.0,26.0,21.0,19.0,28.0,29.0,28.0,24.0,27.0,30.0
