ID,KenmerkenDagtochten,Perioden,GemiddeldAantalDagtochten_1,TotaalZonnenZwemmenEnDergelijke_2,OpStrandBijDeZee_3,InOpenluchtzwembad_4,OpStrandBijMeerPlas_5,NietAanHetWater_6,InBinnenbadOfZwemparadijs_7,Onbekend_8,TotaalSportEnSportieveRecreatie_9,Fietsen_10,Wandelen_11,Golfen_12,Watersport_13,Vissen_14,PaardrijdenManegeEnBuitenritten_15,BinnenOfBuitenTrimmenFitness_16,SchaatsenOpKunstijsbaanEnNatuurijs_17,OverigeBinnensport_18,OverigeBuitensport_19,Onbekend_20,ToeschouwerBegeleiderBijSport_21,Toeren_22,TotaalBezoekAttractiepuntED_23,TotaalBezoekAttractiepunt_24,BezoekSpeeltuinUitspanning_25,BezoekPretparkED_26,BezoekAanDierentuinVogelparkED_27,BezoekKinderboerderijHeemtuinED_28,TotaalBezoekBezienswaardigheid_29,BezoekOudeStadDorp_30,BezoekMuseum_31,BezoekMonumentenEnBezienswaardigheden_32,TotaalBezoekEvenement_33,BezoekJaarmarktBraderieCorsoED_34,BezoekBeursTentoonstellingShow_35,BezoekOverigeEvenementen_36,Onbekend_37,RecreatiefWinkelen_38,TotaalUitgaan_39,TotaalFilmToneelConcertBallet_40,NaarDeFilm_41,NaarToneelConcertBallet_42,TotaalOverigeUitgaan_43,TerrasjeZittenKoffieDrinkenED_44,UitEtenGaan_45,BarCafebezoek_46,KermisCircus_47,DiscoBowling_48,OverigeUitgaan_49,Onbekend_50,TotaalOverigeDagtochten_51,BezoekDenksportActiviteit_52,VerenigingsactiviteitenHobbyclubsED_53,BezoekKinderactiviteiten_54,BezoekVolkstuin_55,BezoekNatuurEnOverigeActiviteiten_56,Onbekend_57
0, 1,1996VJ08,2564,146,24,16,13,12,81,0.0,816,118,163,10,15,16,33,86,47,172,156,0.0,91,48,246,90,17,23,26,24,69,18,26,25,87,37,32,18,0.0,354,510,113,48,65,397,13,118,131,22,61,52,0.0,354,28,266,23,11,26,0.0
1, 1,2002VJ11,2682,159,29,19,17,13,81,,832,131,180,17,20,10,32,91,15,163,172,,99,59,300,127,33,29,30,35,79,18,31,31,93,36,27,30,,308,611,159,72,87,452,26,151,148,23,53,52,,314,22,229,21,9,33,
2, 1,2007VJ09,2484,113,18,9,8,13,64,1.0,687,95,132,19,20,9,21,78,10,132,165,6.0,104,30,326,134,42,27,37,27,88,23,35,30,103,42,25,33,3.0,368,593,155,68,87,437,23,173,118,21,43,57,2.0,263,23,164,25,5,41,4.0
3, 2,1996VJ08,2477,90,1,0,1,2,87,0.0,830,29,139,6,2,2,39,111,176,239,88,0.0,60,21,143,24,2,2,6,15,54,12,25,16,65,30,33,2,0.0,353,573,142,70,72,431,3,126,165,3,73,62,0.0,407,38,311,27,4,27,0.0
4, 2,2002VJ11,2486,92,1,1,0,1,88,,744,39,198,7,2,4,27,103,40,210,113,,84,37,187,52,16,6,15,14,67,10,30,27,68,29,27,12,,304,694,205,112,93,489,17,163,190,6,60,54,,344,22,263,24,3,31,
5, 2,2007VJ09,2476,80,4,0,1,5,70,1.0,641,31,133,8,4,4,23,101,24,190,118,4.0,94,12,249,74,30,12,19,14,71,12,43,16,103,61,26,14,1.0,430,667,174,90,83,493,7,199,165,5,55,60,2.0,301,20,209,28,2,38,4.0
6, 3,1996VJ08,2714,126,11,3,3,15,94,0.0,885,128,184,12,14,16,38,95,2,187,209,0.0,106,57,276,96,17,19,30,30,75,17,32,26,105,30,40,34,0.0,372,501,111,35,76,390,16,117,136,18,64,39,0.0,392,32,294,22,12,30,0.0
7, 3,2002VJ11,2951,146,16,12,6,21,91,,925,145,210,11,21,9,37,100,5,166,220,,130,79,360,165,46,30,40,49,87,19,40,29,107,32,30,44,,328,654,153,58,95,502,34,163,167,28,69,41,,329,15,230,23,24,36,
8, 3,2007VJ09,2603,127,22,0,9,21,67,1.0,793,148,154,21,27,10,20,78,4,135,193,3.0,128,33,346,152,49,26,37,40,86,17,38,30,108,28,27,52,2.0,330,553,146,50,96,407,37,175,101,15,34,44,1.0,292,34,174,23,10,49,4.0
9, 4,1996VJ08,2372,272,77,59,49,24,64,0.0,700,208,143,12,37,31,20,54,0,52,144,0.0,67,64,329,162,38,51,45,27,73,22,23,27,95,53,15,27,0.0,308,442,82,35,47,359,25,109,96,41,39,48,0.0,190,13,119,20,20,18,0.0
