ID,Wegbeheerders,LandEnWaterwegen,Perioden,TotaleUitgaven_1,Investeringen_2,Onderhoudskosten_3,Kapitaallasten_4
0,000,LW,1992JJ00,3413.0,1335.0,1486.0,592.0
1,000,LW,1993JJ00,3531.0,1382.0,1525.0,624.0
2,000,LW,1994JJ00,3692.0,1482.0,1611.0,598.0
3,000,LW,1995JJ00,3918.0,1597.0,1688.0,634.0
4,000,LW,1996JJ00,4085.0,1685.0,1757.0,643.0
5,000,LW,1997JJ00,4463.0,1932.0,1892.0,639.0
6,000,LW,1998JJ00,5110.0,2479.0,1939.0,691.0
7,000,LW,1999JJ00,5238.0,2536.0,2028.0,674.0
8,000,LW,2000JJ00,5268.0,2490.0,2109.0,669.0
9,000,LW,2001JJ00,5848.0,2858.0,2305.0,685.0
10,000,WW,1992JJ00,367.0,125.0,227.0,15.0
11,000,WW,1993JJ00,394.0,133.0,246.0,15.0
12,000,WW,1994JJ00,405.0,132.0,259.0,15.0
13,000,WW,1995JJ00,423.0,137.0,270.0,15.0
14,000,WW,1996JJ00,422.0,117.0,290.0,16.0
15,000,WW,1997JJ00,482.0,132.0,334.0,16.0
16,000,WW,1998JJ00,541.0,163.0,361.0,17.0
17,000,WW,1999JJ00,523.0,166.0,386.0,16.0
18,000,WW,2000JJ00,577.0,142.0,418.0,18.0
19,000,WW,2001JJ00,597.0,144.0,439.0,14.0
20,001,LW,1992JJ00,793.0,379.0,379.0,
21,001,LW,1993JJ00,817.0,420.0,413.0,
22,001,LW,1994JJ00,913.0,507.0,397.0,
23,001,LW,1995JJ00,949.0,533.0,406.0,
24,001,LW,1996JJ00,1076.0,633.0,443.0,
25,001,LW,1997JJ00,1168.0,673.0,495.0,
26,001,LW,1998JJ00,1610.0,1110.0,501.0,
27,001,LW,1999JJ00,1548.0,1019.0,529.0,
28,001,LW,2000JJ00,1382.0,840.0,542.0,
29,001,LW,2001JJ00,1738.0,1092.0,646.0,
30,001,WW,1992JJ00,284.0,110.0,173.0,
31,001,WW,1993JJ00,313.0,116.0,196.0,
32,001,WW,1994JJ00,314.0,113.0,201.0,
33,001,WW,1995JJ00,314.0,106.0,208.0,
34,001,WW,1996JJ00,304.0,92.0,212.0,
35,001,WW,1997JJ00,365.0,110.0,255.0,
36,001,WW,1998JJ00,409.0,133.0,276.0,
37,001,WW,1999JJ00,418.0,128.0,290.0,
38,001,WW,2000JJ00,417.0,102.0,314.0,
39,001,WW,2001JJ00,430.0,99.0,331.0,
40,002,LW,1992JJ00,452.0,115.0,138.0,199.0
41,002,LW,1993JJ00,492.0,111.0,164.0,217.0
42,002,LW,1994JJ00,453.0,109.0,173.0,171.0
43,002,LW,1995JJ00,483.0,104.0,179.0,200.0
44,002,LW,1996JJ00,479.0,94.0,177.0,207.0
45,002,LW,1997JJ00,484.0,123.0,173.0,188.0
46,002,LW,1998JJ00,541.0,154.0,186.0,201.0
47,002,LW,1999JJ00,562.0,167.0,218.0,178.0
48,002,LW,2000JJ00,565.0,166.0,221.0,177.0
49,002,LW,2001JJ00,592.0,214.0,223.0,155.0
50,002,WW,1992JJ00,54.0,10.0,36.0,9.0
51,002,WW,1993JJ00,50.0,8.0,34.0,9.0
