ID,Geslacht,Leeftijd,TypeZorg,Perioden,AantalInVerslagjaar_1,PercentageInVerslagjaar_2,TotaalUrenInVerslagjaar_3,GemiddeldPerPersoonInVerslagjaar_4,GemiddeldInBevolkingInVerslagjaar_5
0,0, 0, 0,2004JJ00,608095,4.77,89515,147,7.02
1,0, 0, 0,2005JJ00,595375,4.66,90493,152,7.08
2,0, 0, 0,2006JJ00,607575,4.74,95031,156,7.42
3,0, 0, 0,2007JJ00,610180,4.76,95279,156,7.43
4,0, 0, 0,2008JJ00,620190,4.79,96447,156,7.44
5,0, 0, 0,2009JJ00,620890,4.76,99194,160,7.6
6,0, 0, 0,2010JJ00,629155,4.79,101725,162,7.74
7,0, 0, 1,2004JJ00,169795,1.33,16552,97,1.3
8,0, 0, 1,2005JJ00,219245,1.71,24001,109,1.88
9,0, 0, 1,2006JJ00,234270,1.83,26167,112,2.04
10,0, 0, 1,2007JJ00,237020,1.85,26770,113,2.09
11,0, 0, 1,2008JJ00,240110,1.85,27481,114,2.12
12,0, 0, 1,2009JJ00,243535,1.87,28900,119,2.21
13,0, 0, 1,2010JJ00,242320,1.84,29442,122,2.24
14,0, 0, 2,2004JJ00,39710,0.31,6533,165,0.51
15,0, 0, 2,2005JJ00,29425,0.23,4735,161,0.37
16,0, 0, 2,2006JJ00,31910,0.25,4035,126,0.31
17,0, 0, 2,2007JJ00,48000,0.37,4672,97,0.36
18,0, 0, 2,2008JJ00,67705,0.52,5904,87,0.46
19,0, 0, 2,2009JJ00,80775,0.62,7040,87,0.54
20,0, 0, 2,2010JJ00,94740,0.72,7909,83,0.6
21,0, 0, 3,2004JJ00,66325,0.52,1629,25,0.13
22,0, 0, 3,2005JJ00,58795,0.46,976,17,0.08
23,0, 0, 3,2006JJ00,59755,0.47,974,16,0.08
24,0, 0, 3,2007JJ00,55040,0.43,951,17,0.07
25,0, 0, 3,2008JJ00,50005,0.39,873,17,0.07
26,0, 0, 3,2009JJ00,41205,0.32,719,17,0.06
27,0, 0, 3,2010JJ00,37405,0.28,638,17,0.05
28,0, 0, 4,2004JJ00,119180,0.94,17583,148,1.38
29,0, 0, 4,2005JJ00,66675,0.52,11314,170,0.89
30,0, 0, 4,2006JJ00,56665,0.44,10637,188,0.83
31,0, 0, 4,2007JJ00,59540,0.46,12262,206,0.96
32,0, 0, 4,2008JJ00,80850,0.62,18501,229,1.43
33,0, 0, 4,2009JJ00,98100,0.75,24419,249,1.87
34,0, 0, 4,2010JJ00,107350,0.82,28174,262,2.14
35,0, 0, 5,2004JJ00,19675,0.15,2444,124,0.19
36,0, 0, 5,2005JJ00,24720,0.19,3210,130,0.25
37,0, 0, 5,2006JJ00,26990,0.21,3671,136,0.29
38,0, 0, 5,2007JJ00,20795,0.16,2983,143,0.23
39,0, 0, 5,2008JJ00,14650,0.11,2137,146,0.16
40,0, 0, 5,2009JJ00,11585,0.09,1750,151,0.13
41,0, 0, 5,2010JJ00,9995,0.08,1557,156,0.12
42,0, 0, 6,2004JJ00,66680,0.52,8566,128,0.67
43,0, 0, 6,2005JJ00,66165,0.52,6914,104,0.54
44,0, 0, 6,2006JJ00,66135,0.52,7230,109,0.56
45,0, 0, 6,2007JJ00,76455,0.6,9461,124,0.74
46,0, 0, 6,2008JJ00,73190,0.56,9279,127,0.72
47,0, 0, 6,2009JJ00,67345,0.52,8685,129,0.67
48,0, 0, 6,2010JJ00,67080,0.51,8911,133,0.68
49,0, 0, 7,2004JJ00,126725,0.99,36207,286,2.84
50,0, 0, 7,2005JJ00,130350,1.02,39342,302,3.08
51,0, 0, 7,2006JJ00,131845,1.03,42317,321,3.3
52,0, 0, 7,2007JJ00,113325,0.88,38181,337,2.98
53,0, 0, 7,2008JJ00,93680,0.72,32270,344,2.49
54,0, 0, 7,2009JJ00,78340,0.6,27681,353,2.12
55,0, 0, 7,2010JJ00,70260,0.53,25094,357,1.91
56,0, 0, 8,2004JJ00,435375,3.42,39821,91,3.12
57,0, 0, 8,2005JJ00,440985,3.45,50043,113,3.91
58,0, 0, 8,2006JJ00,449770,3.51,53505,119,4.18
59,0, 0, 8,2007JJ00,430680,3.36,52780,123,4.11
60,0, 0, 8,2008JJ00,429290,3.31,53228,124,4.11
61,0, 0, 8,2009JJ00,431560,3.31,55423,128,4.25
62,0, 0, 8,2010JJ00,429925,3.27,56335,131,4.29
63,0, 0, 9,2004JJ00,352300,2.76,37384,106,2.93
64,0, 0, 9,2005JJ00,292615,2.29,29519,101,2.31
65,0, 0, 9,2006JJ00,286560,2.24,30193,105,2.36
66,0, 0, 9,2007JJ00,297320,2.32,32025,108,2.5
67,0, 0, 9,2008JJ00,315425,2.43,35373,112,2.73
68,0, 0, 9,2009JJ00,324560,2.49,37348,115,2.86
69,0, 0, 9,2010JJ00,339430,2.58,39431,116,3.0
70,0, 0,10,2004JJ00,279410,2.19,12310,44,0.97
71,0, 0,10,2005JJ00,280030,2.19,10931,39,0.86
72,0, 0,10,2006JJ00,284725,2.22,11333,40,0.88
73,0, 0,10,2007JJ00,265615,2.07,10475,39,0.82
74,0, 0,10,2008JJ00,231525,1.79,7846,34,0.61
75,0, 0,10,2009JJ00,198475,1.52,6423,32,0.49
76,0, 0,10,2010JJ00,184745,1.41,5960,32,0.45
77,0, 1, 0,2004JJ00,1700,0.13,108,63,0.08
78,0, 1, 0,2005JJ00,1735,0.13,115,66,0.09
79,0, 1, 0,2006JJ00,1815,0.14,140,77,0.1
80,0, 1, 0,2007JJ00,1835,0.14,152,83,0.11
81,0, 1, 0,2008JJ00,2030,0.15,160,79,0.12
82,0, 1, 0,2009JJ00,1825,0.13,153,84,0.11
83,0, 1, 0,2010JJ00,1670,0.12,151,90,0.11
84,0, 1, 1,2004JJ00,210,0.02,12,59,0.01
85,0, 1, 1,2005JJ00,310,0.02,19,63,0.01
86,0, 1, 1,2006JJ00,355,0.03,23,66,0.02
87,0, 1, 1,2007JJ00,300,0.02,21,70,0.02
88,0, 1, 1,2008JJ00,325,0.02,25,79,0.02
89,0, 1, 1,2009JJ00,350,0.03,29,82,0.02
90,0, 1, 1,2010JJ00,355,0.03,31,88,0.02
91,0, 1, 2,2004JJ00,205,0.02,12,59,0.01
92,0, 1, 2,2005JJ00,170,0.01,12,68,0.01
93,0, 1, 2,2006JJ00,185,0.01,20,106,0.01
94,0, 1, 2,2007JJ00,240,0.02,33,137,0.02
95,0, 1, 2,2008JJ00,375,0.03,32,84,0.02
96,0, 1, 2,2009JJ00,395,0.03,32,80,0.02
97,0, 1, 2,2010JJ00,490,0.03,43,87,0.03
98,0, 1, 3,2004JJ00,805,0.06,16,20,0.01
99,0, 1, 3,2005JJ00,840,0.06,12,14,0.01
100,0, 1, 3,2006JJ00,870,0.07,15,17,0.01
101,0, 1, 3,2007JJ00,930,0.07,21,22,0.02
102,0, 1, 3,2008JJ00,940,0.07,20,21,0.01
103,0, 1, 3,2009JJ00,750,0.05,17,23,0.01
104,0, 1, 3,2010JJ00,545,0.04,9,16,0.01
105,0, 1, 4,2004JJ00,200,0.01,22,110,0.02
106,0, 1, 4,2005JJ00,95,0.01,17,181,0.01
107,0, 1, 4,2006JJ00,75,0.01,17,222,0.01
108,0, 1, 4,2007JJ00,35,0.0,10,290,0.01
109,0, 1, 4,2008JJ00,35,0.0,9,253,0.01
110,0, 1, 4,2009JJ00,35,0.0,7,194,0.0
111,0, 1, 4,2010JJ00,40,0.0,10,227,0.01
112,0, 1, 5,2004JJ00,20,0.0,3,140,0.0
113,0, 1, 5,2005JJ00,25,0.0,2,95,0.0
114,0, 1, 5,2006JJ00,25,0.0,2,69,0.0
115,0, 1, 5,2007JJ00,15,0.0,1,103,0.0
116,0, 1, 5,2008JJ00,15,0.0,2,118,0.0
117,0, 1, 5,2009JJ00,10,0.0,1,129,0.0
118,0, 1, 5,2010JJ00,10,0.0,2,175,0.0
119,0, 1, 6,2004JJ00,205,0.02,26,127,0.02
120,0, 1, 6,2005JJ00,245,0.02,37,151,0.03
121,0, 1, 6,2006JJ00,250,0.02,42,165,0.03
122,0, 1, 6,2007JJ00,270,0.02,50,185,0.04
123,0, 1, 6,2008JJ00,305,0.02,58,191,0.04
124,0, 1, 6,2009JJ00,255,0.02,54,212,0.04
125,0, 1, 6,2010JJ00,210,0.01,49,235,0.03
126,0, 1, 7,2004JJ00,60,0.0,16,284,0.01
127,0, 1, 7,2005JJ00,50,0.0,15,289,0.01
128,0, 1, 7,2006JJ00,55,0.0,22,381,0.02
129,0, 1, 7,2007JJ00,45,0.0,16,375,0.01
130,0, 1, 7,2008JJ00,35,0.0,14,426,0.01
131,0, 1, 7,2009JJ00,30,0.0,13,473,0.01
132,0, 1, 7,2010JJ00,20,0.0,7,350,0.01
133,0, 1, 8,2004JJ00,485,0.04,25,52,0.02
134,0, 1, 8,2005JJ00,480,0.04,32,68,0.02
135,0, 1, 8,2006JJ00,510,0.04,36,72,0.03
136,0, 1, 8,2007JJ00,390,0.03,30,77,0.02
137,0, 1, 8,2008JJ00,410,0.03,36,88,0.03
138,0, 1, 8,2009JJ00,425,0.03,38,90,0.03
139,0, 1, 8,2010JJ00,430,0.03,41,96,0.03
140,0, 1, 9,2004JJ00,665,0.05,43,64,0.03
141,0, 1, 9,2005JJ00,565,0.04,47,83,0.03
142,0, 1, 9,2006JJ00,570,0.04,64,113,0.05
143,0, 1, 9,2007JJ00,585,0.04,79,135,0.06
144,0, 1, 9,2008JJ00,750,0.05,83,110,0.06
