ID,Geslacht,Leeftijd,TypeZorg,Herkomstgroepering,Perioden,AantalInVerslagjaar_1,PercentageInVerslagjaar_2,TotaalUrenInVerslagjaar_3,GemiddeldPerPersoonInVerslagjaar_4,GemiddeldInBevolkingInVerslagjaar_5
0,0,0, 0,0,2004JJ00,608095,4.77,89515,147,7.02
1,0,0, 0,0,2005JJ00,595375,4.66,90493,152,7.08
2,0,0, 0,0,2006JJ00,607575,4.74,95031,156,7.42
3,0,0, 0,0,2007JJ00,610180,4.76,95279,156,7.43
4,0,0, 0,0,2008JJ00,620190,4.79,96447,156,7.44
5,0,0, 0,0,2009JJ00,620890,4.76,99194,160,7.6
6,0,0, 0,0,2010JJ00,629155,4.79,101725,162,7.74
7,0,0, 0,1,2004JJ00,540110,5.15,80354,149,7.66
8,0,0, 0,1,2005JJ00,527695,5.03,81086,154,7.72
9,0,0, 0,1,2006JJ00,537485,5.12,84845,158,8.07
10,0,0, 0,1,2007JJ00,538580,5.12,84925,158,8.08
11,0,0, 0,1,2008JJ00,545340,5.16,85735,157,8.12
12,0,0, 0,1,2009JJ00,544755,5.14,87944,161,8.3
13,0,0, 0,1,2010JJ00,549320,5.17,89575,163,8.43
14,0,0, 0,2,2004JJ00,67985,3.01,9162,135,4.05
15,0,0, 0,2,2005JJ00,67675,2.96,9407,139,4.11
16,0,0, 0,2,2006JJ00,70090,3.04,10186,145,4.42
17,0,0, 0,2,2007JJ00,71600,3.09,10354,145,4.47
18,0,0, 0,2,2008JJ00,74850,3.13,10712,143,4.47
19,0,0, 0,2,2009JJ00,76135,3.1,11251,148,4.58
20,0,0, 0,2,2010JJ00,79835,3.18,12150,152,4.84
21,0,0, 0,3,2004JJ00,51055,4.37,7248,142,6.2
22,0,0, 0,3,2005JJ00,50465,4.3,7391,146,6.3
23,0,0, 0,3,2006JJ00,51770,4.41,7850,152,6.68
24,0,0, 0,3,2007JJ00,52050,4.44,7828,150,6.67
25,0,0, 0,3,2008JJ00,53630,4.46,8058,150,6.7
26,0,0, 0,3,2009JJ00,54085,4.42,8367,155,6.84
27,0,0, 0,3,2010JJ00,55370,4.47,8729,158,7.05
28,0,0, 0,4,2004JJ00,16930,1.55,1913,113,1.75
29,0,0, 0,4,2005JJ00,17215,1.55,2017,117,1.81
30,0,0, 0,4,2006JJ00,18320,1.62,2336,127,2.07
31,0,0, 0,4,2007JJ00,19550,1.71,2526,129,2.2
32,0,0, 0,4,2008JJ00,21220,1.78,2654,125,2.23
33,0,0, 0,4,2009JJ00,22050,1.79,2883,131,2.33
34,0,0, 0,4,2010JJ00,24465,1.92,3421,140,2.69
35,0,0, 0,5,2004JJ00,1785,0.94,146,82,0.77
36,0,0, 0,5,2005JJ00,1845,0.94,179,97,0.92
37,0,0, 0,5,2006JJ00,2245,1.12,301,134,1.5
38,0,0, 0,5,2007JJ00,2630,1.29,387,147,1.9
39,0,0, 0,5,2008JJ00,2860,1.36,383,134,1.82
40,0,0, 0,5,2009JJ00,3005,1.39,451,150,2.09
41,0,0, 0,5,2010JJ00,3475,1.57,576,166,2.59
42,0,0, 0,6,2004JJ00,3245,1.42,267,82,1.16
43,0,0, 0,6,2005JJ00,3235,1.38,282,87,1.2
