ID,Periods,TheNetherlandsHICP_1,EurozoneMUICP_2,EuropeanUnionEICP_3,YearOnYearChangeHICP_4,YearOnYearChangeMUICP_5,YearOnYearChangeEICP_6
0,1996MM01,98.7,98.9,98.8,,,
1,1996MM02,99.2,99.4,99.2,,,
2,1996MM03,100.4,99.7,99.6,,,
3,1996MM04,100.7,99.9,99.9,,,
4,1996MM05,100.3,100.1,100.1,,,
5,1996MM06,99.8,100.1,100.2,,,
6,1996MM07,99.5,100.1,100.0,,,
7,1996MM08,99.3,100.1,100.1,,,
8,1996MM09,100.4,100.3,100.4,,,
9,1996MM10,100.7,100.4,100.5,,,
10,1996MM11,100.5,100.4,100.5,,,
11,1996MM12,100.4,100.6,100.8,,,
12,1996JJ00,100.0,100.0,100.0,,,
13,1997MM01,100.4,100.9,100.9,1.7,2.0,2.2
14,1997MM02,100.6,101.2,101.1,1.4,1.8,2.0
15,1997MM03,101.6,101.3,101.3,1.2,1.6,1.7
16,1997MM04,101.7,101.2,101.4,1.0,1.3,1.5
17,1997MM05,101.9,101.5,101.6,1.6,1.4,1.5
18,1997MM06,101.3,101.5,101.7,1.5,1.4,1.6
19,1997MM07,101.4,101.6,101.7,1.9,1.5,1.7
20,1997MM08,101.8,101.8,101.9,2.5,1.7,1.8
21,1997MM09,102.9,101.9,102.1,2.5,1.6,1.7
22,1997MM10,103.0,101.9,102.2,2.3,1.5,1.7
23,1997MM11,103.0,102.0,102.3,2.5,1.6,1.8
24,1997MM12,102.6,102.1,102.4,2.2,1.5,1.6
25,1997JJ00,101.9,101.6,101.7,1.9,1.6,1.7
26,1998MM01,102.0,102.0,102.2,1.6,1.1,1.3
27,1998MM02,102.7,102.3,102.5,2.1,1.1,1.3
28,1998MM03,103.8,102.4,102.7,2.2,1.1,1.3
29,1998MM04,104.2,102.6,103.0,2.5,1.4,1.6
30,1998MM05,104.0,102.8,103.2,2.1,1.3,1.6
31,1998MM06,103.5,102.9,103.3,2.2,1.4,1.5
32,1998MM07,103.2,102.9,103.2,1.8,1.3,1.4
33,1998MM08,103.2,102.9,103.2,1.4,1.1,1.3
34,1998MM09,104.2,102.9,103.3,1.3,1.0,1.2
35,1998MM10,104.5,102.8,103.3,1.5,0.9,1.1
36,1998MM11,104.5,102.8,103.3,1.5,0.8,1.0
37,1998MM12,104.1,102.9,103.4,1.5,0.8,1.0
38,1998JJ00,103.7,102.7,103.0,1.8,1.1,1.3
39,1999MM01,104.1,102.8,103.2,2.1,0.8,0.9
40,1999MM02,104.8,103.1,103.4,2.0,0.8,1.0
41,1999MM03,105.9,103.4,103.8,2.0,1.0,1.2
42,1999MM04,106.2,103.7,104.2,1.9,1.1,1.2
43,1999MM05,106.2,103.8,104.3,2.1,1.0,1.1
44,1999MM06,105.7,103.8,104.3,2.1,0.9,1.0
45,1999MM07,105.1,104.0,104.3,1.8,1.1,1.1
46,1999MM08,105.8,104.1,104.4,2.5,1.2,1.2
47,1999MM09,106.3,104.1,104.6,2.0,1.2,1.2
48,1999MM10,106.4,104.2,104.6,1.8,1.4,1.3
49,1999MM11,106.6,104.3,104.8,2.0,1.5,1.4
50,1999MM12,106.1,104.7,105.1,1.9,1.7,1.7
51,1999JJ00,105.8,103.8,104.3,2.0,1.1,1.2
52,2000MM01,105.8,104.7,104.9,1.6,1.8,1.7
53,2000MM02,106.4,105.1,105.3,1.5,1.9,1.8
54,2000MM03,107.6,105.4,105.7,1.6,1.9,1.8
55,2000MM04,108.0,105.5,105.8,1.7,1.7,1.6
56,2000MM05,108.3,105.6,106.0,2.0,1.7,1.6
57,2000MM06,108.3,106.0,106.3,2.5,2.1,1.9
58,2000MM07,108.0,106.1,106.2,2.8,2.0,1.9
59,2000MM08,108.4,106.2,106.3,2.5,2.0,1.8
60,2000MM09,109.4,106.7,106.9,2.9,2.5,2.2
61,2000MM10,109.8,106.7,106.9,3.2,2.4,2.2
62,2000MM11,109.7,106.9,107.1,2.9,2.5,2.3
63,2000MM12,109.2,107.3,107.5,2.9,2.5,2.2
64,2000JJ00,108.2,106.0,106.2,2.3,2.1,1.9
65,2001MM01,110.7,106.8,106.9,4.6,2.0,1.9
66,2001MM02,111.7,107.1,107.2,5.0,1.9,1.8
67,2001MM03,113.0,107.7,107.8,5.0,2.2,2.0
68,2001MM04,113.9,108.4,108.5,5.5,2.7,2.5
69,2001MM05,114.2,108.9,109.0,5.4,3.1,2.9
70,2001MM06,113.8,109.0,109.1,5.1,2.8,2.7
71,2001MM07,113.7,108.8,108.8,5.3,2.5,2.4
72,2001MM08,114.0,108.7,108.8,5.2,2.4,2.3
73,2001MM09,115.2,109.0,109.1,5.3,2.2,2.1
74,2001MM10,115.3,109.1,109.2,5.0,2.2,2.1
75,2001MM11,115.0,109.0,109.0,4.8,2.0,1.8
76,2001MM12,114.8,109.5,109.5,5.1,2.1,1.9
77,2001JJ00,113.8,108.5,108.6,5.1,2.3,2.2
78,2002MM01,116.1,109.6,109.5,4.9,2.6,2.5
79,2002MM02,116.7,109.8,109.7,4.5,2.5,2.4
80,2002MM03,117.9,110.4,110.3,4.3,2.5,2.3
81,2002MM04,118.7,110.9,110.8,4.2,2.3,2.1
82,2002MM05,118.5,111.1,111.0,3.8,2.0,1.8
83,2002MM06,118.1,111.1,111.0,3.8,1.9,1.7
84,2002MM07,118.0,111.0,110.8,3.8,2.0,1.9
85,2002MM08,118.2,111.0,110.9,3.7,2.1,1.9
86,2002MM09,119.4,111.3,111.2,3.6,2.1,1.9
87,2002MM10,119.3,111.6,111.5,3.5,2.3,2.1
88,2002MM11,118.7,111.5,111.4,3.2,2.3,2.2
89,2002MM12,118.5,112.0,111.9,3.2,2.3,2.2
90,2002JJ00,118.2,110.9,110.8,3.9,2.3,2.1
91,2003MM01,119.2,111.9,111.7,2.7,2.1,2.0
92,2003MM02,120.1,112.4,112.2,2.9,2.4,2.3
93,2003MM03,121.2,113.1,112.8,2.8,2.4,2.3
94,2003MM04,121.3,113.2,113.0,2.2,2.1,2.0
95,2003MM05,121.2,113.1,112.9,2.3,1.8,1.7
96,2003MM06,120.6,113.2,112.9,2.1,1.9,1.8
97,2003MM07,120.5,113.1,112.8,2.1,1.9,1.8
98,2003MM08,120.8,113.3,113.1,2.2,2.1,2.0
99,2003MM09,121.8,113.7,113.5,2.0,2.2,2.0
100,2003MM10,121.6,113.8,113.6,1.9,2.0,1.9
101,2003MM11,121.1,113.9,113.6,2.0,2.2,2.0
102,2003MM12,120.4,114.2,113.9,1.6,2.0,1.8
103,2003JJ00,120.8,113.2,113.0,2.2,2.1,2.0
104,2004MM01,121.0,114.0,113.7,1.5,1.9,1.8
105,2004MM02,121.7,114.2,113.9,1.3,1.6,1.5
106,2004MM03,122.7,115.0,114.6,1.2,1.7,1.5
107,2004MM04,123.1,115.5,115.0,1.5,2.0,1.8
108,2004MM05,123.3,115.9,115.5,1.7,2.5,2.3
109,2004MM06,122.4,115.9,115.5,1.5,2.4,2.3
110,2004MM07,122.0,115.7,115.3,1.2,2.3,2.2
111,2004MM08,122.2,115.9,115.5,1.2,2.3,2.1
112,2004MM09,123.2,116.1,115.7,1.1,2.1,2.0
113,2004MM10,123.4,116.5,116.1,1.5,2.4,2.2
114,2004MM11,122.9,116.4,116.0,1.5,2.2,2.1
115,2004MM12,121.9,116.9,116.5,1.2,2.4,2.2
116,2004JJ00,122.5,115.7,115.3,1.4,2.1,2.0
117,2005MM01,122.5,116.2,115.9,1.2,1.9,2.0
118,2005MM02,123.5,116.6,116.3,1.5,2.1,2.1
119,2005MM03,124.5,117.4,117.0,1.5,2.1,2.1
120,2005MM04,124.7,117.9,117.5,1.3,2.1,2.1
121,2005MM05,124.6,118.2,117.8,1.1,2.0,2.0
122,2005MM06,124.2,118.3,117.9,1.5,2.1,2.0
123,2005MM07,123.8,118.2,117.8,1.5,2.2,2.1
124,2005MM08,124.2,118.5,118.1,1.6,2.2,2.2
125,2005MM09,125.3,119.1,118.6,1.7,2.6,2.5
126,2005MM10,125.3,119.4,118.9,1.5,2.5,2.4
127,2005MM11,124.9,119.1,118.7,1.6,2.3,2.2
128,2005MM12,124.4,119.5,119.0,2.1,2.2,2.1
129,2005JJ00,124.3,118.2,117.8,1.5,2.2,2.2
