ID,Perioden,ReporenteEuropeseCentraleBank_1,MarginaleBeleningsrenteECB_2,DepositorenteECB_3,HeffingsEnInvorderingsrente_4,DebetrenteVoorschotEffecten_5,VoorschotrenteNederlandscheBank_6,WettelijkeRente_7,RenteOpStudieleningen_8,EenmaandsAiborEuribor_9,DriemaandsAiborEuribor_10,ZesmaandsAiborEuribor_11,TwaalfmaandsAiborEuribor_12,DriemaandsKasgeld_13,DriemaandsEuroDollarDeposito_14,Daggeldrente_15
0,1957MM01,,,,,,,,,,,,,4.99,,3.37
1,1957MM02,,,,,,,,,,,,,4.74,,2.85
2,1957MM03,,,,,,,,,,,,,4.92,,3.5
3,1957MM04,,,,,,,,,,,,,5.01,,3.5
4,1957MM05,,,,,,,,,,,,,5.0,,2.88
5,1957MM06,,,,,,,,,,,,,5.13,,2.7
6,1957MM07,,,,,,,,,,,,,5.49,,3.08
7,1957MM08,,,,,,,,,,,,,6.51,,3.51
8,1957MM09,,,,,,,,,,,,,7.04,,3.64
9,1957MM10,,,,,,,,,,,,,5.82,,3.75
10,1957MM11,,,,,,,,,,,,,5.5,,3.35
11,1957MM12,,,,,,,,,,,,,5.5,,3.33
12,1957JJ00,,,,,,,,,,,,,5.47,,3.29
13,1958MM01,,,,,,,,,,,,,5.5,,3.5
14,1958MM02,,,,,,,,,,,,,5.05,,3.26
15,1958MM03,,,,,,,,,,,,,4.58,,2.77
16,1958MM04,,,,,,,,,,,,,4.07,,2.93
17,1958MM05,,,,,,,,,,,,,3.74,,2.39
18,1958MM06,,,,,,,,,,,,,3.48,,2.34
19,1958MM07,,,,,,,,,,,,,3.47,,2.5
20,1958MM08,,,,,,,,,,,,,3.1,,2.08
21,1958MM09,,,,,,,,,,,,,3.05,,2.16
22,1958MM10,,,,,,,,,,,,,3.29,,2.5
23,1958MM11,,,,,,,,,,,,,3.18,,1.79
24,1958MM12,,,,,,,,,,,,,3.06,,1.5
25,1958JJ00,,,,,,,,,,,,,3.8,,2.48
26,1959MM01,,,,,,,,,,,,,2.58,,1.58
27,1959MM02,,,,,,,,,,,,,2.07,,1.26
28,1959MM03,,,,,,,,,,,,,2.04,,1.42
29,1959MM04,,,,,,,,,,,,,2.0,,1.5
30,1959MM05,,,,,,,,,,,,,2.04,,1.34
31,1959MM06,,,,,,,,,,,,,2.45,,1.55
32,1959MM07,,,,,,,,,,,,,2.47,,1.63
33,1959MM08,,,,,,,,,,,,,2.13,,1.15
34,1959MM09,,,,,,,,,,,,,2.1,,1.41
35,1959MM10,,,,,,,,,,,,,2.33,,2.21
36,1959MM11,,,,,,,,,,,,,2.49,,1.55
37,1959MM12,,,,,,,,,,,,,2.75,,2.18
38,1959JJ00,,,,,,,,,,,,,2.29,,1.57
39,1960MM01,,,,,,,,,,,,,2.83,,1.95
40,1960MM02,,,,,,,,,,,,,3.12,,1.55
41,1960MM03,,,,,,,,,,,,,2.93,,1.8
42,1960MM04,,,,,,,,,,,,,2.57,,2.17
43,1960MM05,,,,,,,,,,,,,2.69,,1.56
44,1960MM06,,,,,,,,,,,,,2.97,,2.18
45,1960MM07,,,,,,,,,,,,,2.7,,1.75
46,1960MM08,,,,,,,,,,,,,2.42,,1.56
47,1960MM09,,,,,,,,,,,,,2.32,,1.5
48,1960MM10,,,,,,,,,,,,,2.36,,1.84
49,1960MM11,,,,,,,,,,,,,2.03,,1.13
50,1960MM12,,,,,,,,,,,,,2.06,,1.13
51,1960JJ00,,,,,,,,,,,,,2.58,,1.68
52,1961MM01,,,,,,,,,,,,,2.04,,1.0
53,1961MM02,,,,,,,,,,,,,1.88,,0.75
54,1961MM03,,,,,,,,,,,,,1.74,,0.75
55,1961MM04,,,,,,,,,,,,,1.41,,0.76
56,1961MM05,,,,,,,,,,,,,1.36,,0.75
57,1961MM06,,,,,,,,,,,,,1.42,,0.75
58,1961MM07,,,,,,,,,,,,,1.38,,0.75
59,1961MM08,,,,,,,,,,,,,1.38,,0.75
60,1961MM09,,,,,,,,,,,,,1.5,,1.04
61,1961MM10,,,,,,,,,,,,,1.86,,2.13
62,1961MM11,,,,,,,,,,,,,2.41,,1.43
63,1961MM12,,,,,,,,,,,,,2.21,,1.32
