ID,Geslacht,Leeftijd,Inkomensklasse,Marges,Perioden,VoorwaardelijkeSterftekans_1,Levensverwachting_2,InAlsGoedErvarenGezondheid_3,ZonderLichamelijkeBeperkingen_4,ZonderChronischeZiektes_5,LevensverwInGoedeGeestelijkeGezondh_6
0,3000,10010,1014752,MW00000,2004G500,0.00566,73.9,52.3,62.0,42.7,64.0
1,3000,10010,1014752,MW00000,2007G500,0.00606,74.4,53.7,63.3,43.2,64.3
2,3000,10010,1014752,MW00000,2011G500,0.00423,75.1,54.4,63.9,44.1,65.1
3,3000,10010,1014752,MW00000,2014G500,0.00075,74.8,52.4,55.8,38.8,63.4
4,3000,10010,1014752,B000150,2004G500,0.0,0.0,0.7,,0.8,
5,3000,10010,1014752,B000150,2007G500,0.0,0.0,0.6,,0.8,
6,3000,10010,1014752,B000150,2011G500,0.0,0.0,0.6,,0.8,
7,3000,10010,1014752,B000150,2014G500,0.0,0.0,0.7,,0.7,
8,3000,10010,1014753,MW00000,2004G500,0.00436,77.5,60.5,67.5,45.8,71.0
9,3000,10010,1014753,MW00000,2007G500,0.00301,78.6,60.9,68.4,45.8,71.7
10,3000,10010,1014753,MW00000,2011G500,0.00232,79.3,59.9,68.3,44.7,70.5
11,3000,10010,1014753,MW00000,2014G500,0.00051,79.5,59.8,68.6,42.4,71.6
12,3000,10010,1014753,B000150,2004G500,0.0,0.0,0.6,,0.7,
13,3000,10010,1014753,B000150,2007G500,0.0,0.0,0.5,,0.7,
14,3000,10010,1014753,B000150,2011G500,0.0,0.0,0.5,,0.7,
15,3000,10010,1014753,B000150,2014G500,0.0,0.0,0.6,,0.7,
16,3000,10010,1014754,MW00000,2004G500,0.00478,78.9,63.8,71.2,47.0,74.0
17,3000,10010,1014754,MW00000,2007G500,0.00247,80.5,65.1,72.0,46.4,75.6
18,3000,10010,1014754,MW00000,2011G500,0.00256,81.5,65.2,72.5,47.8,75.4
19,3000,10010,1014754,MW00000,2014G500,0.0005,81.5,66.0,73.7,46.6,76.0
20,3000,10010,1014754,B000150,2004G500,0.0,0.0,0.5,,0.7,
21,3000,10010,1014754,B000150,2007G500,0.0,0.0,0.5,,0.6,
