ID,Geslacht,Leeftijden,TypeZorg,Inkomensgroepen,Perioden,AantalInVerslagjaar_1,PercentageInVerslagjaar_2,TotaalUrenInVerslagjaar_3,GemiddeldPerPersoonInVerslagjaar_4,GemiddeldInBevolkingInVerslagjaar_5
0,0,0, 0, 0,2009JJ00,620890,4.76,99194,160,7.6
1,0,0, 0, 0,2010JJ00,629155,4.79,101725,162,7.7
2,0,0, 0, 1,2009JJ00,45490,3.77,6977,153,5.7
3,0,0, 0, 1,2010JJ00,36915,3.07,5506,149,4.5
4,0,0, 0, 2,2009JJ00,166160,13.13,30059,181,23.7
5,0,0, 0, 2,2010JJ00,151040,11.97,27266,181,21.6
6,0,0, 0, 3,2009JJ00,129905,10.22,22276,171,17.5
7,0,0, 0, 3,2010JJ00,148885,11.47,26229,176,20.2
8,0,0, 0, 4,2009JJ00,80530,6.41,12757,158,10.1
9,0,0, 0, 4,2010JJ00,92145,7.21,15012,163,11.7
10,0,0, 0, 5,2009JJ00,53830,4.23,7907,147,6.2
11,0,0, 0, 5,2010JJ00,56465,4.4,8480,150,6.6
12,0,0, 0, 6,2009JJ00,40170,3.1,5514,137,4.2
13,0,0, 0, 6,2010JJ00,41225,3.16,5800,141,4.4
14,0,0, 0, 7,2009JJ00,33440,2.51,4462,133,3.3
15,0,0, 0, 7,2010JJ00,33565,2.51,4513,134,3.3
16,0,0, 0, 8,2009JJ00,27305,1.99,3492,128,2.5
17,0,0, 0, 8,2010JJ00,26930,1.96,3492,130,2.5
18,0,0, 0, 9,2009JJ00,23120,1.65,2919,126,2.0
19,0,0, 0, 9,2010JJ00,22090,1.58,2776,126,1.9
20,0,0, 0,10,2009JJ00,20945,1.51,2832,135,2.0
21,0,0, 0,10,2010JJ00,19890,1.43,2652,133,1.9
22,0,0, 0,11,2009JJ00,211650,8.56,37036,175,14.9
23,0,0, 0,11,2010JJ00,187960,7.62,32772,174,13.2
24,0,0, 0,12,2009JJ00,210435,8.33,35032,166,13.8
25,0,0, 0,12,2010JJ00,241030,9.36,41241,171,16.0
26,0,0, 0,13,2009JJ00,94000,3.66,13421,143,5.2
27,0,0, 0,13,2010JJ00,97690,3.77,14280,146,5.5
28,0,0, 0,14,2009JJ00,60745,2.25,7954,131,2.9
29,0,0, 0,14,2010JJ00,60495,2.23,8004,132,2.9
30,0,0, 0,15,2009JJ00,44065,1.58,5751,131,2.0
31,0,0, 0,15,2010JJ00,41980,1.5,5428,129,1.9
32,0,0, 1, 0,2009JJ00,243535,1.87,28900,119,2.2
33,0,0, 1, 0,2010JJ00,242320,1.84,29442,122,2.2
34,0,0, 1, 1,2009JJ00,20700,1.71,2435,118,2.0
35,0,0, 1, 1,2010JJ00,17145,1.42,2031,118,1.6
36,0,0, 1, 2,2009JJ00,72750,5.75,9181,126,7.2
37,0,0, 1, 2,2010JJ00,67410,5.34,8594,127,6.8
38,0,0, 1, 3,2009JJ00,53920,4.24,6603,122,5.2
39,0,0, 1, 3,2010JJ00,60325,4.65,7613,126,5.8
40,0,0, 1, 4,2009JJ00,33000,2.63,3921,119,3.1
41,0,0, 1, 4,2010JJ00,37155,2.91,4527,122,3.5
42,0,0, 1, 5,2009JJ00,20585,1.62,2335,113,1.8
43,0,0, 1, 5,2010JJ00,20895,1.63,2440,117,1.9
44,0,0, 1, 6,2009JJ00,13945,1.08,1490,107,1.1
45,0,0, 1, 6,2010JJ00,13545,1.04,1487,110,1.1
46,0,0, 1, 7,2009JJ00,10680,0.8,1097,103,0.8
47,0,0, 1, 7,2010JJ00,9965,0.74,1075,108,0.8
48,0,0, 1, 8,2009JJ00,7945,0.58,815,103,0.6
49,0,0, 1, 8,2010JJ00,7245,0.53,767,106,0.5
50,0,0, 1, 9,2009JJ00,5870,0.42,600,102,0.4
51,0,0, 1, 9,2010JJ00,5070,0.36,531,105,0.3
52,0,0, 1,10,2009JJ00,4135,0.3,424,102,0.3
53,0,0, 1,10,2010JJ00,3565,0.26,376,106,0.2
54,0,0, 1,11,2009JJ00,93450,3.78,11615,124,4.7
55,0,0, 1,11,2010JJ00,84555,3.43,10626,126,4.3
56,0,0, 1,12,2009JJ00,86925,3.44,10524,121,4.1
57,0,0, 1,12,2010JJ00,97485,3.78,12141,125,4.7
58,0,0, 1,13,2009JJ00,34535,1.34,3825,111,1.4
59,0,0, 1,13,2010JJ00,34440,1.33,3927,114,1.5
60,0,0, 1,14,2009JJ00,18625,0.69,1912,103,0.7
61,0,0, 1,14,2010JJ00,17210,0.64,1842,107,0.6
62,0,0, 1,15,2009JJ00,10005,0.36,1023,102,0.3
63,0,0, 1,15,2010JJ00,8635,0.31,907,105,0.3
64,0,0, 2, 0,2009JJ00,80775,0.62,7040,87,0.5
65,0,0, 2, 0,2010JJ00,94740,0.72,7909,83,0.6
66,0,0, 2, 1,2009JJ00,5135,0.43,467,91,0.3
67,0,0, 2, 1,2010JJ00,4730,0.39,374,79,0.3
68,0,0, 2, 2,2009JJ00,15625,1.23,1567,100,1.2
69,0,0, 2, 2,2010JJ00,16305,1.29,1531,94,1.2
