ID,Leeftijd,Perioden,TotaalBevolking_1,Mannen_2,Vrouwen_3
0,100,2012JJ00,16727885,8281428,8446462
1,100,2013JJ00,16798011,8317560,8480445
2,100,2014JJ00,16865452,8351611,8513846
3,100,2015JJ00,16926321,8381663,8544658
4,100,2016JJ00,16983832,8409769,8574062
5,100,2017JJ00,17039801,8437104,8602694
6,100,2018JJ00,17096246,8464802,8631438
7,100,2019JJ00,17153034,8492735,8660293
8,100,2020JJ00,17209151,8520383,8688759
9,100,2021JJ00,17264286,8547523,8716755
10,100,2022JJ00,17318190,8573960,8744227
11,100,2023JJ00,17370680,8599548,8771132
12,100,2024JJ00,17421427,8624076,8797356
13,100,2025JJ00,17470145,8647375,8822778
14,100,2026JJ00,17516488,8669285,8847205
15,100,2027JJ00,17560371,8689747,8870617
16,100,2028JJ00,17601360,8708557,8892804
17,100,2029JJ00,17639334,8725643,8913689
18,100,2030JJ00,17674219,8741019,8933196
19,100,2031JJ00,17705867,8754637,8951238
20,100,2032JJ00,17734154,8766487,8967671
21,100,2033JJ00,17758960,8776549,8982406
22,100,2034JJ00,17780231,8784838,8995393
23,100,2035JJ00,17797845,8791324,9006517
24,100,2036JJ00,17811908,8796083,9015817
25,100,2037JJ00,17822454,8799173,9023283
26,100,2038JJ00,17829722,8800742,9028986
27,100,2039JJ00,17833947,8800908,9033036
28,100,2040JJ00,17835515,8799946,9035576
29,100,2041JJ00,17834801,8798050,9036758
30,100,2042JJ00,17832168,8795407,9036746
31,100,2043JJ00,17827994,8792219,9035765
32,100,2044JJ00,17822645,8788626,9034024
33,100,2045JJ00,17816435,8784766,9031665
34,100,2046JJ00,17809630,8780765,9028871
35,100,2047JJ00,17802561,8776734,9025824
36,100,2048JJ00,17795401,8772779,9022618
37,100,2049JJ00,17788296,8768967,9019328
38,100,2050JJ00,17781298,8765330,9015970
39,100,2051JJ00,17774507,8761927,9012581
40,100,2052JJ00,17768006,8758830,9009179
41,100,2053JJ00,17761931,8756072,9005858
42,100,2054JJ00,17756440,8753774,9002668
43,100,2055JJ00,17751705,8752008,8999699
44,100,2056JJ00,17747887,8750868,8997022
45,100,2057JJ00,17745192,8750449,8994737
46,100,2058JJ00,17743675,8750749,8992924
47,100,2059JJ00,17743481,8751848,8991631
48,100,2060JJ00,17744678,8753742,8990939
49,  0,2012JJ00,180311,92337,87974
50,  0,2013JJ00,179696,92019,87677
51,  0,2014JJ00,179760,92052,87708
52,  0,2015JJ00,180035,92194,87841
53,  0,2016JJ00,180546,92456,88090
54,  0,2017JJ00,181270,92828,88442
55,  0,2018JJ00,182354,93384,88971
56,  0,2019JJ00,183659,94054,89605
57,  0,2020JJ00,184909,94698,90211
58,  0,2021JJ00,186103,95312,90791
59,  0,2022JJ00,187075,95811,91264
60,  0,2023JJ00,188087,96333,91755
61,  0,2024JJ00,188891,96745,92146
62,  0,2025JJ00,189527,97073,92454
63,  0,2026JJ00,190022,97329,92694
64,  0,2027JJ00,190382,97513,92869
65,  0,2028JJ00,190647,97651,92996
66,  0,2029JJ00,190821,97744,93077
67,  0,2030JJ00,190882,97775,93107
68,  0,2031JJ00,190780,97723,93057
69,  0,2032JJ00,190489,97576,92912
70,  0,2033JJ00,190007,97331,92676
71,  0,2034JJ00,189323,96981,92342
72,  0,2035JJ00,188496,96561,91935
73,  0,2036JJ00,187558,96079,91479
74,  0,2037JJ00,186581,95582,90999
75,  0,2038JJ00,185628,95092,90536
76,  0,2039JJ00,184746,94643,90102
77,  0,2040JJ00,183973,94248,89726
78,  0,2041JJ00,183331,93918,89413
79,  0,2042JJ00,182831,93665,89167
80,  0,2043JJ00,182499,93496,89002
81,  0,2044JJ00,182335,93413,88923
82,  0,2045JJ00,182343,93418,88926
83,  0,2046JJ00,182507,93502,89005
84,  0,2047JJ00,182816,93661,89155
85,  0,2048JJ00,183252,93885,89367
86,  0,2049JJ00,183780,94156,89625
87,  0,2050JJ00,184372,94458,89914
88,  0,2051JJ00,185000,94782,90218
89,  0,2052JJ00,185640,95110,90530
90,  0,2053JJ00,186266,95431,90835
91,  0,2054JJ00,186861,95736,91124
92,  0,2055JJ00,187401,96014,91387
93,  0,2056JJ00,187873,96258,91615
94,  0,2057JJ00,188261,96458,91804
95,  0,2058JJ00,188561,96612,91949
96,  0,2059JJ00,188770,96720,92050
97,  0,2060JJ00,188879,96776,92103
98,  1,2012JJ00,184784,94267,90518
99,  1,2013JJ00,181158,92742,88415
100,  1,2014JJ00,180558,92428,88131
101,  1,2015JJ00,180566,92430,88136
102,  1,2016JJ00,180832,92568,88263
103,  1,2017JJ00,181342,92830,88512
104,  1,2018JJ00,182092,93218,88874
105,  1,2019JJ00,183199,93788,89411
106,  1,2020JJ00,184513,94465,90048
107,  1,2021JJ00,185767,95114,90653
108,  1,2022JJ00,186965,95733,91232
109,  1,2023JJ00,187940,96237,91704
110,  1,2024JJ00,188953,96760,92192
111,  1,2025JJ00,189764,97176,92587
112,  1,2026JJ00,190401,97506,92894
113,  1,2027JJ00,190904,97766,93137
114,  1,2028JJ00,191264,97952,93311
115,  1,2029JJ00,191532,98093,93439
116,  1,2030JJ00,191709,98187,93522
117,  1,2031JJ00,191777,98222,93556
118,  1,2032JJ00,191679,98174,93505
119,  1,2033JJ00,191392,98031,93362
120,  1,2034JJ00,190918,97790,93128
121,  1,2035JJ00,190238,97442,92795
122,  1,2036JJ00,189419,97029,92390
123,  1,2037JJ00,188491,96552,91939
124,  1,2038JJ00,187523,96061,91462
125,  1,2039JJ00,186577,95574,91003
126,  1,2040JJ00,185699,95127,90572
127,  1,2041JJ00,184931,94734,90197
128,  1,2042JJ00,184295,94409,89885
129,  1,2043JJ00,183799,94157,89641
130,  1,2044JJ00,183470,93993,89478
131,  1,2045JJ00,183310,93909,89400
132,  1,2046JJ00,183319,93915,89404
133,  1,2047JJ00,183480,93999,89482
134,  1,2048JJ00,183790,94158,89632
135,  1,2049JJ00,184227,94384,89844
136,  1,2050JJ00,184754,94653,90100
137,  1,2051JJ00,185345,94956,90389
138,  1,2052JJ00,185972,95279,90693
139,  1,2053JJ00,186610,95607,91003
140,  1,2054JJ00,187237,95929,91309
141,  1,2055JJ00,187831,96235,91597
142,  1,2056JJ00,188370,96511,91859
143,  1,2057JJ00,188842,96754,92087
144,  1,2058JJ00,189232,96957,92275
145,  1,2059JJ00,189531,97111,92420
146,  1,2060JJ00,189738,97218,92519
147,  2,2012JJ00,185600,94933,90667
148,  2,2013JJ00,185148,94442,90706
149,  2,2014JJ00,181533,92917,88616
150,  2,2015JJ00,180869,92565,88304
151,  2,2016JJ00,180870,92565,88305
152,  2,2017JJ00,181133,92703,88430
153,  2,2018JJ00,181670,92980,88689
154,  2,2019JJ00,182440,93380,89060
155,  2,2020JJ00,183551,93957,89594
156,  2,2021JJ00,184873,94641,90232
157,  2,2022JJ00,186133,95295,90838
158,  2,2023JJ00,187335,95918,91417
159,  2,2024JJ00,188317,96428,91889
160,  2,2025JJ00,189333,96954,92379
161,  2,2026JJ00,190148,97373,92775
162,  2,2027JJ00,190791,97707,93084
163,  2,2028JJ00,191297,97970,93327
164,  2,2029JJ00,191661,98158,93503
165,  2,2030JJ00,191931,98300,93631
166,  2,2031JJ00,192110,98395,93715
167,  2,2032JJ00,192183,98432,93750
168,  2,2033JJ00,192092,98390,93702
169,  2,2034JJ00,191810,98250,93560
170,  2,2035JJ00,191344,98013,93331
171,  2,2036JJ00,190672,97671,93000
172,  2,2037JJ00,189859,97261,92598
173,  2,2038JJ00,188938,96789,92149
174,  2,2039JJ00,187979,96300,91679
175,  2,2040JJ00,187040,95818,91222
176,  2,2041JJ00,186166,95375,90791
177,  2,2042JJ00,185404,94985,90418
178,  2,2043JJ00,184773,94663,90110
179,  2,2044JJ00,184282,94414,89868
180,  2,2045JJ00,183955,94250,89705
181,  2,2046JJ00,183794,94166,89628
182,  2,2047JJ00,183804,94173,89631
183,  2,2048JJ00,183968,94258,89710
184,  2,2049JJ00,184278,94419,89860
185,  2,2050JJ00,184717,94645,90072
186,  2,2051JJ00,185242,94913,90328
187,  2,2052JJ00,185834,95217,90617
188,  2,2053JJ00,186461,95540,90921
189,  2,2054JJ00,187097,95868,91230
190,  2,2055JJ00,187725,96189,91535
191,  2,2056JJ00,188317,96494,91823
192,  2,2057JJ00,188855,96771,92084
193,  2,2058JJ00,189328,97016,92312
194,  2,2059JJ00,189717,97218,92499
195,  2,2060JJ00,190017,97374,92644
196,  3,2012JJ00,185846,95387,90459
197,  3,2013JJ00,185824,95038,90786
198,  3,2014JJ00,185370,94545,90824
199,  3,2015JJ00,181716,92995,88721
200,  3,2016JJ00,181049,92640,88409
