ID,Persoonskenmerken,Marges,CaribischNederland,Perioden,ZeerGoedGoed_1,MinderDanGoed_2,SuikerziekteTotaal_3,SuikerziekteType1_4,SuikerziekteType2_5,AandoeningenVanDeNekOfSchouder_6,AstmaChronischeBronchitisCARA_7,Chikungunya_8,ChronischEczeem_9,ChronischeGewrichtsontsteking_10,DarmstoornissenLangerDan3Maanden_11,DuizeligheidMetVallen_12,GewrichtsslijtageVanHeupenOfKnieen_13,HogeBloeddruk_14,Knokkelkoorts_15,MigraineOfErnstigeHoofdpijn_16,OnvrijwilligUrineverliesIncontinentie_17,Rugaandoening_18,VernauwingBloedvatenInBuikOfBenen_19,Zika_20,OverigeAandoeningen_21,BeroerteHersenbloedingHerseninfarct_22,Hartinfarct_23,Hartaandoening_24,Kanker_25,GeenLangdurigeAandoeningen_26,k_1LangdurigeAandoening_27,k_2LangdurigeAandoeningen_28,k_3OfMeerLangdurigeAandoeningen_29
0,T009002,MW00000,CN01   ,2013JJ00,74.4,25.6,8.4,1.7,6.4,7.5,4.4,,1.7,4.2,4.0,5.6,8.3,18.6,2.9,18.7,1.6,11.7,3.6,,8.1,2.0,1.5,3.7,2.8,50.0,26.8,12.4,10.8
1,T009002,MW00000,CN01   ,2017JJ00,75.1,24.8,8.8,1.3,7.4,7.3,3.5,,2.3,5.2,3.1,7.7,8.0,17.3,3.2,14.0,1.6,8.7,2.8,,8.1,1.3,1.5,2.7,2.9,55.4,23.8,10.6,10.0
2,T009002,MW00000,CN01   ,2021JJ00,73.9,26.1,9.2,1.8,7.1,5.9,4.9,0.8,2.0,5.1,3.1,5.2,7.4,16.0,0.5,16.9,1.7,9.4,2.5,0.6,8.0,1.6,1.3,2.5,3.3,56.5,23.8,10.4,9.4
3,T009002,MW00000,GM9001 ,2013JJ00,72.1,27.9,8.0,1.7,5.9,8.6,4.7,,2.0,3.3,4.1,6.4,9.1,18.5,2.4,18.8,1.7,13.2,3.4,,8.6,2.3,2.0,4.4,3.2,48.1,27.4,12.8,11.7
4,T009002,MW00000,GM9001 ,2017JJ00,75.5,24.5,8.2,1.3,6.9,7.6,3.4,,2.2,3.3,3.4,7.8,9.0,16.4,4.0,11.7,2.1,9.1,2.2,,11.3,1.2,2.1,3.5,3.5,55.2,24.4,11.0,9.1
5,T009002,MW00000,GM9001 ,2021JJ00,72.9,27.1,8.3,1.4,6.7,5.7,4.6,1.0,2.1,3.9,3.7,6.0,8.8,14.7,,12.0,1.2,8.9,2.4,0.7,9.6,1.8,1.5,2.7,3.1,57.7,23.5,11.2,7.6
6,T009002,MW00000,GM9002 ,2013JJ00,80.9,19.1,10.6,,8.2,5.3,,,,7.8,,,7.0,20.6,4.8,17.7,,8.8,4.5,,5.6,,,,,52.2,26.7,11.8,9.3
7,T009002,MW00000,GM9002 ,2017JJ00,71.1,28.7,9.8,1.7,7.8,6.0,2.1,,1.5,7.2,2.1,5.4,5.0,17.3,2.8,13.6,,6.9,2.3,,1.6,,,1.4,1.3,63.5,19.7,8.2,8.6
8,T009002,MW00000,GM9002 ,2021JJ00,74.7,25.3,11.1,2.6,8.1,3.9,4.8,1.1,,4.4,1.1,2.9,5.1,16.5,,19.0,1.1,7.7,1.3,,3.5,1.0,0.9,1.1,1.3,63.0,19.8,9.0,8.3
9,T009002,MW00000,GM9003 ,2013JJ00,81.8,18.2,7.7,,7.0,,,,,4.7,,,4.4,15.4,,19.9,,4.3,3.8,,8.0,,,,,62.2,21.2,10.0,6.6
10,T009002,MW00000,GM9003 ,2017JJ00,80.1,19.9,9.5,,8.5,8.1,5.8,,4.1,9.9,3.4,10.8,8.4,21.3,,24.1,,9.8,5.8,,5.1,2.3,,,2.9,44.3,27.4,12.9,15.4
11,T009002,MW00000,GM9003 ,2021JJ00,75.5,24.5,8.6,1.8,6.5,9.7,6.2,,3.8,9.7,4.9,7.0,7.3,18.8,,27.0,4.2,13.7,4.7,,11.1,2.1,1.6,4.4,7.4,42.4,31.1,10.5,16.1
12,T009002,B000150,CN01   ,2013JJ00,2.8,2.8,1.7,0.8,1.5,1.7,1.3,,0.8,1.3,1.3,1.4,1.7,2.4,1.1,2.5,0.8,2.0,1.1,,1.7,0.9,0.8,1.2,1.1,3.2,2.9,2.1,1.9
13,T009002,B000150,CN01   ,2017JJ00,2.1,2.1,1.4,0.6,1.3,1.3,0.9,,0.7,1.1,0.8,1.3,1.3,1.8,0.9,1.7,0.6,1.4,0.8,,1.3,0.5,0.6,0.8,0.8,2.4,2.1,1.5,1.5
14,T009002,B000150,CN01   ,2021JJ00,2.3,2.3,1.5,0.7,1.4,1.2,1.2,0.5,0.7,1.2,0.9,1.2,1.4,2.0,0.4,2.1,0.7,1.6,0.8,0.4,1.4,0.7,0.6,0.8,1.0,2.7,2.3,1.7,1.5
15,T009002,B000150,GM9001 ,2013JJ00,3.2,3.2,1.9,1.0,1.6,2.0,1.5,,1.0,1.3,1.4,1.7,2.1,2.7,1.1,2.9,1.0,2.5,1.3,,2.1,1.1,1.1,1.6,1.4,3.7,3.3,2.4,2.3
16,T009002,B000150,GM9001 ,2017JJ00,2.7,2.7,1.7,0.7,1.6,1.6,1.1,,0.9,1.1,1.1,1.7,1.8,2.3,1.2,2.0,0.9,1.8,0.9,,2.0,0.7,0.9,1.1,1.1,3.1,2.7,1.9,1.8
17,T009002,B000150,GM9001 ,2021JJ00,3.3,3.3,2.0,0.8,1.8,1.6,1.6,0.8,1.0,1.4,1.4,1.7,2.0,2.6,,2.5,0.8,2.2,1.1,0.6,2.2,1.1,0.8,1.2,1.4,3.7,3.2,2.4,1.9
18,T009002,B000150,GM9002 ,2013JJ00,7.1,7.1,5.6,,5.2,5.0,,,,5.2,,,4.4,7.3,4.2,7.0,,5.0,3.1,,4.3,,,,,9.3,8.6,6.3,4.9
19,T009002,B000150,GM9002 ,2017JJ00,4.5,4.5,3.0,1.3,2.7,2.4,1.5,,1.2,2.6,1.4,2.3,2.2,3.8,1.7,3.4,,2.5,1.5,,1.3,,,1.2,1.1,4.8,4.0,2.7,2.8
20,T009002,B000150,GM9002 ,2021JJ00,4.2,4.2,3.2,1.7,2.8,2.0,2.1,0.9,,2.1,1.0,1.6,2.2,3.6,,3.8,1.0,2.6,1.1,,1.7,0.9,0.8,1.0,1.1,4.6,3.7,2.7,2.7
21,T009002,B000150,GM9003 ,2013JJ00,6.8,6.8,4.8,,4.7,,,,,3.9,,,3.6,6.0,,7.3,,4.3,3.7,,5.0,,,,,8.5,7.4,5.4,4.4
22,T009002,B000150,GM9003 ,2017JJ00,4.9,4.9,3.6,,3.4,3.4,2.9,,2.5,3.7,2.2,3.8,3.4,5.1,,5.3,,3.7,2.9,,2.7,1.8,,,2.1,6.1,5.5,4.2,4.5
23,T009002,B000150,GM9003 ,2021JJ00,5.3,5.3,3.4,1.6,3.0,3.6,3.0,,2.5,3.4,2.7,3.1,3.0,4.9,,5.9,2.3,4.3,2.7,,3.7,1.7,1.4,2.2,3.0,6.5,6.0,4.0,4.5
24,3000   ,MW00000,CN01   ,2013JJ00,78.6,21.4,7.0,1.8,4.9,7.2,3.3,,1.4,3.8,2.8,3.6,5.7,15.0,2.8,11.0,1.9,10.2,2.2,,7.6,1.5,1.7,3.9,1.8,58.3,25.3,9.3,7.1
25,3000   ,MW00000,CN01   ,2017JJ00,80.8,19.2,8.2,1.0,7.2,6.4,2.3,,1.7,3.9,2.5,4.5,6.7,13.8,2.5,8.0,0.8,6.9,1.7,,5.9,1.0,1.7,2.3,2.4,62.3,24.2,7.9,5.4
26,3000   ,MW00000,CN01   ,2021JJ00,77.1,22.9,9.4,2.1,6.9,5.0,3.5,,1.7,3.3,2.3,3.8,5.9,13.4,,13.6,1.4,8.0,1.8,,5.8,1.7,1.6,2.2,3.3,61.5,24.0,8.1,6.4
27,3000   ,MW00000,GM9001 ,2013JJ00,76.9,23.1,6.8,2.0,4.3,8.2,3.8,,1.5,3.6,3.4,3.7,6.7,14.9,2.1,10.9,2.3,11.7,2.3,,7.5,1.6,2.2,4.6,2.4,57.2,24.8,9.6,8.4
28,3000   ,MW00000,GM9001 ,2017JJ00,80.0,20.0,8.0,1.4,6.7,8.0,2.1,,1.8,2.8,2.8,5.7,8.9,12.7,3.0,7.8,1.1,7.9,1.7,,9.1,0.9,2.4,3.1,2.9,60.0,24.7,9.2,5.8
29,3000   ,MW00000,GM9001 ,2021JJ00,75.1,24.9,8.5,1.8,6.4,5.0,2.5,,1.4,3.2,2.5,4.0,7.2,10.0,,7.5,1.3,9.6,2.5,,6.9,2.4,1.8,2.3,2.5,64.1,22.3,9.0,4.6
30,3000   ,MW00000,GM9002 ,2013JJ00,82.9,17.1,8.7,,,,,,,,,,,15.3,,11.3,,,0.0,,,,,,,58.1,30.1,9.2,
31,3000   ,MW00000,GM9002 ,2017JJ00,79.0,21.0,6.8,,6.8,4.4,2.0,,,3.6,2.2,2.4,2.4,12.3,2.0,6.6,,5.7,,,,,,,,71.8,19.2,5.1,3.7
32,3000   ,MW00000,GM9002 ,2021JJ00,78.4,21.6,10.8,2.8,7.6,4.0,5.8,,,,,1.9,4.1,17.7,,20.0,,5.4,,,2.7,,,,,63.3,22.1,6.7,7.9
33,3000   ,MW00000,GM9003 ,2013JJ00,85.0,15.0,,,,,,,,,,,,15.2,,11.5,,,,,10.9,,,,,68.9,19.2,,
34,3000   ,MW00000,GM9003 ,2017JJ00,86.7,13.3,11.2,,10.1,3.1,3.6,,,8.4,,3.3,4.4,21.2,,10.7,,4.5,3.4,,,,,,3.7,57.0,29.7,7.0,6.3
