ID,Geslacht,Leeftijd,IndicatieZZVEnOfZMV,IndicatieWelNietJeugdwet,Perioden,JongerenMetAWBZIndicatieInJaar_1
0,1100,41300,1000,1000,2011JJ00,97265.0
1,1100,41300,1000,1000,2012JJ00,88400.0
2,1100,41300,1000,1000,2013JJ00,82085.0
3,1100,41300,1000,1000,2014JJ00,78320.0
4,1100,41300,1000,1100,2011JJ00,85015.0
5,1100,41300,1000,1100,2012JJ00,80820.0
6,1100,41300,1000,1100,2013JJ00,75980.0
7,1100,41300,1000,1100,2014JJ00,72200.0
8,1100,41300,1000,1200,2011JJ00,17375.0
9,1100,41300,1000,1200,2012JJ00,12220.0
10,1100,41300,1000,1200,2013JJ00,10570.0
11,1100,41300,1000,1200,2014JJ00,10020.0
12,1100,41300,1100,1000,2011JJ00,86570.0
13,1100,41300,1100,1000,2012JJ00,78180.0
14,1100,41300,1100,1000,2013JJ00,72555.0
15,1100,41300,1100,1000,2014JJ00,68395.0
16,1100,41300,1100,1100,2011JJ00,79025.0
17,1100,41300,1100,1100,2012JJ00,74800.0
18,1100,41300,1100,1100,2013JJ00,70225.0
19,1100,41300,1100,1100,2014JJ00,66440.0
20,1100,41300,1100,1200,2011JJ00,12600.0
21,1100,41300,1100,1200,2012JJ00,7200.0
22,1100,41300,1100,1200,2013JJ00,5705.0
23,1100,41300,1100,1200,2014JJ00,5100.0
24,1100,41300,1200,1000,2011JJ00,12250.0
25,1100,41300,1200,1000,2012JJ00,12365.0
26,1100,41300,1200,1000,2013JJ00,11830.0
27,1100,41300,1200,1000,2014JJ00,11745.0
28,1100,41300,1200,1100,2011JJ00,7830.0
29,1100,41300,1200,1100,2012JJ00,7715.0
30,1100,41300,1200,1100,2013JJ00,7220.0
31,1100,41300,1200,1100,2014JJ00,7160.0
32,1100,41300,1200,1200,2011JJ00,4880.0
33,1100,41300,1200,1200,2012JJ00,5150.0
34,1100,41300,1200,1200,2013JJ00,4945.0
35,1100,41300,1200,1200,2014JJ00,4985.0
36,1100,41300,1300,1000,2011JJ00,71710.0
37,1100,41300,1300,1000,2012JJ00,66025.0
38,1100,41300,1300,1000,2013JJ00,60635.0
39,1100,41300,1300,1000,2014JJ00,56440.0
40,1100,41300,1300,1100,2011JJ00,71710.0
41,1100,41300,1300,1100,2012JJ00,66025.0
42,1100,41300,1300,1100,2013JJ00,60635.0
43,1100,41300,1300,1100,2014JJ00,56440.0
44,1100,41300,1300,1200,2011JJ00,
45,1100,41300,1300,1200,2012JJ00,
46,1100,41300,1300,1200,2013JJ00,
47,1100,41300,1300,1200,2014JJ00,
48,1100,41300,1400,1000,2011JJ00,17060.0
49,1100,41300,1400,1000,2012JJ00,16200.0
50,1100,41300,1400,1000,2013JJ00,15485.0
51,1100,41300,1400,1000,2014JJ00,15250.0
52,1100,41300,1400,1100,2011JJ00,17060.0
53,1100,41300,1400,1100,2012JJ00,16200.0
54,1100,41300,1400,1100,2013JJ00,15485.0
55,1100,41300,1400,1100,2014JJ00,15250.0
56,1100,41300,1400,1200,2011JJ00,
57,1100,41300,1400,1200,2012JJ00,
58,1100,41300,1400,1200,2013JJ00,
59,1100,41300,1400,1200,2014JJ00,
60,1100,41300,1500,1000,2011JJ00,7350.0
61,1100,41300,1500,1000,2012JJ00,5725.0
62,1100,41300,1500,1000,2013JJ00,4930.0
63,1100,41300,1500,1000,2014JJ00,4540.0
64,1100,41300,1500,1100,2011JJ00,
65,1100,41300,1500,1100,2012JJ00,
66,1100,41300,1500,1100,2013JJ00,
67,1100,41300,1500,1100,2014JJ00,
68,1100,41300,1500,1200,2011JJ00,7350.0
69,1100,41300,1500,1200,2012JJ00,5725.0
70,1100,41300,1500,1200,2013JJ00,4930.0
71,1100,41300,1500,1200,2014JJ00,4540.0
72,1100,41300,1600,1000,2011JJ00,18690.0
73,1100,41300,1600,1000,2012JJ00,15530.0
74,1100,41300,1600,1000,2013JJ00,14935.0
75,1100,41300,1600,1000,2014JJ00,14705.0
76,1100,41300,1600,1100,2011JJ00,13055.0
77,1100,41300,1600,1100,2012JJ00,13765.0
78,1100,41300,1600,1100,2013JJ00,13945.0
79,1100,41300,1600,1100,2014JJ00,13970.0
80,1100,41300,1600,1200,2011JJ00,5635.0
81,1100,41300,1600,1200,2012JJ00,1765.0
82,1100,41300,1600,1200,2013JJ00,990.0
83,1100,41300,1600,1200,2014JJ00,735.0
84,1100,41300,1700,1000,2011JJ00,32800.0
85,1100,41300,1700,1000,2012JJ00,21720.0
86,1100,41300,1700,1000,2013JJ00,16405.0
87,1100,41300,1700,1000,2014JJ00,13395.0
88,1100,41300,1700,1100,2011JJ00,32800.0
89,1100,41300,1700,1100,2012JJ00,21720.0
90,1100,41300,1700,1100,2013JJ00,16405.0
91,1100,41300,1700,1100,2014JJ00,13395.0
92,1100,41300,1700,1200,2011JJ00,
93,1100,41300,1700,1200,2012JJ00,
94,1100,41300,1700,1200,2013JJ00,
95,1100,41300,1700,1200,2014JJ00,
96,1100,40000,1000,1000,2011JJ00,7865.0
97,1100,40000,1000,1000,2012JJ00,5565.0
98,1100,40000,1000,1000,2013JJ00,4895.0
99,1100,40000,1000,1000,2014JJ00,4790.0
100,1100,40000,1000,1100,2011JJ00,4560.0
101,1100,40000,1000,1100,2012JJ00,4220.0
102,1100,40000,1000,1100,2013JJ00,4015.0
103,1100,40000,1000,1100,2014JJ00,4125.0
104,1100,40000,1000,1200,2011JJ00,4825.0
105,1100,40000,1000,1200,2012JJ00,2425.0
106,1100,40000,1000,1200,2013JJ00,1760.0
107,1100,40000,1000,1200,2014JJ00,1425.0
108,1100,40000,1100,1000,2011JJ00,7785.0
109,1100,40000,1100,1000,2012JJ00,5495.0
110,1100,40000,1100,1000,2013JJ00,4840.0
111,1100,40000,1100,1000,2014JJ00,4755.0
112,1100,40000,1100,1100,2011JJ00,4530.0
113,1100,40000,1100,1100,2012JJ00,4190.0
114,1100,40000,1100,1100,2013JJ00,3990.0
115,1100,40000,1100,1100,2014JJ00,4115.0
116,1100,40000,1100,1200,2011JJ00,4760.0
117,1100,40000,1100,1200,2012JJ00,2355.0
118,1100,40000,1100,1200,2013JJ00,1705.0
119,1100,40000,1100,1200,2014JJ00,1385.0
120,1100,40000,1200,1000,2011JJ00,120.0
121,1100,40000,1200,1000,2012JJ00,120.0
122,1100,40000,1200,1000,2013JJ00,95.0
123,1100,40000,1200,1000,2014JJ00,70.0
124,1100,40000,1200,1100,2011JJ00,45.0
125,1100,40000,1200,1100,2012JJ00,45.0
126,1100,40000,1200,1100,2013JJ00,25.0
127,1100,40000,1200,1100,2014JJ00,15.0
128,1100,40000,1200,1200,2011JJ00,85.0
129,1100,40000,1200,1200,2012JJ00,85.0
130,1100,40000,1200,1200,2013JJ00,70.0
131,1100,40000,1200,1200,2014JJ00,55.0
132,1100,40000,1300,1000,2011JJ00,2025.0
133,1100,40000,1300,1000,2012JJ00,1450.0
134,1100,40000,1300,1000,2013JJ00,1105.0
135,1100,40000,1300,1000,2014JJ00,1075.0
136,1100,40000,1300,1100,2011JJ00,2025.0
137,1100,40000,1300,1100,2012JJ00,1450.0
138,1100,40000,1300,1100,2013JJ00,1105.0
139,1100,40000,1300,1100,2014JJ00,1075.0
140,1100,40000,1300,1200,2011JJ00,
141,1100,40000,1300,1200,2012JJ00,
142,1100,40000,1300,1200,2013JJ00,
143,1100,40000,1300,1200,2014JJ00,
144,1100,40000,1400,1000,2011JJ00,1895.0
145,1100,40000,1400,1000,2012JJ00,1665.0
146,1100,40000,1400,1000,2013JJ00,1550.0
147,1100,40000,1400,1000,2014JJ00,1545.0
148,1100,40000,1400,1100,2011JJ00,1895.0
149,1100,40000,1400,1100,2012JJ00,1665.0
150,1100,40000,1400,1100,2013JJ00,1550.0
151,1100,40000,1400,1100,2014JJ00,1545.0
152,1100,40000,1400,1200,2011JJ00,
153,1100,40000,1400,1200,2012JJ00,
154,1100,40000,1400,1200,2013JJ00,
155,1100,40000,1400,1200,2014JJ00,
156,1100,40000,1500,1000,2011JJ00,2925.0
157,1100,40000,1500,1000,2012JJ00,1880.0
158,1100,40000,1500,1000,2013JJ00,1400.0
159,1100,40000,1500,1000,2014JJ00,1110.0
160,1100,40000,1500,1100,2011JJ00,
161,1100,40000,1500,1100,2012JJ00,
162,1100,40000,1500,1100,2013JJ00,
163,1100,40000,1500,1100,2014JJ00,
164,1100,40000,1500,1200,2011JJ00,2925.0
165,1100,40000,1500,1200,2012JJ00,1880.0
166,1100,40000,1500,1200,2013JJ00,1400.0
167,1100,40000,1500,1200,2014JJ00,1110.0
168,1100,40000,1600,1000,2011JJ00,4330.0
169,1100,40000,1600,1000,2012JJ00,2940.0
170,1100,40000,1600,1000,2013JJ00,2770.0
171,1100,40000,1600,1000,2014JJ00,2835.0
172,1100,40000,1600,1100,2011JJ00,2285.0
173,1100,40000,1600,1100,2012JJ00,2330.0
174,1100,40000,1600,1100,2013JJ00,2365.0
175,1100,40000,1600,1100,2014JJ00,2495.0
176,1100,40000,1600,1200,2011JJ00,2045.0
177,1100,40000,1600,1200,2012JJ00,610.0
178,1100,40000,1600,1200,2013JJ00,400.0
179,1100,40000,1600,1200,2014JJ00,340.0
180,1100,40000,1700,1000,2011JJ00,250.0
181,1100,40000,1700,1000,2012JJ00,155.0
182,1100,40000,1700,1000,2013JJ00,120.0
183,1100,40000,1700,1000,2014JJ00,125.0
184,1100,40000,1700,1100,2011JJ00,250.0
185,1100,40000,1700,1100,2012JJ00,155.0
186,1100,40000,1700,1100,2013JJ00,120.0
187,1100,40000,1700,1100,2014JJ00,125.0
188,1100,40000,1700,1200,2011JJ00,
189,1100,40000,1700,1200,2012JJ00,
190,1100,40000,1700,1200,2013JJ00,
191,1100,40000,1700,1200,2014JJ00,
192,1100,51510,1000,1000,2011JJ00,38045.0
193,1100,51510,1000,1000,2012JJ00,32365.0
194,1100,51510,1000,1000,2013JJ00,28420.0
195,1100,51510,1000,1000,2014JJ00,26345.0
196,1100,51510,1000,1100,2011JJ00,33635.0
197,1100,51510,1000,1100,2012JJ00,29850.0
198,1100,51510,1000,1100,2013JJ00,26515.0
199,1100,51510,1000,1100,2014JJ00,24565.0
200,1100,51510,1000,1200,2011JJ00,6450.0
201,1100,51510,1000,1200,2012JJ00,4355.0
202,1100,51510,1000,1200,2013JJ00,3665.0
203,1100,51510,1000,1200,2014JJ00,3380.0
204,1100,51510,1100,1000,2011JJ00,35690.0
205,1100,51510,1100,1000,2012JJ00,30275.0
206,1100,51510,1100,1000,2013JJ00,26595.0
207,1100,51510,1100,1000,2014JJ00,24540.0
208,1100,51510,1100,1100,2011JJ00,32655.0
209,1100,51510,1100,1100,2012JJ00,28910.0
210,1100,51510,1100,1100,2013JJ00,25680.0
211,1100,51510,1100,1100,2014JJ00,23775.0
212,1100,51510,1100,1200,2011JJ00,5105.0
213,1100,51510,1100,1200,2012JJ00,2930.0
214,1100,51510,1100,1200,2013JJ00,2345.0
215,1100,51510,1100,1200,2014JJ00,2145.0
216,1100,51510,1200,1000,2011JJ00,2670.0
217,1100,51510,1200,1000,2012JJ00,2660.0
218,1100,51510,1200,1000,2013JJ00,2405.0
219,1100,51510,1200,1000,2014JJ00,2225.0
220,1100,51510,1200,1100,2011JJ00,1385.0
221,1100,51510,1200,1100,2012JJ00,1285.0
222,1100,51510,1200,1100,2013JJ00,1120.0
223,1100,51510,1200,1100,2014JJ00,1045.0
224,1100,51510,1200,1200,2011JJ00,1385.0
225,1100,51510,1200,1200,2012JJ00,1480.0
226,1100,51510,1200,1200,2013JJ00,1350.0
227,1100,51510,1200,1200,2014JJ00,1265.0
228,1100,51510,1300,1000,2011JJ00,30285.0
229,1100,51510,1300,1000,2012JJ00,25910.0
230,1100,51510,1300,1000,2013JJ00,22225.0
231,1100,51510,1300,1000,2014JJ00,20105.0
232,1100,51510,1300,1100,2011JJ00,30285.0
233,1100,51510,1300,1100,2012JJ00,25910.0
234,1100,51510,1300,1100,2013JJ00,22225.0
235,1100,51510,1300,1100,2014JJ00,20105.0
236,1100,51510,1300,1200,2011JJ00,
237,1100,51510,1300,1200,2012JJ00,
238,1100,51510,1300,1200,2013JJ00,
239,1100,51510,1300,1200,2014JJ00,
240,1100,51510,1400,1000,2011JJ00,7640.0
241,1100,51510,1400,1000,2012JJ00,6930.0
242,1100,51510,1400,1000,2013JJ00,6410.0
243,1100,51510,1400,1000,2014JJ00,6215.0
244,1100,51510,1400,1100,2011JJ00,7640.0
245,1100,51510,1400,1100,2012JJ00,6930.0
246,1100,51510,1400,1100,2013JJ00,6410.0
247,1100,51510,1400,1100,2014JJ00,6215.0
248,1100,51510,1400,1200,2011JJ00,
249,1100,51510,1400,1200,2012JJ00,
250,1100,51510,1400,1200,2013JJ00,
251,1100,51510,1400,1200,2014JJ00,
252,1100,51510,1500,1000,2011JJ00,2530.0
253,1100,51510,1500,1000,2012JJ00,2210.0
254,1100,51510,1500,1000,2013JJ00,2035.0
255,1100,51510,1500,1000,2014JJ00,1955.0
256,1100,51510,1500,1100,2011JJ00,
257,1100,51510,1500,1100,2012JJ00,
258,1100,51510,1500,1100,2013JJ00,
259,1100,51510,1500,1100,2014JJ00,
260,1100,51510,1500,1200,2011JJ00,2530.0
261,1100,51510,1500,1200,2012JJ00,2210.0
262,1100,51510,1500,1200,2013JJ00,2035.0
263,1100,51510,1500,1200,2014JJ00,1955.0
264,1100,51510,1600,1000,2011JJ00,8295.0
265,1100,51510,1600,1000,2012JJ00,6665.0
266,1100,51510,1600,1000,2013JJ00,6250.0
267,1100,51510,1600,1000,2014JJ00,6130.0
268,1100,51510,1600,1100,2011JJ00,5590.0
269,1100,51510,1600,1100,2012JJ00,5830.0
270,1100,51510,1600,1100,2013JJ00,5850.0
271,1100,51510,1600,1100,2014JJ00,5860.0
272,1100,51510,1600,1200,2011JJ00,2705.0
273,1100,51510,1600,1200,2012JJ00,835.0
274,1100,51510,1600,1200,2013JJ00,400.0
275,1100,51510,1600,1200,2014JJ00,270.0
276,1100,51510,1700,1000,2011JJ00,12760.0
277,1100,51510,1700,1000,2012JJ00,7925.0
278,1100,51510,1700,1000,2013JJ00,5830.0
279,1100,51510,1700,1000,2014JJ00,4685.0
280,1100,51510,1700,1100,2011JJ00,12760.0
281,1100,51510,1700,1100,2012JJ00,7925.0
282,1100,51510,1700,1100,2013JJ00,5830.0
283,1100,51510,1700,1100,2014JJ00,4685.0
284,1100,51510,1700,1200,2011JJ00,
285,1100,51510,1700,1200,2012JJ00,
286,1100,51510,1700,1200,2013JJ00,
287,1100,51510,1700,1200,2014JJ00,
288,1100,52020,1000,1000,2011JJ00,51355.0
289,1100,52020,1000,1000,2012JJ00,50475.0
290,1100,52020,1000,1000,2013JJ00,48770.0
291,1100,52020,1000,1000,2014JJ00,47185.0
292,1100,52020,1000,1100,2011JJ00,46815.0
293,1100,52020,1000,1100,2012JJ00,46750.0
294,1100,52020,1000,1100,2013JJ00,45450.0
295,1100,52020,1000,1100,2014JJ00,43510.0
296,1100,52020,1000,1200,2011JJ00,6095.0
297,1100,52020,1000,1200,2012JJ00,5440.0
298,1100,52020,1000,1200,2013JJ00,5140.0
299,1100,52020,1000,1200,2014JJ00,5215.0
300,1100,52020,1100,1000,2011JJ00,43095.0
301,1100,52020,1100,1000,2012JJ00,42410.0
302,1100,52020,1100,1000,2013JJ00,41125.0
303,1100,52020,1100,1000,2014JJ00,39105.0
304,1100,52020,1100,1100,2011JJ00,41840.0
305,1100,52020,1100,1100,2012JJ00,41695.0
306,1100,52020,1100,1100,2013JJ00,40555.0
307,1100,52020,1100,1100,2014JJ00,38550.0
308,1100,52020,1100,1200,2011JJ00,2735.0
309,1100,52020,1100,1200,2012JJ00,1915.0
310,1100,52020,1100,1200,2013JJ00,1655.0
311,1100,52020,1100,1200,2014JJ00,1575.0
312,1100,52020,1200,1000,2011JJ00,9460.0
313,1100,52020,1200,1000,2012JJ00,9580.0
314,1100,52020,1200,1000,2013JJ00,9330.0
315,1100,52020,1200,1000,2014JJ00,9450.0
