ID,IndicatieWelNietJeugdwet,RegioS,Perioden,JongerenMetAWBZIndicatieInJaar_1
0,1000,NL01  ,2011JJ00,97265.0
1,1000,NL01  ,2012JJ00,88400.0
2,1000,NL01  ,2013JJ00,82085.0
3,1000,NL01  ,2014JJ00,78320.0
4,1000,LD01  ,2011JJ00,13260.0
5,1000,LD01  ,2012JJ00,12380.0
6,1000,LD01  ,2013JJ00,11610.0
7,1000,LD01  ,2014JJ00,11125.0
8,1000,LD02  ,2011JJ00,24330.0
9,1000,LD02  ,2012JJ00,22560.0
10,1000,LD02  ,2013JJ00,21265.0
11,1000,LD02  ,2014JJ00,20235.0
12,1000,LD03  ,2011JJ00,36045.0
13,1000,LD03  ,2012JJ00,32270.0
14,1000,LD03  ,2013JJ00,29525.0
15,1000,LD03  ,2014JJ00,28220.0
16,1000,LD04  ,2011JJ00,23625.0
17,1000,LD04  ,2012JJ00,21190.0
18,1000,LD04  ,2013JJ00,19685.0
19,1000,LD04  ,2014JJ00,18740.0
20,1000,PV20  ,2011JJ00,4960.0
21,1000,PV20  ,2012JJ00,4655.0
22,1000,PV20  ,2013JJ00,4275.0
23,1000,PV20  ,2014JJ00,4085.0
24,1000,PV21  ,2011JJ00,4715.0
25,1000,PV21  ,2012JJ00,4395.0
26,1000,PV21  ,2013JJ00,4225.0
27,1000,PV21  ,2014JJ00,4040.0
28,1000,PV22  ,2011JJ00,3585.0
29,1000,PV22  ,2012JJ00,3330.0
30,1000,PV22  ,2013JJ00,3110.0
31,1000,PV22  ,2014JJ00,3000.0
32,1000,PV23  ,2011JJ00,7580.0
33,1000,PV23  ,2012JJ00,6945.0
34,1000,PV23  ,2013JJ00,6505.0
35,1000,PV23  ,2014JJ00,6250.0
36,1000,PV24  ,2011JJ00,4085.0
37,1000,PV24  ,2012JJ00,3900.0
38,1000,PV24  ,2013JJ00,3715.0
39,1000,PV24  ,2014JJ00,3375.0
40,1000,PV25  ,2011JJ00,12670.0
41,1000,PV25  ,2012JJ00,11715.0
42,1000,PV25  ,2013JJ00,11040.0
43,1000,PV25  ,2014JJ00,10610.0
44,1000,PV26  ,2011JJ00,6015.0
45,1000,PV26  ,2012JJ00,5435.0
46,1000,PV26  ,2013JJ00,5050.0
47,1000,PV26  ,2014JJ00,4655.0
48,1000,PV27  ,2011JJ00,11825.0
49,1000,PV27  ,2012JJ00,10770.0
50,1000,PV27  ,2013JJ00,10070.0
51,1000,PV27  ,2014JJ00,9695.0
52,1000,PV28  ,2011JJ00,15700.0
53,1000,PV28  ,2012JJ00,13835.0
54,1000,PV28  ,2013JJ00,12455.0
55,1000,PV28  ,2014JJ00,11990.0
56,1000,PV29  ,2011JJ00,2505.0
57,1000,PV29  ,2012JJ00,2230.0
58,1000,PV29  ,2013JJ00,1950.0
59,1000,PV29  ,2014JJ00,1880.0
60,1000,PV30  ,2011JJ00,16095.0
61,1000,PV30  ,2012JJ00,14335.0
62,1000,PV30  ,2013JJ00,13175.0
63,1000,PV30  ,2014JJ00,12475.0
64,1000,PV31  ,2011JJ00,7530.0
65,1000,PV31  ,2012JJ00,6855.0
66,1000,PV31  ,2013JJ00,6515.0
67,1000,PV31  ,2014JJ00,6265.0
68,1000,CR01  ,2011JJ00,1545.0
69,1000,CR01  ,2012JJ00,1455.0
70,1000,CR01  ,2013JJ00,1335.0
71,1000,CR01  ,2014JJ00,1275.0
72,1000,CR02  ,2011JJ00,415.0
73,1000,CR02  ,2012JJ00,420.0
74,1000,CR02  ,2013JJ00,390.0
75,1000,CR02  ,2014JJ00,365.0
76,1000,CR03  ,2011JJ00,3000.0
77,1000,CR03  ,2012JJ00,2780.0
78,1000,CR03  ,2013JJ00,2555.0
79,1000,CR03  ,2014JJ00,2445.0
80,1000,CR04  ,2011JJ00,2395.0
81,1000,CR04  ,2012JJ00,2275.0
82,1000,CR04  ,2013JJ00,2175.0
83,1000,CR04  ,2014JJ00,2045.0
84,1000,CR05  ,2011JJ00,730.0
85,1000,CR05  ,2012JJ00,630.0
86,1000,CR05  ,2013JJ00,620.0
87,1000,CR05  ,2014JJ00,715.0
88,1000,CR06  ,2011JJ00,1590.0
89,1000,CR06  ,2012JJ00,1485.0
90,1000,CR06  ,2013JJ00,1430.0
91,1000,CR06  ,2014JJ00,1280.0
92,1000,CR07  ,2011JJ00,1445.0
93,1000,CR07  ,2012JJ00,1335.0
94,1000,CR07  ,2013JJ00,1215.0
95,1000,CR07  ,2014JJ00,1155.0
96,1000,CR08  ,2011JJ00,1275.0
97,1000,CR08  ,2012JJ00,1185.0
98,1000,CR08  ,2013JJ00,1095.0
99,1000,CR08  ,2014JJ00,1055.0
100,1000,CR09  ,2011JJ00,865.0
101,1000,CR09  ,2012JJ00,810.0
102,1000,CR09  ,2013JJ00,800.0
103,1000,CR09  ,2014JJ00,790.0
