ID,Donorregistratie,Persoonskenmerken,Perioden,DonorregisterVastgelegdeKeuze_1,DonorregisterVastgelegdeKeuze_2
0,T001421,T009002,2014JJ00,14591.0,100.0
1,T001421,T009002,2015JJ00,14685.1,100.0
2,T001421,T009002,2016JJ00,14782.6,100.0
3,T001421,T009002,2017JJ00,14895.2,100.0
4,T001421,T009002,2018JJ00,15005.8,100.0
5,T001421,T009002,2019JJ00,15117.2,100.0
6,T001421,T009002,2020JJ00,15247.4,100.0
7,T001421,T009002,2021JJ00,15332.4,100.0
8,T001421,T009002,2022JJ00,15450.0,100.0
9,T001421,3000   ,2014JJ00,7188.2,100.0
10,T001421,3000   ,2015JJ00,7238.6,100.0
11,T001421,3000   ,2016JJ00,7292.1,100.0
12,T001421,3000   ,2017JJ00,7354.4,100.0
13,T001421,3000   ,2018JJ00,7412.1,100.0
14,T001421,3000   ,2019JJ00,7471.5,100.0
15,T001421,3000   ,2020JJ00,7540.3,100.0
16,T001421,3000   ,2021JJ00,7588.1,100.0
17,T001421,3000   ,2022JJ00,7648.3,100.0
18,T001421,4000   ,2014JJ00,7402.8,100.0
19,T001421,4000   ,2015JJ00,7446.5,100.0
20,T001421,4000   ,2016JJ00,7490.5,100.0
21,T001421,4000   ,2017JJ00,7540.8,100.0
22,T001421,4000   ,2018JJ00,7593.7,100.0
23,T001421,4000   ,2019JJ00,7645.7,100.0
24,T001421,4000   ,2020JJ00,7707.1,100.0
25,T001421,4000   ,2021JJ00,7744.4,100.0
26,T001421,4000   ,2022JJ00,7801.7,100.0
27,T001421,52020  ,2014JJ00,1206.7,100.0
28,T001421,52020  ,2015JJ00,1215.9,100.0
29,T001421,52020  ,2016JJ00,1225.6,100.0
30,T001421,52020  ,2017JJ00,1224.4,100.0
31,T001421,52020  ,2018JJ00,1214.9,100.0
32,T001421,52020  ,2019JJ00,1197.4,100.0
33,T001421,52020  ,2020JJ00,1182.4,100.0
34,T001421,52020  ,2021JJ00,1171.6,100.0
35,T001421,52020  ,2022JJ00,1163.4,100.0
36,T001421,53090  ,2014JJ00,403.2,100.0
37,T001421,53090  ,2015JJ00,398.8,100.0
38,T001421,53090  ,2016JJ00,401.8,100.0
39,T001421,53090  ,2017JJ00,412.9,100.0
40,T001421,53090  ,2018JJ00,424.5,100.0
41,T001421,53090  ,2019JJ00,434.0,100.0
42,T001421,53090  ,2020JJ00,437.9,100.0
43,T001421,53090  ,2021JJ00,432.2,100.0
44,T001421,53090  ,2022JJ00,436.9,100.0
45,T001421,60300  ,2014JJ00,2098.5,100.0
46,T001421,60300  ,2015JJ00,2119.0,100.0
47,T001421,60300  ,2016JJ00,2134.8,100.0
48,T001421,60300  ,2017JJ00,2153.8,100.0
49,T001421,60300  ,2018JJ00,2173.6,100.0
50,T001421,60300  ,2019JJ00,2200.1,100.0
51,T001421,60300  ,2020JJ00,2231.6,100.0
52,T001421,60300  ,2021JJ00,2239.1,100.0
53,T001421,60300  ,2022JJ00,2266.5,100.0
54,T001421,60400  ,2014JJ00,2018.1,100.0
55,T001421,60400  ,2015JJ00,2014.3,100.0
56,T001421,60400  ,2016JJ00,2025.4,100.0
57,T001421,60400  ,2017JJ00,2048.5,100.0
58,T001421,60400  ,2018JJ00,2077.1,100.0
59,T001421,60400  ,2019JJ00,2107.0,100.0
60,T001421,60400  ,2020JJ00,2146.5,100.0
61,T001421,60400  ,2021JJ00,2179.8,100.0
62,T001421,60400  ,2022JJ00,2219.6,100.0
63,T001421,60500  ,2014JJ00,2517.5,100.0
64,T001421,60500  ,2015JJ00,2462.5,100.0
65,T001421,60500  ,2016JJ00,2405.9,100.0
66,T001421,60500  ,2017JJ00,2355.6,100.0
67,T001421,60500  ,2018JJ00,2306.6,100.0
68,T001421,60500  ,2019JJ00,2260.5,100.0
69,T001421,60500  ,2020JJ00,2207.4,100.0
70,T001421,60500  ,2021JJ00,2165.8,100.0
71,T001421,60500  ,2022JJ00,2132.1,100.0
72,T001421,60600  ,2014JJ00,2384.4,100.0
73,T001421,60600  ,2015JJ00,2421.3,100.0
74,T001421,60600  ,2016JJ00,2450.7,100.0
75,T001421,60600  ,2017JJ00,2472.7,100.0
76,T001421,60600  ,2018JJ00,2491.0,100.0
77,T001421,60600  ,2019JJ00,2508.0,100.0
78,T001421,60600  ,2020JJ00,2531.9,100.0
79,T001421,60600  ,2021JJ00,2549.5,100.0
80,T001421,60600  ,2022JJ00,2548.3,100.0
81,T001421,60700  ,2014JJ00,2029.8,100.0
82,T001421,60700  ,2015JJ00,2060.4,100.0
83,T001421,60700  ,2016JJ00,2100.2,100.0
84,T001421,60700  ,2017JJ00,2083.7,100.0
85,T001421,60700  ,2018JJ00,2079.1,100.0
86,T001421,60700  ,2019JJ00,2089.7,100.0
87,T001421,60700  ,2020JJ00,2113.6,100.0
88,T001421,60700  ,2021JJ00,2141.3,100.0
89,T001421,60700  ,2022JJ00,2175.6,100.0
90,T001421,60800  ,2014JJ00,1216.1,100.0
91,T001421,60800  ,2015JJ00,1258.1,100.0
92,T001421,60800  ,2016JJ00,1289.7,100.0
93,T001421,60800  ,2017JJ00,1379.6,100.0
94,T001421,60800  ,2018JJ00,1460.5,100.0
95,T001421,60800  ,2019JJ00,1522.0,100.0
96,T001421,60800  ,2020JJ00,1574.3,100.0
97,T001421,60800  ,2021JJ00,1614.9,100.0
98,T001421,60800  ,2022JJ00,1654.9,100.0
99,T001421,21700  ,2014JJ00,716.8,100.0
100,T001421,21700  ,2015JJ00,734.7,100.0
101,T001421,21700  ,2016JJ00,748.5,100.0
102,T001421,21700  ,2017JJ00,764.0,100.0
103,T001421,21700  ,2018JJ00,778.6,100.0
104,T001421,21700  ,2019JJ00,798.6,100.0
105,T001421,21700  ,2020JJ00,821.8,100.0
106,T001421,21700  ,2021JJ00,838.3,100.0
107,T001421,21700  ,2022JJ00,852.8,100.0
108,T001421,1012600,2014JJ00,11546.5,100.0
109,T001421,1012600,2015JJ00,11573.3,100.0
110,T001421,1012600,2016JJ00,11592.8,100.0
111,T001421,1012600,2017JJ00,11605.8,100.0
112,T001421,1012600,2018JJ00,11613.8,100.0
113,T001421,1012600,2019JJ00,11618.7,100.0
114,T001421,1012600,2020JJ00,11624.4,100.0
115,T001421,1012600,2021JJ00,11624.3,100.0
116,T001421,1012600,2022JJ00,11615.4,100.0
117,T001421,2012605,2014JJ00,3044.5,100.0
118,T001421,2012605,2015JJ00,3111.8,100.0
119,T001421,2012605,2016JJ00,3189.8,100.0
120,T001421,2012605,2017JJ00,3289.4,100.0
121,T001421,2012605,2018JJ00,3392.0,100.0
122,T001421,2012605,2019JJ00,3498.5,100.0
123,T001421,2012605,2020JJ00,3623.0,100.0
124,T001421,2012605,2021JJ00,3708.2,100.0
125,T001421,2012605,2022JJ00,3834.7,100.0
126,T001421,H008766,2014JJ00,330.1,100.0
127,T001421,H008766,2015JJ00,332.6,100.0
128,T001421,H008766,2016JJ00,335.6,100.0
129,T001421,H008766,2017JJ00,340.0,100.0
130,T001421,H008766,2018JJ00,345.7,100.0
131,T001421,H008766,2019JJ00,352.5,100.0
132,T001421,H008766,2020JJ00,360.5,100.0
133,T001421,H008766,2021JJ00,367.3,100.0
134,T001421,H008766,2022JJ00,375.7,100.0
135,T001421,H008673,2014JJ00,285.8,100.0
136,T001421,H008673,2015JJ00,292.9,100.0
137,T001421,H008673,2016JJ00,299.9,100.0
138,T001421,H008673,2017JJ00,307.3,100.0
139,T001421,H008673,2018JJ00,315.5,100.0
140,T001421,H008673,2019JJ00,323.9,100.0
141,T001421,H008673,2020JJ00,332.5,100.0
142,T001421,H008673,2021JJ00,340.8,100.0
143,T001421,H008673,2022JJ00,348.8,100.0
144,T001421,H008751,2014JJ00,304.7,100.0
145,T001421,H008751,2015JJ00,307.2,100.0
146,T001421,H008751,2016JJ00,309.4,100.0
147,T001421,H008751,2017JJ00,312.2,100.0
148,T001421,H008751,2018JJ00,315.7,100.0
149,T001421,H008751,2019JJ00,319.3,100.0
150,T001421,H008751,2020JJ00,323.1,100.0
151,T001421,H008751,2021JJ00,326.6,100.0
152,T001421,H008751,2022JJ00,329.5,100.0
153,T001421,H007119,2014JJ00,120.6,100.0
154,T001421,H007119,2015JJ00,122.7,100.0
155,T001421,H007119,2016JJ00,124.6,100.0
156,T001421,H007119,2017JJ00,126.9,100.0
157,T001421,H007119,2018JJ00,130.2,100.0
158,T001421,H007119,2019JJ00,133.9,100.0
159,T001421,H007119,2020JJ00,138.4,100.0
160,T001421,H007119,2021JJ00,143.5,100.0
161,T001421,H007119,2022JJ00,148.4,100.0
162,T001421,2012655,2014JJ00,1426.1,100.0
163,T001421,2012655,2015JJ00,1451.8,100.0
164,T001421,2012655,2016JJ00,1475.7,100.0
165,T001421,2012655,2017JJ00,1505.0,100.0
166,T001421,2012655,2018JJ00,1542.4,100.0
167,T001421,2012655,2019JJ00,1583.0,100.0
168,T001421,2012655,2020JJ00,1631.9,100.0
169,T001421,2012655,2021JJ00,1659.8,100.0
170,T001421,2012655,2022JJ00,1707.8,100.0
171,T001421,2012657,2014JJ00,1618.3,100.0
172,T001421,2012657,2015JJ00,1660.0,100.0
173,T001421,2012657,2016JJ00,1714.0,100.0
174,T001421,2012657,2017JJ00,1784.4,100.0
175,T001421,2012657,2018JJ00,1849.6,100.0
176,T001421,2012657,2019JJ00,1915.5,100.0
177,T001421,2012657,2020JJ00,1991.1,100.0
178,T001421,2012657,2021JJ00,2048.3,100.0
179,T001421,2012657,2022JJ00,2126.8,100.0
180,T001421,2013356,2014JJ00,1759.0,100.0
181,T001421,2013356,2015JJ00,1796.4,100.0
182,T001421,2013356,2016JJ00,1845.4,100.0
183,T001421,2013356,2017JJ00,1915.2,100.0
184,T001421,2013356,2018JJ00,1987.2,100.0
185,T001421,2013356,2019JJ00,2063.5,100.0
186,T001421,2013356,2020JJ00,2157.7,100.0
187,T001421,2013356,2021JJ00,2210.5,100.0
188,T001421,2013356,2022JJ00,2306.6,100.0
189,T001421,2013357,2014JJ00,1285.5,100.0
190,T001421,2013357,2015JJ00,1315.4,100.0
191,T001421,2013357,2016JJ00,1344.3,100.0
192,T001421,2013357,2017JJ00,1374.2,100.0
193,T001421,2013357,2018JJ00,1404.8,100.0
194,T001421,2013357,2019JJ00,1435.0,100.0
195,T001421,2013357,2020JJ00,1465.3,100.0
196,T001421,2013357,2021JJ00,1497.6,100.0
197,T001421,2013357,2022JJ00,1528.1,100.0
198,A045380,T009002,2014JJ00,5768.6,40.0
199,A045380,T009002,2015JJ00,5814.5,40.0
200,A045380,T009002,2016JJ00,5865.6,40.0
201,A045380,T009002,2017JJ00,6057.6,41.0
202,A045380,T009002,2018JJ00,6317.8,42.0
203,A045380,T009002,2019JJ00,6373.9,42.0
204,A045380,T009002,2020JJ00,6933.6,45.0
205,A045380,T009002,2021JJ00,13907.5,91.0
206,A045380,T009002,2022JJ00,14019.3,91.0
207,A045380,3000   ,2014JJ00,2618.9,36.0
208,A045380,3000   ,2015JJ00,2635.6,36.0
209,A045380,3000   ,2016JJ00,2655.1,36.0
210,A045380,3000   ,2017JJ00,2747.8,37.0
211,A045380,3000   ,2018JJ00,2871.7,39.0
212,A045380,3000   ,2019JJ00,2897.4,39.0
213,A045380,3000   ,2020JJ00,3159.9,42.0
214,A045380,3000   ,2021JJ00,6843.0,90.0
215,A045380,3000   ,2022JJ00,6908.1,90.0
216,A045380,4000   ,2014JJ00,3149.7,43.0
217,A045380,4000   ,2015JJ00,3178.9,43.0
218,A045380,4000   ,2016JJ00,3210.5,43.0
219,A045380,4000   ,2017JJ00,3309.7,44.0
220,A045380,4000   ,2018JJ00,3446.1,45.0
221,A045380,4000   ,2019JJ00,3476.5,45.0
222,A045380,4000   ,2020JJ00,3773.7,49.0
223,A045380,4000   ,2021JJ00,7064.4,91.0
224,A045380,4000   ,2022JJ00,7111.2,91.0
225,A045380,52020  ,2014JJ00,19.1,2.0
226,A045380,52020  ,2015JJ00,17.0,1.0
227,A045380,52020  ,2016JJ00,17.1,1.0
228,A045380,52020  ,2017JJ00,19.1,2.0
229,A045380,52020  ,2018JJ00,19.7,2.0
230,A045380,52020  ,2019JJ00,14.0,1.0
231,A045380,52020  ,2020JJ00,17.4,1.0
232,A045380,52020  ,2021JJ00,47.8,4.0
233,A045380,52020  ,2022JJ00,15.3,1.0
234,A045380,53090  ,2014JJ00,83.6,21.0
235,A045380,53090  ,2015JJ00,74.3,19.0
236,A045380,53090  ,2016JJ00,71.6,18.0
237,A045380,53090  ,2017JJ00,75.9,18.0
238,A045380,53090  ,2018JJ00,140.5,33.0
239,A045380,53090  ,2019JJ00,91.1,21.0
240,A045380,53090  ,2020JJ00,118.9,27.0
241,A045380,53090  ,2021JJ00,420.5,97.0
242,A045380,53090  ,2022JJ00,355.9,81.0
243,A045380,60300  ,2014JJ00,796.0,38.0
244,A045380,60300  ,2015JJ00,798.8,38.0
245,A045380,60300  ,2016JJ00,790.2,37.0
246,A045380,60300  ,2017JJ00,804.7,37.0
247,A045380,60300  ,2018JJ00,826.5,38.0
248,A045380,60300  ,2019JJ00,828.4,38.0
249,A045380,60300  ,2020JJ00,920.3,41.0
250,A045380,60300  ,2021JJ00,2172.1,97.0
251,A045380,60300  ,2022JJ00,2172.2,96.0
252,A045380,60400  ,2014JJ00,881.9,44.0
