ID,COFOGOverheidsfuncties,Sectoren,Perioden,Overheidsconsumptie_1
0,T001023,10,1995JJ00,72790.0
1,T001023,10,1996JJ00,72847.0
2,T001023,10,1997JJ00,76260.0
3,T001023,10,1998JJ00,80618.0
4,T001023,10,1999JJ00,84872.0
5,T001023,10,2000JJ00,91572.0
6,T001023,10,2001JJ00,99532.0
7,T001023,10,2002JJ00,109104.0
8,T001023,10,2003JJ00,115911.0
9,T001023,10,2004JJ00,117650.0
10,T001023,10,2005JJ00,121722.0
11,T001023,10,2006JJ00,135492.0
12,T001023,10,2007JJ00,142750.0
13,T001023,10,2008JJ00,152650.0
14,T001023,10,2009JJ00,163355.0
15,T001023,10,2010JJ00,167232.0
16,T001023,10,2011JJ00,167158.0
17,T001023,10,2012JJ00,169875.0
18,T001023,10,2013JJ00,170258.0
19,T001023,10,2014JJ00,171986.0
20,T001023,10,2015JJ00,171677.0
21,T001023,10,2016JJ00,173682.0
22,T001023,20,1995JJ00,19474.0
23,T001023,20,1996JJ00,19551.0
24,T001023,20,1997JJ00,20343.0
25,T001023,20,1998JJ00,21626.0
26,T001023,20,1999JJ00,22530.0
27,T001023,20,2000JJ00,23698.0
28,T001023,20,2001JJ00,25676.0
29,T001023,20,2002JJ00,27278.0
30,T001023,20,2003JJ00,27603.0
31,T001023,20,2004JJ00,27057.0
32,T001023,20,2005JJ00,28948.0
33,T001023,20,2006JJ00,30374.0
34,T001023,20,2007JJ00,33172.0
35,T001023,20,2008JJ00,35457.0
36,T001023,20,2009JJ00,37154.0
37,T001023,20,2010JJ00,36933.0
38,T001023,20,2011JJ00,35651.0
39,T001023,20,2012JJ00,35526.0
40,T001023,20,2013JJ00,40468.0
41,T001023,20,2014JJ00,40879.0
42,T001023,20,2015JJ00,41117.0
43,T001023,20,2016JJ00,42593.0
44,T001023,30,1995JJ00,33036.0
45,T001023,30,1996JJ00,33536.0
46,T001023,30,1997JJ00,33369.0
47,T001023,30,1998JJ00,35035.0
48,T001023,30,1999JJ00,37128.0
49,T001023,30,2000JJ00,40325.0
50,T001023,30,2001JJ00,43454.0
51,T001023,30,2002JJ00,47383.0
52,T001023,30,2003JJ00,51291.0
53,T001023,30,2004JJ00,52219.0
54,T001023,30,2005JJ00,53297.0
55,T001023,30,2006JJ00,55170.0
56,T001023,30,2007JJ00,59590.0
57,T001023,30,2008JJ00,63976.0
58,T001023,30,2009JJ00,68033.0
59,T001023,30,2010JJ00,70123.0
60,T001023,30,2011JJ00,69681.0
61,T001023,30,2012JJ00,68745.0
62,T001023,30,2013JJ00,64736.0
63,T001023,30,2014JJ00,65038.0
64,T001023,30,2015JJ00,70474.0
65,T001023,30,2016JJ00,71886.0
66,T001023,40,1995JJ00,20280.0
67,T001023,40,1996JJ00,19760.0
68,T001023,40,1997JJ00,22548.0
69,T001023,40,1998JJ00,23957.0
70,T001023,40,1999JJ00,25214.0
71,T001023,40,2000JJ00,27549.0
72,T001023,40,2001JJ00,30402.0
73,T001023,40,2002JJ00,34443.0
74,T001023,40,2003JJ00,37017.0
75,T001023,40,2004JJ00,38374.0
76,T001023,40,2005JJ00,39477.0
77,T001023,40,2006JJ00,49948.0
78,T001023,40,2007JJ00,49988.0
79,T001023,40,2008JJ00,53217.0
80,T001023,40,2009JJ00,58168.0
81,T001023,40,2010JJ00,60176.0
82,T001023,40,2011JJ00,61826.0
83,T001023,40,2012JJ00,65604.0
84,T001023,40,2013JJ00,65054.0
85,T001023,40,2014JJ00,66069.0
