ID,Perioden,TotaalZorgEnWelzijn_1,GeneeskundigeEnLangdurigeZorg_2,WelzijnJeugdzorgEnKinderopvang_3,BeleidEnBeheer_4,TotaalGezondheidszorgIntDef_5,GeneeskundigeEnLangdurigeZorg_6,WelzijnJeugdzorgEnKinderopvang_7,BeleidEnBeheer_8,TotaalUitgavenOgvVerplVerz_9,GeneeskundigeEnLangdurigeZorg_10,WelzijnJeugdzorgEnKinderopvang_11,BeleidEnBeheer_12,VerschilMetBudgettairKaderZorg_13,BrutoBudgettairKaderZorg_14,VerplichteEigenBetalingenEnOverige_15,NettoBudgettairKaderZorg_16,ZorgEnWelzijn_17,GezondheidszorgInternationaleDefinitie_18,ZorgEnWelzijn_19,GezondheidszorgInternationaleDefinitie_20
0,1998JJ00,40309,34320,4228,1762,30941,29288,64,1590,22808,22236,0,573,4434,29831,2589,27242,10.4,7.9,2566,1970
1,1999JJ00,43388,36656,4858,1873,33030,31270,72,1688,24015,23419,0,595,5254,31784,2515,29269,10.5,8.0,2744,2089
2,2000JJ00,46452,39070,5419,1963,34994,33148,76,1770,25973,25349,0,624,5489,33793,2331,31462,10.4,7.8,2917,2197
3,2001JJ00,52010,43813,6069,2128,39033,37025,85,1923,29089,28406,5,678,6057,37601,2455,35146,10.9,8.2,3241,2433
4,2002JJ00,58167,49535,6357,2275,43639,41512,95,2032,32827,32150,10,667,5480,40706,2399,38307,11.8,8.8,3602,2702
5,2003JJ00,62556,53484,6724,2348,46678,44478,105,2095,35577,34861,20,696,5718,43668,2373,41295,12.3,9.2,3855,2877
6,2004JJ00,64549,55429,6696,2424,48482,46176,120,2187,36274,35541,30,704,6397,44875,2204,42671,12.3,9.3,3965,2978
7,2005JJ00,67151,57452,6900,2799,50581,47910,134,2536,37758,36951,50,756,4913,46506,3835,42671,12.3,9.3,4115,3099
8,2006JJ00,70350,60125,7182,3044,53184,50219,193,2773,48129,46343,255,1531,-3653,48323,3847,44476,12.1,9.2,4304,3254
9,2007JJ00,74666,63763,7707,3197,56649,53514,221,2914,49242,47550,288,1403,-1930,50977,3665,47312,12.2,9.2,4558,3458
10,2008JJ00,79911,68465,8345,3102,60788,57673,286,2828,51802,50186,326,1290,760,55530,2968,52562,12.5,9.5,4859,3696
11,2009JJ00,84177,71625,9420,3131,63213,60053,334,2825,54820,53253,367,1200,1493,59335,3022,56313,13.6,10.2,5092,3824
12,2010JJ00,87632,74691,9812,3129,65695,62507,376,2813,57246,55626,410,1211,2198,62476,3032,59444,13.9,10.4,5274,3954
13,2011JJ00,89676,76489,9901,3286,67639,64297,385,2957,58640,56891,426,1323,2672,64481,3170,61312,13.9,10.5,5372,4052
14,2012JJ00,92943,79875,9842,3226,70347,66946,480,2921,61351,59465,545,1341,2941,67942,3650,64292,14.4,10.9,5547,4199
15,2013JJ00,93099,80405,9402,3292,71133,67655,493,2985,62327,60441,500,1387,1910,68818,4581,64237,14.3,10.9,5540,4233
16,2014JJ00,94452,81760,9289,3403,71993,68392,497,3104,63028,61053,504,1471,1175,69299,5096,64203,14.2,10.9,5600,4269
17,2015JJ00,94494,81821,9355,3318,72015,68501,495,3019,58270,56604,205,1462,5816,69165,5110,64087,13.8,10.5,5578,4251
18,2016JJ00,96711,83786,9664,3261,73670,70192,516,2962,59730,58108,219,1402,6375,71152,5078,66105,13.8,10.5,5679,4326
