ID,Aanbieders,Perioden,ZorguitgavenInclusiefWelzijn_1,UitgavenVoorGezondheidszorgIntDef_2,UitgavenOgvVerplichteVerzekeringen_3
0,1000,1998JJ00,40309,30941,22808
1,1000,1999JJ00,43388,33030,24015
2,1000,2000JJ00,46452,34994,25973
3,1000,2001JJ00,52010,39033,29089
4,1000,2002JJ00,58167,43639,32827
5,1000,2003JJ00,62556,46678,35577
6,1000,2004JJ00,64549,48482,36274
7,1000,2005JJ00,67151,50581,37758
8,1000,2006JJ00,70350,53184,48129
9,1000,2007JJ00,74666,56649,49242
10,1000,2008JJ00,79911,60788,51802
11,1000,2009JJ00,84177,63213,54820
12,1000,2010JJ00,87632,65695,57246
13,1000,2011JJ00,89676,67639,58640
14,1000,2012JJ00,92943,70347,61351
15,1000,2013JJ00,93099,71133,62327
16,1000,2014JJ00,94452,71993,63028
17,1000,2015JJ00,94494,72015,58270
18,1000,2016JJ00,96711,73670,59730
19,2000,1998JJ00,34320,29288,22236
20,2000,1999JJ00,36656,31270,23419
21,2000,2000JJ00,39070,33148,25349
22,2000,2001JJ00,43813,37025,28406
23,2000,2002JJ00,49535,41512,32150
24,2000,2003JJ00,53484,44478,34861
25,2000,2004JJ00,55429,46176,35541
26,2000,2005JJ00,57452,47910,36951
27,2000,2006JJ00,60125,50219,46343
28,2000,2007JJ00,63763,53514,47550
29,2000,2008JJ00,68465,57673,50186
30,2000,2009JJ00,71625,60053,53253
31,2000,2010JJ00,74691,62507,55626
32,2000,2011JJ00,76489,64297,56891
33,2000,2012JJ00,79875,66946,59465
34,2000,2013JJ00,80405,67655,60441
35,2000,2014JJ00,81760,68392,61053
36,2000,2015JJ00,81821,68501,56604
37,2000,2016JJ00,83786,70192,58108
38,2100,1998JJ00,9897,8990,6572
39,2100,1999JJ00,10475,9492,6774
40,2100,2000JJ00,11049,10000,7375
41,2100,2001JJ00,12563,11378,8392
42,2100,2002JJ00,14164,12888,9436
43,2100,2003JJ00,15086,13759,9889
44,2100,2004JJ00,16056,14646,10435
45,2100,2005JJ00,16724,15273,10969
46,2100,2006JJ00,17474,15909,15872
47,2100,2007JJ00,18520,16163,16173
48,2100,2008JJ00,20560,18380,17487
49,2100,2009JJ00,21762,19526,18637
50,2100,2010JJ00,23040,20700,19790
51,2100,2011JJ00,23018,20895,19756
52,2100,2012JJ00,24344,21939,20512
53,2100,2013JJ00,25404,23046,22200
54,2100,2014JJ00,25546,23081,21857
55,2100,2015JJ00,26427,23905,22061
56,2100,2016JJ00,27152,24675,22807
57,2200,1998JJ00,2435,2224,2081
58,2200,1999JJ00,2635,2407,2233
59,2200,2000JJ00,2769,2520,2346
60,2200,2001JJ00,3068,2764,2491
61,2200,2002JJ00,3444,3067,2788
62,2200,2003JJ00,3862,3389,3192
63,2200,2004JJ00,4134,3608,3429
64,2200,2005JJ00,4465,3878,3653
65,2200,2006JJ00,4701,4066,3714
66,2200,2007JJ00,5118,4370,4046
67,2200,2008JJ00,5480,4520,4259
68,2200,2009JJ00,5928,4816,4692
69,2200,2010JJ00,6063,4833,4770
70,2200,2011JJ00,6330,5033,4988
71,2200,2012JJ00,6551,5222,5196
72,2200,2013JJ00,6623,5303,5146
73,2200,2014JJ00,6665,5351,5208
74,2200,2015JJ00,6593,5184,3098
75,2200,2016JJ00,6617,5295,3092
76,2300,1998JJ00,1318,1314,885
77,2300,1999JJ00,1383,1379,921
78,2300,2000JJ00,1504,1499,1026
79,2300,2001JJ00,1627,1621,1088
80,2300,2002JJ00,1864,1858,1244
81,2300,2003JJ00,2045,2038,1330
82,2300,2004JJ00,2022,2015,1311
83,2300,2005JJ00,2020,2012,1293
84,2300,2006JJ00,2273,2265,2198
85,2300,2007JJ00,2418,2410,2340
86,2300,2008JJ00,2434,2425,2326
87,2300,2009JJ00,2460,2452,2345
88,2300,2010JJ00,2482,2472,2360
89,2300,2011JJ00,2687,2676,2559
90,2300,2012JJ00,2612,2602,2485
91,2300,2013JJ00,2638,2627,2501
