ID,Geslacht,LeeftijdOp31December,Onderwijsniveau,Marges,Perioden,Levensverwachting_1,Sterftekans_2,LevensverwInAlsGoedErvarenGezondh_3,LevensverwZonderLichBeperkingen_4,LevensverwZonderChronischeZiektes_5,LevensverwInGoedeGeestelijkeGezondh_6
0,T001038 ,10010,2018700,MW00000,2011G400,79.6,0.0056,57.9,65.7,41.5,70.0
1,T001038 ,10010,2018700,MW00000,2013G400,79.3,0.0074,57.2,64.8,39.3,68.9
2,T001038 ,10010,2018700,MW00000,2015G400,78.9,0.0062,56.9,65.2,38.3,68.3
3,T001038 ,10010,2018700,MOG0095,2011G400,79.3,,57.2,,40.6,
4,T001038 ,10010,2018700,MOG0095,2013G400,79.0,,56.5,,38.4,
5,T001038 ,10010,2018700,MOG0095,2015G400,78.6,,56.1,,37.4,
6,T001038 ,10010,2018700,MBG0095,2011G400,79.9,,58.5,,42.4,
7,T001038 ,10010,2018700,MBG0095,2013G400,79.7,,58.0,,40.2,
8,T001038 ,10010,2018700,MBG0095,2015G400,79.3,,57.7,,39.2,
9,T001038 ,10010,2018740,MW00000,2011G400,81.7,0.003,65.4,72.1,43.6,73.9
10,T001038 ,10010,2018740,MW00000,2013G400,81.8,0.0029,65.4,72.3,43.4,73.7
11,T001038 ,10010,2018740,MW00000,2015G400,82.1,0.0043,64.7,73.0,42.7,73.6
12,T001038 ,10010,2018740,MOG0095,2011G400,81.5,,64.9,,42.9,
13,T001038 ,10010,2018740,MOG0095,2013G400,81.6,,64.8,,42.8,
14,T001038 ,10010,2018740,MOG0095,2015G400,81.8,,64.1,,42.1,
15,T001038 ,10010,2018740,MBG0095,2011G400,82.0,,66.0,,44.3,
16,T001038 ,10010,2018740,MBG0095,2013G400,82.0,,65.9,,44.0,
17,T001038 ,10010,2018740,MBG0095,2015G400,82.3,,65.4,,43.3,
18,T001038 ,10010,2018790,MW00000,2011G400,83.8,0.0028,71.3,76.5,48.8,76.4
19,T001038 ,10010,2018790,MW00000,2013G400,84.4,0.0023,71.5,77.3,49.2,77.5
20,T001038 ,10010,2018790,MW00000,2015G400,85.2,0.0023,71.6,78.8,48.6,78.1
21,T001038 ,10010,2018790,MOG0095,2011G400,83.5,,70.5,,47.9,
22,T001038 ,10010,2018790,MOG0095,2013G400,84.1,,70.8,,48.4,
23,T001038 ,10010,2018790,MOG0095,2015G400,84.9,,70.9,,47.9,
24,T001038 ,10010,2018790,MBG0095,2011G400,84.1,,72.0,,49.6,
25,T001038 ,10010,2018790,MBG0095,2013G400,84.7,,72.3,,50.0,
26,T001038 ,10010,2018790,MBG0095,2015G400,85.5,,72.4,,49.4,
27,T001038 ,10100,2018700,MW00000,2011G400,79.6,0.0002,57.7,65.5,41.2,69.9
28,T001038 ,10100,2018700,MW00000,2013G400,79.4,0.0002,57.2,64.8,39.1,68.9
29,T001038 ,10100,2018700,MW00000,2015G400,78.9,0.0003,56.8,65.1,38.1,68.3
30,T001038 ,10100,2018700,MOG0095,2011G400,79.4,,57.0,,40.3,
31,T001038 ,10100,2018700,MOG0095,2013G400,79.2,,56.5,,38.3,
32,T001038 ,10100,2018700,MOG0095,2015G400,78.7,,56.0,,37.2,
33,T001038 ,10100,2018700,MBG0095,2011G400,79.8,,58.3,,42.2,
34,T001038 ,10100,2018700,MBG0095,2013G400,79.6,,57.9,,40.0,
35,T001038 ,10100,2018700,MBG0095,2015G400,79.1,,57.5,,38.9,
36,T001038 ,10100,2018740,MW00000,2011G400,81.5,0.0003,65.1,71.8,43.3,73.7
37,T001038 ,10100,2018740,MW00000,2013G400,81.6,0.0003,65.1,72.0,43.1,73.4
38,T001038 ,10100,2018740,MW00000,2015G400,81.9,0.0002,64.5,72.8,42.4,73.4
39,T001038 ,10100,2018740,MOG0095,2011G400,81.3,,64.6,,42.6,
40,T001038 ,10100,2018740,MOG0095,2013G400,81.4,,64.5,,42.5,
41,T001038 ,10100,2018740,MOG0095,2015G400,81.7,,63.9,,41.8,
42,T001038 ,10100,2018740,MBG0095,2011G400,81.7,,65.7,,44.0,
43,T001038 ,10100,2018740,MBG0095,2013G400,81.7,,65.6,,43.7,
44,T001038 ,10100,2018740,MBG0095,2015G400,82.1,,65.1,,43.0,
45,T001038 ,10100,2018790,MW00000,2011G400,83.6,0.0002,71.0,76.2,48.4,76.2
46,T001038 ,10100,2018790,MW00000,2013G400,84.1,0.0002,71.2,77.0,48.8,77.2
47,T001038 ,10100,2018790,MW00000,2015G400,84.9,0.0001,71.3,78.5,48.3,77.8
48,T001038 ,10100,2018790,MOG0095,2011G400,83.3,,70.3,,47.6,
49,T001038 ,10100,2018790,MOG0095,2013G400,83.8,,70.4,,48.0,
50,T001038 ,10100,2018790,MOG0095,2015G400,84.6,,70.5,,47.5,
51,T001038 ,10100,2018790,MBG0095,2011G400,83.9,,71.7,,49.3,
52,T001038 ,10100,2018790,MBG0095,2013G400,84.3,,71.9,,49.7,
53,T001038 ,10100,2018790,MBG0095,2015G400,85.2,,72.1,,49.0,
54,T001038 ,10500,2018700,MW00000,2011G400,75.6,0.0001,54.0,61.6,37.6,66.1
55,T001038 ,10500,2018700,MW00000,2013G400,75.5,0.0001,53.5,60.8,35.5,65.1
56,T001038 ,10500,2018700,MW00000,2015G400,75.0,0.0001,53.0,61.1,34.5,64.5
57,T001038 ,10500,2018700,MOG0095,2011G400,75.4,,53.3,,36.7,
58,T001038 ,10500,2018700,MOG0095,2013G400,75.3,,52.8,,34.6,
59,T001038 ,10500,2018700,MOG0095,2015G400,74.8,,52.2,,33.6,
60,T001038 ,10500,2018700,MBG0095,2011G400,75.8,,54.6,,38.5,
61,T001038 ,10500,2018700,MBG0095,2013G400,75.7,,54.2,,36.4,
62,T001038 ,10500,2018700,MBG0095,2015G400,75.2,,53.8,,35.3,
63,T001038 ,10500,2018740,MW00000,2011G400,77.6,0.0001,61.3,67.9,39.6,70.1
64,T001038 ,10500,2018740,MW00000,2013G400,77.6,0.0001,61.2,68.1,39.4,69.9
65,T001038 ,10500,2018740,MW00000,2015G400,78.0,0.0001,60.7,68.9,38.7,69.9
66,T001038 ,10500,2018740,MOG0095,2011G400,77.4,,60.8,,38.9,
67,T001038 ,10500,2018740,MOG0095,2013G400,77.4,,60.7,,38.8,
68,T001038 ,10500,2018740,MOG0095,2015G400,77.8,,60.1,,38.1,
