ID,Geslacht,LeeftijdOp31December,Onderwijsniveau,Marges,Perioden,Levensverwachting_1,LVInAlsGoedErvarenGezondheid_2,LVZonderLichamelijkeBeperkingen_3,LVZonderPsychischeKlachtenMHI5_4,LVZonderGALIBeperkingen_5
0,T001038 ,10010,2018700,MW00000,2007G400,79.0,57.4,65.0,70.3,
1,T001038 ,10010,2018700,MW00000,2011G400,79.6,57.8,65.5,69.7,
2,T001038 ,10010,2018700,MW00000,2015G400,79.3,57.1,65.3,68.6,52.9
3,T001038 ,10010,2018700,MW00000,2017G400,79.5,56.9,65.7,68.4,51.9
4,T001038 ,10010,2018700,MW00000,2019G400,79.0,56.6,65.5,66.6,51.9
5,T001038 ,10010,2018700,MW00000,2021G400,78.7,55.4,64.4,,50.6
6,T001038 ,10010,2018700,MOG0095,2007G400,78.9,56.5,,69.5,
7,T001038 ,10010,2018700,MOG0095,2011G400,79.5,57.1,,69.0,
8,T001038 ,10010,2018700,MOG0095,2015G400,79.2,56.3,,68.0,
9,T001038 ,10010,2018700,MOG0095,2017G400,79.4,56.1,,67.7,
10,T001038 ,10010,2018700,MOG0095,2019G400,78.8,55.8,,65.8,
11,T001038 ,10010,2018700,MOG0095,2021G400,78.5,54.5,,,
12,T001038 ,10010,2018700,MBG0095,2007G400,79.1,58.3,,71.1,
13,T001038 ,10010,2018700,MBG0095,2011G400,79.7,58.4,,70.4,
14,T001038 ,10010,2018700,MBG0095,2015G400,79.4,57.8,,69.3,
15,T001038 ,10010,2018700,MBG0095,2017G400,79.6,57.8,,69.1,
16,T001038 ,10010,2018700,MBG0095,2019G400,79.2,57.5,,67.4,
17,T001038 ,10010,2018700,MBG0095,2021G400,78.9,56.3,,,
18,T001038 ,10010,2018740,MW00000,2007G400,80.8,65.9,71.9,74.8,
19,T001038 ,10010,2018740,MW00000,2011G400,81.5,65.4,71.8,73.5,
20,T001038 ,10010,2018740,MW00000,2015G400,82.2,64.7,72.7,74.4,58.8
21,T001038 ,10010,2018740,MW00000,2017G400,82.0,64.7,73.5,73.8,57.9
22,T001038 ,10010,2018740,MW00000,2019G400,81.8,65.0,73.5,72.8,57.7
23,T001038 ,10010,2018740,MW00000,2021G400,81.9,63.7,72.6,,57.2
24,T001038 ,10010,2018740,MOG0095,2007G400,80.7,65.0,,74.1,
25,T001038 ,10010,2018740,MOG0095,2011G400,81.5,64.9,,72.7,
26,T001038 ,10010,2018740,MOG0095,2015G400,82.1,64.1,,73.8,
27,T001038 ,10010,2018740,MOG0095,2017G400,81.9,64.1,,73.2,
28,T001038 ,10010,2018740,MOG0095,2019G400,81.7,64.4,,72.2,
29,T001038 ,10010,2018740,MOG0095,2021G400,81.8,63.2,,,
30,T001038 ,10010,2018740,MBG0095,2007G400,80.8,66.8,,75.6,
31,T001038 ,10010,2018740,MBG0095,2011G400,81.6,65.9,,74.4,
