ID,Zorgaanbieders,Perioden,UitgavenGezondheidsEnWelzijnszorg_1,VolumeIndexcijfers_2,VolumemutatieTOVVoorafgaandJaar_3,Prijsindexcijfers_4,PrijsmutatieTOVVoorafgaandJaar_5,WaardeIndexcijfers_6,WaardemutatieTOVVoorafgaandJaar_7
0,T001102,1998JJ00,39380,59.2,,72.1,,42.7,
1,T001102,1999JJ00,42394,61.6,4.0,74.6,3.5,45.9,7.7
2,T001102,2000JJ00,45361,63.4,2.9,77.5,4.0,49.1,7.0
3,T001102,2001JJ00,50767,66.7,5.3,82.4,6.3,55.0,11.9
4,T001102,2002JJ00,56663,69.9,4.7,87.8,6.6,61.4,11.6
5,T001102,2003JJ00,60888,72.8,4.2,90.6,3.1,66.0,7.5
6,T001102,2004JJ00,63003,75.1,3.2,90.8,0.3,68.2,3.5
7,T001102,2005JJ00,65424,77.6,3.2,91.4,0.6,70.9,3.8
8,T001102,2006JJ00,68495,79.6,2.7,93.2,2.0,74.2,4.7
9,T001102,2007JJ00,72713,83.8,5.2,94.0,0.9,78.8,6.2
10,T001102,2008JJ00,77705,87.4,4.3,96.3,2.5,84.2,6.9
11,T001102,2009JJ00,82298,91.9,5.2,97.0,0.7,89.1,5.9
12,T001102,2010JJ00,85790,94.9,3.2,98.0,1.0,92.9,4.2
13,T001102,2011JJ00,88125,99.0,4.4,96.4,-1.6,95.5,2.7
14,T001102,2012JJ00,90622,99.6,0.6,98.5,2.2,98.2,2.8
15,T001102,2013JJ00,90954,100.3,0.7,98.2,-0.3,98.5,0.4
16,T001102,2014JJ00,91927,100.8,0.4,98.8,0.7,99.6,1.1
17,T001102,2015JJ00,92323,100.0,-0.8,100.0,1.2,100.0,0.4
18,T001102,2016JJ00,94842,102.8,2.8,99.9,-0.1,102.7,2.7
19,T001102,2017JJ00,96972,104.9,2.0,100.1,0.2,105.0,2.2
20,T001102,2018JJ00,101031,107.2,2.2,102.1,2.0,109.4,4.2
21,T001102,2019JJ00,107429,110.6,3.2,105.2,3.0,116.4,6.3
22,T001102,2020JJ00,116384,109.7,-0.8,114.9,9.2,126.1,8.3
