ID,Geslacht,LeeftijdOp31December,InkomenEnWelvaart,Marges,Perioden,Levensverwachting_1,LVInAlsGoedErvarenGezondheid_2,LVZonderLichamelijkeBeperkingen_3,LVZonderPsychischeKlachtenMHI5_4,LVZonderGALIBeperkingen_5
0,T001038,10010,1014752 ,MW00000,2007G400,76.7,52.7,61.6,,
1,T001038,10010,1014752 ,MW00000,2011G400,76.2,50.4,60.8,,
2,T001038,10010,1014752 ,MW00000,2015G400,76.6,49.3,60.6,,45.7
3,T001038,10010,1014752 ,MW00000,2017G400,76.6,50.7,61.6,62.0,46.1
4,T001038,10010,1014752 ,MW00000,2019G400,76.3,51.2,61.6,60.1,46.5
5,T001038,10010,1014752 ,MOG0095,2007G400,76.6,51.8,,,
6,T001038,10010,1014752 ,MOG0095,2011G400,76.1,49.6,,,
7,T001038,10010,1014752 ,MOG0095,2015G400,76.5,48.3,,,
8,T001038,10010,1014752 ,MOG0095,2017G400,76.6,49.7,,,
9,T001038,10010,1014752 ,MOG0095,2019G400,76.2,50.2,,59.1,
10,T001038,10010,1014752 ,MBG0095,2007G400,76.8,53.6,,,
11,T001038,10010,1014752 ,MBG0095,2011G400,76.3,51.3,,,
12,T001038,10010,1014752 ,MBG0095,2015G400,76.6,50.3,,,
13,T001038,10010,1014752 ,MBG0095,2017G400,76.7,51.7,,,
14,T001038,10010,1014752 ,MBG0095,2019G400,76.3,52.2,,61.0,
15,T001038,10010,1014753 ,MW00000,2007G400,79.8,59.0,67.0,,
16,T001038,10010,1014753 ,MW00000,2011G400,80.5,58.5,66.9,,
17,T001038,10010,1014753 ,MW00000,2015G400,80.5,58.8,67.3,,54.0
18,T001038,10010,1014753 ,MW00000,2017G400,80.6,59.0,68.0,70.8,53.3
19,T001038,10010,1014753 ,MW00000,2019G400,80.5,59.3,68.3,68.5,53.7
20,T001038,10010,1014753 ,MOG0095,2007G400,79.7,58.3,,,
21,T001038,10010,1014753 ,MOG0095,2011G400,80.4,57.8,,,
