ID,Zorgfuncties,Zorgfinanciering,Perioden,UitgavenGezondheidsEnWelzijnszorg_1
0,T001104,T001103,1998JJ00,39380.0
1,T001104,T001103,1999JJ00,42394.0
2,T001104,T001103,2000JJ00,45361.0
3,T001104,T001103,2001JJ00,50767.0
4,T001104,T001103,2002JJ00,56663.0
5,T001104,T001103,2003JJ00,60888.0
6,T001104,T001103,2004JJ00,63003.0
7,T001104,T001103,2005JJ00,65424.0
8,T001104,T001103,2006JJ00,68495.0
9,T001104,T001103,2007JJ00,72713.0
10,T001104,T001103,2008JJ00,77705.0
11,T001104,T001103,2009JJ00,82298.0
12,T001104,T001103,2010JJ00,85790.0
13,T001104,T001103,2011JJ00,88125.0
14,T001104,T001103,2012JJ00,90622.0
15,T001104,T001103,2013JJ00,90954.0
16,T001104,T001103,2014JJ00,91927.0
17,T001104,T001103,2015JJ00,92323.0
18,T001104,T001103,2016JJ00,94842.0
19,T001104,T001103,2017JJ00,96972.0
20,T001104,T001103,2018JJ00,101031.0
21,T001104,T001103,2019JJ00,107429.0
22,T001104,T001103,2020JJ00,116384.0
23,T001104,T001103,2021JJ00,124794.0
24,T001104,T001103,2022JJ00,127306.0
25,T001104,A019149,1998JJ00,39258.0
26,T001104,A019149,1999JJ00,42269.0
27,T001104,A019149,2000JJ00,45232.0
28,T001104,A019149,2001JJ00,50632.0
29,T001104,A019149,2002JJ00,56498.0
30,T001104,A019149,2003JJ00,60730.0
31,T001104,A019149,2004JJ00,62840.0
32,T001104,A019149,2005JJ00,65253.0
33,T001104,A019149,2006JJ00,68330.0
34,T001104,A019149,2007JJ00,72549.0
35,T001104,A019149,2008JJ00,77539.0
36,T001104,A019149,2009JJ00,82116.0
37,T001104,A019149,2010JJ00,85599.0
38,T001104,A019149,2011JJ00,87921.0
39,T001104,A019149,2012JJ00,90410.0
40,T001104,A019149,2013JJ00,90748.0
41,T001104,A019149,2014JJ00,91731.0
42,T001104,A019149,2015JJ00,92115.0
43,T001104,A019149,2016JJ00,94634.0
44,T001104,A019149,2017JJ00,96761.0
45,T001104,A019149,2018JJ00,100813.0
46,T001104,A019149,2019JJ00,107199.0
47,T001104,A019149,2020JJ00,116159.0
48,T001104,A019149,2021JJ00,124572.0
49,T001104,A019149,2022JJ00,127052.0
50,T001104,A019150,1998JJ00,28411.0
51,T001104,A019150,1999JJ00,30369.0
