ID,Zorgfuncties,Zorgaanbieders,Perioden,UitgavenGezondheidsEnWelzijnszorg_1
0,T001104,T001102,1998JJ00,39380
1,T001104,T001102,1999JJ00,42394
2,T001104,T001102,2000JJ00,45361
3,T001104,T001102,2001JJ00,50767
4,T001104,T001102,2002JJ00,56663
5,T001104,T001102,2003JJ00,60888
6,T001104,T001102,2004JJ00,63003
7,T001104,T001102,2005JJ00,65424
8,T001104,T001102,2006JJ00,68495
9,T001104,T001102,2007JJ00,72713
10,T001104,T001102,2008JJ00,77705
11,T001104,T001102,2009JJ00,82298
12,T001104,T001102,2010JJ00,85790
13,T001104,T001102,2011JJ00,88125
14,T001104,T001102,2012JJ00,90622
15,T001104,T001102,2013JJ00,90954
16,T001104,T001102,2014JJ00,91927
17,T001104,T001102,2015JJ00,92323
18,T001104,T001102,2016JJ00,94842
19,T001104,T001102,2017JJ00,96972
20,T001104,T001102,2018JJ00,101031
21,T001104,T001102,2019JJ00,107429
22,T001104,T001102,2020JJ00,116384
23,T001104,T001102,2021JJ00,124794
24,T001104,T001102,2022JJ00,127306
25,T001104,A041721,1998JJ00,37022
26,T001104,A041721,1999JJ00,39633
27,T001104,A041721,2000JJ00,42258
28,T001104,A041721,2001JJ00,47247
29,T001104,A041721,2002JJ00,52965
30,T001104,A041721,2003JJ00,56938
31,T001104,A041721,2004JJ00,59136
32,T001104,A041721,2005JJ00,61458
33,T001104,A041721,2006JJ00,64356
34,T001104,A041721,2007JJ00,67953
35,T001104,A041721,2008JJ00,72154
36,T001104,A041721,2009JJ00,76296
37,T001104,A041721,2010JJ00,79665
38,T001104,A041721,2011JJ00,82045
39,T001104,A041721,2012JJ00,84806
40,T001104,A041721,2013JJ00,85550
41,T001104,A041721,2014JJ00,86824
42,T001104,A041721,2015JJ00,87890
43,T001104,A041721,2016JJ00,90015
44,T001104,A041721,2017JJ00,91755
45,T001104,A041721,2018JJ00,95280
46,T001104,A041721,2019JJ00,101031
47,T001104,A041721,2020JJ00,109608
48,T001104,A041721,2021JJ00,117478
49,T001104,A041721,2022JJ00,119121
50,T001104,A019115,1998JJ00,10582
51,T001104,A019115,1999JJ00,11206
52,T001104,A019115,2000JJ00,11869
53,T001104,A019115,2001JJ00,13481
54,T001104,A019115,2002JJ00,15139
55,T001104,A019115,2003JJ00,16255
56,T001104,A019115,2004JJ00,17186
57,T001104,A019115,2005JJ00,17940
58,T001104,A019115,2006JJ00,18832
59,T001104,A019115,2007JJ00,20065
60,T001104,A019115,2008JJ00,21221
61,T001104,A019115,2009JJ00,22929
62,T001104,A019115,2010JJ00,24581
63,T001104,A019115,2011JJ00,24926
64,T001104,A019115,2012JJ00,25864
65,T001104,A019115,2013JJ00,26812
66,T001104,A019115,2014JJ00,27185
67,T001104,A019115,2015JJ00,27943
68,T001104,A019115,2016JJ00,28653
69,T001104,A019115,2017JJ00,29099
70,T001104,A019115,2018JJ00,30311
71,T001104,A019115,2019JJ00,31896
72,T001104,A019115,2020JJ00,34123
73,T001104,A019115,2021JJ00,35134
74,T001104,A019115,2022JJ00,36538
75,T001104,A019116,1998JJ00,8006
76,T001104,A019116,1999JJ00,8446
77,T001104,A019116,2000JJ00,8980
78,T001104,A019116,2001JJ00,10271
79,T001104,A019116,2002JJ00,11541
80,T001104,A019116,2003JJ00,12225
81,T001104,A019116,2004JJ00,12912
82,T001104,A019116,2005JJ00,13377
83,T001104,A019116,2006JJ00,14087
84,T001104,A019116,2007JJ00,14889
85,T001104,A019116,2008JJ00,15871
86,T001104,A019116,2009JJ00,17173
87,T001104,A019116,2010JJ00,18644
88,T001104,A019116,2011JJ00,18692
89,T001104,A019116,2012JJ00,19489
90,T001104,A019116,2013JJ00,20327
91,T001104,A019116,2014JJ00,20653
92,T001104,A019116,2015JJ00,21721
93,T001104,A019116,2016JJ00,22251
94,T001104,A019116,2017JJ00,22616
95,T001104,A019116,2018JJ00,23483
96,T001104,A019116,2019JJ00,24596
97,T001104,A019116,2020JJ00,26330
98,T001104,A019116,2021JJ00,26978
99,T001104,A019116,2022JJ00,28052
100,T001104,A019117,1998JJ00,2249
101,T001104,A019117,1999JJ00,2425
102,T001104,A019117,2000JJ00,2535
103,T001104,A019117,2001JJ00,2803
104,T001104,A019117,2002JJ00,3135
105,T001104,A019117,2003JJ00,3498
106,T001104,A019117,2004JJ00,3734
107,T001104,A019117,2005JJ00,3999
108,T001104,A019117,2006JJ00,4166
109,T001104,A019117,2007JJ00,4510
110,T001104,A019117,2008JJ00,4625
111,T001104,A019117,2009JJ00,4987
112,T001104,A019117,2010JJ00,5085
113,T001104,A019117,2011JJ00,5316
114,T001104,A019117,2012JJ00,5469
115,T001104,A019117,2013JJ00,5515
116,T001104,A019117,2014JJ00,5541
117,T001104,A019117,2015JJ00,5186
118,T001104,A019117,2016JJ00,5332
119,T001104,A019117,2017JJ00,5397
120,T001104,A019117,2018JJ00,5608
121,T001104,A019117,2019JJ00,6003
122,T001104,A019117,2020JJ00,6439
123,T001104,A019117,2021JJ00,6751
124,T001104,A019117,2022JJ00,7058
125,T001104,A019118,1998JJ00,326
126,T001104,A019118,1999JJ00,335
127,T001104,A019118,2000JJ00,354
