ID,Leeftijd,Marges,RegioS,ErvarenGezondheidGoedZeerGoed_1,AngstOfDepressiegevoelensAfg4Wk_2,PsychischeKlachtenAfgelopen4Weken_3,EenOfMeerLangdurigeAandoeningen_4,Ondergewicht_5,NormaalGewicht_6,Overgewicht_7,MatigOvergewicht_8,ErnstigOvergewichtObesitas_9,VoldoetAanBeweegrichtlijn_10,WekelijkseSporters_11,Mantelzorger_12,ZwaarBelasteMantelzorgers_13,UrenMantelzorgPerWeek_14,Rokers_15,VoldoetAanRichtlijnAlcoholgebruik_16,OvermatigeDrinkersOnderBevolking_17
0,10000,MW00000,NL01  ,70.0,47.3,21.5,33.0,1.8,47.9,50.3,34.6,15.7,47.5,53.6,13.4,18.7,11.8,16.6,42.5,7.1
1,10000,MW00000,LD01  ,70.5,44.5,19.0,33.5,1.8,45.5,52.7,35.6,17.1,48.1,48.9,13.4,18.0,12.0,17.9,42.1,7.4
2,10000,MW00000,LD02  ,71.2,44.9,19.5,32.6,1.6,46.8,51.5,35.2,16.3,48.2,52.7,14.2,17.7,11.1,15.9,42.4,7.1
3,10000,MW00000,LD03  ,70.0,49.2,23.0,32.7,1.9,49.8,48.3,33.6,14.7,48.6,55.5,12.6,19.4,12.0,16.9,43.5,7.0
4,10000,MW00000,LD04  ,68.8,46.8,21.1,34.0,1.7,46.0,52.3,35.8,16.5,43.9,52.6,14.4,18.6,12.2,16.1,40.4,7.3
5,10000,MW00000,PV20  ,69.1,48.4,21.9,34.3,2.0,47.0,51.0,33.8,17.3,50.4,50.7,13.0,17.4,12.6,19.3,42.0,7.6
6,10000,MW00000,PV21  ,72.0,42.4,17.8,32.0,1.7,47.4,50.9,35.4,15.5,47.5,47.9,13.3,16.5,10.7,17.7,41.9,7.7
7,10000,MW00000,PV22  ,70.2,42.6,17.1,34.4,1.5,41.4,57.0,38.0,19.0,46.0,48.0,14.2,20.5,13.0,16.4,42.4,6.8
8,10000,MW00000,PV23  ,71.7,44.6,19.3,31.2,1.4,47.1,51.6,35.6,15.9,49.9,53.0,14.0,15.5,11.1,16.7,39.5,7.9
9,10000,MW00000,PV24  ,67.9,47.5,22.8,33.8,1.6,43.3,55.1,34.7,20.4,44.4,48.8,12.9,22.4,12.4,16.8,50.5,5.2
10,10000,MW00000,PV25  ,71.6,44.6,19.0,33.2,1.8,47.4,50.8,35.1,15.7,48.0,53.3,14.5,18.0,10.8,15.2,42.4,7.0
11,10000,MW00000,PV26  ,73.6,46.2,20.0,31.0,1.8,53.3,44.8,32.1,12.7,50.6,59.9,12.6,19.9,11.3,15.1,41.0,7.1
12,10000,MW00000,PV27  ,70.2,50.5,24.1,32.4,2.0,51.4,46.6,33.0,13.6,51.2,57.9,12.2,19.6,12.3,18.1,39.9,7.9
13,10000,MW00000,PV28  ,68.5,49.8,23.7,33.3,1.9,47.6,50.5,34.4,16.2,46.3,53.1,12.7,19.5,12.1,16.7,46.9,6.3
14,10000,MW00000,PV29  ,69.7,44.3,18.7,33.8,1.8,46.0,52.2,36.5,15.7,44.1,45.2,14.6,15.2,11.5,16.5,45.9,6.4
15,10000,MW00000,PV30  ,69.7,45.9,20.1,32.7,1.8,46.3,51.9,35.9,16.0,44.5,53.8,14.0,18.6,12.2,15.8,39.2,7.6
16,10000,MW00000,PV31  ,66.7,48.9,23.3,36.9,1.5,45.3,53.2,35.7,17.5,42.6,49.9,15.1,18.5,12.2,16.9,43.3,6.6
17,10000,MW00000,GM1680,73.2,41.9,15.1,34.2,1.9,39.9,58.2,39.3,18.9,48.2,52.6,13.6,14.1,9.3,12.0,41.5,5.5
18,10000,MW00000,GM0358,76.2,43.9,18.7,28.7,1.6,49.4,49.1,38.3,10.8,42.8,58.9,12.2,13.2,8.5,15.5,35.4,7.6
19,10000,MW00000,GM0197,72.6,42.7,15.8,29.7,2.0,43.8,54.2,36.5,17.7,46.3,49.8,16.7,14.5,10.9,16.6,36.7,9.3
20,10000,MW00000,GM0059,69.6,40.8,20.6,30.4,2.3,42.7,55.1,36.9,18.2,40.8,43.1,11.6,,,20.9,41.5,8.1
21,10000,MW00000,GM0482,71.0,48.2,20.4,33.5,1.0,46.1,52.9,34.7,18.2,42.4,42.8,14.9,20.3,13.1,15.3,52.3,5.5
22,10000,MW00000,GM0613,74.0,39.8,16.5,30.5,0.4,46.6,52.9,39.3,13.6,46.0,57.5,13.2,,,13.6,45.2,5.4
23,10000,MW00000,GM0361,67.7,48.3,21.5,36.2,1.9,51.1,47.0,32.3,14.7,52.0,58.9,13.2,21.0,11.9,15.8,38.5,7.2
24,10000,MW00000,GM0141,66.6,46.6,22.4,36.7,1.4,42.0,56.7,33.9,22.8,45.3,45.1,13.2,19.1,10.4,20.8,45.7,4.7
25,10000,MW00000,GM0034,66.2,51.6,25.9,33.9,1.5,43.7,54.9,32.0,22.8,43.4,48.0,12.9,28.8,11.9,17.4,52.4,5.4
26,10000,MW00000,GM0484,71.8,44.9,20.2,32.3,1.7,46.1,52.2,35.9,16.3,47.6,56.3,14.2,20.0,13.1,14.7,43.3,6.4
27,10000,MW00000,GM1723,74.2,41.3,14.1,30.4,1.3,51.5,47.2,34.7,12.6,40.7,54.3,16.6,15.9,9.5,11.4,34.0,7.4
28,10000,MW00000,GM1959,74.0,42.0,16.9,31.1,1.2,45.1,53.7,38.0,15.7,39.6,44.1,17.1,13.4,11.5,15.2,48.6,5.5
29,10000,MW00000,GM0060,73.5,45.0,22.2,27.1,1.4,42.7,56.0,44.1,11.8,64.7,41.6,15.2,,,19.9,41.9,10.6
30,10000,MW00000,GM0307,75.6,41.9,17.3,28.5,1.3,54.6,44.1,32.8,11.3,52.5,62.5,12.1,19.3,10.1,13.7,43.3,6.0
31,10000,MW00000,GM0362,71.9,52.0,23.2,31.9,2.1,54.1,43.8,32.4,11.4,46.4,56.1,13.1,24.7,12.9,14.3,46.3,6.7
32,10000,MW00000,GM0363,68.2,59.0,32.3,32.6,3.0,55.8,41.2,29.3,11.9,56.3,61.1,9.7,21.7,13.1,23.9,39.6,8.9
33,10000,MW00000,GM0200,70.8,45.7,18.4,32.8,2.3,45.0,52.7,36.3,16.5,49.0,54.0,16.3,14.5,10.5,16.0,44.3,6.7
34,10000,MW00000,GM0202,68.0,51.7,25.0,36.2,1.9,51.7,46.4,32.1,14.3,46.6,56.1,12.2,25.3,13.4,20.8,45.8,6.5
35,10000,MW00000,GM0106,68.0,45.1,19.1,35.4,0.8,46.9,52.3,35.0,17.3,44.7,49.0,14.4,23.1,13.3,16.4,47.8,4.3
36,10000,MW00000,GM0743,71.4,40.9,15.8,32.5,1.6,48.7,49.7,38.4,11.3,44.4,57.3,12.3,11.7,7.7,13.6,36.1,9.7
37,10000,MW00000,GM0744,67.0,45.9,16.9,30.2,0.8,43.6,55.6,34.6,21.0,40.8,46.3,14.9,21.2,12.4,11.7,37.0,6.0
38,10000,MW00000,GM0308,73.7,43.5,19.8,30.8,0.8,50.3,48.9,35.3,13.6,50.9,61.9,15.5,25.3,9.2,11.4,42.9,5.8
39,10000,MW00000,GM0489,72.7,46.4,23.5,32.5,1.2,43.6,55.2,40.0,15.2,40.3,53.3,12.4,19.6,10.1,11.8,45.3,4.5
40,10000,MW00000,GM0203,72.7,43.7,17.8,31.3,1.1,45.4,53.6,37.3,16.3,45.7,47.1,15.4,16.7,9.7,16.9,47.3,6.3
41,10000,MW00000,GM0888,66.4,45.4,20.9,37.8,1.9,42.0,56.1,38.5,17.6,45.2,52.1,16.0,22.2,12.3,13.1,46.8,5.0
42,10000,MW00000,GM1954,65.6,44.1,19.8,36.7,0.9,40.9,58.3,39.8,18.5,37.2,45.5,18.2,19.0,13.0,13.9,42.1,6.6
