ID,Zorgaanbieders,FinancieringsvormenZorg,Perioden,UitgavenGezondheidsEnWelzijnszorg_1
0,T001699,T001103,2021JJ00,128928.0
1,T001699,T001103,2022JJ00,132683.0
2,T001699,T001103,2023JJ00,142239.0
3,T001699,T001103,2024JJ00,154933.0
4,T001699,A019151,2021JJ00,32866.0
5,T001699,A019151,2022JJ00,31582.0
6,T001699,A019151,2023JJ00,32736.0
7,T001699,A019151,2024JJ00,36355.0
8,T001699,A019154,2021JJ00,26510.0
9,T001699,A019154,2022JJ00,28216.0
10,T001699,A019154,2023JJ00,30940.0
11,T001699,A019154,2024JJ00,34279.0
12,T001699,A019155,2021JJ00,
13,T001699,A019155,2022JJ00,
14,T001699,A019155,2023JJ00,
15,T001699,A019155,2024JJ00,
16,T001699,A019156,2021JJ00,49603.0
17,T001699,A019156,2022JJ00,51224.0
18,T001699,A019156,2023JJ00,54889.0
19,T001699,A019156,2024JJ00,59122.0
20,T001699,A019158,2021JJ00,4127.0
21,T001699,A019158,2022JJ00,4136.0
22,T001699,A019158,2023JJ00,4303.0
23,T001699,A019158,2024JJ00,4359.0
24,T001699,A019163,2021JJ00,13555.0
25,T001699,A019163,2022JJ00,15229.0
26,T001699,A019163,2023JJ00,16817.0
27,T001699,A019163,2024JJ00,18029.0
28,T001699,A019164,2021JJ00,8095.0
29,T001699,A019164,2022JJ00,9542.0
30,T001699,A019164,2023JJ00,10942.0
31,T001699,A019164,2024JJ00,11922.0
32,T001699,A019165,2021JJ00,5460.0
33,T001699,A019165,2022JJ00,5687.0
34,T001699,A019165,2023JJ00,5875.0
35,T001699,A019165,2024JJ00,6107.0
36,T001699,A044427,2021JJ00,2267.0
37,T001699,A044427,2022JJ00,2296.0
38,T001699,A044427,2023JJ00,2554.0
39,T001699,A044427,2024JJ00,2789.0
40,A052927,T001103,2021JJ00,98283.0
41,A052927,T001103,2022JJ00,99509.0
42,A052927,T001103,2023JJ00,106380.0
43,A052927,T001103,2024JJ00,114957.0
44,A052927,A019151,2021JJ00,17310.0
45,A052927,A019151,2022JJ00,14888.0
46,A052927,A019151,2023JJ00,14510.0
47,A052927,A019151,2024JJ00,15449.0
48,A052927,A019154,2021JJ00,24199.0
49,A052927,A019154,2022JJ00,25675.0
50,A052927,A019154,2023JJ00,28118.0
51,A052927,A019154,2024JJ00,31200.0
52,A052927,A019155,2021JJ00,
53,A052927,A019155,2022JJ00,
54,A052927,A019155,2023JJ00,
55,A052927,A019155,2024JJ00,
56,A052927,A019156,2021JJ00,42912.0
57,A052927,A019156,2022JJ00,44137.0
58,A052927,A019156,2023JJ00,47645.0
59,A052927,A019156,2024JJ00,51376.0
60,A052927,A019158,2021JJ00,3305.0
61,A052927,A019158,2022JJ00,3295.0
62,A052927,A019158,2023JJ00,3463.0
63,A052927,A019158,2024JJ00,3518.0
64,A052927,A019163,2021JJ00,8833.0
65,A052927,A019163,2022JJ00,9748.0
66,A052927,A019163,2023JJ00,10670.0
67,A052927,A019163,2024JJ00,11262.0
68,A052927,A019164,2021JJ00,4441.0
69,A052927,A019164,2022JJ00,5134.0
70,A052927,A019164,2023JJ00,5868.0
71,A052927,A019164,2024JJ00,6274.0
72,A052927,A019165,2021JJ00,4392.0
73,A052927,A019165,2022JJ00,4614.0
74,A052927,A019165,2023JJ00,4802.0
