ID,Zorgfinanciering,Financieringsbronnen,Perioden,UitgavenZorg_1
0,T001103,T001579,2021JJ00,128928.0
1,T001103,T001579,2022JJ00,132683.0
2,T001103,T001579,2023JJ00,142239.0
3,T001103,A049086,2021JJ00,48930.0
4,T001103,A049086,2022JJ00,49227.0
5,T001103,A049086,2023JJ00,52167.0
6,T001103,A049087,2021JJ00,81708.0
7,T001103,A049087,2022JJ00,86503.0
8,T001103,A049087,2023JJ00,92023.0
9,T001103,A049088,2021JJ00,19749.0
10,T001103,A049088,2022JJ00,20349.0
11,T001103,A049088,2023JJ00,22169.0
12,T001103,A049089,2021JJ00,61959.0
13,T001103,A049089,2022JJ00,66154.0
14,T001103,A049089,2023JJ00,69854.0
15,T001103,A049090,2021JJ00,91.0
16,T001103,A049090,2022JJ00,93.0
17,T001103,A049090,2023JJ00,76.0
18,T001103,A049091,2021JJ00,-604.0
19,T001103,A049091,2022JJ00,-1994.0
20,T001103,A049091,2023JJ00,-1735.0
21,T001103,A049092,2021JJ00,-1197.0
22,T001103,A049092,2022JJ00,-1146.0
23,T001103,A049092,2023JJ00,-292.0
24,A019150,T001579,2021JJ00,108979.0
25,A019150,T001579,2022JJ00,111023.0
26,A019150,T001579,2023JJ00,118564.0
27,A019150,A049086,2021JJ00,48930.0
28,A019150,A049086,2022JJ00,49227.0
29,A019150,A049086,2023JJ00,52167.0
30,A019150,A049087,2021JJ00,61849.0
31,A019150,A049087,2022JJ00,64858.0
32,A019150,A049087,2023JJ00,68460.0
33,A019150,A049088,2021JJ00,17704.0
34,A019150,A049088,2022JJ00,18304.0
35,A019150,A049088,2023JJ00,19872.0
36,A019150,A049089,2021JJ00,44145.0
37,A019150,A049089,2022JJ00,46554.0
38,A019150,A049089,2023JJ00,48589.0
39,A019150,A049090,2021JJ00,-131.0
40,A019150,A049090,2022JJ00,-158.0
41,A019150,A049090,2023JJ00,-180.0
42,A019150,A049091,2021JJ00,-604.0
43,A019150,A049091,2022JJ00,-1994.0
44,A019150,A049091,2023JJ00,-1735.0
45,A019150,A049092,2021JJ00,-1065.0
46,A019150,A049092,2022JJ00,-910.0
47,A019150,A049092,2023JJ00,-147.0
48,A019151,T001579,2021JJ00,32866.0
49,A019151,T001579,2022JJ00,31582.0
50,A019151,T001579,2023JJ00,32736.0
51,A019151,A049086,2021JJ00,32866.0
52,A019151,A049086,2022JJ00,31582.0
53,A019151,A049086,2023JJ00,32736.0
54,A019151,A049087,2021JJ00,0.0
55,A019151,A049087,2022JJ00,0.0
56,A019151,A049087,2023JJ00,0.0
57,A019151,A049088,2021JJ00,0.0
58,A019151,A049088,2022JJ00,0.0
59,A019151,A049088,2023JJ00,0.0
60,A019151,A049089,2021JJ00,0.0
61,A019151,A049089,2022JJ00,0.0
