ID,Zorgaanbieders,FinancieringsvormenZorg,Perioden,UitgavenAanGezondheidszorgIngezetenen_1
0,A052785,A019149,2021JJ00,99490.0
1,A052785,A019149,2022JJ00,99832.0
2,A052785,A019149,2023JJ00,105142.0
3,A052785,A019149,2024JJ00,113403.0
4,A052785,A019150,2021JJ00,83329.0
5,A052785,A019150,2022JJ00,82721.0
6,A052785,A019150,2023JJ00,86761.0
7,A052785,A019150,2024JJ00,94092.0
8,A052785,A019151,2021JJ00,13601.0
9,A052785,A019151,2022JJ00,10268.0
10,A052785,A019151,2023JJ00,8634.0
11,A052785,A019151,2024JJ00,9147.0
12,A052785,A019152,2021JJ00,69728.0
13,A052785,A019152,2022JJ00,72453.0
14,A052785,A019152,2023JJ00,78127.0
15,A052785,A019152,2024JJ00,84945.0
16,A052785,A019154,2021JJ00,21772.0
17,A052785,A019154,2022JJ00,22975.0
18,A052785,A019154,2023JJ00,25108.0
19,A052785,A019154,2024JJ00,27768.0
20,A052785,A019155,2021JJ00,
21,A052785,A019155,2022JJ00,
22,A052785,A019155,2023JJ00,
23,A052785,A019155,2024JJ00,
24,A052785,A019156,2021JJ00,47956.0
25,A052785,A019156,2022JJ00,49479.0
26,A052785,A019156,2023JJ00,53020.0
27,A052785,A019156,2024JJ00,57177.0
28,A052785,A041720,2021JJ00,16161.0
29,A052785,A041720,2022JJ00,17111.0
30,A052785,A041720,2023JJ00,18381.0
31,A052785,A041720,2024JJ00,19311.0
32,A052785,A019157,2021JJ00,5246.0
33,A052785,A019157,2022JJ00,5200.0
34,A052785,A019157,2023JJ00,5540.0
35,A052785,A019157,2024JJ00,5742.0
36,A052785,A019158,2021JJ00,4127.0
37,A052785,A019158,2022JJ00,4136.0
38,A052785,A019158,2023JJ00,4303.0
39,A052785,A019158,2024JJ00,4359.0
40,A052785,A019161,2021JJ00,44.0
41,A052785,A019161,2022JJ00,21.0
42,A052785,A019161,2023JJ00,69.0
43,A052785,A019161,2024JJ00,95.0
44,A052785,A019162,2021JJ00,1076.0
45,A052785,A019162,2022JJ00,1044.0
46,A052785,A019162,2023JJ00,1168.0
47,A052785,A019162,2024JJ00,1288.0
48,A052785,A019163,2021JJ00,10915.0
49,A052785,A019163,2022JJ00,11911.0
50,A052785,A019163,2023JJ00,12841.0
51,A052785,A019163,2024JJ00,13569.0
52,A052785,A019164,2021JJ00,5821.0
53,A052785,A019164,2022JJ00,6605.0
54,A052785,A019164,2023JJ00,7367.0
55,A052785,A019164,2024JJ00,7890.0
56,A052785,A019165,2021JJ00,5094.0
57,A052785,A019165,2022JJ00,5306.0
58,A052785,A019165,2023JJ00,5474.0
59,A052785,A019165,2024JJ00,5679.0
60,A052786,A019149,2021JJ00,32401.0
61,A052786,A019149,2022JJ00,33360.0
62,A052786,A019149,2023JJ00,35871.0
63,A052786,A019149,2024JJ00,38706.0
64,A052786,A019150,2021JJ00,30189.0
65,A052786,A019150,2022JJ00,30946.0
66,A052786,A019150,2023JJ00,33280.0
67,A052786,A019150,2024JJ00,36027.0
68,A052786,A019151,2021JJ00,2442.0
69,A052786,A019151,2022JJ00,2351.0
70,A052786,A019151,2023JJ00,2428.0
71,A052786,A019151,2024JJ00,2721.0
72,A052786,A019152,2021JJ00,27746.0
73,A052786,A019152,2022JJ00,28595.0
74,A052786,A019152,2023JJ00,30851.0
75,A052786,A019152,2024JJ00,33306.0
76,A052786,A019154,2021JJ00,1019.0
77,A052786,A019154,2022JJ00,1012.0
78,A052786,A019154,2023JJ00,1075.0
79,A052786,A019154,2024JJ00,1202.0
80,A052786,A019155,2021JJ00,
81,A052786,A019155,2022JJ00,
82,A052786,A019155,2023JJ00,
83,A052786,A019155,2024JJ00,
84,A052786,A019156,2021JJ00,26727.0
85,A052786,A019156,2022JJ00,27583.0
