ID,Zorgfuncties,FinancieringsvormenZorg,Perioden,UitgavenGezondheidsEnWelzijnszorg_1
0,T001104,T001103,2021JJ00,128928.0
1,T001104,T001103,2022JJ00,132683.0
2,T001104,T001103,2023JJ00,142239.0
3,T001104,T001103,2024JJ00,154933.0
4,T001104,A019149,2021JJ00,128706.0
5,T001104,A019149,2022JJ00,132432.0
6,T001104,A019149,2023JJ00,141982.0
7,T001104,A019149,2024JJ00,154677.0
8,T001104,A019150,2021JJ00,108979.0
9,T001104,A019150,2022JJ00,111023.0
10,T001104,A019150,2023JJ00,118564.0
11,T001104,A019150,2024JJ00,129756.0
12,T001104,A019151,2021JJ00,32866.0
13,T001104,A019151,2022JJ00,31582.0
14,T001104,A019151,2023JJ00,32736.0
15,T001104,A019151,2024JJ00,36355.0
16,T001104,A019152,2021JJ00,76112.0
17,T001104,A019152,2022JJ00,79440.0
18,T001104,A019152,2023JJ00,85828.0
19,T001104,A019152,2024JJ00,93401.0
20,T001104,A019154,2021JJ00,26510.0
21,T001104,A019154,2022JJ00,28216.0
22,T001104,A019154,2023JJ00,30940.0
23,T001104,A019154,2024JJ00,34279.0
24,T001104,A019155,2021JJ00,
25,T001104,A019155,2022JJ00,
26,T001104,A019155,2023JJ00,
27,T001104,A019155,2024JJ00,
28,T001104,A019156,2021JJ00,49603.0
29,T001104,A019156,2022JJ00,51224.0
30,T001104,A019156,2023JJ00,54889.0
31,T001104,A019156,2024JJ00,59122.0
32,T001104,A041720,2021JJ00,19727.0
33,T001104,A041720,2022JJ00,21409.0
34,T001104,A041720,2023JJ00,23418.0
35,T001104,A041720,2024JJ00,24921.0
36,T001104,A019157,2021JJ00,6172.0
37,T001104,A019157,2022JJ00,6180.0
38,T001104,A019157,2023JJ00,6601.0
39,T001104,A019157,2024JJ00,6892.0
40,T001104,A019158,2021JJ00,4127.0
41,T001104,A019158,2022JJ00,4136.0
42,T001104,A019158,2023JJ00,4303.0
43,T001104,A019158,2024JJ00,4359.0
44,T001104,A019161,2021JJ00,385.0
45,T001104,A019161,2022JJ00,382.0
46,T001104,A019161,2023JJ00,449.0
47,T001104,A019161,2024JJ00,508.0
48,T001104,A019162,2021JJ00,1660.0
49,T001104,A019162,2022JJ00,1663.0
50,T001104,A019162,2023JJ00,1848.0
51,T001104,A019162,2024JJ00,2025.0
52,T001104,A019163,2021JJ00,13555.0
53,T001104,A019163,2022JJ00,15229.0
54,T001104,A019163,2023JJ00,16817.0
55,T001104,A019163,2024JJ00,18029.0
56,T001104,A019164,2021JJ00,8095.0
57,T001104,A019164,2022JJ00,9542.0
58,T001104,A019164,2023JJ00,10942.0
59,T001104,A019164,2024JJ00,11922.0
60,T001104,A019165,2021JJ00,5460.0
61,T001104,A019165,2022JJ00,5687.0
62,T001104,A019165,2023JJ00,5875.0
63,T001104,A019165,2024JJ00,6107.0
64,T001104,A019166,2021JJ00,222.0
65,T001104,A019166,2022JJ00,252.0
66,T001104,A019166,2023JJ00,256.0
67,T001104,A019166,2024JJ00,256.0
68,A052130,T001103,2021JJ00,14950.0
69,A052130,T001103,2022JJ00,17519.0
70,A052130,T001103,2023JJ00,20534.0
71,A052130,T001103,2024JJ00,23510.0
72,A052130,A019149,2021JJ00,14950.0
73,A052130,A019149,2022JJ00,17519.0
74,A052130,A019149,2023JJ00,20534.0
75,A052130,A019149,2024JJ00,23510.0
76,A052130,A019150,2021JJ00,12083.0
77,A052130,A019150,2022JJ00,13932.0
78,A052130,A019150,2023JJ00,16238.0
79,A052130,A019150,2024JJ00,18674.0
80,A052130,A019151,2021JJ00,12083.0
81,A052130,A019151,2022JJ00,13932.0
82,A052130,A019151,2023JJ00,16238.0
83,A052130,A019151,2024JJ00,18674.0
84,A052130,A019152,2021JJ00,0.0
85,A052130,A019152,2022JJ00,0.0
86,A052130,A019152,2023JJ00,0.0
87,A052130,A019152,2024JJ00,0.0
88,A052130,A019154,2021JJ00,0.0
89,A052130,A019154,2022JJ00,0.0
90,A052130,A019154,2023JJ00,0.0
91,A052130,A019154,2024JJ00,0.0
92,A052130,A019155,2021JJ00,
93,A052130,A019155,2022JJ00,
94,A052130,A019155,2023JJ00,
95,A052130,A019155,2024JJ00,
96,A052130,A019156,2021JJ00,0.0
97,A052130,A019156,2022JJ00,0.0
98,A052130,A019156,2023JJ00,0.0
99,A052130,A019156,2024JJ00,0.0
100,A052130,A041720,2021JJ00,2868.0
101,A052130,A041720,2022JJ00,3587.0
102,A052130,A041720,2023JJ00,4297.0
103,A052130,A041720,2024JJ00,4836.0
104,A052130,A019157,2021JJ00,593.0
105,A052130,A019157,2022JJ00,650.0
106,A052130,A019157,2023JJ00,721.0
107,A052130,A019157,2024JJ00,804.0
108,A052130,A019158,2021JJ00,0.0
109,A052130,A019158,2022JJ00,0.0
110,A052130,A019158,2023JJ00,0.0
111,A052130,A019158,2024JJ00,0.0
112,A052130,A019161,2021JJ00,175.0
113,A052130,A019161,2022JJ00,197.0
114,A052130,A019161,2023JJ00,211.0
115,A052130,A019161,2024JJ00,241.0
116,A052130,A019162,2021JJ00,418.0
117,A052130,A019162,2022JJ00,453.0
118,A052130,A019162,2023JJ00,510.0
119,A052130,A019162,2024JJ00,562.0
120,A052130,A019163,2021JJ00,2275.0
121,A052130,A019163,2022JJ00,2937.0
122,A052130,A019163,2023JJ00,3575.0
123,A052130,A019163,2024JJ00,4032.0
124,A052130,A019164,2021JJ00,2275.0
125,A052130,A019164,2022JJ00,2937.0
126,A052130,A019164,2023JJ00,3575.0
127,A052130,A019164,2024JJ00,4032.0
128,A052130,A019165,2021JJ00,0.0
129,A052130,A019165,2022JJ00,0.0
130,A052130,A019165,2023JJ00,0.0
131,A052130,A019165,2024JJ00,0.0
132,A052130,A019166,2021JJ00,0.0
133,A052130,A019166,2022JJ00,0.0
134,A052130,A019166,2023JJ00,0.0
135,A052130,A019166,2024JJ00,0.0
136,A052131,T001103,2021JJ00,3207.0
137,A052131,T001103,2022JJ00,3256.0
138,A052131,T001103,2023JJ00,3458.0
139,A052131,T001103,2024JJ00,3585.0
140,A052131,A019149,2021JJ00,3089.0
141,A052131,A019149,2022JJ00,3139.0
142,A052131,A019149,2023JJ00,3337.0
143,A052131,A019149,2024JJ00,3461.0
144,A052131,A019150,2021JJ00,2756.0
145,A052131,A019150,2022JJ00,2809.0
146,A052131,A019150,2023JJ00,2998.0
147,A052131,A019150,2024JJ00,3115.0
148,A052131,A019151,2021JJ00,1092.0
149,A052131,A019151,2022JJ00,1046.0
150,A052131,A019151,2023JJ00,1108.0
151,A052131,A019151,2024JJ00,1145.0
152,A052131,A019152,2021JJ00,1664.0
153,A052131,A019152,2022JJ00,1763.0
154,A052131,A019152,2023JJ00,1890.0
155,A052131,A019152,2024JJ00,1970.0
156,A052131,A019154,2021JJ00,17.0
157,A052131,A019154,2022JJ00,18.0
158,A052131,A019154,2023JJ00,21.0
159,A052131,A019154,2024JJ00,25.0
160,A052131,A019155,2021JJ00,
161,A052131,A019155,2022JJ00,
162,A052131,A019155,2023JJ00,
163,A052131,A019155,2024JJ00,
164,A052131,A019156,2021JJ00,1647.0
165,A052131,A019156,2022JJ00,1745.0
166,A052131,A019156,2023JJ00,1869.0
167,A052131,A019156,2024JJ00,1945.0
168,A052131,A041720,2021JJ00,333.0
169,A052131,A041720,2022JJ00,330.0
170,A052131,A041720,2023JJ00,339.0
171,A052131,A041720,2024JJ00,346.0
172,A052131,A019157,2021JJ00,333.0
173,A052131,A019157,2022JJ00,330.0
174,A052131,A019157,2023JJ00,339.0
175,A052131,A019157,2024JJ00,346.0
176,A052131,A019158,2021JJ00,0.0
177,A052131,A019158,2022JJ00,0.0
178,A052131,A019158,2023JJ00,0.0
179,A052131,A019158,2024JJ00,0.0
180,A052131,A019161,2021JJ00,166.0
181,A052131,A019161,2022JJ00,164.0
182,A052131,A019161,2023JJ00,169.0
183,A052131,A019161,2024JJ00,172.0
184,A052131,A019162,2021JJ00,167.0
185,A052131,A019162,2022JJ00,166.0
186,A052131,A019162,2023JJ00,170.0
187,A052131,A019162,2024JJ00,175.0
188,A052131,A019163,2021JJ00,0.0
189,A052131,A019163,2022JJ00,0.0
190,A052131,A019163,2023JJ00,0.0
191,A052131,A019163,2024JJ00,0.0
192,A052131,A019164,2021JJ00,0.0
193,A052131,A019164,2022JJ00,0.0
194,A052131,A019164,2023JJ00,0.0
195,A052131,A019164,2024JJ00,0.0
196,A052131,A019165,2021JJ00,0.0
197,A052131,A019165,2022JJ00,0.0
198,A052131,A019165,2023JJ00,0.0
199,A052131,A019165,2024JJ00,0.0
200,A052131,A019166,2021JJ00,118.0
201,A052131,A019166,2022JJ00,117.0
202,A052131,A019166,2023JJ00,120.0
203,A052131,A019166,2024JJ00,123.0
204,A052134,T001103,2021JJ00,99594.0
205,A052134,T001103,2022JJ00,99967.0
206,A052134,T001103,2023JJ00,105278.0
207,A052134,T001103,2024JJ00,113535.0
208,A052134,A019149,2021JJ00,99490.0
209,A052134,A019149,2022JJ00,99832.0
210,A052134,A019149,2023JJ00,105142.0
211,A052134,A019149,2024JJ00,113403.0
212,A052134,A019150,2021JJ00,83329.0
213,A052134,A019150,2022JJ00,82721.0
214,A052134,A019150,2023JJ00,86761.0
215,A052134,A019150,2024JJ00,94092.0
216,A052134,A019151,2021JJ00,13601.0
217,A052134,A019151,2022JJ00,10268.0
218,A052134,A019151,2023JJ00,8634.0
219,A052134,A019151,2024JJ00,9147.0
220,A052134,A019152,2021JJ00,69728.0
221,A052134,A019152,2022JJ00,72453.0
222,A052134,A019152,2023JJ00,78127.0
223,A052134,A019152,2024JJ00,84945.0
224,A052134,A019154,2021JJ00,21772.0
225,A052134,A019154,2022JJ00,22975.0
226,A052134,A019154,2023JJ00,25108.0
227,A052134,A019154,2024JJ00,27768.0
228,A052134,A019155,2021JJ00,
229,A052134,A019155,2022JJ00,
230,A052134,A019155,2023JJ00,
231,A052134,A019155,2024JJ00,
232,A052134,A019156,2021JJ00,47956.0
233,A052134,A019156,2022JJ00,49479.0
234,A052134,A019156,2023JJ00,53020.0
235,A052134,A019156,2024JJ00,57177.0
236,A052134,A041720,2021JJ00,16161.0
237,A052134,A041720,2022JJ00,17111.0
238,A052134,A041720,2023JJ00,18381.0
239,A052134,A041720,2024JJ00,19311.0
240,A052134,A019157,2021JJ00,5246.0
241,A052134,A019157,2022JJ00,5200.0
242,A052134,A019157,2023JJ00,5540.0
243,A052134,A019157,2024JJ00,5742.0
244,A052134,A019158,2021JJ00,4127.0
245,A052134,A019158,2022JJ00,4136.0
246,A052134,A019158,2023JJ00,4303.0
247,A052134,A019158,2024JJ00,4359.0
248,A052134,A019161,2021JJ00,44.0
249,A052134,A019161,2022JJ00,21.0
250,A052134,A019161,2023JJ00,69.0
251,A052134,A019161,2024JJ00,95.0
252,A052134,A019162,2021JJ00,1076.0
253,A052134,A019162,2022JJ00,1044.0
254,A052134,A019162,2023JJ00,1168.0
255,A052134,A019162,2024JJ00,1288.0
256,A052134,A019163,2021JJ00,10915.0
257,A052134,A019163,2022JJ00,11911.0
258,A052134,A019163,2023JJ00,12841.0
259,A052134,A019163,2024JJ00,13569.0
260,A052134,A019164,2021JJ00,5821.0
261,A052134,A019164,2022JJ00,6605.0
262,A052134,A019164,2023JJ00,7367.0
263,A052134,A019164,2024JJ00,7890.0
264,A052134,A019165,2021JJ00,5094.0
265,A052134,A019165,2022JJ00,5306.0
266,A052134,A019165,2023JJ00,5474.0
267,A052134,A019165,2024JJ00,5679.0
268,A052134,A019166,2021JJ00,104.0
269,A052134,A019166,2022JJ00,135.0
270,A052134,A019166,2023JJ00,136.0
271,A052134,A019166,2024JJ00,133.0
272,A019213,T001103,2021JJ00,11177.0
273,A019213,T001103,2022JJ00,11941.0
274,A019213,T001103,2023JJ00,12969.0
275,A019213,T001103,2024JJ00,14303.0
276,A019213,A019149,2021JJ00,11177.0
277,A019213,A019149,2022JJ00,11941.0
278,A019213,A019149,2023JJ00,12969.0
279,A019213,A019149,2024JJ00,14303.0
280,A019213,A019150,2021JJ00,10811.0
281,A019213,A019150,2022JJ00,11560.0
282,A019213,A019150,2023JJ00,12568.0
283,A019213,A019150,2024JJ00,13876.0
284,A019213,A019151,2021JJ00,6091.0
285,A019213,A019151,2022JJ00,6336.0
286,A019213,A019151,2023JJ00,6757.0
287,A019213,A019151,2024JJ00,7390.0
288,A019213,A019152,2021JJ00,4720.0
289,A019213,A019152,2022JJ00,5224.0
290,A019213,A019152,2023JJ00,5811.0
291,A019213,A019152,2024JJ00,6486.0
292,A019213,A019154,2021JJ00,4720.0
293,A019213,A019154,2022JJ00,5224.0
294,A019213,A019154,2023JJ00,5811.0
295,A019213,A019154,2024JJ00,6486.0
296,A019213,A019155,2021JJ00,
297,A019213,A019155,2022JJ00,
298,A019213,A019155,2023JJ00,
299,A019213,A019155,2024JJ00,
300,A019213,A019156,2021JJ00,0.0
301,A019213,A019156,2022JJ00,0.0
302,A019213,A019156,2023JJ00,0.0
303,A019213,A019156,2024JJ00,0.0
304,A019213,A041720,2021JJ00,365.0
305,A019213,A041720,2022JJ00,381.0
306,A019213,A041720,2023JJ00,401.0
307,A019213,A041720,2024JJ00,427.0
308,A019213,A019157,2021JJ00,0.0
309,A019213,A019157,2022JJ00,0.0
310,A019213,A019157,2023JJ00,0.0
311,A019213,A019157,2024JJ00,0.0
312,A019213,A019158,2021JJ00,0.0
313,A019213,A019158,2022JJ00,0.0
