ID,Leeftijd,Marges,RegioS,ErvarenGezondheidGoedZeerGoed_1,AngstOfDepressiegevoelensMHI576_2,EenOfMeerLangdurigeAandoeningen_3,EenOfMeerLichamelijkeBeperkingen_4,BeperkingInHoren65JaarOfOuder_5,BeperkingInZien65JaarOfOuder_6,BeperkingInBewegen65JaarOfOuder_7,Ondergewicht_8,NormaalGewicht_9,Overgewicht_10,MatigOvergewicht_11,ErnstigOvergewichtObesitas_12,VoldoetAanBeweegrichtlijnen_13,WekelijkseSporters_14,Mantelzorger_15,ZwaarBelasteMantelzorgers_16,UrenMantelzorgPerWeek_17,Rokers_18,VoldoetAanRichtlijnAlcoholgebruik_19,OvermatigeDrinkersOnderBevolking_20
0,10000,MW00000,NL01  ,74.1,46.4,34.4,22.8,6.5,6.4,16.6,1.7,48.3,50.0,34.4,15.6,48.9,57.5,13.8,22.3,10.9,15.6,44.8,5.7
1,10000,MW00000,LD01  ,74.6,41.9,35.1,21.8,6.4,5.8,15.6,1.6,46.2,52.2,34.9,17.3,48.9,53.4,13.5,20.0,10.3,16.2,44.5,5.8
2,10000,MW00000,LD02  ,75.4,44.4,34.0,22.3,6.6,6.0,15.9,1.6,47.0,51.4,35.2,16.2,49.7,56.7,14.7,21.2,10.7,14.9,45.0,5.6
3,10000,MW00000,LD03  ,74.1,48.5,34.0,22.7,6.2,6.7,16.8,1.7,50.3,48.0,33.2,14.7,49.8,59.1,13.0,23.7,11.3,16.0,45.9,5.7
4,10000,MW00000,LD04  ,72.7,45.6,35.3,24.0,7.2,6.7,17.4,1.7,46.2,52.1,35.9,16.2,46.0,56.4,14.7,21.7,10.8,15.0,42.1,5.8
5,10000,MW00000,PV20  ,73.9,45.0,34.7,23.7,7.2,6.4,17.0,1.7,48.6,49.7,32.8,16.9,50.3,55.4,12.4,19.0,10.0,19.0,43.9,6.3
6,10000,MW00000,PV21  ,75.6,38.9,34.4,19.8,5.4,5.6,14.2,1.6,46.7,51.6,35.5,16.1,49.6,53.3,13.9,18.7,10.4,15.2,43.6,5.7
7,10000,MW00000,PV22  ,74.2,42.1,36.7,22.4,6.8,5.4,15.9,1.5,42.6,55.9,36.7,19.2,46.1,51.1,14.5,22.9,10.6,14.0,46.3,5.2
8,10000,MW00000,PV23  ,76.6,42.2,32.7,22.9,6.7,6.4,16.1,1.6,47.2,51.2,34.9,16.3,51.7,57.2,15.2,19.8,10.5,14.9,41.8,6.9
9,10000,MW00000,PV24  ,73.4,45.4,35.2,24.1,7.6,6.4,17.7,1.5,42.5,56.0,37.4,18.6,45.5,53.9,12.8,25.9,13.3,14.8,52.7,3.4
10,10000,MW00000,PV25  ,75.0,45.5,34.5,21.7,6.4,5.7,15.6,1.6,47.8,50.6,35.0,15.6,49.4,57.0,14.9,21.1,10.3,14.9,45.2,5.4
11,10000,MW00000,PV26  ,76.9,46.0,32.7,21.0,5.9,5.5,15.3,1.8,54.0,44.2,31.2,12.9,51.5,63.3,13.6,23.8,10.7,14.5,43.3,5.4
12,10000,MW00000,PV27  ,74.4,49.1,33.2,21.9,5.9,6.6,16.0,1.8,52.4,45.8,32.2,13.6,53.1,62.0,12.1,24.1,11.4,16.4,42.5,6.6
13,10000,MW00000,PV28  ,73.0,49.3,35.0,24.0,6.6,7.2,18.1,1.7,47.7,50.6,34.6,16.1,47.0,56.6,13.2,23.6,11.4,16.3,49.1,5.1
14,10000,MW00000,PV29  ,72.3,45.2,36.7,21.5,5.8,6.0,15.6,1.5,47.0,51.5,35.0,16.6,46.2,47.8,16.1,22.6,11.6,15.6,49.2,5.6
15,10000,MW00000,PV30  ,74.0,45.3,34.4,23.9,7.4,6.5,17.2,1.8,46.8,51.4,35.6,15.8,46.7,57.8,14.3,21.6,10.7,15.0,41.0,6.1
16,10000,MW00000,PV31  ,69.8,46.5,37.4,24.1,6.7,7.2,17.8,1.5,44.8,53.7,36.5,17.2,44.3,53.3,15.6,21.8,11.0,15.1,44.8,5.1
17,10000,MW00000,GM1680,74.8,39.0,35.0,20.4,6.8,5.2,13.6,1.1,46.2,52.7,37.6,15.1,49.7,57.1,14.8,23.1,11.7,13.4,48.3,6.0
18,10000,MW00000,GM0358,76.3,40.3,27.8,21.0,6.8,5.3,15.1,1.3,51.1,47.6,34.0,13.5,47.7,63.4,13.1,32.9,10.9,14.9,40.4,6.6
19,10000,MW00000,GM0197,75.8,40.2,32.9,23.4,5.0,6.3,17.4,0.5,47.0,52.5,35.5,17.0,50.2,53.3,16.4,16.8,12.6,12.0,39.7,5.7
20,10000,MW00000,GM0059,71.1,43.8,36.0,22.3,5.1,4.6,16.7,0.7,40.0,59.3,38.8,20.5,44.5,47.1,13.5,26.4,8.9,16.4,43.5,6.8
